Heavyweights 2015,Club - Men ,8,8,2015
Loves Park,IL,2015-08-08,2015-08-09
https://play.usaultimate.org/events/Heavyweights-2015/schedule/Men/Club-Men/
Brickyard,1
0,Alexander Hutton
0,Nickolas Hutton
0,Rick Gross
0,David Hortemiller
0,Blake Vanderbush
0,Samuel Sohn
0,SPENCER LOSCAR
0,Keenan Plew
0,RYAN FERGUSON
0,Stephen Dickerson
0,John Jones
0,Jason Yoder
1,Jarod Brock
16,Heath Kalaba
19,Daniel Blanc
22,Chase Hardebeck
22,Kyle Cox
36,Steven Naji
40,Brian Ventura
44,Donovan Triplett
48,Levi Jacobs
51,Nathan Page
52,Jacob Phillips
62,Charles Lowe
66,ERIC LEONARD
69,Nick Loughran
b,r,e,a,k
Beachfront Property,4
0,Milo Korman
0,Michael Wormley
0,Nick Myhre
0,Kyle Sternkopf
0,MICHAEL CALDERBANK
0,ANDREW PAUL EDWARDS
0,CY HENDRICKSON
0,Michael Ng
0,Jeffrey Spetter
0,Robert Olney
0,Judah Newman
0,STEFAN BREITLING
0,Alex Nimmer
2,MARK MASTRANGELO
10,Robert Lau
13,Karl Beck
16,Nick Lindeke
17,Max Bommarito
27,Joseph Illichman
29,Hafeez Shams
33,Wesley Groth
45,Jeff Robinson
63,Zubair Abdulla
73,Justin Reeverts
81,Michael McCafferty
b,r,e,a,k
Imperial,5
0,ALEC BLUM
0,Ryan Menden
6,Louis Abramowski
07,Tyler Thomegreene
08,JARVIN POTTER
10,Michael Jordan
14,Mohammud Tilmo
24,Roberto Caballero
26,NICK STASTNY
27,Krishna Mahajan
28,Dan Heuer
29,Isaac Chestler
30,Curtis Cammack
34,Luis Caballero
35,Ryan Pesch
61,Brandon Matis
69,EVAN HEBERLEIN
71,CULLEN RAASCH
85,Jesus Caballero
96,Tucker Hoffman
99,Samuel Reis
b,r,e,a,k
Illusion,8
0,Trent Cooper
03,JORDAN METZ
05,Chad Redding
06,Kyle Palmolea
08,Nick Patrum
11,Robert Johnson
13,JOHN HEANEY
15,Matthew Weber
16,Philip Hanley
20,COLE CRAWFORD
23,Blake Metz
25,Chase Everett
26,Zach Ohnesorge
27,John Stec
28,Kyle Kwasniewski
29,Drew Flesch
30,Eric Koo
40,MATTHEW RISSLER
42,William Stensvold
69,Dustin Uhlik
82,Ben Blaser
88,Peter Biedenharn
b,r,e,a,k
Smokestack,2
0,DANIEL LEHMAN
0,Tarik Akyuz
0,Erik Lindberg
0,Jonathon Grgat
0,Nathan Buddemeyer
0,Anthony Davis
0,Jason Beffel
0,John Marotta
0,David Picone
0,Jeffrey Brauning
0,Jacob Lunn
1,Shawn McCarthy
3,Steven Her
3,Daniel Young
5,Amir Kaghazwala
6,KEVIN WAYNER
6,Matt Woods
10,Eric Zarobila
12,Dan Sluka
13,Jared VanLandingham
17,Adam Davenport
21,LOGAN VANTREASE
26,Zach Johnston
27,Brandon Thomas
34,Daniel Lynch
82,Dutch Kirkman
87,Weston Miller
b,r,e,a,k
MKE,3
0,SAM OUIMET
0,Joseph Blankenheim
0,TAYLOR DAVIS
0,Dan Magnant
0,Benjamin Compton
0,MICHAEL KEELAN
0,Ben Ben Hirschman
0,Max Palzewicz
0,Ryan Sutter
0,Joseph Lindsay
0,Nick Wismans
0,Evan Swiatek
0,Dan Margulis
0,Scott Wenzel
3,Jay Kinzel
7,Matthew Caballero
8,Evan Fischer
17,Drew Chapman
23,Steven Wick
25,Sean Andryauskas
49,Tim Posl
75,Jacob Hoffman
b,r,e,a,k
Haymaker,7
0,Ryan Shea
0,Zach Zebarth
0,Max Trotter
0,Brian Casey
0,Ian Blanke
0,Peter Shayman
0,Jacob Ward
0,Richard Aycock
0,STEVE MEYER
0,Preston Bailey
0,Damen Erf
0,Robert Geer
0,MICHAEL HULBURT
0,Willem Longendyke
9,Robert Berg
06,Richard Andy Spencer
11,Cameron Albin
12,Rodrigo Arcibar
13,ETHAN MIKHAIL
17,Rob Greenberg
19,KEVIN KOPROWSKI
24,Andrew Fischer
24,Alex Kim
35,Steven Cummings
47,Dan Kang
54,Alex Stumphauzer
96,Daniel Baker
b,r,e,a,k
City Park Ultimate,6
0,Kegan Wakefield
0,Ben  Mirr
0,Payton Burken
0,Charles Rathe
6,Evan Kerr
6,Tyler Whitehead
