Cooler Classic 27,Club - Mixed ,15,8,2015
Hartland,WI,2015-08-15,2015-08-16
https://play.usaultimate.org/events/Cooler-Classic-27/schedule/Mixed/Club-Mixed
The Chad Larson Experience,1
16,Andrew Gubernick
16,Jesse Handler
17,MICHAEL NAGEL
21,Benjamin Macalalad
22,Joe Kowalkowski
25,Sean Mills
26,Scott Anding
27,REGINA MUHR
30,Marley Marano
31,Alexandra Ulp
32,Sandra Helquist
33,Alyssa Graham
36,Talia Fishman-Strait
44,Meredith Sommars
47,Jeff Sommars
66,Taylor Dall
71,Matt Gubernick
b,r,e,a,k
Mojo Jojo,11
teamInfo,,"St. Louis Park, Minnesota",,,
00,Andrew Dornbush
00,Jesse Wolfe
00,Brendan Gessner
00,Amanda Huber
00,Lindsey Pieper
00,Tyler Brickle
00,Anna Ruehlow
00,Graham Sutherland
00,Benjamin Nelson
00,Kelsey Weister
00,HANNAH WHITE
00,Meredith  Johnson
00,Sherri Goings
00,Kathleen Burich
00,Ryley Tennyson
00,Michael Merwin
00,Brian Wilson
00,Patrick Cashman
00,Daniel Schultz
00,Bethany Anderson 
00,Patrick Jones
00,JACOB BRANDYS
00,Jake Kretschmer
00,Ben Valley
00,Michael Seffren
b,r,e,a,k
TMI,15
teamInfo,,"Milwaukee, Wisconsin",,,
0,Peter Scharl
0,Matt Grabau
0,Jon Kallin
0,Roxie Anderson
0,Hans Hollander
0,Michelle Johnson
0,JAIME KAHLER
0,PAUL OGRINC
0,Brandon Kirchhof
0,Kristi Scharl
0,JOHN HERMES
0,Ashley Hart
0,Madeline Mandel
0,Eric Hart
0,Paul Graversen
0,Chris Chapman
0,CARMELINDA CLARK-BOUCHARD
0,Taylor Bergen
0,Kathryn Juettner
0,Kenneth Johnson
0,KRISTIN WOHLRABE
0,WILBUR KAN
11,Grant Erickson
15,Tim Corcoran
b,r,e,a,k
Wingdings,17
teamInfo,,"Des Moines, Iowa",,,
0,KATIE PHILLIPS
0,Jamison DiSalvo
0,Jennifer Perry
0,Robert Mitchell McCarthy
0,Matthew Korte
0,Andrew Weeks
0,Parker Howard
0,CLAIRE BOEKE
0,SPENCER ROSS
0,MATT JOHNSON
0,Alyssa Bohlender
0,Dustin McConnell
4,Kaira Carter
5,Sarah Stoker
5,Matt Stoker
6,Marcus Christensen Messamer
7,Kenneth Yuhui Wee
8,Chandler Good
9,Daniel Hansen
10,Brian Lucido
13,Neal Patel
27,Scott Ehlinger
54,Alec Sauerbrei
b,r,e,a,k
Free Ride,20
teamInfo,,"Columbia, Missouri",,,
0,JAMES MAHOOD
0,Melissa Huegerich
0,Bethany Beebe
0,JOHN BORGMEYER
0,Jabari Jones
3,CARLI STANDEN
12,Reese Rackets
17,Ryan Tray
21,CHRISTINE GIESING
27,DOUGLASS BUTLER
29,Thomas Preston
87,MATT BREITE
91,Mark Schimmel
95,Joel Williams
b,r,e,a,k
SOUP Dynasty,21
teamInfo,,"Minneapolis, Minnesota",,,
0,EVAN WESELMANN
0,Jesse Stratton
0,Seija Stratton
0,Rolf Bergford
0,Amy Erlandson
0,LUKAS LEBENS
4,Andrew Lawrence
12,Alison Schmitz
33,Martha (Mattie) Melin
42,Andrew O'Neill
b,r,e,a,k
Brew City Bandits,24
teamInfo,,"Milwaukee, Wisconsin",,,
01,Shane Mueller
02,CAROLINE MILLER
03,RYAN MCHUGH
04,Erin Dugan
06,Morgan Reminder
08,TESSA DANIELSON
10,ERIC MAUS
11,Heather Posl
12,Kyle Matthews
16,Troy Roberts
17,Dylan Baier
18,Helen Koth
19,Joe Bluma
20,Justine Espisito
21,JESSICA BAHLING
22,Amy Donahue
23,Katelyn Phillips
25,Benjamin Olson
27,MICHAEL LIANG
30,Tyler Ignatowski
33,Jayd Phelps
47,KENNETH BONTEMPO
b,r,e,a,k
GooNEs,19
teamInfo,,"Omaha, Nebraska",,https://www.facebook.com/groups/745018848947769/,
01,Alec  Williams 
02,Elizabeth Rock
05,Brad Ashley
07,Isaac Knutson
08,Daniel Forsyth
09,Jason Kaspar
10,Fabian Briesmoore
14,Kelli Rice
17,Emily Nichols
22,Andrew Egger
24,LAURA NEWTON
28,Emily Kirkwold
30,Aaron Bowles
34,Noah Gould
64,Jeffrey Snowdon
90,Connor Rock
b,r,e,a,k
Fifth Element,18
teamInfo,,"Louisville, Kentucky",,https://www.facebook.com/groups/704218569655199/,https://twitter.com/FEUltimate
0,Ray Yeager
2,Nathan Huster
7,Benjamin Petrey
8,Philip Hills
9,Jonathan Rosen
10,ALEX BERUSCHA
11,Chris Gallagher
12,NICHOLAS HECHT
14,Hannah Buckley
15,Kevin Daley
18,MICHELLE TIMMERMAN
21,zachary skaggs
22,Rachel Huster
23,Alyssa Rogers
28,Conor King
29,Tahlia Hodes
31,Zach Gostling
35,Tess McGrew
42,Kathleen Hammer
45,Tracie Anderson
b,r,e,a,k
Bluffdragons,23
teamInfo,,"La Crosse, Wisconsin",,,
06,Sam Wood
07,Rachel Wotruba
07,Clint Tudahl
09,Victoria Brown
11,Emeka Donald Egbuji
12,NICHOLAS BYRON
14,Brandon Gaethke
15,Carli Wood
15,ANTHONY STELTER
17,Sarah Garstecki
19,Cody Rondeau
20,Jamie  Brown
24,Samuel Vanden Hogen
27,Kalli Leutenegger
28,Emily Christopherson
31,MARK MIRESSE
32,BENNETT MYERS
42,SIERRA COLAVITO
44,Laura Meyer
51,Craig Wotruba
52,Marcus Menzel
55,Sarah Pinon
57,Anthony Verga
60,BRETT TOWNSEND
99,Evan Handley
b,r,e,a,k
Jabba the Huck,22
teamInfo,,"Chicago, Illinois",,,
00,Jennifer Vallier
00,Kayle Devaughan
00,Charlie Field
00,Alexandria Krebs
02,Amy Copper
03,ANGELO SORCE
05,Stephen Gard
10,Cody Haas
11,Zachary Ciaglia
13,Rene Quintana
22,Andrew Almeter
27,Eddie Dudek
30,Jessica Johnson
37,Steve Janda
42,Sam Gerber
58,Sze Jin Ooi
69,Casimir Ksiazek III
77,Lisa Paluszkiewicz
97,Steven Anderson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
The Chad Larson Experience,panIC,13,8,"08/15/2015, 09:00",Pool A,Final
NOISE,No Touching,13,9,"08/15/2015, 09:00",Pool A,Final
The Chad Larson Experience,No Touching,13,4,"08/15/2015, 12:30",Pool A,Final
NOISE,panIC,13,10,"08/15/2015, 12:30",Pool A,Final
The Chad Larson Experience,NOISE,13,10,"08/15/2015, 14:15",Pool A,Final
panIC,No Touching,13,7,"08/15/2015, 14:15",Pool A,Final
pool,Pool B
Minneapolis Millers,Tequila Mockingbird,13,10,"08/15/2015, 10:45",Pool B,Final
Des Moines Metro,Cream City Crooks,13,7,"08/15/2015, 10:45",Pool B,Final
Minneapolis Millers,Cream City Crooks,13,11,"08/15/2015, 12:30",Pool B,Final
Des Moines Metro,Tequila Mockingbird,14,13,"08/15/2015, 12:30",Pool B,Final
Minneapolis Millers,Des Moines Metro,13,7,"08/15/2015, 14:15",Pool B,Final
Tequila Mockingbird,Cream City Crooks,11,12,"08/15/2015, 14:15",Pool B,Final
pool,Pool C
Spirit Fowl,Coalition Ultimate,3,13,"08/15/2015, 10:45",Pool C,Final
Mastodon,Stack Cats,12,10,"08/15/2015, 10:45",Pool C,Final
Spirit Fowl,Stack Cats,10,11,"08/15/2015, 12:30",Pool C,Final
Mastodon,Coalition Ultimate,11,8,"08/15/2015, 12:30",Pool C,Final
Spirit Fowl,Mastodon,9,13,"08/15/2015, 14:15",Pool C,Final
Coalition Ultimate,Stack Cats,13,4,"08/15/2015, 14:15",Pool C,Final
pool,Pool D
Boomtown Pandas,ELevate,13,8,"08/15/2015, 09:00",Pool D,Final
Mojo Jojo,TMI,13,10,"08/15/2015, 09:00",Pool D,Final
Boomtown Pandas,TMI,13,7,"08/15/2015, 10:45",Pool D,Final
Mojo Jojo,ELevate,8,13,"08/15/2015, 10:45",Pool D,Final
Boomtown Pandas,Mojo Jojo,13,6,"08/15/2015, 14:15",Pool D,Final
ELevate,TMI,13,8,"08/15/2015, 14:15",Pool D,Final
pool,Pool E
Wingdings,SOUP Dynasty,13,7,"08/15/2015, 09:00",Pool E,Final
Free Ride,Brew City Bandits,13,3,"08/15/2015, 09:00",Pool E,Final
Wingdings,Brew City Bandits,13,6,"08/15/2015, 12:30",Pool E,Final
Free Ride,SOUP Dynasty,14,12,"08/15/2015, 12:30",Pool E,Final
Wingdings,Free Ride,13,9,"08/15/2015, 14:15",Pool E,Final
SOUP Dynasty,Brew City Bandits,13,5,"08/15/2015, 14:15",Pool E,Final
pool,Pool F
Fifth Element,Jabba the Huck,13,6,"08/15/2015, 09:00",Pool F,Final
GooNEs,Bluffdragons,13,12,"08/15/2015, 09:00",Pool F,Final
Fifth Element,Bluffdragons,13,4,"08/15/2015, 10:45",Pool F,Final
GooNEs,Jabba the Huck,13,8,"08/15/2015, 10:45",Pool F,Final
Fifth Element,GooNEs,9,10,"08/15/2015, 12:30",Pool F,Final
Jabba the Huck,Bluffdragons,9,12,"08/15/2015, 12:30",Pool F,Final
b,r,e,a,k
clusters,Crossovers
cluster,Crossover
The Chad Larson Experience,Minneapolis Millers,15,13,"08/15/2015, 16:00",,Final
NOISE,Des Moines Metro,13,6,"08/15/2015, 16:00",,Final
SOUP Dynasty,Bluffdragons,12,8,"08/15/2015, 16:00",,Final
Brew City Bandits,Jabba the Huck,13,11,"08/15/2015, 16:00",,Final
b,r,e,a,k
brackets,Gold Bracket
bracket,1st Place
The Chad Larson Experience,Minneapolis Millers,15,7,"08/16/2015, 15:00",Championship,Final
The Chad Larson Experience,NOISE,15,8,"08/16/2015, 13:00",Gold Semis,Final
Des Moines Metro,Minneapolis Millers,6,15,"08/16/2015, 13:00",Gold Semis,Final
The Chad Larson Experience,Boomtown Pandas,15,1,"08/16/2015, 11:00",Gold Quarters,Final
panIC,NOISE,8,14,"08/16/2015, 11:00",Gold Quarters,Final
Des Moines Metro,Cream City Crooks,15,9,"08/16/2015, 11:00",Gold Quarters,Final
No Touching,Minneapolis Millers,11,15,"08/16/2015, 11:00",Gold Quarters,Final
Boomtown Pandas,Tequila Mockingbird,10,9,"08/15/2015, 16:00",Gold Pre-Q,Final
panIC,Coalition Ultimate,13,6,"08/15/2015, 16:00",Gold Pre-Q,Final
Cream City Crooks,ELevate,13,7,"08/15/2015, 16:00",Gold Pre-Q,Final
No Touching,Mastodon,12,8,"08/15/2015, 16:00",Gold Pre-Q,Final
bracket,3rd Place
NOISE,Des Moines Metro,13,5,"08/16/2015, 15:00",Gold 3rd,Final
bracket,5th Place
panIC,No Touching,0,0,"08/16/2015, 15:00",Gold 5th,Cancelled
Boomtown Pandas,panIC,6,14,"08/16/2015, 13:00",Gold 5th Semis,Final
Cream City Crooks,No Touching,13,14,"08/16/2015, 13:00",Gold 5th Semis,Final
bracket,7th Place
Boomtown Pandas,Cream City Crooks,7,12,"08/16/2015, 15:00",Gold 7th,Final
b,r,e,a,k
brackets,Silver Bracket
bracket,9th Place
ELevate,Wingdings,4,15,"08/16/2015, 13:00",Silver Championship,Final
GooNEs,ELevate,11,14,"08/16/2015, 11:00",Silver Semis,Final
Mojo Jojo,Wingdings,8,13,"08/16/2015, 11:00",Silver Semis,Final
Mastodon,GooNEs,13,14,"08/16/2015, 09:00",Silver Quarters,Final
Free Ride,ELevate,5,15,"08/16/2015, 09:00",Silver Quarters,Final
Coalition Ultimate,Mojo Jojo,9,11,"08/16/2015, 09:00",Silver Quarters,Final
Wingdings,Tequila Mockingbird,13,11,"08/16/2015, 09:00",Silver Quarters,Final
TMI,GooNEs,9,13,"08/15/2015, 16:00",Silver Pre-Q,Final
Stack Cats,Free Ride,9,13,"08/15/2015, 16:00",Silver Pre-Q,Final
Mojo Jojo,Fifth Element,13,5,"08/15/2015, 16:00",Silver Pre-Q,Final
Spirit Fowl,Wingdings,3,13,"08/15/2015, 16:00",Silver Pre-Q,Final
bracket,11th Place
GooNEs,Mojo Jojo,0,1,"08/16/2015, 13:00",Silver 3rd,Final
bracket,13th Place
Mastodon,Tequila Mockingbird,1,0,"08/16/2015, 15:00",Silver 5th,Final
Mastodon,Free Ride,15,3,"08/16/2015, 11:00",Silver 5th Semis,Final
Coalition Ultimate,Tequila Mockingbird,12,13,"08/16/2015, 11:00",Silver 5th Semis,Final
bracket,15th Place
Free Ride,Coalition Ultimate,0,1,"08/16/2015, 15:00",Silver 7th,Final
b,r,e,a,k
brackets,Bronze Bracket
bracket,17th Place
Spirit Fowl,TMI,2,11,"08/16/2015, 13:00",Bronze Championship,Final
Spirit Fowl,Fifth Element,13,11,"08/16/2015, 11:00",Bronze Semis,Final
Stack Cats,TMI,12,14,"08/16/2015, 11:00",Bronze Semis,Final
Spirit Fowl,Bluffdragons,13,9,"08/16/2015, 09:00",Bronze Quarters,Final
Fifth Element,Jabba the Huck,15,2,"08/16/2015, 09:00",Bronze Quarters,Final
Stack Cats,Brew City Bandits,13,2,"08/16/2015, 09:00",Bronze Quarters,Final
TMI,SOUP Dynasty,15,8,"08/16/2015, 09:00",Bronze Quarters,Final
bracket,19th Place
Fifth Element,Stack Cats,0,1,"08/16/2015, 13:00",Bronze 3rd,Final
bracket,21st Place
Bluffdragons,SOUP Dynasty,1,0,"08/16/2015, 15:00",Bronze 5th,Final
Bluffdragons,Jabba the Huck,12,11,"08/16/2015, 13:00",Bronze 5th Semis,Final
Brew City Bandits,SOUP Dynasty,3,15,"08/16/2015, 13:00",Bronze 5th Semis,Final
bracket,23rd Place
Jabba the Huck,Brew City Bandits,0,1,"08/16/2015, 15:00",Bronze 7th,Final
bracket,Consolation Game
Bluffdragons,Brew City Bandits,11,8,"08/16/2015, 15:00",Consolation,Final
b,r,e,a,k
