Old Capital Open 2015,College - Men ,28,3,2015
https://play.usaultimate.org/events/Old-Capital-Open-2015/schedule/Men/CollegeMen/
Purdue,5
0,Dalton Chaffee
0,Raffy Salcedo
0,JOSHUA ALGREM
0,WILLIAM HOGGATT
0,Dylan Neff
0,RYAN FERGUSON
0,Bobby Leroy
0,Trevor Kyle
0,Collin Koury
1,MATT BUTLER
7,Mike Dehnbostel
14,Justin Bowling
16,Matthew Schoenwald
18,Mike Kobyra
29,John Sellers
52,Jacob Fella
59,Todd Miller
69,Nick Loughran
b,r,e,a,k
Iowa,1
2,Tyler Roberts
3,DEREK THATCHER
4,Isaac Gardner
6,Tyler Whitehead
7,James Hean
8,Ben  Mirr
9,Kegan Wakefield
10,DANIEL HANDLER
11,Tim Strutzenberg
14,TRAVER BATSON
17,IAN KOLB
19,Alexander Constant
23,Matthew Murry
24,Dominick Peluso
25,Colin Lord
25,Adam Wong
27,Steven Czechowski
32,Collin Spratt
33,Charles Rathe
37,MICHAEL HANNIGAN
39,Michael Wormley
52,Jun Shinohara
69,Juan Amador
88,WILLIAM HEAN
b,r,e,a,k
Western Michigan,9
0,Zachariah Rummery
0,Michael Sharp
0,Jeff Rickfelder
0,Douglas Montgomery
0,Alex Horn
0,Caleb Foerg
4,JANSEN UTECH
4,David Rhodes
7,Kevin Callow
15,Alex Bertoia
30,Ryan Shore
67,Ross Osborn
69,Noah Gillespie
77,Cole Osborn
b,r,e,a,k
St Thomas,17
0,Zacary Merie
1,RYAN MCQUILLAN
3,THOMAS FRIEDRICHSEN
4,Michael Johnson
5,Geoffrey McQuillan
7,Charlie Kiolbasa
8,Aidan Di Giacomo
10,Tyler Mullikin
11,Sam Burrows
12,Ryan Welch
13,Nate Haines
19,JOSEPH MURPHY
33,Louis Missurelli
41,Anthony Tufo
45,DANIEL MULALLY
47,Alex Krajec
55,Brandon McClintock
b,r,e,a,k
DePaul,13
0,Zac Hamill
0,Eric Swan
0,TIAN ROSSI
3,LAURENCE SCHORSCH
4,Jacob Ward
5,Adam Klopfenstein
9,CHRISTOPHER HEIN
12,Matt Finley
14,Anthony Paoli
16,JAKE DREMANN
16,Andrew Gubernick
21,Esteban Perez
23,NATHAN MCDUFFEE
24,NICHOLAS JANICH
25,Joshua Tong
27,Morgan Drayton
27,Jonas Albert
99,Ravi Dhebar
b,r,e,a,k
Minnesota-Duluth,2
0,David Huber
2,Adam Shearen
3,Andrew Pipp
4,Mohammud Tilmo
5,DAVID MACH
7,Josh Lemieux
09,Matthew Butkowski
10,Tristan Grovender
11,Alec Kadlec
12,Frank Fairchild
14,Tyler Thomegreene
16,Riley Siewert
17,JORDAN DANIEL
18,LOUIS MCGRAW
20,Marty Adams
22,Mitchell McGahan
23,Peter Diede
24,ANDREW ROBERTS
28,Brian LaFrance
30,Curtis Cammack
32,Anthony White
34,James Kittlesen
35,Shaun LaFrance
36,DMITRY RYBAKIN
42,Matt Burkhardt
55,Harrison French
96,Tucker Hoffman
b,r,e,a,k
Kansas,6
0,Eric Solem
0,Andrew Kruger
0,Tony Kovich
0,Shane Belew
0,Joseph Rall
0,Brooks Hidaka
0,Caleb Robinson
2,Zach Hunter
4,Jason Finkelstein
5,Thomas Schreiber
7,Daniel Murga
8,Nathan Bray
9,William Diffin
11,Trent Kuhl
12,Matt Primovic
13,Clarence Dennis
14,ERIC WINKLER
15,Neil Newsome
17,Jordan Bertholf
21,William Mason
22,KYLE STRICKLAND
27,Nehal Patel
31,Taylor Ivey
35,Lars Erickson
50,Patrick McNamee
74,Jakob Yedo
93,Charles Rotter
99,lorenzo stawarz
b,r,e,a,k
Wisconsin (B),10
0,Cody Milstein
0,Max Wolk
0,Andrew Everts
0,Arik Van Asten
0,Alexander Zaug
0,Joshua Garvey
1,Adam Klaus
4,Matthew Norman
4,Gregory Smail
7,ERIC WALSH
7,David Cann
8,Jacob Giese
8,Ben Schewe
10,ELI GOMEZ
15,CONNOR HARTIGAN
16,Brian Paulus
17,Stuart Deets
18,Scott Groux
19,Daniel Davies
21,RICHARD GIZA
26,Ian Hahn
34,KEVIN ETZEL
42,Andrew Ishikawa
44,MATTHEW BONELLO
44,Anders Haroldson
46,Amien Paust
69,Danny Gollin
97,Matthew Owens
b,r,e,a,k
Valparaiso,14
0,Peter Bornhoff
0,SCOTT MILLER
0,Robert Rigler
0,JUSTIN MORTENSON
0,WILL HAENNI
0,Robert Hemmerling
0,STEPHEN PLACE
0,PETER KIMBALL
0,Zachary Paradis
0,Tyler Light
0,BRETT KELLY
1,JESUS OSORIO
3,John Verhayden
4,Gabriel Valencia
15,ADAM CLARK
22,Max Carpenter
95,Vincente Valdez
b,r,e,a,k
Wisconsin-River Falls,18
0,Eric Chen
9,Aaron Peters
13,Hakeem Ayinde
15,Brianna Pezon
18,Zach De Moulin
36,Joseph Wagner
47,ALEX ANDRE-KNUDSEN
54,Jessica Marten
69,Thomas Grega
77,Mark Martinez
b,r,e,a,k
