So Cal Mixed Sectionals,Club - Mixed ,29,8,2015
Riverside,CA,2015-08-29,2015-08-30
https://play.usaultimate.org/events/So-Cal-Mixed-Sectionals-2015/schedule/Mixed/Club-Mixed
Dorado,1
29,Ezra Shaffer
33,Christopher Weyers
40,Veronica Yee
42,Bryan DeVore
47,Dena Elimelech
66,Jennifer Norris
72,Belinda Pak
87,MARK HSU
b,r,e,a,k
Dauntless,3
teamInfo,,"San Luis Obispo, California",,https://www.facebook.com/Dauntlessultimate,https://twitter.com/DauntlessSLO
01,CALEB FERGUSON
02,Brennan Bryant
04,Chelsea Cotton
05,Jordan Hewitt
06,Reba Dufour
07,Monique Ferguson
08,Peter Raines
10,Thomas Konogeris
11,ISAAC MORT
12,KEVIN SPERLING
13,KRISTIE BOWEN
14,Danielle Love
16,Joy Kang
17,Joshua (Slater) Levey
18,Joshua Ferguson
21,Elena Good
22,Madison Womack
23,LEAH FARRIS
24,Cameron Wariner
27,HANNAH HARRISON
28,Joseph Gagliano
37,Benjamin Kato
40,Brendan Marshall
44,Tim Okita
59,Christopher Cogswell
82,Joel Anton
91,DAVID HIRSCHEY
b,r,e,a,k
Rubix,5
teamInfo,,"Phoenix, Arizona",,,ultimate_rubix
04,JEREMY EMERY
05,Dakota Lippincott
08,Aaron Harczynski
09,Brett Carr
10,Alex Wendt
11,Emily Francia
12,Cole Cairl
13,Adam Carberry
14,ARIK SPAGAT
15,NICOLE BILTZ
17,Erin Donahue
17,Kaetlynn Daoust
18,Eric Bay
19,Clairissa Papa
20,HUNTER YOUNG
22,Lindsey Doyle
23,Magen Rogers
24,Dan Brauch
25,Kate Cairl
30,Anthony Acer
37,Sarah Hoffmann
51,Dustin Doyle
62,Dillon Burke
78,Ryan Bleam
80,Jonathan Dietrich
b,r,e,a,k
Crippled Frown Tour,14
teamInfo,,"San Diego, California",,,
0,Erin Crider
0,Goldamer Herbon
0,Eric Olson
0,REBA ROBINSON
0,Ruth Chen
0,KATHERINE JOHNSTON
