College Southerns 2015,College - Men ,21,3,2015
Statesboro,GA,2015-03-21,2015-03-22
https://play.usaultimate.org/events/College-Southerns-2015/schedule/Men/CollegeMen/
Minnesota-Duluth,1
11,Eric Harkaway
13,Carlos Morales
14,Zachary Silberberg
17,Brian Morgenlander
20,Daniel McDermott
21,Byron Fang
24,JOE BARRA
28,Matthew Walter
36,Benjamin Caplan
42,Daniel Richter
48,DEREK SHELDON
49,Dimitri Alexis
51,Joachim Lopez
b,r,e,a,k
Georgia College,3
0,Sam Kuehn
0,Troy Stegeman
0,Michael Ziegler
0,James Moore
0,Caleb Shorthouse
0,Nicholas Borain
0,Justin Poole
0,Matthew Rose
1,Charles Morris
2,Joshua Bush
5,Kade Ottaway
7,Nathan Vickroy
10,SCOTT DILLER
11,james mitchell
17,Dylan Price
20,Andrew Spangler
22,Zachary Watford
25,Robert Hunt
26,derek brown
27,BRANDON FLYNT
47,ALEX KELLY
b,r,e,a,k
North Carolina-Charlotte,21
0,Alexander Tax
0,Jacob Fairfax
0,Taylor McGraw
0,joseph salas
0,Bob Hughes
0,Michael Henderson
2,Geffen Agasi
3,Trace McDonald
6,Dylan Welchman
7,JOSHUA CONSALVO
8,Ryan Werkmeister
11,Adam Crews
11,Michael Demeny
13,JOSHUA SCHLUDE
14,John Diamond
23,Lance McNicoll
25,Ben Pepe
33,Joseph  Meehan
51,Robert Isaacs
73,Jeremy Nelson
77,Michael Hultquist
99,Robert Rapp
b,r,e,a,k
Old Dominion,17
0,Andrew Eskelund
0,HUNTER VERMAATEN
0,Max Rayman
0,Christian Blair
0,Hunter  Foutz
0,Robert Muldrow
0,daniel MacCall
5,Andy Shin
10,RYAN WARD
15,James Howell
17,CHRIS HALEY
18,Taylor Nguyen
21,JACOB LISKO
27,CHASE WINANS
32,Mitchell Heath
b,r,e,a,k
Tennessee-Chattanooga,4
0,David Thomas
2,ERIC WILLIAMS
3,Zack Avello
4,Blake Waldron
5,Chase Hammond
6,AUSTIN RUNYON
8,Tony Pier
10,James Conners
11,Timothy Barczak
14,Cody Havens
17,Patrick Noorali
20,Peter Vongsayarath
22,Jason Raymond
23,Josh Johnson
25,Brian Newsom
43,Samuel Milligan
44,Clark Bridgman
45,Foster Foy
55,Andrew Rudolph
62,David McKay
83,Ethan Benesh
b,r,e,a,k
George Mason,16
1,Joel Johnson
3,Stephen Paquette
4,Ian Garner
7,BRENDAN GIBSON
8,Brian Palomo
10,JORDAN BAZAK
11,Ryan Thornton
12,CHANG LEE
13,CONNOR KNIGHT
14,Daniel Blair
15,Anthony McLean
16,TIMOTHY MCNEIL
17,COLIN BUCKLEY
18,Richard Mayo
20,Sean Degrace
22,Nick Schall
24,Tyler Byrum
25,Neil Mendonca
27,Matt Kalna
41,NATHAN SLADE
42,Sam Gabrielson
44,Matt Carter
47,Andrew Boykin
50,MARK SIFORD
83,JONATHAN CSAPLAR
b,r,e,a,k
Florida (B),22
0,Jesse Everett
0,Parks Weatherford
0,Sterling Miller
0,Donovan Johnson
0,Noah Barnes
0,Brian Palmer
0,ANDRIS OTISONS
0,Jonathan  Beaubrun
0,Cody Thompson
0,Andy Therathanakorn
0,Bradford Capuozzo
3,Jose Varillas
5,Ely Levine
6,Daniel Conrad
11,TROY BRYANT
25,Unmil Patel
29,Hayden Chappel
b,r,e,a,k
Georgia (B),25
0,MICHAEL CHENG
1,NICHOLAS COWMAN
2,Jason Jones
3,JOEY LAMATTINA
4,BLAKE HIGHTOWER
7,JOSHUA WOOLUMS
8,Gabriel Wittosch
10,Joel Medford
10,Rommel Rana
11,Thomas Nuckols
12,ALESSIO CALIGARIS
13,Robert Farrington
15,Jay Norton
16,Sean Diller
18,Danny Kwak
31,AUSTIN DECUIR
50,Parker Greenway
56,Eli LoCicero
60,David William Petmecky
73,RYAN CHITWOOD
94,JOSH (Kitty) ANDREWS
99,Alexander Lawrence
b,r,e,a,k
Towson,8
0,Blake Paulson
0,Josh Moen
0,David Hric
0,Viktor Polyak
0,Patrick Peluso
0,Drew Shaffer
0,Chase Turner
0,Daniel Kaste
0,MATTHEW MANZO
0,Andrew Burlin
0,Alexander Antolick
0,Kevin Boyd
0,Jeff Kunkle
0,Justin  Crites 
0,Dan  Henry
10,BRENNAN MCPHERSON
13,Jack Wong
29,Daniel Broussard
32,Nick Malagari
42,Jeffrey Hoch
66,Michael Valdes
69,Kevin Baker
69,Ryan Bates
77,Austin Davis
93,TJ Sebastian
99,George Wright
b,r,e,a,k
Emory,12
0,Hersh Agarwal
0,Greg Bright
0,Pradyumna Singhania
0,Yikan Ma
0,Anh Bao Tran-Le
0,Adam Scharf
0,WILLIAM GODWIN
0,Ishaan Dave
0,Jeremy Zackon
0,Caleb Parsons
0,Jonah Adler
0,JACOB WHITACRE
0,Anders Olsen
0,Bradley Mintz
0,Christian Olsen
0,Elijah Nwefo
0,Christopher Broecker
0,Willie Cobb
0,Gideon Weiss
0,BENNETT OSTDIEK
1,Jared Dickstein
8,Matthew Hyatt
9,Zachary Schuyler
16,David Kim
17,Cheston Husein
23,Zachary Cole
34,James (Drew) Barkley
b,r,e,a,k
Georgia Southern,28
0,Hamilton Mebius
1,James ONeal (Neal) Hollis
2,Zach  Tsang
3,WILLIAM PAPLEACOS
6,Philip Long
8,Tyler Hedges
10,CARVER WESTENDORFF
12,Blaine Brown
13,ANDREW ROBERTSON
19,Rashad Weeks
20,James Rink
21,Samuel Trent
22,AHMAD WEEKS
25,Andrew Bogle
28,THOMAS SOWELL
31,Jones Durham
34,Christopher Clark
47,Brannon Thompson
69,Sean Huneycutt
74,JAMES NEEDHAM
96,Louis Macuch
99,Dylan Whalen
b,r,e,a,k
Florida State (B),23
3,Conner Smith
6,Jonathan Sapp
7,Carlito Que
9,Bryce Frohlich
12,TYLER LEVESQUE
13,John T
16,COLE STADE
18,Ryan Baker
20,Joshua Goraum
23,Peter Backhaus
24,Dylan Claerbout
27,BRADLEY PATTERSON
28,Spencer Bluni
30,JEREMY SANCHEZ
31,MATHEW MILLER
35,Michael (Dalton) Carter
44,Cameron Mele
99,John Kern
b,r,e,a,k
Armstrong Atlantic,18
0,Rebecca Bussard
0,Jeremy Ford
02,DAVID KOZUSKO
03,ZACHARY SHORT
06,Robert Kirkum
11,Brett Becker
15,Harrison Kirch
18,Kevin  Huet
24,Joey Case
29,Thomas Allen
36,Kathryn Ashmore
42,Paul Ferdinand
54,John Knudsen
b,r,e,a,k
South Florida (B),27
0,William Buchanan
0,Andrew Romero
0,KEVIN KOVAC
0,Jeff Brzycki
0,Paul Bednarek
0,JONATHON BURROUGHS
0,Zackery Scott
0,Rocco Davis
0,James Othus
7,Christian Villar
12,MCGREGOR COYNE
17,Joseph Ungos
31,Alejandro Padron-Cruz
37,Christopher Tiedge
40,ADAM WOODARD
91,JOHN-TRAVIS HANSEN
b,r,e,a,k
Georgia Southern,24
0,Hamilton Mebius
1,James ONeal (Neal) Hollis
2,Zach  Tsang
3,WILLIAM PAPLEACOS
6,Philip Long
8,Tyler Hedges
10,CARVER WESTENDORFF
12,Blaine Brown
13,ANDREW ROBERTSON
19,Rashad Weeks
20,James Rink
21,Samuel Trent
22,AHMAD WEEKS
25,Andrew Bogle
28,THOMAS SOWELL
31,Jones Durham
34,Christopher Clark
47,Brannon Thompson
69,Sean Huneycutt
74,JAMES NEEDHAM
96,Louis Macuch
99,Dylan Whalen
b,r,e,a,k
Princeton (B),26
0,Eric Blum
0,Blake Lawson
8,Tony Jin
13,James Almeida
20,Louis Tambellini
24,Mark Tengi
26,Simon Gee
30,Miles Hinson
31,Joseph Yates
32,Danny Kim
33,Jeremy Zullow
35,Ted Callon
39,Tyler Nellesen
43,Daniel Ma
50,Christian Gray
55,Aded Yako
69,Maxson Jarecki
72,ZACH HALEM
77,Joe Lee
80,James Poindexter
87,Jake Luttinger
97,Obafemi Fadairo
99,Jackey Liu
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Minnesota-Duluth,Samford,13,8,"03/21/2015, 08:00",Pool A,Final
South Florida,Charleston,13,4,"03/21/2015, 08:00",Pool A,Final
Minnesota-Duluth,South Florida,13,11,"03/21/2015, 09:50",Pool A,Final
Georgia Southern,Charleston,13,12,"03/21/2015, 09:50",Pool A,Final
Charleston,Samford,7,13,"03/21/2015, 11:40",Pool A,Final
Georgia Southern,South Florida,13,12,"03/21/2015, 11:40",Pool A,Final
Minnesota-Duluth,Charleston,13,7,"03/21/2015, 13:30",Pool A,Final
Georgia Southern,Samford,13,7,"03/21/2015, 13:30",Pool A,Final
Minnesota-Duluth,Georgia Southern,13,5,"03/21/2015, 15:20",Pool A,Final
South Florida,Samford,13,4,"03/21/2015, 15:20",Pool A,Final
pool,Pool B
Appalachian State,North Georgia,13,3,"03/21/2015, 08:00",Pool B,Final
Carleton College-GOP,Mississippi State,13,10,"03/21/2015, 08:00",Pool B,Final
Appalachian State,Carleton College-GOP,13,8,"03/21/2015, 09:50",Pool B,Final
Princeton,Mississippi State,12,11,"03/21/2015, 09:50",Pool B,Final
Mississippi State,North Georgia,5,13,"03/21/2015, 11:40",Pool B,Final
Princeton,Carleton College-GOP,9,13,"03/21/2015, 11:40",Pool B,Final
Appalachian State,Mississippi State,13,7,"03/21/2015, 13:30",Pool B,Final
Princeton,North Georgia,13,11,"03/21/2015, 13:30",Pool B,Final
Appalachian State,Princeton,13,7,"03/21/2015, 15:20",Pool B,Final
Carleton College-GOP,North Georgia,13,1,"03/21/2015, 15:20",Pool B,Final
b,r,e,a,k
pools,Pool Play 6
pool,Pool C
Georgia College,Wright State,9,11,"03/21/2015, 08:00",Pool C,Final
Georgia College,South Carolina,10,9,"03/21/2015, 09:30",Pool C,Final
South Carolina,North Carolina-Charlotte,11,8,"03/21/2015, 11:00",Pool C,Final
Georgia College,North Carolina-Charlotte,11,8,"03/21/2015, 12:30",Pool C,Final
South Carolina,Wright State,11,8,"03/21/2015, 12:30",Pool C,Final
