USA Ultimate National Championships,Club - Mixed ,1,10,2015
Frisco,TX,2015-10-01,2015-10-04
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2015/schedule/Mixed/Club-Mixed
Seattle Mixtape,8
0,Mike Cavanaugh
02,Joel Barker
03,Cam Bailey
05,Lauren Pattie
06,Kahyee Fong
07,Rachel Bleakney-Bailey
08,Meagan Kapostasy
09,Jennifer Cogburn
10,Lexi Garrity
11,Bert Cherry
12,Bradley Houser
15,Emily Paul
17,Taylor Kanemori
20,Grace Noah
21,Lucia Williams
22,Evan Klein
24,Alex Duffel
27,Dominic Cavalero
28,Claire Revere
31,Henry Phan
32,Daniel Walton
33,Deborah Barker
50,Nicholas Dare
81,Lani Nguyen
85,Phil Paul
99,Khalif El-Salaam
b,r,e,a,k
Drag'n Thrust,1
01,Jeffrey Trosvig
02,Emily Regan
03,Patrick Niles
04,Erica Baken
05,Alexander Baker
06,Jake McKean
07,David Shirley
08,Claire Oakley
09,Jay Drescher
10,Martha Lien
13,Jacob Lien
14,Austin Lien
15,"Mary ""Patty"" King"
16,Brian Schoenrock
17,Eric Vandermolen
19,Mike Clark
21,David Klink
23,Michael (Mike) Petersen
24,Jessica Haller
31,Josh Hemmesch
32,MELISSA LaFrance
33,Jaime Glader
35,Sarah Anciaux
37,Sierra Barthen
42,Meredith Bray
44,Sarah Meckstroth
55,Carlos Wolle
b,r,e,a,k
7 Express,13
02,BRIAN MCLAUGHLIN
03,Meaghan Lass
04,Cory Salé
05,Joe Santosus
08,Jesse Moskowitz
09,Matthew Lemar
11,John (Jack) Flintermann
12,Joe Babbino
13,Avery Reed
14,Paul Goldsmith-Pinkham
15,Matthew Baum
16,Ashley Gulyas (Snyder)
17,Erin Leonard
18,Charles (Malcolm) Baker
19,BENJAMIN IVERS
22,Abigail Murray
23,Julia Raney
26,Christopher Cox
31,Sam Isaac
46,Ruozhou Ye
48,Kamil Skwarek
50,Amelia Ni
64,Eliot Bemis
74,Hannah Garfield
80,Ryan Drost
88,ROWAN SILL
99,Kara Neaton
b,r,e,a,k
NOISE,12
01,Francis Kelley
03,Daniel Rowan
04,Vanessa Cannaday
05,Eric Alexander
07,Josh Davidson
08,Maria Signore Becker
09,Sam Loveland
11,Brittany Hoegh
12,Elizabeth Arakaki
14,Martin Granick
16,Frank Qin
17,Emily Dayton
18,Kevin Herrera
19,Ari Davidson
20,Katherine Goode
21,Anneke Vermaak
22,Stephen Haynes
23,Keith Garner
27,Michael Swain
29,Christopher Reichel
31,Michelle VanSchyndel
34,Matthew Becker
37,RACHEL OKERSTROM
43,Kevin Cannaday
65,Josh Levin
80,Kelly Donovan
88,Claire Kelley
b,r,e,a,k
The Chad Larson Experience,2
01,Kevin Seiler
03,Taiwo Misra
06,Lana Seiler
07,John Misra
08,Ross Welch
09,Rachel Derscheid
12,Rachel Goldbach
13,Dan Kresowik
16,CAMILLE NELSON
17,Janani Ragothaman
20,Neal Hanke
21,Amy Sheldahl
22,Daniel Brennan
23,Melissa Gibbs
25,Ryan Tucker
31,Doug Jacobs
33,BILL FRANEY
45,Jonathan Staron
49,Stephanie Jacobs
50,Blake Larson
54,CHRISTOPHER MAYNE
61,Kelly Hubbard
77,KURT BRORSEN
97,Sarah Pesch
99,Andrew Moore
b,r,e,a,k
Ambiguous Grey,14
01,SHANNON PACE
03,ALANNA McKee
04,Samantha Broaddus
05,Kevin Chiang
07,Peter MacArthur
08,Maggie John
09,Jarnail Bajwa
10,Rachel Thaw
11,Jeff Truskin
13,Golsa Yazdy
14,Eliza Chang
15,Sara Peczkowski
16,Anna Truskin
18,Riki Cullingford
21,Andrew Allen
22,Andrew Gravunder
23,Antoine Davis
24,Abbey Hewitt
26,Dan Grabowski
32,Anthony McLean
42,Ellen Greytak
70,Brian O'Hara
73,Mark Flores
76,Jacob Merlin
80,Paul Grabowski
91,Charles Furse
92,Victor Wu
b,r,e,a,k
Bucket,7
04,RYAN ARCHIBALD
05,Bridget Daniels
08,Timothy Brady
09,ANA LEON
11,MATTHEW BERGIN
13,Sam Gainer
14,Katie Gainer
16,Steven Rouisse
20,TAYLOR NILAN
21,Michael Arenson
22,Sean Sears
27,Maureen McCamley
31,Jack Barrow
32,Michelle Yang
33,Caroline Taylor
43,Christina McDowell
44,Samantha Hill
52,COLIN BELLAIR
54,NATALIE ESPINO
62,Steven Hicks
64,Jason Simpson
65,Aileen Thomas
66,Asa Wilson
77,MIRANDA WILSON
78,Dylan Tunnell
88,MATT KRESS
95,Will Blythe
b,r,e,a,k
Metro North,11
01,Theodore Mason
02,Diane Palmer
04,Dave Tedeyan
05,Dwight Harris
06,Diana Cornell
07,Elizabeth Middleton
08,Alex Grintsvayg
09,Austin Raymond
10,Todd Larese
11,Young Jo Fontaine
12,Emma Stoltze
14,Kerry Beyrer
15,Diana DeLeo
16,Emily Cho
18,Kendra Frederick
21,Molly McCauley
23,Allison Springer
24,Seth Canetti
26,Andrew Bosco
42,John Geraghty
45,William Olli
47,Lucas Murphy
50,Dana Grandoni
54,Mari Oshiro
80,John Palmer
81,Sean Murray
86,Kevin McCarthy
b,r,e,a,k
Wild Card,3
01,Lauren Nelson
03,Ian Engler
04,William Dean
05,Lee-Or Ankori-Karlinsky
07,Alyson Steinfeld
08,Laura McFeely
09,Andrew Pillsbury
11,Lloyd Olson
12,Daniel Harris
14,Emily Eisner
15,Samuel Dinning
16,Vincenzo Vitiello
20,Steph Cormier
22,Alina Li
23,KATIE MEEHAN
27,PETER SCHMIDT
32,Karl Staber
33,Scott Gatto
35,Cody McInnis
37,Matthew Heath
38,Adrian Banerji
40,Alexander Hem
42,Eva Petzinger
44,Kara Hammer
47,ABIGAIL CLEMENT
73,Katharine Sullivan
88,Hailey Alm
b,r,e,a,k
Polar Bears,6
01,SCOTT ROEDER
02,Alexandra Hasan
03,Eric Shaw
05,"ROBERT GORMLEY, JR."
06,JENNIFER HSUEH
07,Megan Pera
09,Gregory Marliave
11,CLAY MILLER
12,Ziyue Chen
14,Kate Schlag
17,Sawyer Thompson
18,Eric Greenwood
18,Marisa Mead
20,Samuel Adamson
21,Dulcy Docken
24,Alexander Max
25,Daniel Naruo
27,Morgan Greenwood
29,Logan Greenwood
30,An-Chi Tsou
31,Ethan Falat
36,Sara Nolan
40,Linh Hoang
41,Lauchlan Robertson
b,r,e,a,k
BirdFruit,15
02,Luke Jesperson
04,Jessica Shatkin
05,Christian Brink
07,Nicole Bayard
10,Jeff Gayle
11,Laura Manson
12,Peter Ostergaard
14,Sam Pickel
15,Matthew King
17,Corinne Pingul
