Mixed Easterns 2015,Club - Mixed ,30,5,2015
Ayer,MA,2015-05-30,2015-05-31
https://play.usaultimate.org/events/Mixed-Easterns-2015/schedule/Mixed/Club-Mixed
Wild Card,1
0,Kara Hammer
0,Laura McFeely
0,PETER SCHMIDT
0,William Dean
0,Alexander Hem
0,LEE FARNSWORTH
0,Hailey Alm
0,Rachel Kramer
0,Madeleine Purcell
0,Samuel Dinning
0,Emily Eisner
0,Steph Cormier
0,Lee-Or Ankori-Karlinsky
0,JACK CHEN
0,Claudia Vasquez
0,ABIGAIL CLEMENT
0,SAM HILLS
0,Katharine Sullivan
0,Eva Petzinger
5,Jordan Taylor
5,Andrew Pillsbury
7,Alyson Steinfeld
8,Thomas Edmonds
11,Lloyd Olson
12,Daniel Harris
14,Charlotte Doran
16,Vincenzo Vitiello
32,Jessica Ong
33,Scott Gatto
35,Cody McInnis
37,Matthew Heath
b,r,e,a,k
Lions,9
0,Kayla Huddell
0,Meredith Duffy
0,Tamar Austin
0,Anneke Johnson
0,EMILY PEARSON
0,SEAN FARRELL
0,Liam Henry
0,Ahu Su
0,Michael Lipsitz
0,ADAM JOHNSTON
0,Jacob Arwe
0,Matthew Turiano
0,Dang Khoa DuBay-Dang
0,Dylan Gully
0,Ryan Kelley
0,Kevin O'Brien
0,Skyler Tom
11,Samuel Letcher
20,HERSCHEL MUKHERJEE
27,Ginie Kwan
33,Samantha Gray
47,Kevin Chen
56,Jen Beatty
64,Dillon Roberts
99,Dan Huddell
b,r,e,a,k
HAOS,16
0,Adam Nosowitz
0,Brad Smith
0,EADAOIN HARNEY
0,SEAN FIDLER
0,Kristina Ohl
0,KATIE ARMSTRONG
0,JEFFREY GILBERT
3,Allison Wahrenberger
05,Pearce Kelley
13,Kathryn Olds
17,Johnny Napoli
18,Jarrett Piette
20,Ashton Wollett
32,Amelia Becker
34,Zach Darbeloff
36,MEREDITH SHIH
38,BETSY LOWNIE
42,Heather Dolan
48,Ben Matthews
69,David Guertin
76,Arthur Small
98,Zackery Smith
b,r,e,a,k
Animals,8
0,MARIE-CLAUDE LAVIGNE-ALBERT
0,Marc-Antoine Bujold
0,VERONIQUE POMERLEAU
0,Maude Bernard
0,Pascale Gendron Daigneault
0,Remy Rivard
0,Mathieu Durocher
0,Alexis Frenette-Lorrion
0,Noémie Bruneau
0,Maude Prévost
0,Elise Pilon
0,Alex Martin
7,Philippe St-Louis
06,Simon Martin
18,Dominick Dussault
26,Nicolas Champagne
73,Antoine Bezeau-Tremblay
77,Vincent Lamoureux
81,Emilie Morin
b,r,e,a,k
Slow White,2
0,Julie Sussman
0,Shaun Krieger
0,Annie Fisher
0,DAN PATISTEAS
0,Hannah Baranes
0,Alison Main
0,PHOEBE SHAMBAUGH
0,Jeff Smith
0,Ernest Svenson
2,CASSIDY EDWARDS
4,Dave Truesdale
8,Ryan Richardson
10,Michael Miller
11,Evan Patisteas
12,Christopher Waite
17,Kirsten Lundquist
21,Stephen Sullivan
24,Andy Schachter
25,Alexander Trahey
42,Mary Glickman
69,Adrienne Altobelli
b,r,e,a,k
Mixed Nuts,15
0,RAYMOND XI
0,SAGAR RAJU
0,Luke Arnone
0,Alice Chirn
0,Krystle Jiang
0,Bryant Wolf
0,Benjamin Naismith
0,Alex Kostadinov
0,Brian Buck
0,Katina Russell
0,Jennifer Ng
2,WILLIAM (BILL) BLINN
3,TITUS SAMUEL
9,Jarod Payne
10,Benjamin Gagne-Maynard
11,JESSICA SHEEHAN
24,REBECCA VASQUEZ
25,Grant Thomas-Lepore
33,Shi-Min Chin
b,r,e,a,k
Jughandle,10
0,Nick Wilgruber
0,Emily Van Malden
2,Ruthie Tabatchnick
5,Andrew Misthos
8,Grant Franke
04,Ryan Belline
07,Thomas Johnson
11,Mason Compton
13,Elizabeth O'Grady
14,Harrison Schell
15,ANDREW SCHANCK
17,ANDREW LOPRESTI
19,Andrew Auyeung
20,Rebecca Halleran
21,Elizabeth Melillo
22,Megan Barlow
26,Evan Feeney
27,Brianna Groh
31,Jonathan (Johnny) Sisto
33,Jesse Hynes
35,Christopher Gibbs
39,Amy Zhou
41,Tim Naumovitz
42,Bridget Compton
61,Francesca Battaglia
70,Charles Cannon
91,James Forbes
b,r,e,a,k
Battleship,7
0,Colombe Huyghe
0,Genevieve Merat
0,Gabriel Roy
0,Pier-Éric Patenaude
0,Samuel Morin
0,Karl Pigeon
0,Elodie Ouellette
0,Alexandre Marion
0,Valerie Guilbert
0,Jeremy Chiniara
5,Julien Paquette
