Northeast Mixed Regionals,Club - Mixed ,12,9,2015
https://play.usaultimate.org/events/Northeast-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
Slow White,1
0,Caitlin O'Connell
0,Erin Rea
0,Todd Herman
0,Ernest Svenson
0,Shaun Krieger
0,Jeff Smith
0,DAN PATISTEAS
0,Alison Main
0,Julie Sussman
0,India Stubbs
0,Davis Whitehead
0,Hannah Baranes
0,Annie Fisher
2,CASSIDY EDWARDS
4,Dave Truesdale
5,Shaun Doherty
8,Ryan Richardson
10,Michael Miller
11,Evan Patisteas
12,Christopher Waite
17,Kirsten Lundquist
21,Stephen Sullivan
24,Andy Schachter
25,Alexander Trahey
42,Mary Glickman
69,Adrienne Altobelli
99,Kaelin Mackey
b,r,e,a,k
Lions,9
0,Tamar Austin
0,Dylan Gully
0,Anneke Johnson
0,SEAN FARRELL
0,Ryan Kelley
0,Meredith Duffy
0,EMILY PEARSON
0,Michael Lipsitz
0,ADAM JOHNSTON
0,ERIC DIXON
0,Dang Khoa DuBay-Dang
0,Skyler Tom
0,Jacob Arwe
0,Kayla Huddell
0,Cara Battersby
0,Matthew Turiano
2,Chelsea Mower
11,Samuel Letcher
17,Ben Goossen
20,HERSCHEL MUKHERJEE
24,Vivian Zhang
27,Ginie Kwan
33,Samantha Gray
47,Kevin Chen
56,Jen Beatty
64,Dillon Roberts
99,Dan Huddell
b,r,e,a,k
Darkwing,8
0,Jodi Robert
0,TYLER PARDEE
1,Michelle Gagnon
2,Matthew Silverman
3,Elizabeth Way
4,Melissa Revotskie
5,Jared DiMascio
7,JUSTIN WU
8,Joe Scully
9,Kayla Rivard
11,TOM CONFORT
12,Olivia Fantini
13,SAM RICHARDS
15,Daniel Dimascio
16,ALEXANDER PINKHAM
18,Andrew Fredrickson
19,Isaac Peters
21,Andrew Schwartz
22,Claire Staines Hoogeboom
23,TAYLOR STRICKLAND
24,Stephen Panasuik
28,NICK BLENIS
33,JUSTINE BUCCI
36,Julie Kafka
44,Jenna Palin
55,ALYSSA NEBORSKY
87,Robert Sayre-McCord
b,r,e,a,k
Lake Avengers,16
02,Christina Lembke
05,Erica Stamboulian
08,Sarah Burns
09,Michael Kanaby
11,David Mohan
12,ELLIOT LOUISOS
16,Dave Schneggenburger
17,MITCHELL WHEELER
22,Kelsey Scanlon
27,Dana Lembke
28,Timothy (TJ) Burns
32,CHRIS NASH
56,JEFFREY GRUNDTISCH
71,BRITTANY BUNCH
87,George Scheibel
88,JOSEPH ONORIO
b,r,e,a,k
Wild Card,2
0,Laura McFeely
0,Samuel Dinning
0,Steph Cormier
0,Ian Engler
0,KATIE MEEHAN
0,Hailey Alm
0,PETER SCHMIDT
0,ABIGAIL CLEMENT
0,Katharine Sullivan
0,William Dean
0,Kara Hammer
0,Emily Eisner
0,Lee-Or Ankori-Karlinsky
0,Eva Petzinger
0,Lauren Nelson
0,Adrian Banerji
0,Alexander Hem
5,Andrew Pillsbury
7,Alyson Steinfeld
11,Lloyd Olson
12,Daniel Harris
16,Vincenzo Vitiello
22,Alina Li
32,Karl Staber
33,Scott Gatto
35,Cody McInnis
37,Matthew Heath
b,r,e,a,k
Mixed Nuts,7
0,Caitlin Go
00,GREG HOWARD
00,Mae Tobin-Hochstadt
00,Rob Baker
00,Luke Lanoue
00,Brandon Nadres
00,Brian Buck
00,Tom Bassett
00,BRANDON TRAN
00,Tess Johnson
00,Jessica Ong
00,RAYMOND XI
00,Axis Sivitz
00,Jennifer Ng
00,MALIK ODEH
00,Benjamin Naismith
00,Lisa Liu
00,Alice Chirn
00,Krystle Jiang
02,WILLIAM (BILL) BLINN
03,TITUS SAMUEL
09,Jarod Payne
22,Albert Lee
25,Grant Thomas-Lepore
26,Alex (Wei Yuh) Chang
33,Shi-Min Chin
85,Richard Schaffer
b,r,e,a,k
Quest,10
1,David dupras
01,PIERRE-OLIVIER HARDY
05,Luc Harvey
06,PIERRE-LUC DESAULNIERS
09,KARINA SYLVAIN
10,FLORENCE BOUCHARD
11,Marie-Laurence F. Laberge
12,William Landry
13,ANTOINE TURGEON
15,Julie De Grand Maison
17,Alexandre Dion
18,William Fortier
19,MATHIEU OUELLET
21,ERIK BELANGER
24,annik rochefort
27,Mathieu Desmarais
30,MAUDE PROTEAU
33,Jennifer Gauthier
44,Marianne Côté-Allard
45,Dominic Savard
64,LAURENCE DROUIN
86,Tyler Ganes
93,MELANIE BRASSARD
99,Gabriel Landry
b,r,e,a,k
Enough Monkeys,15
0,DANIEL PHAM
0,LEIGH NORRIS
0,Eleanor Patten
0,Carly Lochala
0,Madeline Parish
0,Felix Ackerman
0,Joel Soltman
6,Rocco Essex-Linehan
00,Eugene Yum
00,Douglas Brown
00,AISLINN MCLAUGHLIN
00,Peter Johnson
00,GOUTHAM KANDRU
00,ANNIE CRAVERO
00,William Davis
00,Rodney Jacobson
00,Colby Clarkson
