North Central Mixed Regionals,Club - Mixed ,12,9,2015
Appleton,WI,2015-09-12,2015-09-13
https://play.usaultimate.org/events/North-Central-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
The Chad Larson Experience,1
23,Elizabeth Gates
24,Curtis Nuzback
25,Kyle Orians
28,Jessica Brisbois
30,Olufunmilola (Love) Anjonrin-Ohu
37,Jen Brown
44,Jessica Derry
54,Dylan DeClerck
69,Kevin Cunningham
84,Sara Stuedemann
88,Joseph Brisbois
b,r,e,a,k
No Touching,9
0,Jolien Munsterhuis
0,Sam Pepe
0,Natalie Kallhoff
0,Vu Nguyen
0,Sheila Cheng
0,Sam Valesano
0,Joe Andrighetti
0,Graham Brayshaw
0,Reed Bailey
0,Paul Norgaard
0,PAUL KRUSE
0,Dan VanBergen
0,Aaron Hushagen
0,Michael Tschida
0,Jimmy James McDonald
0,Kirsten Walters
0,Tony Michaelson
7,Brianna Andrighetti
7,Jeremiah Gagner
9,Tyler McKean
9,Lauren Keiser
16,Lindsay Trosvig
64,Erik Nerison
77,G. Scott Walters
78,Jeremy Keiser
b,r,e,a,k
Mastodon,16
0,JANNA JANSEN
0,Phil Prosapio
0,April Peterson
01,Caitlin Clevenger
02,NATALIE RUSSELL
03,Joel Malerba
04,Jonathan Davis
07,Steven Whelan
09,Evie Adams
10,Joseph Anistranski
11,Paderic Driscoll
11,Cam Keys
14,Nicholas Moore
16,Alec Li
17,Mark David
18,Julia Sauerhaft
19,Aric Doak
20,Noah Webster
21,Jessica Liu
22,Emilia Lewis
25,Kelly Bruce
27,Mei-Lien Converse
31,Patrick Miller
34,Chase O'Brien
55,Darren Yu
b,r,e,a,k
Minneapolis Millers,4
0,Jill Gorges
00,Lilly Shapiro
02,Brian Larson
03,Brenna Sund
04,Lorraine Guerin
05,Aly Fassett-Carman
06,JOHN-ELLIOT SCHMIT
07,James Kittlesen
08,Tova Breen
09,Benjamin Liska
10,Daniel Collom
11,Liam Shramko
14,Tulsa Douglas
15,Daniel Schmit
18,Nick Heid
19,Tristan Grovender
21,Tyler Mahony
22,Tobie Miller
28,Martin Lohman
30,MARC PISANSKY
39,CHRISTINE ROSEN
44,Lukas Powers
52,Erynn Schroeder
55,Charlie Schuweiler
60,Claire Cech
99,Jim Aspholm
b,r,e,a,k
Bird,5
0,PATRICK KEYS
01,TY THORSEN
02,Adam Trautman
03,Bryan Vohnoutka
08,Clayton Thomas
10,Beret Amundson
11,Emma Peaslee
12,Michael Ruble
13,EMILY FUJII
14,Katherine Zimmermann
15,GORDON STECKLEIN
16,Rebecca Morales
17,Ryan Oto
18,Katherine Claiborne
20,JILLIAN MERKLE
21,PATRICK KUNKEL
22,EMILY PETERSEN
23,David Stemper
24,ANDREW KELLEY
28,Joseph Nelson
30,THOMAS GRUND
33,Nihal Bhakta
43,Kayla Blanek
44,ASHLEY WEST
93,Justin Hill
96,Brian Edgerton
97,Andrea Uhl
b,r,e,a,k
Minnesota Star Power,15
01,David Canillas
04,Alison Ling
05,Jasper Weinburd
06,Camille Marsten
07,Danica Cutshall
08,Lloyd Vogel
10,Alex Kensgaard
11,Rachel Thompson
13,Colette Meller
16,Lisa Barnes
18,Brandon Haus
19,GRACE WHITEFORD
22,Daniel Martin
23,Christopher McCrory
24,JAMES WAGNER
27,Jessie Lambert
28,Erin Henry
42,Eric Larson
50,Carl Aanestad
54,Jordan Vlastuin
88,Tyler Smith
92,Martin Stecker
93,SAMUEL TORGERSON
96,Jesse Peterson-Brandt
b,r,e,a,k
Boomtown Pandas,10
02,Edward Kaul
05,Ryan Pakula
06,Jill Iwanski
07,Benjamin Hsu
09,ASHLEY SATTERLEE
10,Kristen Brenner
11,JEFF POSKIN
16,Robert Lindenthaler
17,Ellie Clarin
20,Colin Punt
21,John Schaefer
21,Nathan Kleinhans
22,Emily Kuder
23,Debra Minahan
24,Matt Coogan
27,Seana Lindenthaler
29,Jonathan Messner
43,Toby Wex
44,ALEXANDRIA HALL
50,Margaret Punt
66,Laura Hsu
72,Christopher Hooper
84,Vincent Hsu
94,Derek Weisberg
96,John Bryan
98,Chris Davis
99,Caitlin Murphy
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
The Chad Larson Experience,Wingdings,W,L,"09/12/2015, 09:00",Pool A,Final
panIC,Cream City Crooks,15,12,"09/12/2015, 09:00",Pool A,Final
The Chad Larson Experience,Cream City Crooks,15,6,"09/12/2015, 11:00",Pool A,Final
panIC,Wingdings,15,6,"09/12/2015, 11:00",Pool A,Final
The Chad Larson Experience,panIC,15,11,"09/12/2015, 13:00",Pool A,Final
Wingdings,Cream City Crooks,10,15,"09/12/2015, 13:00",Pool A,Final
pool,Pool B
Drag'n Thrust,Mad Udderburn,15,6,"09/12/2015, 09:00",Pool B,Final
Thoroughbred,Mojo Jojo,15,9,"09/12/2015, 09:00",Pool B,Final
Drag'n Thrust,Mojo Jojo,15,6,"09/12/2015, 11:00",Pool B,Final
Thoroughbred,Mad Udderburn,15,9,"09/12/2015, 11:00",Pool B,Final
Drag'n Thrust,Thoroughbred,15,9,"09/12/2015, 13:00",Pool B,Final
Mad Udderburn,Mojo Jojo,13,11,"09/12/2015, 13:00",Pool B,Final
pool,Pool C
NOISE,No Touching,15,4,"09/12/2015, 09:00",Pool C,Final
Des Moines Metro,Mastodon,15,5,"09/12/2015, 09:00",Pool C,Final
NOISE,Mastodon,15,9,"09/12/2015, 11:00",Pool C,Final
Des Moines Metro,No Touching,15,10,"09/12/2015, 11:00",Pool C,Final
NOISE,Des Moines Metro,15,11,"09/12/2015, 13:00",Pool C,Final
No Touching,Mastodon,15,8,"09/12/2015, 13:00",Pool C,Final
pool,Pool D
Minneapolis Millers,Boomtown Pandas,15,12,"09/12/2015, 09:00",Pool D,Final
Bird,Minnesota Star Power,14,10,"09/12/2015, 09:00",Pool D,Final
Minneapolis Millers,Minnesota Star Power,15,13,"09/12/2015, 11:00",Pool D,Final
Bird,Boomtown Pandas,15,7,"09/12/2015, 11:00",Pool D,Final
Minneapolis Millers,Bird,14,13,"09/12/2015, 13:00",Pool D,Final
Boomtown Pandas,Minnesota Star Power,10,14,"09/12/2015, 13:00",Pool D,Final
b,r,e,a,k
clusters,Cross Over Play
cluster,4th Round Cross Overs
The Chad Larson Experience,NOISE,15,10,"09/12/2015, 15:00",,Final
Drag'n Thrust,Minneapolis Millers,15,8,"09/12/2015, 15:00",,Final
Bird,Mad Udderburn,15,11,"09/12/2015, 15:00",,Final
Des Moines Metro,Cream City Crooks,12,11,"09/12/2015, 15:00",,Final
Thoroughbred,Minnesota Star Power,12,14,"09/12/2015, 15:00",,Final
panIC,No Touching,15,10,"09/12/2015, 15:00",,Final
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
The Chad Larson Experience,Drag'n Thrust,8,15,"09/13/2015, 13:00",1st Place Finals,Final
The Chad Larson Experience,Des Moines Metro,15,7,"09/13/2015, 11:00",1st Place Semis,Final
Drag'n Thrust,NOISE,15,5,"09/13/2015, 11:00",1st Place Semis,Final
The Chad Larson Experience,Minnesota Star Power,15,9,"09/13/2015, 09:00",1st Place Quarters,Final
Minneapolis Millers,Des Moines Metro,12,15,"09/13/2015, 09:00",1st Place Quarters,Final
Drag'n Thrust,panIC,15,7,"09/13/2015, 09:00",1st Place Quarters,Final
NOISE,Bird,15,9,"09/13/2015, 09:00",1st Place Quarters,Final
bracket,3rd Place Bracket
NOISE,Des Moines Metro,12,10,"09/13/2015, 15:00",3rd Place Finals,Final
Minnesota Star Power,NOISE,9,14,"09/13/2015, 13:00",3rd Place Semis,Final
panIC,Des Moines Metro,9,15,"09/13/2015, 13:00",3rd Place Semis,Final
Minnesota Star Power,Minneapolis Millers,14,12,"09/13/2015, 11:00",3rd Place Quarters,Final
panIC,Bird,12,11,"09/13/2015, 11:00",3rd Place Quarters,Final
bracket,7th Place
Minneapolis Millers,Bird,10,15,"09/13/2015, 13:00",7th Place,Final
bracket,5th Place
Minnesota Star Power,panIC,11,8,"09/13/2015, 15:00",5th Place,Final
bracket,9th Place Bracket
No Touching,Cream City Crooks,11,13,"09/13/2015, 13:00",9th Place Finals,Final
No Touching,Mad Udderburn,14,11,"09/13/2015, 11:00",9th Place Semis,Final
Cream City Crooks,Thoroughbred,14,13,"09/13/2015, 11:00",9th Place Semis,Final
No Touching,Boomtown Pandas,15,11,"09/13/2015, 09:00",9th Place Quarters,Final
Wingdings,Mad Udderburn,0,1,"09/13/2015, 09:00",9th Place Quarters,Final
Cream City Crooks,Mojo Jojo,12,9,"09/13/2015, 09:00",9th Place Quarters,Final
Mastodon,Thoroughbred,9,15,"09/13/2015, 09:00",9th Place Quarters,Final
bracket,13th Place Bracket
Wingdings,Mojo Jojo,11,10,"09/13/2015, 13:00",13th Place Finals,Final
Boomtown Pandas,Wingdings,11,12,"09/13/2015, 11:00",13th Place Semis,Final
Mojo Jojo,Mastodon,13,11,"09/13/2015, 11:00",13th Place Semis,Final
bracket,15th Place
Boomtown Pandas,Mastodon,15,5,"09/13/2015, 13:00",15th Place,Final
b,r,e,a,k
