Last Call 6,College - Men ,21,3,2015
https://play.usaultimate.org/events/Last-Call-6/schedule/Men/CollegeMen/
Reaper Alum,1
00,James Roush
00,Kelly Donovan
00,Andrew Baginski
00,CLAYTON COFFMAN
00,Brock Dunn
00,Zachary Schwulst
00,CHRIS DEGL'INNOCENTI
00,Nicholas DiStasio
00,Michael Schwenk
00,Nathan Kinsinger
01,Alex Castillo
b,r,e,a,k
Truman State,24
3,Seth Reimer
4,TYLER JANSEN
5,Brendan Cirillo
7,Thomas Crockett
8,Alan Smith
11,NICHOLAS RUPEL
13,Mason  Bracken
15,Jacob Jackson
19,Chase Bengtson
21,Blake Harris
22,Brandon Heisserer
23,Eric Trapp
25,Josh Dye
27,Alex Davis
31,Blake Bixler
33,TIMOTHY SCHMITT
34,Ray Hilger
44,Nathan Pyles
45,Parker Willis
63,AARON DAVIS
66,Anson Long-Seabra
67,Alec Ruedi
72,Joseph Williamson-Link
74,Conor Irwin
77,george Zackert
88,Isaac Pearlstone
98,Matthew Beers
b,r,e,a,k
Grand Valley,12
0,Keegan Zemper
0,Neson Nesmith
10,Matthew Nelson
10,Connor Lukas
18,Aaron Riess
22,ANDREW WADAGA
25,MATT HAAN
33,michael denny
35,chris scheidt
42,John Hall
52,Daniel Ahearn
62,Matt Laylin
69,Craig Gagnon
77,STEVEN NORTHUP-SMITH
98,Zach Jawahir
98,Michael Durand
99,John Kaiser III
b,r,e,a,k
Marquette,13
0,Eric Blais
0,Harrison Hensel
0,Dwight Johnson
2,Daniel Kress
3,RYAN MCHUGH
4,Keenan McAuliffe
5,Evan Swiatek
6,John Devine
7,Matthew Caballero
8,Evan Fischer
9,Wyatt Meyer
10,Joseph Lindsay
12,PATRICK MULLEN
15,Anthony Marino
17,Elias Magallanes Jr.
20,David Kaftan
21,Nicholas Hapak
23,Tadhg Scully
25,Sean Andryauskas
28,MARK MAURER
32,Daniel Engsberg
34,BRYAN FITZPATRICK
36,Madison Olesen
b,r,e,a,k
Eastern Illinois,2
2,Byron A Arellano
3,Dyllan Williams
4,RYAN BROWN
5,ALEX LORE
7,Shawn Thomas
9,colin molloy
10,Tyler Rice
12,Caleb Gurujal
14,James Porzio
24,Cobi Christiansen
37,Kyle Breen
51,Nathan Page
57,MIKE HINZE
69,Chas Cox
b,r,e,a,k
Olivet Nazarene,11
0,Andrew Lindell
4,Robert Hannah
5,AARON ABRASSART
6,BEN PRINCE
7,RILEY DALE
11,Jaron Parke
13,David Decker
15,Craig Cook
16,Luke Vihnanek
17,JACK SALSGIVER
21,Nick Schoon
24,John Gargiulo
25,Scott Fischer
28,Will Mims
31,Edwin deWerff
33,Mitch Brummel
36,Zac Carlton
39,Genesis Perez
54,TAYLOR SCHOTT
95,Kevin Siciak
97,Robert Harjo
99,Kyle Fiala
99,Noah Wilson
b,r,e,a,k
Washington University (B),14
00,Jordan Chow
02,Imran Mumtaz
08,ANDREW GONG
10,Mike Merzel
11,Jacob Pepe
14,Luke Churchill
15,Chris Dolan
16,Robert Hsu
17,BEN SASS
18,Avery Suter
24,Jonathan Bauer
26,Micah Rickles-Young
27,Josh Epstein
30,Joshua Smith
31,Ben Aunins
37,Robert Brachman
81,Andrew Englund
b,r,e,a,k
Southern Indiana,23
1,Nathaniel Mull
2,Joseph  Cowser
5,Eric Gehlhausen
6,DREW COLES
7,Nathan Sevenish
8,Dustin Young
9,Josh Hammett
12,Chapin Kelley
14,Zachary Wilderman
17,Aaron  Costlow
17,Cecil Sullivan
18,Kyle Wood
20,Wesley Haub
20,Luc Prevost
24,Ryan Fehrenbacher
31,Brian Wilson
37,ABRAHAM MAZE
45,SAMUEL ENGELS
49,Derek Berggren
73,Noah Rickelman
84,alexander rockman
97,EDUARDO RODRIGUEZ
b,r,e,a,k
Illinois State,3
0,Ricky Ramirez
0,George Van Den Driessche
0,Patrick Pearce
0,Stephen McCracken
0,Jacob Stachewicz
0,Ben Gibbons
0,SAM GESESSEW
4,Ryan Fitzgerald 
5,JAMES TUNNEY
7,Jack Shanahan
12,Jeremy Burril
13,Karl Beck
16,Kevin DeAngelis
29,Eric Lempa
73,Justin Reeverts
83,BRADLEY CLARK
92,TJ Czop
93,Nick Storter
b,r,e,a,k
Wheaton (Illinois),15
0,Parker Allen
3,Hawken Sawyer
3,ALEXANDER HEIMANN
4,Mitchell McElroy
5,CHRIS BARWEGEN
7,Don Gates
9,Skyler Aspegren
11,Jonathan Hric
13,David Barbalas
15,Alexander Neevel
19,Luke Rynbrandt
20,Laramie Aspegren
22,ALEC FOJTIK
24,Joshua Creedon
34,Colin McLaughlin
42,Steven Rongley
56,Jonathan Oldham
88,Joseph Burley
b,r,e,a,k
Southern Illinois,22
0,Matt Marshall
0,Kenneth Degner
0,Jack Heminghous
0,Kyle Ingraham
4,William Duerr
5,JAKE VRABEL
15,RYAN WEST
16,Ryan Sample
20,Stephen Muetze
23,Michael Dalzell
69,Joel Harpin
b,r,e,a,k
Wisconsin-Milwaukee (B),10
01,Edgar Molinares
02,Robert  Amerling
04,Ian Oakes
07,"Alexander ""Alexi"" Martinaios"
08,Nicholas Pritzl
10,Dalton Hilbert
16,Robert Penner
18,Thomas Schwartz
20,Alan TenHaken
21,Brandon McDermid
22,Benjamin Kuznicki
39,graehm patrell-fazio
53,IAN SMITH
b,r,e,a,k
Western Michigan,4
0,Jeff Rickfelder
0,Douglas Montgomery
0,Alex Horn
0,Zachariah Rummery
0,Michael Sharp
4,David Rhodes
4,JANSEN UTECH
15,Alex Bertoia
30,Ryan Shore
67,Ross Osborn
77,Cole Osborn
b,r,e,a,k
Northern Illinois,16
0,David Lawler
0,DANIEL KRZAK
0,JASON FORBY
0,Steven Box
0,Blake Lundin
0,KEVIN HAYWOOD
0,Alex Wilson
0,Jose Villagomez
3,Michael Armstrong
6,Ben Connors
12,Erik Leonard
13,Rene Quintana
24,James Sykora
45,Donovan Benson
b,r,e,a,k
Chicago (B),9
00,Rishab Mittal
00,David Ran
00,Jayce Feiger
00,John Francis
00,Peter Lajewski
00,Javon Brown
00,Ethan Cummings
00,Shivraj Grewal
00,Ryan Bouabid
84,BRIAN CHEN
b,r,e,a,k
Illinois State (B),21
0,Aaron MIller
0,Luke Schoenhofen
0,Christian Trujillo
0,Bryan  McQuaid
0,Brayden Miller
0,Daniel Correa
0,ERGEN ROJAS
0,Zach Delegatto
0,CHRIS  OESTERREICH
0,ANDREW PETRUZZI
11,Zachary Ciaglia
62,Mitchell Morton
b,r,e,a,k
St Louis,5
0,ZACH WRIGHT
0,Matthew Vassil
0,Logan Leavel
0,Scott Geordan
0,BRETT  LITTLE
0,Joao Lopes
1,Aleksandr Knapowski
2,Devin Belvin
3,Ryan McWay
4,Tommy Schulte
4,Eric Lang
6,Tucker Hughes
10,TYLER KLINGELHOEFER
12,Gintas Jarasius
13,Drew Ladage
14,BRENNAN KELLY
15,David Catherall
20,JOE NOLAN
23,KEVIN FELTZ
24,ALEC HERZOG
34,John Padua
50,Samuel Peter
53,Arjun Kumar
b,r,e,a,k
Missouri State,8
6,Tim Trehy
00,Cameron Yuan
02,TOM CANNON
07,Aaron Parkhurst
08,Kent Mastroianni
23,Jackson Reid
36,Joshua Holsten
87,Darren Yount
b,r,e,a,k
Wisconsin (C),17
0,Arik Van Asten
0,Brian Paulus
1,Adam Klaus
2,Riley Lenoch
4,Matthew Norman
8,Jacob Giese
9,MICHAEL SCHULENBERG
17,Stuart Deets
19,Daniel Davies
44,Anders Haroldson
b,r,e,a,k
Wisconsin-Eau Claire,20
00,AUSTIN MANS
00,Christian Hoyer
00,Colin Williams
00,DEREK LEVIN
00,Christopher Martinson
01,Sam Sincere
05,Jacob Johnson
16,Chance Boley
22,TREVOR HARSLA
24,Adam Bubolz
b,r,e,a,k
Loyola-Chicago,6
0,Samuel Schultz
0,Samuel Hunt
0,Robert Stiller
0,Nic Nagata
0,Purav Patel
1,Will Hsieh
2,EVAN SABADO
4,William Horwitz
5,Ryan Shea
8,Ryan Nader
9,Jacob Bedenian
14,Nicholas Kleinschmidt
16,CONOR BRIGHAM
18,Ian Blanke
19,KEVIN KOPROWSKI
20,Anthony Andreshak
21,NICHOLAS THOMAS
24,Alex Kim
41,Caden Canavan
59,Daniel Brissette
60,William Meyer
63,DAVID SUDYKA
64,Francis Kelly
74,Jackson Prepolec
b,r,e,a,k
Wisconsin (B),7
0,Cody Milstein
0,Max Wolk
0,Andrew Everts
4,Gregory Smail
5,Jeff Maskalunas
7,ERIC WALSH
8,Ben Schewe
10,ELI GOMEZ
11,DANIEL CHANTIGIAN
15,CONNOR HARTIGAN
18,Scott Groux
21,RICHARD GIZA
26,Ian Hahn
34,KEVIN ETZEL
42,Andrew Ishikawa
46,Amien Paust
69,Danny Gollin
97,Matthew Owens
b,r,e,a,k
Valparaiso,18
0,Peter Bornhoff
0,SCOTT MILLER
0,Robert Rigler
0,JUSTIN MORTENSON
0,WILL HAENNI
0,Robert Hemmerling
0,STEPHEN PLACE
0,PETER KIMBALL
0,Zachary Paradis
0,Tyler Light
0,BRETT KELLY
1,JESUS OSORIO
3,John Verhayden
4,Gabriel Valencia
15,ADAM CLARK
22,Max Carpenter
95,Vincente Valdez
b,r,e,a,k
Illinois-Chicago,19
0,Nick Johnson
0,Anthony Oplawski
05,Syed Akbar Jaffery
07,James Bendoraitis
10,Samuel Schlicher
28,Thomas Logisz
56,Karl Nika
76,Girolamo S Kelly
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Grand Valley,Truman State,8,13,"03/21/2015, 09:00",Pool A
Grand Valley,Marquette,11,6,"03/21/2015, 10:20",Pool A
Marquette,Truman State,7,12,"03/21/2015, 11:40",Pool A
Reaper Alum,Marquette,10,8,"03/21/2015, 15:00",Pool A
Reaper Alum,Truman State,13,4,"03/21/2015, 16:20",Pool A
Reaper Alum,Grand Valley,13,10,"03/21/2015, 17:40",Pool A
pool,Pool B
Eastern Illinois,Washington University (B),13,3,"03/21/2015, 09:00",Pool B
Olivet Nazarene,Southern Indiana,13,12,"03/21/2015, 09:00",Pool B
Eastern Illinois,Southern Indiana,13,5,"03/21/2015, 10:20",Pool B
Olivet Nazarene,Washington University (B),13,8,"03/21/2015, 10:20",Pool B
Eastern Illinois,Olivet Nazarene,13,11,"03/21/2015, 11:40",Pool B
Washington University (B),Southern Indiana,11,10,"03/21/2015, 11:40",Pool B
pool,Pool C
Illinois State,Wheaton (Illinois),12,10,"03/21/2015, 09:00",Pool C
Wisconsin-Milwaukee (B),Southern Illinois,6,11,"03/21/2015, 09:00",Pool C
Illinois State,Southern Illinois,13,5,"03/21/2015, 10:20",Pool C
Wisconsin-Milwaukee (B),Wheaton (Illinois),7,12,"03/21/2015, 10:20",Pool C
Illinois State,Wisconsin-Milwaukee (B),13,2,"03/21/2015, 11:40",Pool C
Wheaton (Illinois),Southern Illinois,11,7,"03/21/2015, 11:40",Pool C
pool,Pool D
Western Michigan,Northern Illinois,11,10,"03/21/2015, 09:00",Pool D
Western Michigan,Illinois State (B),10,6,"03/21/2015, 16:20",Pool D
Northern Illinois,Illinois State (B),13,6,"03/21/2015, 17:40",Pool D
Chicago (B),Illinois State (B),13,8,"03/21/2015, 21:00",Pool D
Chicago (B),Northern Illinois,7,12,"03/21/2015, 22:20",Pool D
Western Michigan,Chicago (B),12,7,"03/21/2015, 23:40",Pool D
pool,Pool E
St Louis,Wisconsin (C),13,9,"03/21/2015, 09:00",Pool E
Missouri State,Wisconsin (C),13,10,"03/21/2015, 16:20",Pool E
St Louis,Missouri State,13,9,"03/21/2015, 17:40",Pool E
St Louis,Wisconsin-Eau Claire,13,5,"03/21/2015, 22:20",Pool E
Wisconsin (C),Wisconsin-Eau Claire,13,10,"03/21/2015, 23:40",Pool E
Missouri State,Wisconsin-Eau Claire,13,6,"03/22/2015, 03:00",Pool E
pool,Pool F
Loyola-Chicago,Valparaiso,11,8,"03/21/2015, 09:00",Pool F
Wisconsin (B),Valparaiso,9,8,"03/21/2015, 10:20",Pool F
Loyola-Chicago,Wisconsin (B),12,4,"03/21/2015, 11:40",Pool F
Wisconsin (B),Illinois-Chicago,13,6,"03/21/2015, 15:00",Pool F
Loyola-Chicago,Illinois-Chicago,11,4,"03/21/2015, 16:20",Pool F
Valparaiso,Illinois-Chicago,13,7,"03/21/2015, 17:40",Pool F
b,r,e,a,k
clusters,Crossover
cluster,Crossover
Illinois State,Western Michigan,13,7,"03/21/2015, 13:50",
St Louis,Loyola-Chicago,6,12,"03/21/2015, 13:50",
Olivet Nazarene,Grand Valley,9,13,"03/21/2015, 13:50",
Marquette,Washington University (B),13,10,"03/21/2015, 13:50",
Wheaton (Illinois),Northern Illinois,12,11,"03/21/2015, 13:50",
Wisconsin (C),Valparaiso,5,13,"03/21/2015, 13:50",
Southern Indiana,Truman State,10,11,"03/21/2015, 13:50",
Reaper Alum,Eastern Illinois,13,5,"03/21/2015, 19:50",
Wisconsin (B),Missouri State,11,12,"03/21/2015, 19:50",
Illinois State (B),Southern Illinois,9,13,"03/21/2015, 19:50",
Chicago (B),Wisconsin-Milwaukee (B),12,6,"03/22/2015, 01:50",
Illinois-Chicago,Wisconsin-Eau Claire,13,11,"03/22/2015, 01:50",
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship
Illinois State,Loyola-Chicago,13,11,"03/22/2015, 13:30",Finals
Illinois State,Reaper Alum,13,4,"03/22/2015, 18:00",Semifinals
Loyola-Chicago,Eastern Illinois,13,5,"03/22/2015, 12:00",Semifinals
Illinois State,Missouri State,13,0,"03/22/2015, 16:30",Quarterfinals
Reaper Alum,St Louis,11,9,"03/22/2015, 16:30",Quarterfinals
Loyola-Chicago,Western Michigan,13,6,"03/22/2015, 10:30",Quarterfinals
Olivet Nazarene,Eastern Illinois,10,11,"03/22/2015, 10:30",Quarterfinals
Illinois State,Chicago (B),13,5,"03/22/2015, 21:00",Pre-Quarters
Missouri State,Wheaton (Illinois),13,9,"03/22/2015, 15:00",Pre-Quarters
Reaper Alum,Wisconsin (B),13,9,"03/22/2015, 15:00",Pre-Quarters
St Louis,Valparaiso,12,5,"03/22/2015, 09:00",Pre-Quarters
Loyola-Chicago,Grand Valley,12,11,"03/22/2015, 09:00",Pre-Quarters
Western Michigan,Truman State,12,7,"03/22/2015, 09:00",Pre-Quarters
Northern Illinois,Olivet Nazarene,9,13,"03/22/2015, 09:00",Pre-Quarters
Wisconsin (C),Eastern Illinois,8,13,"03/22/2015, 09:00",Pre-Quarters
bracket,3rd Place
Reaper Alum,Eastern Illinois,5,7,"03/22/2015, 19:30",Finals
b,r,e,a,k
brackets,5th-8th
bracket,5th Place
Missouri State,Olivet Nazarene,10,11,"03/22/2015, 19:30",Finals
Missouri State,St Louis,13,4,"03/22/2015, 18:00",Semis
Western Michigan,Olivet Nazarene,8,13,"03/22/2015, 12:00",Semis
bracket,7th Place
St Louis,Western Michigan,12,13,"03/22/2015, 13:30",Finals
b,r,e,a,k
brackets,9th-12th
bracket,9th Place
Wisconsin (B),Grand Valley,13,5,"03/22/2015, 13:30",Ninals
Wheaton (Illinois),Wisconsin (B),11,12,"03/22/2015, 12:00",Ninals Semis
Grand Valley,Northern Illinois,13,5,"03/22/2015, 12:00",Ninals Semis
Chicago (B),Wheaton (Illinois),5,13,"03/22/2015, 22:30",Ninals Quarters
Wisconsin (B),Valparaiso,12,7,"03/22/2015, 10:30",Ninals Quarters
Grand Valley,Truman State,13,12,"03/22/2015, 10:30",Ninals Quarters
