Trouble In Vegas 2015,College - Men ,28,2,2015
Las Vegas,NV,2015-02-28,2015-03-01
https://play.usaultimate.org/events/Trouble-In-Vegas-2015/schedule/Men/CollegeMen/
Colorado College,2
teamInfo,Wasabi,"Colorado Springs, Colorado",,www.facebook.com/WasabiUltimate,
0,Michael Greenberger
1,Clay Elliott
2,Ben Joseph
4,Felix Pronove
6,Crispin Whittier
7,KEVIN MOSS
8,Nate Mankovich
9,IAN ADAMS
10,ELI ROSENTHAL
11,Perry Fitz
13,CHRIS VAN DUSEN
19,Danny Rodriguez
24,Sandy Brown
25,James Shepard
29,Grant Mitchell
39,Phillip Korolog
42,Matthew Zelin
53,Benjamin Tweedy
71,Joel Fisher-Katz
73,Jason Bair
77,Andrew Combs
81,Abram Mamet
93,Felix Braun
99,Charles Tarika
b,r,e,a,k
Carleton College-GOP,3
teamInfo,Carleton GOP,"Northfield, Minnesota",,,
0,Abraham Eichner
0,Malcom Fox
0,Jeremy Randolph-Flagg
0,Andy Rodgers
0,Ryan Saeta
0,Eric Angell
0,Arthur McCray
0,Zack Considine
0,Michael Ebako-Hodgson
3,COLIN FROINES
4,Will Yetvin
5,Matt Godfrey
11,Kenny Harvey
22,Nelson Rohrbach
24,DEVON MANBER
25,Robert Yeagle
35,CONNOR HODGES
60,JAKE YANOVIAK
67,ANDERS BERGLUND
71,David Goodell
88,Benjamin Longchamp
99,Thomas Grodzicki
b,r,e,a,k
Arizona State (B),4
teamInfo,Pleasure Ultimate,"Tempe, Arizona",www.arizonastateultimate.com,https://www.facebook.com/pages/Pleasure-Ultimate/428479377237462,https://twitter.com/pleASUre_ult
coaches,Brett Carr
0,AUSTIN CLAIR
0,ALEC JACKSON
0,Bennett Christoffersen
0,Blaine Farber
0,Michael Sedillo
3,TYLER HOLLMANN
7,Paysen Bramblett
13,BRYSON OLSON
21,William Hanson
22,Cody Peterson
24,GREG SCALIA
33,Mitchell Marois
33,Brian Dryden
36,Matt Patterson
42,Michael Nassief
95,Kolton Nelder
b,r,e,a,k
Cal Poly-Pomona,1
teamInfo,Cow Ultimate,"Pomona, California",,https://www.facebook.com/CPPUltimate,https://twitter.com/cowultimate
0,Daniel Ouk
0,Awais Ibrahim
0,Joseph Flores
0,Caleb Jang
0,Alexander Pham
0,Matt Theologidy
0,Matt Lambrose
0,JUAN GONZALEZ
0,Ethan Moskowitz
0,Shehzad  Serang
0,daniel chow
0,Julian Salazar
0,Jacob Yaldezian
0,Justin Nolan
0,Kyle Lin
0,Elijah Selby
0,Kevin Luck
0,Guillermo Sanchez
0,Yik Hin Wong
0,Stephane Carlisle
0,Isaac Porter
0,Bruno Haesbaert
0,CHRISTOPHER CABAN
0,Cody Wallace
0,Michael Padula
9,Liam Bestian
17,STEVE JOLLOTA
26,Blake Ferguson
69,Jonathan Horton
80,Ross Parsons
99,Brandon Yee
b,r,e,a,k
Colorado State,6
teamInfo,Hibida,"Fort Collins, Colorado",,,
0,Mark Stratford
0,David Cuellar
0,Easton Archibald
0,NOAH BROWN
0,Iain McConachie
0,Thomas Theodorescu
0,Scott Wheeler
0,JERRY LANNING
0,MARSHALL RAWLEY
0,Andrew Spada 
0,LUKE DOYLE
0,Logan Stagg
0,Phillip Wade Foreman
1,Jack Hinchsliff
9,Jacob Servaty
18,Dylan Johnson
20,JORDAN TREPP
24,David Miller
30,Sten Larson
34,Cody Spicer
b,r,e,a,k
Occidental,5
teamInfo,Detox,"Los Angeles, California",,,
coaches,Benjamin Potash
0,Clif Cody
00,Maxwell Marion
01,Graham Garzon
02,LOWELL BARTLETT
03,DANIEL TERNER
05,Aakash Raghubansh
06,Robert Zhang
07,KAI FOSTER
08,Matthew Zuchero
11,ADAM GRAMMER
12,Paul Sirri
13,Sergio Rodriguez
16,GABRIEL BETHKE
17,David Kimball
19,Spencer Goldman
20,Isaac Dalsheimer
22,Kade Cheatham
28,Hunter Weinreb
32,Will Shea
34,DAVID PHILLIPS
43,Luis Robles
66,Griffin Morita
69,Jesse Moore
96,Naathapit Lamsam
b,r,e,a,k
Puget Sound,7
teamInfo,Postmen,"Tacoma, Washington",http://www.upsultimate.com/,https://www.facebook.com/PugetSoundPostmen,https://twitter.com/upsultimate
0,RILEY CARPENTER
0,Sean Stackhouse
0,MISHA MILLER-HUGHES
0,Tullan Baird
0,Alexander Brady
0,Jeremy Parke-Hoffman
0,Lucas Henken
0,Lukie Crowley
0,Cameron Waugh
0,JONATHAN ADAMS
0,Taylor Empey
3,Luke Garrison
6,Brenden Fischer-Femal
8,Jason Vallerga
9,Robert Korbel
10,CB Wolf
18,Chris Roach
22,Alan Henzy
43,Andrew Brandt
b,r,e,a,k
Denver,8
teamInfo,DU Ultimate,"Denver, Colorado",http://www.du.edu/ritchiecenter/studentprograms/clubsports/clubs/ultimatefrisbee/,https://www.facebook.com/uofdenverclubultimate,
0,Michael DeGrandis
0,Sage Bard-Gilbert
0,ISAAC GERSHUN-HALF
0,Isaiah Thompson
0,ALEX KUNZER
0,Wheeler Morris
0,Angus Kitchell
0,Eric Silverman
0,Ryan MacDonald
0,Justus Gibson
1,Mitchell Silverman
14,Mats Hanson
18,Avery Nelson
30,Nate Watson
37,Jae Ermer
56,Spencer Merage
b,r,e,a,k
Brigham Young,9
teamInfo,CHI,"Provo, Utah",http://www.byuchiultimate.com/,https://www.facebook.com/ByuMensUltimate,@BYUCHIUltimate
0,Taylor Caldwell
1,CODY SIMMONS
5,Spencer Hodson
7,CHRISTOPHER (MICHAEL) BJORLING
9,Brad McKeen
10,Ben Olpin
11,ROBERT BODILY
12,Kristopher McIntire
13,Seokhee Burningham
14,Devin Kimball
15,MATTHEW  DELANGE
21,BRYANT BOYER
22,Lance Gardner
23,Jesse Taylor
24,Patrik Connole
32,Nacody de la Rosa
42,Brayden Connole
55,Wyatt Nethercott
64,Jason McKeen
72,Jordan Hill
99,Dan Doxey
b,r,e,a,k
Northern Arizona,18
teamInfo,El Ponderoso,"Flagstaff, Arizona",www.elponderoso.com,,https://twitter.com/ElPonderosoNAU
0,Reid Kemp
00,Brent Acomb
00,Tyler Liddie
00,Andrew Locke
00,Nick Salessi
00,Harry Bell
00,Rick John
00,SEAN ENKING
00,Brad Wylam
00,Michael Gehrke
00,Bradley Cislo
00,Garrett Wright
04,STEPHEN KULURIS
17,Jeff Morrison
36,Kevin Farrell
91,Daniel Prejs
b,r,e,a,k
Team Canada U23 - Open,11
teamInfo,,"Ottawa, Ontario CA",,,
0,Hugh Knapp
0,Edward Guo
0,KEVIN BORESKIE
0,Felix Marceau
0,Jordan Ing-Chen
0,Darren Wu
0,Alan Scarth
0,Kevin Groulx
0,Gil Binnun
0,GREG MOORE
0,ELLIOT WONG
0,Nick Boucher
0,Francis Vallée
0,BASILE LIMOGES
0,Jeremy Hill
1,Andrew Ling
4,Jesse Greenberg
6,Brayden Gee
9,Jaret Meron
00,Greer Hunt
10,Gagan Chatha
21,NICHOLAS LIN
23,Fred Lam
36,Evan Taylor
72,Iain MacKenzie
73,Ben Burelle
b,r,e,a,k
New Mexico,12
teamInfo,HantaVirus,"Albuquerque, New Mexico",,https://www.facebook.com/unmmensultimate,https://twitter.com/HantaVirus_Ulti
1,Garrett Harder
6,INDIGO BROWN
03,BENIGNO SANDOVAL
05,Jason Denning
10,BRYAN DOHERTY
11,Kasey Anderson
13,Kevin Hedrich
18,SAMUEL ALBERT
19,RYAN LAROSA-LOPRESTI
22,Thomas Cushman
28,Chuck Houska
36,Davis Joyner-Griffith
69,Corey Vowell
86,Sean Martinez
88,Jacob Stewart
b,r,e,a,k
Colorado Mines,15
teamInfo,Entropy,"Golden, Colorado",,,
0,Zachary Cotter
0,James Miller
2,Samuel Nichols
4,Patrick Boyker
8,Andrew Liebing
10,Bryan Weaver
12,Clayton Howeth
13,Conor Lenon
17,Scott Roman
21,ERIC JONES
22,Randy Lemons
26,Weston Mauz
27,WILLIAM HOLLEMAN
32,Scott Harris
33,ERIC MILLER
40,Doug Schriner
42,Matthew Kowalsky
b,r,e,a,k
Caltech,13
teamInfo,Aftermath,"Pasadena, California",http://ultimate.caltech.edu/index.html,,
2,Samuel Szuflita
3,Daryl Yee
4,Juan Ocampo
10,Isaac Fees
11,Dominic Yurk
12,Michael Ignatowich
21,Sarang Mittal
31,Zachary Sternberger
37,Daniel Chui
38,DANIEL GAWERC
48,Valentin Skoutnev
53,Aaron Krupp
61,Evan Davis
96,Michael Lichterman
97,Drew Schaffer
b,r,e,a,k
Brigham Young (B),16
teamInfo,CHI B,"Provo, Utah",www.byuchiultimate.com,facebook.com/byumensultimate,
0,Sam Cahoon
0,Colton Bledsoe
0,Richard Messerly
0,Ryan Savage
0,Jayson Richards
0,Matthew Bird
26,Robert Eckles
30,"Alexander ""Sascha"" Vogel"
77,Brigham Wright
81,Jacob Brown
91,Clark Davis
93,DAKOTA FLANARY
b,r,e,a,k
Montana,14
teamInfo,Smokejump,"Missoula, Montana",,,
0,Chaz Harris
4,Patrick Stewart
6,Evan Falley
7,Dean Romine
11,Nathaniel Goodburn
23,Conor Dannis
27,Jackson Melin
50,Cole Osbrink
69,Payton Adams
70,TYLER BECKETT
81,Ty Lynch
98,Sam Hines
b,r,e,a,k
Utah,17
teamInfo,Zion Curtain,"Salt Lake City, Utah",http://www.i-m.co/Tomithicus/zioncurtainultimate/,https://www.facebook.com/pages/ZCU-Zion-Curtain-Ultimate/162698807137761,https://www.twitter.com/ZCU_Ultimate
0,Caleb Felicetti
0,Sriram Aananthakrishnan
0,ALEX BAKER
0,Michael Lien
5,Ivan Martins
9,Thomas Newell
02,Oliver Atkinson
10,Tyler Perry
11,Hunter Levis
12,Andrew Feller
21,Michael Affleck
66,Joshua Zdrodowski
71,Greg Krumel
75,Jeffrey Santry
88,KEVIN BRYANT
b,r,e,a,k
Boise State,10
teamInfo,Mamu Zaldi,"Boise, Idaho",,,
0,Logan M. Jarvis
0,Tim Davis
0,Andrew Jacobs
0,Wesley Stanfill
0,Alex Scherrer
1,Derrick Hirsch
4,John Martin
7,Mathew Gossard
10,Anthony Gossard
12,Joe Warnecke
21,Justin Warnecke
23,Shawn Moorhouse
39,Emmett Poole
44,Nick Degnan
45,Kayd Christensen
55,Aaron Bartz
69,Joel Matheson
98,MATT VON LINTIG
b,r,e,a,k
Washington (B),19
teamInfo,Washington B,"Seattle, Washington",,,
0,Adam Croissant
0,DAVID LARIMER
0,SEAN  MURPHY
0,Uyseah Ung
0,Pete He
0,JOHN BRESEE
0,Calvin Behrens
0,CHRISTOPHER CHIU
0,Evan Mann
0,nathan so
0,nathanael  van der veen
1,Nicholas Poolman
1,Joshuel Pahang
4,Bradley Perfect
8,Anton William Cwik
16,Calvin Cotton
20,John Bjorge
29,Andre Mansour
88,Alan Lin
b,r,e,a,k
Whitman,21
teamInfo,Sweets,"Walla Walla, Washington",,,
0,EVAN HEBERLEIN
0,Timothy Gray
0,Nathan Gruenberg
6,Maxwell Sheffield
7,Alexander Gatter
17,Joey Tillman
27,David Ball
32,ELLIOT MOSKAT
99,Reed Hendrickson
b,r,e,a,k
Utah State,20
teamInfo,USULT,"Logan, Utah",,,
0,Weston Holt
3,Jeremy Johnson
7,Brandon Pedersen
11,Bradley Bauer
14,IAN BLAKE
15,Dillon Smith
16,Ryan Martin
18,Christian Holland
19,Dusty Johnston
21,Sawyer Brooks
22,Tyler King
66,Lars Kochendorfer
b,r,e,a,k
California-Irvine,22
teamInfo,Nightlife,"Irvine, California",http://www.nightlifeultimate.com/,https://www.facebook.com/groups/nightlifeultimate/,
0,Justin Williams
0,Justin Marc Guevara
0,Ray Shieh
0,Abdulmohsen Alkharafi
00,VANDY YOURK
00,Wayne Lu
00,CALLUM LAMB
00,Kai Fong
00,MARK ARCHER
00,CALVIN COCHRAN
06,TIMOTHY JOHNSON
24,Zachary Gyugyi
b,r,e,a,k
George Washington,24
teamInfo,gdub ultimate,"Washington, District of Columbia",http://gdubultimate.com/,,
0,TURNER SHAW
0,HENRY BETTS
0,Kyle Johnson
0,Josh Weinstock
0,ERIK BETHKE
12,Andrew Ziegler
22,Marc Gottschalk
30,Thomas Perry
33,Gabriel Fernandez
49,Alexander Davis
53,Jackson Gode
64,Jeffrey DeSorbo
71,BRAD RICHARDS
87,Tyler Monroe
94,Alex Davis
b,r,e,a,k
Santa Clara,23
teamInfo,SCAB,"Santa Clara, California",,,
0,Eric Lauterbach
0,TYLER ELIEL
0,Xavier Rentz
0,DEVEREAUX KESLER
0,CONNOR RILEY
0,Taylor Darby
0,Jeffrey Stein
0,Connor Holttum
0,Nicholas Devantier
0,Daniel Mayer
0,Michael Henry
0,Milan Copic
0,MAX WESTERMAN
0,Stan Whitcomb
0,Thomas George
0,KEEGAN CAMPBELL
0,Sean Leeper
0,Ryan Sidley
0,Daniel Tiano
0,KEVIN WACHS
12,Wiharjobudi Sosrodjojo
40,Anthony Davis
41,MICHAEL GEORGE
