Chesapeake Open 2015,Club - Mixed ,1,8,2015
https://play.usaultimate.org/events/Chesapeake-Open-2015/schedule/Mixed/Club-Mixed
Metro North,1
0,Luke Perkins
1,Theodore Mason
2,Diane Palmer
4,Dave Tedeyan
5,Dwight Harris
7,Elizabeth Middleton
9,Austin Raymond
10,Todd Larese
11,Young Jo Fontaine
12,Emma Stoltze
14,Kerry Beyrer
15,Diana DeLeo
16,Emily Cho
21,Molly McCauley
23,Allison Springer
24,Seth Canetti
26,Andrew Bosco
42,John Geraghty
45,William Olli
47,Lucas Murphy
50,Dana Grandoni
54,Mari Oshiro
86,Kevin McCarthy
b,r,e,a,k
Tyrannis,9
01,Brittany Taylor
02,Keila Strick
03,Christopher Miller
04,Thomas Scott
05,RONALD IMBERT
07,Janie Mockrish
08,Ashley Sylvester
09,ALEX COHN
10,Audrey Isaac
11,Matthew Babineau
12,James (Jim)  Boley
13,EDWARD BROWN
14,ZACHARY BRANSON
15,Elliott Isaac
16,Amy Wedmore
17,SARAH ALFANO
18,ERICA LASTUFKA
18,Tim Pennucci
21,Andrew Dickerson
22,Taylor Nelson
23,Kelly Ross
24,Connor High
30,Brogan Jones
33,Oliver Platts-Mills
35,COLBY ISENBERG
52,Tess Warner
88,Robert Pratt
b,r,e,a,k
Sparkle Ponies,8
0,Jackson Schreiber
0,Natalie Forman
0,Michaela Gramzinski
0,Lacey Coppage
0,RACHEL BORCHARDT
0,Paul Butterfoss
0,TIGHE HOLDEN
0,Quinne Farenwald
0,James Anderson
0,Daniel LeFever
0,KATHERINE (KATY) WELLINGTON
0,CHRISTOPHER CAHILL
3,Chris Muller
8,Amanda Erlandson
9,Robert Gilmor
10,Andrew Fine
14,Matthew Hassink
15,Peter Morawski
16,JING JING ZHANG
24,Mark Modak
27,David Ohls
27,Joseph Pellicano
31,Anthony Erlandson
61,Rachael Burke
88,Duncan Fitzgerald
b,r,e,a,k
BITMAP,16
0,Keala Tekolste
0,Dan Browne
0,AUDREY INDEN
0,ADAM PELLEG
0,Chris Lake
0,Rebecca Solnit
0,LAUREN SCHONEKER
0,Ian Coyne
0,Lindsay Arnone
0,ERIC BOTTMEYER
3,Sarah Coyne
3,Mary Carlton
8,Andrew Wisor
9,Tracy Custis
12,John Mikitsh
15,David Kiefer
17,JONATHAN PALUMBO
19,Christine Reynolds
20,Gregory Fallon
22,Jeffrey Hsieh
25,Edward Brakoniecki
27,Brianna Groh
35,JARED GUMBS
42,Patrick Reilly
48,DOV GOLDMAN
54,Kurt Henning
54,Genevieve Leo
b,r,e,a,k
Dix y Chix,17
0,Cory Ruff
1,Stephen Wolff
6,Stephanie Lamb
9,Katelyn Bozich
10,Spike Pike
13,Evan Gross
17,Eric Page
22,Mallory Griffith
23,Matthew McDaniel
24,Cyd Johnson
27,Niko Jarema
33,Taha Udyawar
