Ohio Valley D-I College Men's Regionals,College - Men ,25,4,2015
University Park,PA,2015-04-25,2015-04-26
https://play.usaultimate.org/events/Ohio-Valley-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/
Pittsburgh,1
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
coaches,Nick Kaczmarek
2,Joseph Bender
3,Patrick Earles
5,Saul Graves
7,Richard Boyle
8,Tyler Kunsa
10,Max Thorne
11,Kyle Hartley
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,PETER MCCLOSKEY
17,Matthew Hanna
18,Stephen Shaw
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
35,KEVIN TANG
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Daniel O'Connor
48,Jimmy Towle
61,Carl Morgenstern
77,Dillon Tranquillo
81,Vince Tranquillo
83,Daniel Wickens
b,r,e,a,k
West Chester,10
teamInfo,West Chester A,"West Chester, Pennsylvania",,,
01,Mike Patuk
02,Dominick Bussanich
03,Chris Schauble
04,Jimmy Thomas
06,Brendan Bittle
07,Zach Owen
08,Steven Cwiakala
10,Christopher Pokorny
12,Dustin Sullivan
15,Jonathan Anthony
17,Devin Foster
18,Dustin Henken
19,Daniel Monts
42,Will Hoehne
43,DANIEL RUTH
49,Emory Blackshir
58,Emanuel  Ramirez
64,Nathaniel Aponte
b,r,e,a,k
Pennsylvania,8
teamInfo,Void,"Philadelphia, Pennsylvania",http://www.dolphin.upenn.edu/ultimate/void/,https://www.facebook.com/groups/2200077065/,https://twitter.com/VoidUltimate
03,Sean Cohen
05,Emilie Mohler
06,Doug Roman
08,PETER ARRIAZA
10,Jason Wright
11,PHILLIP CHENG
13,CHRIS LU
15,Lewis Ellis
18,Connor Boyle
20,Grant Steiger
22,Saran Viswanathan
24,Nicholas Grieger
25,JAMES JANOPAUL-NAYLOR
26,ANDREW BIAESCH
33,Chris Wang
36,David Shields
42,PHILIP CHOU
43,Gabriel Robinson-Barr
44,Brian Vander Schaaf
57,LUCAS SIEGMUND
58,George Yuan
88,Alex Zhao
99,Neil Brett Zhang
b,r,e,a,k
Pittsburgh (B),15
teamInfo,En Sabah Nur-B,"Pittsburgh, Pennsylvania",modules/common/pittultimate.org,,https://twitter.com/pittb_ultimate
1,Adrian Santana
2,Dan Mercader
5,Michael Driskell
6,Chen Su
7,Nick Bozich
8,BLAINE MCCLAY
9,DAVID CROMER
10,Alexander Reisser
14,Kenneth McQuail
15,Richard Szabo
20,ERIK MCLANE
24,Ben Morgenstern
26,Mark Olinger
28,SAM JENNINGS
29,Hafeez Shams
39,ROGER XUE
42,ADRIAN DICKER
44,Matt Walheim
45,David Menard
47,Michael Kujawa
66,KEVIN GLORIUS-PATRICK
70,XAVIER TORGERSON
77,QUENTIN TORGERSON
96,Kamal Raslan
b,r,e,a,k
Cincinnati,2
teamInfo,Cincinnati Ultimate,"Cincinnati, Ohio",,,https://twitter.com/GetBiscuits
0,Kyle Romard
0,ALEXANDER MARK
0,Michael Raabe
0,Nathan Lauback
0,SCOTT ALVERSON
0,Joshua Fisher
2,Alex Flamm
2,Nicholas Betsch
2,Kieran Kelly
5,Sophainara Long
6,Ryan Adams
7,Jacob Turner
15,Zachary Radcliff
18,Kevin Parker
21,Daniel Latz
22,ZACHARY WARNER
23,Steven Kolp
28,JOSHUA BRUGGEMAN
29,Grant  Dinan
30,Zachary Ford
31,Gregory Dinan
33,Justin Latz
41,Adam Turner
43,Stephen Kenny
69,Connor Messmore
b,r,e,a,k
Lehigh,7
teamInfo,L-Train,"Bethlehem, Pennsylvania",,,https://twitter.com/lehighultimate
0,Jeremy Glennon
0,Kevin Scales
0,Brendan Eckardt
0,Carter Hartmann
0,Christopher O'Byrne
1,Chris McTernan
4,Brendan Huber
6,Justin Carter
10,SHANE MCDEVITT
11,Ian Haney
21,Adam Kafka
23,Nicholas Mathison
30,David Bloodgood
33,JACOB MOSER
35,ZIV ARZT
42,Daniel Slesinski
59,Kyle Fischer
77,Ryan Santos
87,KYLE MEGATHLIN
89,Andrew Wagner
b,r,e,a,k
Ohio State,9
teamInfo,Leadbelly,"Columbus, Ohio",modules/common/leadbellyultimate.com,https://www.facebook.com/LeadbellyUltimate,https://twitter.com/pbultimate
0,Adam Green
0,Neil Taylor
0,Eric Momenee
2,DAN ARTERS
3,KEVIN SMEARSOLL
4,Eric Schumacher
6,ETHAN SPADE
7,Cody Fox
7,Anthony Lokar
8,Zachary Weaver
9,Ryan Kindell
11,HAMZA DODO
14,Dan  Mrachko
15,Ethan Stahlman
17,Ben Krumpelman
18,Amifred Williams
19,Paul Arters
20,Andrew Klarner
21,Zach Sieber
23,Benjamin Whiteman
24,JEREMY MOSS
25,Dan Urbanek
35,Mitchell O'Connor
88,Zach Peugh
b,r,e,a,k
West Virginia,16
teamInfo,WVU Ultimate,"Morgantown, West Virginia",,https://www.facebook.com/WVUltimate,https://twitter.com/WVUltimate
0,Justin Lee
0,Eric Lehn
0,Matthew Sabato
0,DANIEL BLOCK
0,Giovanni Gaito
0,Ryan Dennis
0,Mike Seppi
1,Kenneth Headley
9,Kazu Negri
13,THOMAS SANDERS
17,Samuel Munnis
24,Ian Inchausti
25,Glen Smithberger
31,Chandler Smith
52,DANIEL BELL-GARRISON
81,Kyle Robertson
99,Dan Fisher
b,r,e,a,k
Penn State,3
teamInfo,Spank),"State College, Pennsylvania",http://clubs.psu.edu/up/ultimate/,,https://twitter.com/spank_ultimate
0,Richard Devasagayaraj
01,Joseph Hacker
02,Alexander Paulos
03,David Rocco
04,Adam Shrager
07,Victor Shen
09,SAM DELL
10,DEREK KEIGHTLY
11,PAUL PHAM
14,Sean Reiterman
17,Alex Liu
18,DANIEL OFFLEY
19,Fred Wolf
20,Graham Walker
21,Codi Wood
25,Marcus Thaw
27,Matthew Brenfleck
32,Jacob Smith
42,Patrick Kelly
77,Sean Wrobel
86,Brett Wall
91,COLIN MCNULTY
99,MASON STRAWSER
b,r,e,a,k
Case Western Reserve,6
teamInfo,Fighting Gobies[A],"Cleveland, Ohio",modules/common/ultimate.case.edu,,
0,Paul Turiano
0,James Zhang
0,Chen-Haur Yeh
0,Tarik Akyuz
0,Anthony Dario
0,Eli Stoever
0,Michael Kasper
0,Erik Lindberg
0,Jacob Lunn
0,Colin Jaye
0,Max Cormier
0,Bayunt Ollek
0,Benjamin March
0,Jordan Liff
0,Nathan Steinmetz
3,Steven Her
5,Tianzhe Wang
14,Kyle Rogers
23,Alexander Abbott
25,MATT TEDESCO
31,Matthew Chin
43,Jake Rovner
54,Jacob Kessler
b,r,e,a,k
Carnegie Mellon,13
