Western NY D-III College Women's CC,College - Women ,11,4,2015
https://play.usaultimate.org/events/Western-NY-D-III-College-Womens-CC-2015/schedule/Women/CollegeWomen/
Hamilton,4
0,Erin Casey
0,Emma Karsten
0,Hiromi Terai
0,MAUREEN MCDERMOTT
0,Cori Crisfield
0,Julia Dailey
0,Catie Silvestri
0,Isabel O'Malley
1,Vi Pham
6,Hannah Strong
12,Alison Kingston
13,Jessica Crowley
14,Leigh Preston
17,Hannah Meisels
26,Natalie Poremba
27,Kateri Boucher
27,KERRI GRIMALDI
33,Ella MacVeagh
39,Audrey Love
42,EMILY SNIDER
72,MALINDI CHESNUT-TANGERMAN
b,r,e,a,k
SUNY-Geneseo,2
02,Erica Doherty
04,Sarah Secret
05,Allison Fox
06,JENNIFER LOMAKI
07,Nichole Pollard
08,Maya Bergamasco
09,Elizabeth Kuzman-McRae
10,Lauren Bouck
12,Madeline Staiger
14,Kimberly  Rolston
15,Erika Vertigan
16,Courtney Owens
17,Lara Bannister
18,Amanda Kaufman
22,Nazanin Moeini
24,Leeann Ingersoll
26,Mary Kate Ginnane
30,Anna Holcomb
39,Sarah Booker
66,Quinn Hennessy-Snow
b,r,e,a,k
SUNY-Oneonta,1
0,Anna Clark
01,CARLY MIGNONE
03,Christina Coppola
05,RHIANNON SPENCER
08,Angela Petrus
09,Laura Murphy
11,Hayley Mattice
12,Danielle Smith
15,Jamie DeVivo
16,Olivia Brown
17,Kelly Smith
18,MaryKate Carroll
19,Alison Towsley
21,Catherine Feeney
23,Elaine Herron
25,Kathryn Fernandez
29,Kristen Daniel
30,Maris Plymale
38,Kathleen Owen
43,Emily Testa
46,Victoria Pigott
48,Candace Haskell
b,r,e,a,k
Ithaca,3
0,Jamie Kimelstein
0,Haley Brennan
0,Ryan Gravley
0,Raleigh Silvia
0,RACHEL BAMBRICK
0,ALIX GERSHUN
0,LIZ ADAMS
0,Helene Strange
0,ASHLEY GANNON
0,Chloe Trifilio
0,Taylor Zambrano
0,HALEY SMALL
0,Delaney Little
0,CAROLINE WESTBROOK
0,ELAINE OWEN
0,Olivia  Pockette
0,Lindsay Darlow
0,Jessica Saideman
0,Karyn Walsh
0,Madeleine King
0,Laurel Chase
0,katie rosekrans
20,Emily Barrett
29,PAOLA AYALA
b,r,e,a,k
s,t,a,g,e,s
pools,Pool play
pool,Pool A
SUNY-Oneonta,Ithaca,13,3,"04/11/2015, 09:00",Pool A
SUNY-Geneseo,Hamilton,5,7,"04/11/2015, 09:00",Pool A
SUNY-Oneonta,Hamilton,6,8,"04/11/2015, 10:30",Pool A
SUNY-Geneseo,Ithaca,12,1,"04/11/2015, 10:30",Pool A
SUNY-Oneonta,SUNY-Geneseo,2,9,"04/11/2015, 12:00",Pool A
Ithaca,Hamilton,3,12,"04/11/2015, 12:00",Pool A
b,r,e,a,k
brackets,Championship bracket
bracket,1st place
bracket,2nd place
b,r,e,a,k
