Northeast Men's Regionals,Club - Men ,12,9,2015
Devens,MA,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Northeast-Mens-Regionals-2015/schedule/Men/Club-Men/
Ironside,1
teamInfo,,"Boston, Massachusetts",http://www.bostonironside.com/,,
coaches,Josh McCarthy,Jacob Luria,Matt Rebholz
0,Jacob Taylor
01,Josh Markette
05,Christoph Koeble
06,James Smart
07,William Neff
08,Alex Cooper
09,Eli Motycka
10,Tyler Chan
11,Christian Foster
12,Alex Simmons
13,Tom Annen
14,Miles Montgomery-Butler
15,Tannor Johnson
17,R. Thomas Sayre-McCord
18,Jim Foster
21,Misha Herscu
22,Jordan Queckboerner
23,Mark Vandenberg
24,David Reshef
25,John Stubbs
27,Jack Hatchett
28,Benjamin Katz
42,Teddy Browar-Jarus
77,Danny Clark
84,Alex Kapinos
b,r,e,a,k
GOAT,3
teamInfo,,"Toronto, Ontario CA",http://goatultimate.wix.com/main,https://www.facebook.com/GOATultimate,https://twitter.com/GOATultimate
coaches,Scott Hastie
0,Cameron Burden
02,MIKE JONES
03,Andrew Carroll
07,KARL-FRéDéRICK LOISEAU
09,Derek Alexander
12,Remi Ojo
13,JONATHAN MARTIN
15,Jacky Hau
17,Isaiah Masek-Kelly
18,Toly Vasilyev
19,Thomson McKnight
20,Jeff Lindquist
21,Geoffrey Powell
23,TREVOR HENRY
27,Nathan Hirst
30,Greg Ellis
41,GORDON HARRISON
43,Andrew Ouchterlony
45,David Hochhalter
61,Sachin Raina
64,NIMA MOSTAGHIMI
72,Iain MacKenzie
81,Adrian Yearwood
82,Jay Boychuk
91,Cameron Harris
b,r,e,a,k
Dark or Light,4
teamInfo,,"Amherst, Massachusetts",,,https://twitter.com/DorLultimate
0,Eric Biggs
00,Darden Pitts
00,SAMUEL RICHARDSON
00,Isaiah Robison
00,Robin Stewart-Demartino
00,Spencer Diamond
00,Evan Johnson
00,Brian Rodriguez
00,Russell Wallack
00,Wesley Johnson
00,Bill Stewart
00,Leland Rege-Colt
00,Solomon Maerowitz-McMahan
00,Timothy Bobrowski
00,Luke Webb
00,Brent Anderson
00,JAMES BRESS
00,Joe Costello
00,Manit Munshi
00,Jeffrey Babbitt
00,Jeremiah Berlin
00,GEORGE MILNE
00,Benjamin Tseytlin
00,Greg Wobst
00,Jeffrey Dreyfus
00,Kai DeLorenzo
00,Ryan Rzepka
b,r,e,a,k
PoNY,2
teamInfo,,"New York, New York",modules/common/www.pony-ultimate.com,https://www.facebook.com/ponyultimate,https://twitter.com/PrideofNY
0,Chris Kocher
0,William Katz
0,Michael Brenner
0,Gary Dixon
0,Kevin Norton
0,Michael Drost
0,Alon Brown
0,Jon Cox
0,David Abbott
1,Markian Kuzmowycz
4,ANDREW WILKES
6,Chris Mazur
7,Clark Cofer
7,Taylor Brooks
8,Jack Marsh
10,David Ferraro
13,Alberto Alarcon
14,David Vuckovich
16,Samuel Taylor
24,Daniel Glatt
27,Lionel Wininger
31,John Wodatch
33,Jake Herman
33,Luke Wolckenhauer
42,Ben Van Heuvelen
43,Josue Alorro
50,Milo Snyder
b,r,e,a,k
Mockingbird,9
teamInfo,,"montréal, Quebec CA",,https://www.facebook.com/mockingbirdultimate?fref=ts,
1,GUSTAVO CASTANO
00,Antoine Lepagnol
03,RAYNALD NEMOURS
09,Andre Arsenault
10,Jean-Levy Champagne
12,Philippe Thivierge
15,DANNY DESBIENS ALARY
17,ANTOINE GENEST
20,Nicolas Brochu
21,Gabriel Monfette
22,Christian Mathieu
23,LOUIS-PHILIPPE F. DION
25,Nicolas Vanasse
27,MIGUEL GODERRE
29,Simon Ayotte
34,SéBASTIEN PERRON
44,FRANCIS MARTEL
52,Louis-Pierre Lauzon
64,Simon Charette
82,BASILE LIMOGES
83,Cédric Aubut-Boucher
86,Jean-Philippe Riopel
b,r,e,a,k
Garuda,5
teamInfo,,"Boston, Massachusetts",modules/common/GarudaUltimate.com,modules/common/www.facebook.com/BostonGaruda,https://twitter.com/garudaultimate
coaches,Micah Flynn,BEN DAVIS
0,TERRY ROTH
0,Timothy Spittle
0,DYLAN WOLFF
0,Andrew Hooker
0,Hartley Greenwald
0,Brian Clarkson
0,Carl Frederik Brasz
0,Michael Sender
1,Alex Foo
2,Henry Brecher
4,Tanner Halkyard
4,Maxwell Rick
5,Jordan Taylor
7,DAMIEN LAZAR
8,Thomas Edmonds
9,Samuel Lehman
10,Victor Luo
11,Mat Little
12,Mac Hecht
14,Devon Williams
19,David Berney Needleman
25,Emmett Blau
27,Justin Ondrof
27,Ryan Brown
30,Wynn Tucker
33,Jonah Guerin
83,Alex Dagley
b,r,e,a,k
Genny Tall Boys,11
teamInfo,,"Rochester, New York",,,
0,Jason Demaso
0,Brian Kibler
0,Ian Dipace
0,Emmett Wilson
0,JUSTIN ILOWITE
0,Matthew Rybak
0,Jonathan Bain
0,JONAH BOUCHER
0,CHRISTOPHER LIESS
0,David Berg
0,Christopher Enderby
2,Douglas Urbino
5,Ken (KJ) Dziak
5,Richard Lange
6,THOMAS WIGHT
8,Connor Fortin
8,Dan  McCune
11,Patrick Stegemoeller
11,Tim Kominos
18,Matthew Cameron
20,Joseph Becker
21,Samuel Carletta
81,Kevin Quinlan
88,Nate August
b,r,e,a,k
Phoenix,10
teamInfo,,"Ottawa, Ontario CA",,https://www.facebook.com/ottawa.phoenix,https://twitter.com/phoenixultimate
0,MIKE LEE
0,Kinley Gee
0,John Snow
0,Russ Nicolls
0,Kielan Way
0,Nick Boucher
0,KEN ALEXANDER
0,BEN MUSSELL
2,Mathew Berg
3,Scott Westwell
4,Luke Phelan
4,Alec Arsenault
5,Jordan McGregor
8,DAVID JANSSEN
11,Owen Watt
12,Matthew Hogel
13,ANDY COREY
19,Bryce Ring
21,Colin Froats
22,Lance Blackstock
24,Paul Renaud
60,ALEX MCCARDLE
73,David Kaufman
b,r,e,a,k
NXTMNS,16
teamInfo,,"Toronto, Ontario CA",,,
06,George Ahumah
06,Jaret Meron
06,JOSH MERON
06,Mikael Zappetti
06,STEVEN LEE
06,BRYAN YUE
06,Daniel Wong
06,EAMONN PINTO
06,LIAM BRADFORD
06,Michael (Mike) King
06,DAN HUYNH
06,Kevin Horgan
06,ANDREW LEO
06,Jonathan (JJ) Edwards
06,ALEX VLAHOS
06,Sam Paiva
06,Jordan Ing-Chen
06,ANDREW WATTS
06,Brett Tan
06,Connor Armstrong
06,Jason Huynh
06,KEANE KNAPP
b,r,e,a,k
Red Tide,8
teamInfo,,"Portland, Maine",modules/common/www.redtideultimate.com,,
0,AIDAN PENN
0,Alexander Rosati
0,FINN MELANSON
0,Ross Perry
0,Toby Jacobs
0,Michael Leding 
0,Evan Holliday
0,Andrew (Andy) Aikens
0,Alberto Morales
0,Robert Doane
0,Lucas Hickok
0,Troy Goddu
0,Henry Babcock
0,Michael Pistrang
0,Daniel Butler
7,Jonathan Gilbert
9,Stephen Banning
12,Michael Carando
12,Raynor Large
13,Chase Baker
13,NICHOLAS PLUMMER
19,TIMOTHY BOIT
31,Neil Franklin
34,Cameron Jack
71,Denis Maguire
b,r,e,a,k
Youngbloods,12
teamInfo,,"New York, New York",,,
coaches,Brandon Contarsy
01,Taylor Rasco
02,Samuel Pollack
03,Evan Ma
04,Jaime Perez
05,Matthew Thomas
06,Miles Eckardt
07,Brett Kaiser
08,Charlie Holtz
09,Chris Nelson
10,Dean Acheson
11,Stefan Dicker
12,Max Cohen
13,Jay Sehgal
15,Rohith Rao
16,Matthew Mclaughlin
18,James Thurm
19,Juleon Robinson
20,Daniel Eppstein
23,Bennett Taren
24,Evan Carter
29,Benjamin Attal
31,Alexander Roche
51,Calvin Vannoy
55,Jonathan Kwan
80,Gerald Tigol
88,J. Zachary Saffa
94,James  O'Connell
b,r,e,a,k
Bruises,13
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/bruisesultimate,https://twitter.com/bruisesultimate
01,Patrick Jerome
02,Ryan Cardinal
04,Ryan Woodhouse
05,ERIC STEINBROOK
06,Adam Logan
07,Dennis Maclaine
08,BRIAN BEAULIEU
09,John Sullivan
10,Alex Caulfield
11,Patrick Collins
12,BRENDAN NICHOLS
13,CHARLES MCBRIDE
14,Anthony Bevilacqua
15,Craig Bunce
17,DEREK STEVENS
21,Brian Munroe
22,Bryan Finney
23,Andy Fleming
24,Travis Ellyson
33,Micah Botkin-Levy
35,Russell Katz
46,AJ Hutchins
73,Brendan Blaney
81,ERIC RATHBUN
88,Jason Freedman
98,Zackery Smith
b,r,e,a,k
Red Circus,14
teamInfo,,"Halifax, Nova Scotia CA",,,
0,Robert Mills
0,Benjamin Oakley
0,David Sharpe
00,David Archibald
00,Chris Gordon
00,ALEX HINCHEY
00,John Walsh
00,Travis Foster
00,Aidan Brown
00,Garrett Jung
00,Paolo Mascarin
00,Dennis Trainor
00,Martin James
00,Luke Martelli
00,Sam Cameron
00,Scott Hansen
00,Chris Cowper-Smith
00,MICHAEL THORNE
00,Reg Surette
00,Josh Millard
00,patrick Berrigan
00,James McKenna
00,Tyler Smith
00,Hannes Becker
21,Gavin Gray
41,Tim MacIsaac
82,Donald Patterson
b,r,e,a,k
Colt,6
teamInfo,,"Southington, Connecticut",,,
0,Jeffrey Adams
0,Kyle Saroka
0,Pat Kunkel
0,Daniel Reilly
0,RYAN POSSARDT
0,Bryan Forman
0,Gavin Clemmey
0,Corey Danko
0,Andre Martinez
0,Brian Varis
0,Luke Diorio
0,Garrett Bowen
9,Patrick Laramee
9,Maxwell Langevin
14,Joseph Ouellette
20,Will Percival
25,Richard McFadden
25,Jake Hansen
28,Ben Weyers
32,Zach Grappone
37,David Griffin
50,Brendan Loyot
52,Ryan Strobel
66,Garrett Santi
81,Alex Morrone
99,Timmer Farrell
b,r,e,a,k
Big Wrench,7
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.weebly.com/,https://www.facebook.com/BigWrenchUltimate,https://twitter.com/BigWrenchUlt
01,ELIAS KAHAN
02,LOCK WHITNEY
03,Robby Perkins-High
04,Jacob Saunders
05,Hansen Yang
07,Andrew Zaccardi
08,Michael Voelpel
09,Noah Newberger
10,NICHOLAS SILBART
11,DAN FORSETER
12,TREVOR SANDERS
13,JOSH ADLER
14,Patrick Kelsey
17,Samuel Zuckernik
19,Jason Shnipes
23,KEVIN SPARACINO
24,Jesse Wolf
27,Matthew Rogers
27,Jordan Kaufman
30,Sam Kittross-Schnell
32,David Lyle
34,Benjamin Gagne-Maynard
35,Piers MacNaughton
42,Benjamin Wittenberg
63,Victor Zhivich
b,r,e,a,k
Westchester Magma Bears,15
teamInfo,,"Yorktown Heights, New York",,https://www.facebook.com/WestchesterMagmaBears,https://twitter.com/MagmaBearUlti
00,Nicolas Dacey
01,Andrew Purugganan
02,James Friscia
03,ALAN BRANSON
04,Darren McAuliffe
05,JOSHUA KLEIN
07,Yukinobu Tanimoto
09,Parker Rennels
13,Kevin O'Brien
14,Alex Jayakar
16,Matthew McGann
17,John Walsh
23,Angelo Olcese
24,Christopher Losapio
25,Chris Fox
34,Christopher Novielli
35,Michael Pardo
48,Jake Kaufman
52,Anton Boutkov
54,Jared Robinson
55,JAKE STEVELMAN
62,Chris Bonifati
77,Isaiah Casiano
81,ZACH POZNIAK
84,Matt Lubitz
88,Michael Lovisa
99,Adam Konwerski
b,r,e,a,k
s,t,a,g,e,s
brackets,Bracket Play
bracket,1st Place Bracket
Ironside,GOAT,15,12,"09/13/2015, 10:00",1st Place Finals,Final
Ironside,Dark or Light,15,10,"09/12/2015, 16:30",1st Place Semis,Final
GOAT,PoNY,15,10,"09/12/2015, 16:30",1st Place Semis,Final
Ironside,Mockingbird,15,5,"09/12/2015, 12:30",1st Place Quarters,Final
Garuda,Dark or Light,13,15,"09/12/2015, 10:30",1st Place Quarters,Final
GOAT,Genny Tall Boys,1,0,"09/12/2015, 12:30",1st Place Quarters,Final
Phoenix,PoNY,11,15,"09/12/2015, 12:30",1st Place Quarters,Final
Ironside,NXTMNS,15,8,"09/12/2015, 10:30",1st Place Prequarters,Final
Mockingbird,Red Tide,15,8,"09/12/2015, 10:30",1st Place Prequarters,Final
Garuda,Youngbloods,1,0,"09/12/2015, 08:30",1st Place Prequarters,Final
Bruises,Dark or Light,8,15,"09/12/2015, 08:30",1st Place Prequarters,Final
GOAT,Red Circus,15,5,"09/12/2015, 08:30",1st Place Prequarters,Final
Genny Tall Boys,Colt,14,11,"09/12/2015, 08:30",1st Place Prequarters,Final
Big Wrench,Phoenix,7,15,"09/12/2015, 08:30",1st Place Prequarters,Final
Westchester Magma Bears,PoNY,4,15,"09/12/2015, 08:30",1st Place Prequarters,Final
bracket,2nd Place Bracket
