Nucci's Cup 2015,Club - Men ,15,8,2015
Princeton,NJ,2015-08-15,2015-08-16
https://play.usaultimate.org/events/Nuccis-Cup-2015/schedule/Men/Club-Men/
Red Tide,12
teamInfo,,"Portland, Maine",modules/common/www.redtideultimate.com,,
0,Alberto Morales
0,Troy Goddu
0,Toby Jacobs
0,Ross Perry
0,Lucas Hickok
0,Evan Holliday
0,AIDAN PENN
0,Henry Babcock
0,Alexander Rosati
0,Michael Pistrang
0,Josh Imhoff
0,Andrew (Andy) Aikens
0,Daniel Butler
0,Jackson Berman
0,KYLE MEGATHLIN
0,Andre Clement
7,Jonathan Gilbert
9,Stephen Banning
12,Michael Carando
12,Raynor Large
13,NICHOLAS PLUMMER
13,Chase Baker
19,TIMOTHY BOIT
31,Neil Franklin
31,Jared DeWolfe
34,Cameron Jack
71,Denis Maguire
b,r,e,a,k
Garden State Ultimate,1
teamInfo,,"Princeton, New Jersey",,,@gardenstateulti
coaches,Eileen Murray
0,Neil Butler
0,Peter Kalmakis
0,Andrew Manganelli
0,RYAN SCHWARTZ
0,Jacob Price
0,Wesley Chen
0,Marc Sands
0,Sean Mott
0,Matthew Wilson
0,Andrew O'Connor
0,DEREK YAN
1,Matt Chun
4,Gregory Stolowski
5,FRANKLIN LI
6,Jibran Mieser
6,Justin Carter
8,Peter Jimenez
9,Kevin Wang
10,Shashank Alladi
11,Scott Xu
25,Charlie Patten
61,Matthew Weintraub
77,Bo Li
80,John Irvine
82,Marques Brownlee
84,Christopher McGlynn
b,r,e,a,k
8$OLD (SOL),7
teamInfo,SOL,"State College, Pennsylvania",,,
0,MATT JERRY
0,COLIN MCNULTY
0,Jacob Belitsky
0,Richard Devasagayaraj
0,Brian Nevison
0,Aki Ohdera
0,Brian Magerr
0,Victor Shen
0,MASON STRAWSER
0,JOHN (JACK) KELLY
0,Thomas Allen
2,Matt Snyder
2,Alexander Paulos
10,MATT OLAH
10,Jeff Kiel
12,Jacob Smith
21,Brendan Reed
21,Codi Wood
24,Adam Shrager
25,Nate Long
25,Marcus Thaw
44,JOHN HOPKINS
66,Robert Jenkins
86,Brett Wall
97,JOE TYLUTKI
b,r,e,a,k
John Doe,6
teamInfo,,"Washington, District of Columbia",,,
0,Ross Kinsman
0,Nathan Arnosti
1,Alex Smith
2,Adam Stafa
3,Miguel Mejia
4,COREY CASARELLA
5,Trevor Griesman
9,Owen Williams
10,Greg Esser
13,Drew Lockhart
14,Gabriel Webster
15,Glenn Poole
16,BURKE NASH
17,Michael Moses
18,Scott Long
20,Samuel Brecker
27,Collier Cobb
42,Caleb Ward
43,Tim Spiridonov
44,Gunnar Olgren
47,Graham Katz
64,Dusty Rhodes
68,Scotty Crabtree
88,Kevin Healey
b,r,e,a,k
Dark or Light,5
teamInfo,,"Amherst, Massachusetts",,,https://twitter.com/DorLultimate
0,Leland Rege-Colt
0,Solomon Maerowitz-McMahan
0,Timothy Bobrowski
0,Brent Anderson
0,JAMES BRESS
0,Joe Costello
0,Jeffrey Babbitt
0,Jeremiah Berlin
0,GEORGE MILNE
0,Benjamin Tseytlin
0,Greg Wobst
0,Jeffrey Dreyfus
0,Ryan Rzepka
0,John Korber
0,Spencer Diamond
0,Evan Johnson
0,Brian Rodriguez
1,Luke Webb
9,Robin Stewart-Demartino
14,Kai DeLorenzo
21,Manit Munshi
b,r,e,a,k
Town Hall Stars,2
teamInfo,,"College Park , Maryland",,,https://www.twitter.com/townhallstars
0,Tim Kreutzfeldt
0,Kevin Ludwig
0,Robert Krasnansky
0,DANIEL MONGEON
0,Taylor Knapp
0,Eliot Fenton
0,Nate Pascale
0,Matthew Dahlhausen
0,Ryan Swift
0,Peter Mancini
0,William Xu
3,Eric Biggs
7,MARSHALL SCHROEDER
8,Sean Reischel
8,Walker Hatchett
12,Christopher Bernard
12,DOUGLAS LAVIN
14,Mac Keller
19,Colin Versteeg
20,Isaac Kinton
21,Max Cassell
21,KENNETH JARVIS
37,Chip Selden
43,Nathan Prior
74,Andrew Creighton
87,MARK MIFSUD
b,r,e,a,k
Takers,8
teamInfo,,"Trenton, New Jersey",,,
0,Eric Gallagher
2,Zachary Sands
3,Ryan Moyer
4,ROSS FRY
6,Brice Dunn
7,SAM PEEZICK
9,Cole Drummond
10,Jonathan Casey
11,Sam Morgan
14,Jeff Perosi
15,Sean Maxcy
18,Jake Doyle
19,Dustin Damiano
20,Jesse Gormley
21,Harrison Treegoob
22,Isaac Saul
25,PAVEL KARAVAYEV
26,Christian Duess
31,Paul Klimkowski
31,Casey Startzell
32,Robert Walker
37,Ryan Coughlan
51,Greg Owens
55,Kevin Venose
76,Brian Williams
79,David Hampson
88,Nikki Philip
b,r,e,a,k
PowderKeg,11
teamInfo,,"Wilmington, Delaware",http://www.powderkegultimate.com/,,
00,Joshua Romani
00,Jason Hoover
00,CHRISTOPHER NUNN
00,BENJAMIN ALTER
00,GREGORY YOUNG
00,Joshua Twilley
00,Edwin Finley
00,Eric Hoover
00,Gregory Furlong
00,GEOFFREY WOO
00,Andrew Collins
00,John Emore
00,JONATHAN HOLLOWAY
10,T MARTIN
b,r,e,a,k
Turbine,3
teamInfo,,"Durham, North Carolina",,,
0,Andrew Cohen
0,MIKE BODE
2,Charlie Muniz
3,Dean Culver
6,John Johnston
7,Preston Earp
8,Byron Liu
9,Danton Noriega-Goodwin
08,Matthew Rushing
10,Brad Ward
11,Evan Howey
14,Stephen Poulos
15,Kerry Green
16,Sean Kelley
17,Dylan Shields
19,Schuyler Kylstra
20,Tanner Gardner
22,taylor minch
23,Jeff Nordgren
24,LUIS ROYO ROMERO
27,Curtis Bowman
33,Jesse Lieberman
71,Clint McSherry
79,Matt Bode
86,Lance McNicoll
b,r,e,a,k
Genny Tall Boys,9
teamInfo,,"Rochester, New York",,,
0,Brian Kibler
0,Ian Dipace
0,Emmett Wilson
0,JUSTIN ILOWITE
0,Matthew Rybak
0,Jonathan Bain
0,CHRISTOPHER LIESS
0,David Berg
0,Christopher Enderby
2,Douglas Urbino
8,Dan  McCune
8,Connor Fortin
11,Tim Kominos
11,Patrick Stegemoeller
18,Matthew Cameron
20,Joseph Becker
21,Samuel Carletta
81,Kevin Quinlan
88,Nate August
b,r,e,a,k
Slag Dump,4
teamInfo,,"Pittsburgh, Pennsylvania",,,https://twitter.com/pghslagdump
0,Liam Rosen
0,Jonah Wisch
0,Carl Morgenstern
0,DAVID CROMER
0,Daniel Goldstein
0,Ian Whitman
0,Eric Tagliaferre
0,Matthew Hanna
0,John Buss
2,Matt McGoogan
6,Chen Su
17,PETER MCCLOSKEY
20,Graham Walker
24,Sam VanDusen
32,Steven Mogielski
42,Ben Morgenstern
50,Jon DeAmicis
b,r,e,a,k
Bear Proof,10
teamInfo,,"Harrisburg, Pennsylvania",,https://www.facebook.com/BearProofUltimate,
5,Anthony Bowers
01,JJ Lloyd
07,John Stavinga
08,BLAINE MCCLAY
10,Dustin Henken
11,Christian Becker
12,DANIEL HILL
14,Andrew Trinh
15,Wes Geisenberger
17,JOSEPH PRIFF
19,Eric Helm
20,Philip Williams
27,Mark Kurtz
28,TREVOR LANDIS
49,Ian Preston
81,Jonathan Hoffman
b,r,e,a,k
Garden State Thruway,19
teamInfo,,"Princeton, New Jersey",,,
0,Alex Liu
0,Jason Thompson
0,Christopher Alaimo
0,Jeffrey Nelson
0,Benjamin Haim
0,Patrick Callahan
0,David Hsiung
0,BRIAN MONK
0,Migal Manickaraj
1,ANDREW LEE
4,Robert Altieri
5,Kevin Tam
6,Dmitry Suvorov
12,Sean Treacy
17,Curtis Wang
28,Colin Aitken
b,r,e,a,k
Caliber,18
teamInfo,,"Southington, Connecticut",,,
0,William Cordes
0,Travis McGrath
0,Gregory Jositas
0,COLEMAN STOLTZE
2,Ryan Kerr
10,Jonathan Lao
13,Elton Zhou
13,Michael Schriefer
15,Joshua Poisson
21,Zac Sequeira
21,Jonathon Chann
24,Nitesh Desai
47,Robbie Kohler
51,Vincent Buffa
81,MICHAEL WOODS
b,r,e,a,k
Beltway Bullets,13
teamInfo,,"Washington, District of Columbia",,,https://www.twitter.com/beltwaybullets
0,Anthony Bernard-Sasges
0,Alexander Davis
0,Marc Gottschalk
0,Andrew Bent
0,Ben Frattini
0,Kyle Johnson
0,MICHAEL MCGRATH
0,Jeremy Neff
0,MATTHEW FRIED
0,Matthew Kostman
0,LUKE CARTER
0,Gabriel Fernandez
0,Dominik Heynen
0,EVAN ROMANKO
0,Taylor Culman
9,Fred Wolf
12,Andrew Ziegler
