Florida Winter Classic 2015,College - Women ,17,1,2015
Orlando,FL,2015-01-17,2015-01-18
https://play.usaultimate.org/events/Florida-Winter-Classic-2015/schedule/Women/CollegeWomen/
Northeastern,4
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/men/newsite/blogs/index.php?blog=4,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,https://twitter.com/ValksUltimate
coaches,Jason Adams,Courtney Kiesow,Chelsey Burrows
0,Hilda Doan
6,Lauren Bertino
05,Eleanor Patten
09,Harriet Booth
10,Shawn Zubin
11,ALEXANDRA ROSIN
12,Nicole Canning
13,Shelby Parton
14,Mei Bruist
15,Julianne Kloza
21,Jacqueline Firsty
22,Melissa Ellis
26,Ariel Bloch
28,SAMANTHA RATE
33,Samantha Gray
36,Elizabeth Way
37,Hannah Walter
38,Maggie Soto
43,TINA VIVIO
49,Heather Fielding Gebhardt
53,Katerina Stephan
64,Tracey Lum
b,r,e,a,k
Ohio State,1
teamInfo,Fever,"Columbus, Ohio",http://feverultimate.org.ohio-state.edu/,www.facebook.com/OSUFever,https://twitter.com/FeverUltimate
coaches,DeAnna Ball
01,Jackie Matonis
02,CATELEN RAMSEY
03,Alaine Wetli
05,Stephanie (Stevie) Miller
11,Sadie Jezierski
12,Katie Backus
14,Emily Steedman
16,Corinn Pruitt
19,Jenna Galletta
20,Erika Murray
22,Mary Turner
25,Alora Reiff
37,Sarah Bushman
42,Rachael Beeman
44,Malika Smoot
47,Amy Zwarycz
57,Kelly Rusin
71,Caitlin Duffner
88,MICKELLEA TENNIS
95,Kristen Behrens
b,r,e,a,k
Georgia,8
teamInfo,Dawgma,"Athens, Georgia",http://ugadawgma.weebly.com/,,https://twitter.com/UGADawgma
0,Cieara West
0,Lilian Zhu
0,Shannon Parsons
0,Heather Kelley
4,Elaine Duong
03,OLIVIA KING
05,Gracie White
06,Jennifer Farrell
07,Lane Siedor
08,Hannah Leathers
09,MADISON WOCHELE
10,Demi Chandler
12,Erin Chun
16,Molly Fisher
17,Katherine Jennings
19,ALYSSA SANDERS
21,MELISSA MERRILL
22,Suzannah Hope Blackshear
25,Katherine Hines
29,ALLY PIXLER
b,r,e,a,k
Texas,5
teamInfo,Melee,"Austin, Texas",http://texaswomensultimate.github.io/home/,https://www.facebook.com/utexasultimate,https://twitter.com/txmelee
0,Marissa Land
3,Domenica Sutherland
00,Rachel Arthur
05,Andrea Esparza
07,KELLY LAVINE
10,Gaby Cuina
12,Rachel Wong
14,Kimberly Sun
15,Sydney Overman
