USA Ultimate National Championships,Club - Women ,1,10,2015
Frisco,TX,2015-10-01,2015-10-04
https://play.usaultimate.org/events/USA-Ultimate-National-Championships-2015/schedule/Women/Club-Women/
Brute Squad,1
teamInfo,,"Boston, Massachusetts",,,
coaches,Ariel Jackson,Michael Zalisk
01,Sophia Herscu
02,Courtney Kiesow
04,Lien Hoffmann
04,Courtney Verhaalen
05,Magon Liu
06,Claudia Tajima
07,Kameryn Groom
09,Rebecca Ludford
10,Amber Sinicrope
11,Christie Kim
12,Dory Ziperstein
13,Becky Malinowski
14,Paula Seville
17,Angela Zhu
18,Leila Tunnell
20,Sarah Cook
21,Chelsea Murphy
22,Victoria Negus
23,Emily Baecher
24,Rachael Westgate
25,Shira Klane
26,Elana Schwam
28,Shellie Cohen
33,Laura Bitterman
39,Sydney Dobkin
44,FLANNERY MCARDLE
71,Cassandra Wong
b,r,e,a,k
Nightlock,8
teamInfo,,"Bay Area, California",nightlockult.com,facebook.com/nightlockult,@nightlockult
coaches,ABHIJIT BHATTACHARYA,PERI KURSHAN
0,Mallory Meiser
02,Marisa Rafter
03,Loryn Kanemaru
06,Monisha White
07,Claire Sharman
08,Rachel Habbert
09,Alexandra Stambaugh
10,Malina Wiebe
11,Iris Leung
12,Heather Waugh
13,Marie Laurenza
14,Emily Kolanz
15,KATHRYN (KATIE) BARRY
16,Jennifer Founds
17,Abigail Edwards VanMuijen
18,SHANNON BUBB
19,Adrienne Lemberger
20,Bree Cahn
23,Sally Mimms
24,Natasha Won
25,Audrey Wei
26,Teresa Feng
27,Kira Lou
33,Carol Chen
77,Emily Prader
88,Alina Kagan
b,r,e,a,k
Heist,12
teamInfo,,"Madison, Wisconsin",http://heistultimate.wordpress.com/,https://www.facebook.com/heistultimate,https://twitter.com/HeistUltimate
02,Rachael Romaniak
03,Liza Minor
04,Robyn Fennig
05,Rose Glinka
06,CLAIRE JENCKS
08,Adrienne Wells
09,Haley Hudson
10,Alison Vandegrift
11,Eva Popp
12,Jasmine Draper-Matthew
13,Brittney Kokinos
