Easterns 2015,College - Men ,27,3,2015
North Myrtle Beach,SC,2015-03-27,2015-03-29
https://play.usaultimate.org/events/Easterns-2015/schedule/Men/CollegeMen/
Pittsburgh,1
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
coaches,Nick Kaczmarek
2,Joseph Bender
3,Patrick Earles
5,Saul Graves
7,Richard Boyle
8,Tyler Kunsa
10,Max Thorne
11,Kyle Hartley
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,PETER MCCLOSKEY
17,Matthew Hanna
18,Stephen Shaw
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
35,KEVIN TANG
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Daniel O'Connor
48,Jimmy Towle
61,Carl Morgenstern
77,Dillon Tranquillo
81,Vince Tranquillo
83,Daniel Wickens
b,r,e,a,k
Georgia,12
teamInfo,Jojah,"Athens, Georgia",modules/common/www.jojahultimate.com,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
coaches,Benjamin Gray,NATHAN KELLEY
0,Neal Raines
0,John Langstaff
0,Sebastian Di Francesco
0,NATHAN HASKELL
0,RILEY  ERICKSON
2,Joseph Lavine
3,CHRIS ROGERS
4,Aidan Rogers
5,Elliott Erickson
7,Parker Bray
9,Samuel Little
10,Adam Burgess
13,MICHAEL PETERS
19,RYAN PAPPAFOTIS
20,Derek Cooper
21,Sheryar Ali
23,MATTHEW ROBINSON
28,Tyler Haskell
34,George Summers
38,SOHAUM PAUL
77,Wright (William) Dickerson
82,Sam Batson
87,Gino Mattace
b,r,e,a,k
Massachusetts,8
teamInfo,Zoodisc,"Amherst, Massachusetts",,,
1,Conor Dowling
2,Patrick Barron
3,Elliot Lee
4,Ciaran Shaughnessy
5,Jackson Barron
7,Maxwell Perham
8,Ben Sadok
10,Wesley Johnson
11,Conor Kline
14,Gabriel Schmitt
18,Brett Gramann
19,GEORGE MILNE
21,Manit Munshi
22,Benjamin Tseytlin
23,PAUL TRAVERS
27,DANIEL ROACH
28,Aaron Raskin
31,Jeffrey Babbitt
33,William Thornton
34,Jeffrey Dreyfus
44,Giancarlo Cincotta
47,Alec Zabrecky
76,Solomon Maerowitz-McMahan
80,Chris Bartoli
84,COLIN HANNAHAN
b,r,e,a,k
Carleton College,13
teamInfo,CUT),"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
coaches,Philip Bowen
0,Robert Olney
0,Cameron Hastings
0,Alexander Walker
1,James Freed
2,Solomon Yanuck
3,Eli Miller
5,LOUIS COHEN
7,Jesse Bolton
8,Alex Olson
9,Henry Fisher
10,John Raynolds
11,DUNCAN SALLSTROM
14,Kenneth Lim
15,Eric Taylor
16,ANGUS LAMONT
17,Alexander Trautman
23,Sef van Kan
26,Devin Oliver
27,Elliot Mawby
33,Conor Eckert
50,Nick Petru
55,Jake Ritmire
91,Russell Hanson
95,Natan Lee-Engel
b,r,e,a,k
Illinois,20
teamInfo,Illinois Ultimate,"Champaign, Illinois",modules/common/www.illinoisultimate.com,https://www.facebook.com/pages/Illinois-Ultimate/139887979390815,https://twitter.com/IlliniUlti
0,Max Willis
0,Joe Moyles
0,Grant Hallan
0,SCOTT LUNARDINI
0,Johnny Saniat
0,JONATHAN MCKOY
0,Ben Foster
0,MARK PETERSON
0,Eric Bultman
0,Marty Markenson
0,PRAYAG  PATEL
0,MICHAEL POHLING
1,NICK PROZOROVSKY
8,Matt West
19,Jacob Komenda
21,Jarred Elliott
23,Tyler Denooyer
27,Wilson Wang
46,KEVIN BIRCHOK
69,Eric Badger
81,Chris Buchta
97,Kevin Lin
b,r,e,a,k
North Carolina-Wilmington,2
teamInfo,Seamen,"Wilmington, North Carolina",http://seamenultimate.com/,https://www.facebook.com/seamenultimate,https://twitter.com/seamenultimate
coaches,GREGORY VASSAR,Brian Casey
0,John  Wright 
0,GABRIEL FULLER
0,Kevin Mateer
0,Carlton  Rouse
0,JAMES ROYAL
0,JAMES HARUM
0,Austin McGrayne
0,MATT MASON
0,Xavier Maxstadt
0,Jason Alexander
0,Charlie Lian
0,Jack Williams
0,DANIEL MERCER
0,Erik Esposto
0,WILKIN HANAWAY
2,Carl Matysek
3,Cale Ward
6,Kyle Warfel
9,Frederick Hennighausen
10,William Stewart
10,Luke Hancock
18,Grayson Sanner
25,Jake Gallagher
42,Jonathan Callahan
56,Kyle Gibbons
99,PARKER GRISSOM
b,r,e,a,k
Wisconsin,7
teamInfo,Hodags,"Madison, Wisconsin",modules/common/www.hodags.org,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256,https://twitter.com/hodaglove
coaches,Hector Valdivia
0,BRIAN NOVOTNY
6,Gordon Peterson
02,Branavan Yogarajah
03,Nicholas Vogt
07,Avery Johnson
09,Erik Jorgensen
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
16,DANIEL  STULIGROSS
17,Thomas Gallagher
20,NICK ZEMAN
22,Aaron Speiss
23,Graeme Kernick
24,Walter Cai
25,Ross Barker
26,Eric von Kampen
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
57,Austin Reif
84,CRAIG COX
99,Brandon Taitt
b,r,e,a,k
Florida,11
teamInfo,Florida,"Gainesville, Florida",http://gvilleultimate.com/,https://www.facebook.com/floridaultimate,https://twitter.com/FloridaUltimate/
02,Billy O'Bryan
03,James Dahl
04,Bradley Seuntjens
05,Ryan Hiser
06,Danny Bishop
09,Bobby Ley
10,Matt Thompson
11,Jacob Dummeldinger
12,Samuel Shaffer
13,MATTHEW TERZA
15,Tanner Repasky
16,Ryan Goetz
18,Hayden Wachob
18,Gabriel Lucas
19,Doug Terza
24,Alec Cutajar
32,Patrick Gettino
33,BRIAN BENGE
39,Evan Murray
50,JARED BRODY
b,r,e,a,k
Cornell,19
teamInfo,Buds,"Ithaca, New York",,https://www.facebook.com/pages/Cornell-Buds/249069366500,https://twitter.com/BudsUltimate
0,Yi Fan Wang
0,Carsten Thue-Bludworth
0,Wyatt Eberspacher
0,Russell Gray
0,AUSTIN HARTLEY
0,FRANKLIN LI
0,Christopher Perrotti
0,Nick James
0,ETHAN KANNEL
0,Pablo Avila
0,Evan Greenberg
0,JAY TAPPEN
0,Peter DelNero
0,Robert Rickert
2,Jamie McClintock
3,Mikael Hammer
11,Joe Thompson
15,Alex Semaca
17,Eliyahu Lehmann 
18,John Brancato
21,Jake Dunoyer
25,Jordan Diamond
54,Robert Vander Meulen
55,JOSHUA KLEIN
77,Jacob Herrera
87,Daniel Wekstein
88,Nate August
93,Francesco Bray
b,r,e,a,k
Colorado College,14
