Eugene Summer Solstice #37,Club - Women ,20,6,2015
Eugene,OR,2015-06-20,2015-06-21
https://play.usaultimate.org/events/Eugene-Summer-Solstice-37/schedule/Women/Club-Women/
Nightlock,6
teamInfo,,"Bay Area, California",nightlockult.com,facebook.com/nightlockult,@nightlockult
0,Mallory Meiser
02,Marisa Rafter
03,Loryn Kanemaru
06,Monisha White
07,Claire Sharman
08,Rachel Habbert
10,Malina Wiebe
11,Iris Leung
12,Heather Waugh
13,Marie Laurenza
14,Emily Kolanz
15,KATHRYN (KATIE) BARRY
16,Jennifer Founds
17,Abigail Edwards VanMuijen
18,SHANNON BUBB
19,Adrienne Lemberger
20,Bree Cahn
23,Sally Mimms
24,Natasha Won
25,Audrey Wei
26,Teresa Feng
27,Kira Lou
33,Carol Chen
77,Emily Prader
88,Alina Kagan
b,r,e,a,k
U23 Women's National Team,3
teamInfo,,"Boulder, Colorado",,,https://twitter.com/USAUltimateU23W
coaches,Michael Whitaker,Lauren Boyle
0,Caitlin Harley
0,Jesse Shofner
0,Julia Snyder
0,Lisa Couper
0,Lisi Lohre
0,Chloe Rowse
0,Marisa Rafter
0,Michela Meister
0,Nora Landri
0,Stephanie Lim
5,Stephanie (Stevie) Miller
7,Lyra Olson
7,Alex Ode
10,Shira Stern
11,Bethany Kaylor
16,Megan Cousins
21,Nicola Bruce
21,Meeri Chang
22,Jack Verzuh
36,Carolyn Normile
38,Hannah Henkin
b,r,e,a,k
Elevate,9
teamInfo,,"Salt Lake City, Utah",,,
0,Jenilyn Reeves
0,Brittany McCready
0,Meghan Hawkins
0,Natalie Merrill
0,MELISSA CONNOLLY
0,KAREN Boardman
0,Meredith Hicks
0,Lisa Palomaki
0,Stephanie McLaughlin
0,Maggie Bale
0,BETSY Petersen
0,Kaylin Durmick
0,MOLLY MONTES
0,Melissa Porter
0,JENIFER EINSTEIN
0,Kelcie Ralph
0,ERIKA POLLARD
0,MEAGHAN ELAM
2,Christina Maruyama
5,Molly Wheeler
11,Jacklyn Hallett
13,LJ Lansdowne
b,r,e,a,k
Seattle Grind,17
teamInfo,,"Seattle, Washington",,,
0,VICKIE SU
0,Samantha Hing
0,Alex Hardesty
0,Eugenia Prezhdo
1,Jessica Spaulding
4,Jessica Shatkin
4,Nicole Cramer
33,Margo Heffron
91,Tessora Young
99,Noelle Takahashi
b,r,e,a,k
Ivy,15
teamInfo,,"Portland, Oregon",,www.facebook.com/PortlandIvy,
01,Erin Maloney
03,Natalie Georgitsa
04,Nava Kidon
06,Zoe Bluffstone
07,Shea Brennan
11,Madelyn Easton
13,Holly Gibson
14,LAUREN HEALD
16,Kristen Rosenblum
20,Bailey Gilmore
22,ANNE MARIE MORGENSTERN
25,KATHLEEN NOTTINGHAM
55,Kaitlyn Anderson
88,Rebecca Hamilton
b,r,e,a,k
Schwa,5
teamInfo,,"Portland, Oregon",,https://www.facebook.com/schwaultimate,https://twitter.com/SchwaUltimate
0,Katie Weatherhead
02,TRISHA THOMS
03,OLIVIA BARTRUFF
04,Natalie Hancock
05,MARGARET WILSON-MOSES
07,Rebecca Perston
10,Kimber Coles
11,Emily Flanders
12,Jesse Shofner
13,Kelly Hansen
14,JENNIFER TIBBALS
15,Sarah Read-Brown
17,Delia Chiu
18,Julia Sherwood
19,Julia Bladin
20,Alex Ode
21,Molly Munson
24,Bethany Kaylor
27,Hayley Wahlroos
29,Alice White-Cyr
33,Catherine (Cate) Roscoe
47,Amanda Kostic
77,Strat Stratton
b,r,e,a,k
Team Canada U23 - Women,4
teamInfo,,"Ottawa, Ontario CA",,,
0,Amira Maddison
0,Adrianna Rowe
0,Lauren Kimura
0,Jessica Chung
0,Judith Yeo
0,ALEXANDRA OMAND
0,Victoria McCann
0,Nicola Parker
0,VICTORIA LAM
2,Laurel Jay
13,CORINNE DUNWOODY
19,Amy Luo
22,LEAH MULHOLLAND
33,Kailin Chang
36,Emma  Madden-Krasnick
44,Erin Bussin
81,Lillian Pham
b,r,e,a,k
Viva,10
teamInfo,,"Los Angeles, California",http://vivaultimate.com,https://www.facebook.com/VivaUltimate,https://twitter.com/VivaUltimate
coaches,Alexander Korb
2,Jessica Creamer
4,Amy Lee
6,ERIN CHILDS
9,Analise Huysentruyt
03,Jane Carlen
16,Samantha Pitman
18,Connie Chan
21,Ellen Smith
24,Avalon Igawa
27,ALICE CHEN
29,Maggie Griffin
35,Alison Forbes
40,Meghan Kemp-Gee
70,Samantha Zyck
72,Alice Bee Chen
89,Alexandra Roy
97,Katie Killebrew
99,Maria Kazantsev
b,r,e,a,k
LoCo,19
teamInfo,,"Seattle, Washington",,,
0,Meagan Kapostasy
0,ELIZABETH (LISA) ACIERNO
0,Andrea Duran
0,Kate Bayliss
0,Daniella Welsh
0,Trudy Philip
0,Lindsay Lang
0,CATIE PLOURDE
0,Rachel Bleakney-Bailey
0,Sarah Benditt
0,IRENE SCAZZIERI
10,Lexi Garrity
50,Heather Ann Brauer
67,Kelley Hall
89,Sophia Scofield-Selby
b,r,e,a,k
Tempo,14
teamInfo,,"Palo Alto, California",http://www.tempoultimate.com,https://www.facebook.com/tempoultimate,https://twitter.com/TempoUltimate
0,Kelsey Nanneman
0,Laurel Estes
0,Jessalyn Siu
0,Hannah Louis
0,Delphine Wartelle
0,Margaret Rosano
0,Amy Niblack
0,Patricia Li
0,Leslie Wu
0,Nicole Wise
0,Caitlin Boxell
0,ELLIS BEIER
0,Shayla Harris
2,Nicole Yu
7,Chenxia Liu
36,Talora Martin
69,Taylor Martin
b,r,e,a,k
Fury,1
teamInfo,,"San Francisco, California",,,
0,Lisa Couper
0,Sarah Carnahan
0,Stephanie Lim
0,Diana Charrier
0,Elisabeth Duffy
0,Hannah M Kreilkamp
4,Alex Snyder
5,Kaela Helton
8,Nancy Sun
10,Genevieve Laroche
13,Cree Howard
15,Alden Fletcher
16,Michela Meister
21,Meeri Chang
23,Sabrina Ciccarelli
27,Ness Fajardo
33,Anna Nazarov
42,Darragh Kawaoka
44,Maggie Ruden
51,Claire Desmond
61,Lakshmi Narayan
71,Manisha Daryani
77,Carolyn Finney
b,r,e,a,k
Underground,7
teamInfo,,"Seattle, Washington",http://seattleunderground.wordpress.com/,https://www.facebook.com/SeattleUnderground,
coaches,Frank Nam
0,Marianna Heckendorn
0,Lindsay Simon
0,Aimie Kawai
00,CHRISSIE SEILIE
00,Margaret Quinn
00,Emilia (Mia) Bladin
00,AnnaMaria Pape
00,Arianne Lozano
00,KALEY BENDER
00,Natalie Powell
00,ELAINE LEUNG
00,Natasha Parman
00,Kimberly Tee
00,Alyssa Kelly
00,Noel Hanzel
00,Molly Sinnott
00,KATIE SILVERIA
00,Lindsey Wilson
00,Alex Fussell
00,Anh-Thu Chang
25,Emma Kahle
84,Hallie Dunham
b,r,e,a,k
Venom,11
teamInfo,,"Tucson, Arizona",http://venomultimate.weebly.com,https://www.facebook.com/venomultimate,https://twitter.com/VenomUltimateAZ
0,Amy Hudson
0,Noam Rosenthal
0,Lyda Harris
0,Nicole Ron
0,Katy Holt
01,Lisa Shipek
03,Michelle Gallagher
05,Laura Prelsnik
07,Kyria Kershner
09,Erin Gray
17,ROSALEEN O'GARA
19,Deborah Oslik
88,Simrit Khalsa
b,r,e,a,k
Deadly Viper Assassination Squad,18
teamInfo,,"Oakland, California",,https://www.facebook.com/dvasultimate,
0,NICOLE COPTI
0,Jennifer Gross
0,ELLEN ZWICKL
0,Louisa McGuirk
0,Laura Franco
0,LAUREN CHAIN
0,Karin  Lin
0,Ally Mitchell
0,Julianne Bozzini
0,TIFFANY CHAU
0,Georgia Valentine
7,Sophia Vargas
13,Alex Albright
14,Anjile An
24,Susan Chen
73,Kimmey Hardesty
b,r,e,a,k
Wendigo,16
teamInfo,,"Vancouver, British Columbia CA",,https://www.facebook.com/wendigoultimate,https://twitter.com/wendigoultimate
0,Jillian Reardon
03,Audrey Ng
04,RACHELLE DIVINA
06,Crystal Chiu
06,Nicole Badke
10,Amy Li
11,Cristina Rubino
13,Sonia Hessels
14,Jaclyn Seto
15,Andrea Lai
16,Talia Cole
31,Alisa Paterson
37,Myfannwy Pope
50,Elise Caron
61,Maja Grubisic
77,JULIE HARRIS
92,MEGAN FANN
b,r,e,a,k
Seattle Riot,2
teamInfo,,"Seattle, Washington",http://seattleriot.org/,https://www.facebook.com/SeattleRiot,https://twitter.com/SeattleRiot
coaches,Andrew Lovseth,Callie Mah
0,Paige Soper
3,Gwen Ambler
01,Kelly Johnson
02,Elle Burstein
04,Rohre Titcomb
05,Kate Kingery
06,Sarah Griffith
07,Calise Cardenas
08,Rachel Bradshaw
09,Qxhna Titcomb
11,Shannon O'Malley
14,Hana Kawai
15,Bailey Zahniser
16,Shira Stern
17,Dominique Fontenette
19,Fiona McKibben
20,Kristin (Charlie) Eide
21,Molly McKeon
22,Jack Verzuh
23,Lauren Sadler
25,Alyssa Weatherford
27,Julia Snyder
34,Angelica Chambers
55,Nora Carr
77,Jillian Goodreau
81,Charlie Mercer
91,Sarah Davis
b,r,e,a,k
Wildfire,12
teamInfo,,"San Diego, California",,www.facebook.com/WildfireUltimate,https://twitter.com/sd_wildfire
0,Ivana Monson
01,KELLY TIDWELL
03,Lily Dai
04,Emily Baker
07,Kelly Mercer
11,Tiffanie Gallo
12,Linda Hamon
14,Emma Stockman
15,Brittany Cabriales
16,Jorie Moore
17,SARAH MCNEES
18,Natalie Griffin
21,Jane Griffin
