Northwest Plains Mixed Sectionals,Club - Mixed ,29,8,2015
https://play.usaultimate.org/events/Northwest-Plains-Mixed-Sectionals-2015/schedule/Mixed/Club-Mixed
Minneapolis Millers,1
0,Jill Gorges
00,Lilly Shapiro
02,Brian Larson
03,Brenna Sund
04,Lorraine Guerin
05,Aly Fassett-Carman
06,JOHN-ELLIOT SCHMIT
07,James Kittlesen
08,Tova Breen
09,Benjamin Liska
10,Daniel Collom
11,Liam Shramko
14,Tulsa Douglas
15,Daniel Schmit
18,Nick Heid
19,Tristan Grovender
21,Tyler Mahony
22,Tobie Miller
28,Martin Lohman
30,MARC PISANSKY
39,CHRISTINE ROSEN
44,Lukas Powers
52,Erynn Schroeder
55,Charlie Schuweiler
60,Claire Cech
99,Jim Aspholm
b,r,e,a,k
Mojo Jojo,9
0,JACOB BRANDYS
0,Tyler Brickle
0,Patrick Cashman
0,Bethany Anderson 
0,Kelsey Weister
0,Meredith  Johnson
0,Sherri Goings
0,Kathleen Burich
0,Ryley Tennyson
0,Jesse Wolfe
0,Lexie Kretschmer
0,Graham Sutherland
0,Lindsey Pieper
0,Amanda Huber
2,Lauren Ostrem
2,Brian Wilson
5,Daniel Schultz
6,Ryan Fortune
10,Erin Mirocha
13,Michael Seffren
14,Ben Valley
14,Benjamin Nelson
42,Anna Ruehlow
48,Andrew Dornbush
55,Patrick Jones
84,Jake Kretschmer
91,Michael Merwin
b,r,e,a,k
Mastodon,8
0,JANNA JANSEN
0,Phil Prosapio
0,April Peterson
01,Caitlin Clevenger
02,NATALIE RUSSELL
03,Joel Malerba
04,Jonathan Davis
07,Steven Whelan
09,Evie Adams
10,Joseph Anistranski
11,Paderic Driscoll
11,Cam Keys
14,Nicholas Moore
16,Alec Li
17,Mark David
18,Julia Sauerhaft
19,Aric Doak
20,Noah Webster
21,Jessica Liu
22,Emilia Lewis
25,Kelly Bruce
27,Mei-Lien Converse
31,Patrick Miller
34,Chase O'Brien
55,Darren Yu
b,r,e,a,k
Nonsuch Ultimate,16
0,JEFF YUEN
00,Jordan Warren
00,Noelle Enns
00,Randy Enns
00,Annachie Baskier-Pasternak
00,Robin Merasty
00,Raymond Cao
00,Bailey Jablonski Armstrong
00,Laura Boman
00,Jonathan Boman
05,Serena Vandersteen
11,Eric Singer
13,Spencer Yarnell
14,Jada Lim
15,Quinn Keast-Wiatrowski
16,Jingting Ma
18,Lori Reimer
19,Linda Lam
20,ADAM BORCHERT
23,Michael Bumsted
27,Will Medwick
43,Aaron Cohen
99,Shannon Robinson
b,r,e,a,k
Team Rocket,17
0,Sara Nason
0,Alison Ahlgrim
0,Matt Covert
0,Andrew Weinmann
0,Kristel McHugh
0,Luke Schaser
0,Stephanie Mondloch
0,STEPHANIE WRIGHT
0,Cassandra Meixelsperger
0,MICHAEL LEROY
0,Michael Davidson
0,Karisa Mueller
2,Ryan Ruenroeng
10,Chris Sykes
10,David Romens
11,ALICIA ENGLER
13,Andrew Yau
18,Chris Chin
24,Diane Walters
25,Zeke Witter
82,Logan Campbell
b,r,e,a,k
Bird,2
0,PATRICK KEYS
01,TY THORSEN
02,Adam Trautman
03,Bryan Vohnoutka
08,Clayton Thomas
10,Beret Amundson
11,Emma Peaslee
12,Michael Ruble
13,EMILY FUJII
14,Katherine Zimmermann
15,GORDON STECKLEIN
16,Rebecca Morales
17,Ryan Oto
18,Katherine Claiborne
20,JILLIAN MERKLE
21,PATRICK KUNKEL
22,EMILY PETERSEN
23,David Stemper
24,ANDREW KELLEY
28,Joseph Nelson
30,THOMAS GRUND
33,Nihal Bhakta
43,Kayla Blanek
44,ASHLEY WEST
93,Justin Hill
96,Brian Edgerton
97,Andrea Uhl
b,r,e,a,k
Boomtown Pandas,7
02,Edward Kaul
05,Ryan Pakula
06,Jill Iwanski
07,Benjamin Hsu
09,ASHLEY SATTERLEE
10,Kristen Brenner
11,JEFF POSKIN
16,Robert Lindenthaler
17,Ellie Clarin
20,Colin Punt
21,John Schaefer
21,Nathan Kleinhans
22,Emily Kuder
23,Debra Minahan
24,Matt Coogan
27,Seana Lindenthaler
29,Jonathan Messner
43,Toby Wex
44,ALEXANDRIA HALL
50,Margaret Punt
66,Laura Hsu
72,Christopher Hooper
84,Vincent Hsu
94,Derek Weisberg
96,John Bryan
98,Chris Davis
99,Caitlin Murphy
b,r,e,a,k
Coalition Ultimate,10
0,Christopher Schasse
1,Jordan Rosevold
1,Cole Jensen
2,Estelle Taquet
3,CALEB Graceheart
5,Jacob Johnson
6,Emily Dalhoff
7,Zach Trosvig
9,Mariah Dorner
10,Josiah Moore
11,Brit Gartner
12,Emily Androschko
13,Mikala LaFavor
17,Taylor Van Oosbree
18,JOHN LAFAVOR
22,Hannah Wirth
23,Clancy Ferris
25,Joe Moravec
28,Megan  Huntley
30,EMY  MARIER
33,Kevin Knutson
34,Caty Ferris Schultz
43,Michael Loper
44,Colin Williams
81,Zach Carlson
b,r,e,a,k
Carleton Alumni Team,15
0,Jonathan Hahn
0,Zoe Suche
0,Brent Nystrom
0,Julie Bender-Awalt
0,PETER SCHEUERMANN
0,LIANA BURGHARDT
0,BRENT OLSON
0,John Heydinger
0,LUCIA CHILDS-WALKER
0,PAIGE BOWEN
0,CLARE KAZANSKI
0,Cameron Hastings
0,Katie Blise
0,NOLAN O'BRIEN
0,Megan Chavez
0,LOUIS COHEN
0,ANDREW MAHOWALD
0,SCOTT CHRISTENSEN
0,Nicole Bridgland
0,CLAIRE RAMEY
26,Devin Oliver
48,BENJAMIN CAFFREY
b,r,e,a,k
The Herd,18
0,Adam Voskuil
0,Anna Canty
0,Alex Zimmerman
0,Laura Knepel
0,Brahadeesh Selvaraj
0,Naomi Goldstein
0,Jonathan Bauer
0,Alex Beaman
4,Jessie Hsu
8,Hans Kittleson
8,Jocelyn Beleutz
17,BEN SASS
26,Emily Wolfson
36,Jeffrey Wala
50,CHEREK MCBRIDE
73,Brad Orego
b,r,e,a,k
Minnesota Star Power,3
01,David Canillas
04,Alison Ling
05,Jasper Weinburd
06,Camille Marsten
07,Danica Cutshall
08,Lloyd Vogel
10,Alex Kensgaard
11,Rachel Thompson
13,Colette Meller
16,Lisa Barnes
18,Brandon Haus
19,GRACE WHITEFORD
22,Daniel Martin
23,Christopher McCrory
24,JAMES WAGNER
27,Jessie Lambert
28,Erin Henry
42,Eric Larson
50,Carl Aanestad
54,Jordan Vlastuin
88,Tyler Smith
92,Martin Stecker
93,SAMUEL TORGERSON
96,Jesse Peterson-Brandt
b,r,e,a,k
Mad Udderburn,6
0,Kasey Kenealy
0,Rebecca Roden
0,Thom Kenealy
0,Ben Stanger
0,RICHARD PHANNENSTILL
0,Emily Orner
0,Bo Strauss
0,David Kurian
0,Emily Healy
1,Grace Compton
2,Kevin Pochatila
4,Joey Knutson
9,KEVIN SHEA
11,BRIAN NELB
11,Eugene Chong
14,TAYLOR  KOEHLING
14,Daniel Fritz
17,Chris Schroeder
22,Kelly O'Connor
23,Lizabeth Held
