Philly Invite XI,Club - Mixed ,18,7,2015
Allentown,PA,2015-07-18,2015-07-19
https://play.usaultimate.org/events/Philly-Invite-XI/schedule/Mixed/Club-Mixed
Metro North,1
teamInfo,,"Mianus, Connecticut",,,https://twitter.com/CatOrBag
0,Eugene Yum
0,Luke Perkins
1,Theodore Mason
4,Dave Tedeyan
5,Dwight Harris
6,Diana Cornell
7,Elizabeth Middleton
8,Alex Grintsvayg
9,Austin Raymond
10,Todd Larese
11,Young Jo Fontaine
14,Kerry Beyrer
15,Diana DeLeo
16,Emily Cho
18,Kendra Frederick
21,Molly McCauley
23,Allison Springer
24,Seth Canetti
26,Andrew Bosco
42,John Geraghty
45,William Olli
47,Lucas Murphy
50,Dana Grandoni
54,Mari Oshiro
81,Sean Murray
86,Kevin McCarthy
b,r,e,a,k
The Muffin Men,4
teamInfo,,"Pittsburgh, Pennsylvania",www.themuffnmen.com,www.facebook.com/themuffnmen,twitter.com/muffnmen
02,Christie Lawry
03,Maria Bajzek
04,Jesse Kummer
05,CAROLINE NOFZINGER
06,Anson Reppermund
08,Alexander Thomas
10,Stephanie Kane
13,JEREMY SLIDER
15,MISHEL GEORGALAS
19,Daniel Morrison
22,Mark Pitts
24,Megan Briggeman
25,Rachel Olszewski
26,Kelsey Cowles
29,JOHN MONTOYA
30,AARON KANE
31,Greg Wilson
33,AARON BUSS
45,KYLE ALDINGER
47,CAROLYN NORWOOD
57,Bryan Bernard
73,Svetlana Romanova
80,Jay Walker
82,Isaac Smith
86,Robert Paolini
88,Christopher Martin
b,r,e,a,k
Ant Madness,8
teamInfo,,"Arlington, Virginia",,,https://twitter.com/antmadness
0,Julia Petro
1,Zachary Norrbom
02,NATHAN SCHELBLE
03,Joshua Tsung
04,Allyce Estremera
05,ANDREW  HAWLEY
07,Magdalen Karrs
08,Jae Miner
09,Peter Anderson
10,Benjamin Green
12,Molly Fisher
13,Varun Pattani
14,Colleen Marshall
16,CHASE RAINES
18,Christine Valvo
18,Grayson Sanner
19,Kelsey Hales
20,Noah David
21,Kyle Khalifa
22,ANDREW SIGAL
23,Dmitry Kalika
27,Jacqui Rhodes
30,Kyle Fredericks
31,Andrew Ferraro
42,Laura Pape
55,Max Rhodes
99,Joseph Richards
b,r,e,a,k
Lions,5
teamInfo,,"Lexington, Massachusetts",lionsultimate.com,,
0,Kevin O'Brien
0,Tamar Austin
0,Dylan Gully
0,Anneke Johnson
0,EMILY PEARSON
0,Michael Lipsitz
0,Ryan Kelley
0,Meredith Duffy
0,ADAM JOHNSTON
0,ERIC DIXON
0,Dang Khoa DuBay-Dang
0,Skyler Tom
0,Bethany Turner
0,Kayla Huddell
0,Cara Battersby
0,STEPHEN MARVEL-COEN
0,Matthew Turiano
0,Liam Henry
2,Chelsea Mower
11,Samuel Letcher
11,JESSICA SHEEHAN
20,HERSCHEL MUKHERJEE
24,Vivian Zhang
47,Kevin Chen
56,Jen Beatty
64,Dillon Roberts
99,Dan Huddell
b,r,e,a,k
Bang!,2
teamInfo,,"West Chester, Pennsylvania",,https://www.facebook.com/clickclickbangultimate,https://twitter.com/WCbangultimate
0,Dustin Sullivan
0,Kyle Wolf
00,Steve Rosso
00,Michael Martin
00,MATT HORNSTEIN
00,Beata Artz
00,Julie Bowers
00,Sarah Roberts
00,Luke Ryan
00,RYAN ROBERTS
00,LISA GONZALEZ
00,Jeffrey Andrews
00,David Kelly
00,Zach Thurston
00,Ryan Forster
00,Katelyn Stavinga
00,Regina Wilkinson
00,Matt Stavinga
00,Greg Martin
00,Hannah Shabanowitz
00,JILL ROE
00,Christopher Pokorny
82,John Protopapa-Henkel
b,r,e,a,k
Jughandle,6
teamInfo,,"Princeton, New Jersey",,,https://twitter.com/TeamJughandle
2,Ruthie Tabatchnick
9,Susanna Jivotovski
04,Ryan Belline
06,Rachel Chen
07,Thomas Johnson
11,Mason Compton
13,Elizabeth O'Grady
15,ANDREW SCHANCK
16,Christopher Fairfield
17,ANDREW LOPRESTI
19,Andrew Auyeung
20,Rebecca Halleran
21,Elizabeth Melillo
22,Megan Barlow
26,Evan Feeney
31,Jonathan (Johnny) Sisto
33,Jesse Hynes
35,Christopher Gibbs
39,Amy Zhou
41,Tim Naumovitz
42,Bridget Compton
61,Francesca Battaglia
70,Charles Cannon
78,Christian Weisenbacher
91,James Forbes
b,r,e,a,k
Sparkle Ponies,3
teamInfo,,"Rockville, Maryland",,,
0,RACHEL BORCHARDT
0,Quinne Farenwald
0,James Anderson
0,CHRISTOPHER CAHILL
0,Michaela Gramzinski
0,Lacey Coppage
0,Paul Butterfoss
0,TIGHE HOLDEN
0,Jackson Schreiber
