Huckfest 2015,Club - Men ,11,7,2015
https://play.usaultimate.org/events/Huckfest-2015/schedule/Men/Club-Men/
Chain Lightning,1
0,Timothy Stapleton
1,JACK KRIEGER
02,Austin Taylor
03,Matthew Knowles
07,Jason (Jay) Clark
09,Samuel Little
10,Tyler Conger
12,Frank Wooten
13,Michael Fairley
18,Michael Spear
19,Mark Poole
21,David Berendes
22,Brian Moore
22,Parker Bray
25,Sun Choi
55,Blake Hannah
60,JOLIAN DAHL
81,Joseph Burns
87,Trenton Spinks
88,TAYLOR GOFORTH
b,r,e,a,k
Freaks Uv Nature,4
0,Michael Venezia
0,Brian Newsom
0,Garris Bugg
0,Tannon Hedges
0,Collin Orcutt
0,Jason Cunningham
0,Stephen Brandon
2,Ryan Manning
4,Blake Waldron
4,Jason Williams
5,Chris Brackbill
8,Danny Yates
11,Nathan Burch
13,Andy Sieja
17,Michael Robie
19,Matthew Radcliffe
24,Ethan Hodges
25,"Michael Guiles, Jr"
27,Michael Volz
34,Isaiah Radcliffe
35,Clark Missildine
37,Keith Mize
39,PETER WILKERSON
42,Tim Hoggard
44,Jordan Matthews
96,Mark Ullom
b,r,e,a,k
Jockamo,8
0,Dylan Zeringue
0,Mark Graham
0,Ory Aguillard
0,Wesley Freeburgh
0,ZACHARY FRUGE
0,MICHAEL SCHULZ
0,Grant Odenwald
0,Thomas Hannie
0,Omer Wolff
10,Hilliard Chesteen
18,William Steindorf
21,Kyle Wilson
21,Eric Reviere
26,Patrick Thang
60,Daniel Nan
77,Destin Tate
b,r,e,a,k
UpRoar,5
00,Stuart Richards
06,Cody McAlpine
07,Jack Dupell
10,Brian Shinners
11,Austin Simpson
14,Boe Quisenberry
15,Matthew Eady
16,JONATHAN STREETMAN
17,Aron Andino
19,Forrest Hannahs
21,Jonathan Beilan
22,Peter Masone
24,Stephen Ierardi
27,Anthony Gutierrez
31,Keith Patterson
33,JESSE GOLDSMITH
36,Stephen  Muir
37,Osvaldo Velez-Martinez
40,KEITH PENU
42,KEVIN ORNER
52,Josh McKisic
54,Nick Fletcher
57,Benjamin Israel
69,Lawrence (Larz) Hanselman
77,Nick MacLeod
88,Matt Chandler
99,Garth Reimann
b,r,e,a,k
Ironmen,3
0,Patrick Philbin
0,Hank Womble
0,Christopher McBride
0,Michael Burke
0,Will Newton
0,Taylor Hide
0,James  Poe
0,Ray Davenport
0,Jason Russell
0,Matthew Sledge
4,Tevon Edwards
8,Matthew Smith
8,Kevin Shrestha
11,Kelvin Williams
12,Jordan Quinn
13,Ethan Downs
14,Hill Balliet
16,Alexander Cape
18,Dane Jorgensen
22,Brandon Deihl
24,Travis Midkiff
28,Reid Thackerson
32,JUSTIN THIGPEN
72,Wesley Bullock
b,r,e,a,k
Southern Hospitality,2
0,Tanner Robinson
0,Andrew Francis
0,Ryan Landry
0,Jackson Cochran
0,Blake Galloway
0,Samuel Murphree
0,ANDREW WICK
0,Kenta Kawaguchi
0,Craig Anderson
0,Brian Walsh
0,MONTEZ JONES
0,ANDREW GROSS
0,Andrew Galiger
0,Matthew Hardman
1,DANIEL GILSTRAP
5,Eric Sjostrom
5,Cody Smith
8,Timothy Martin
8,Patrick Dougherty
38,DAVID  MONDSCHEIN
44,Benjamin Lamport
45,Nathan Oaks
85,Evan Boecking
99,Gabriel Bidot
b,r,e,a,k
Smokestack,7
0,John Marotta
0,David Picone
0,Jeffrey Brauning
0,Tarik Akyuz
0,Erik Lindberg
0,Jonathon Grgat
0,Nathan Buddemeyer
0,Anthony Davis
0,BENJAMIN JESIONOWSKI
0,DANIEL LEHMAN
0,Jacob Lunn
3,Daniel Young
3,Steven Her
5,Amir Kaghazwala
6,KEVIN WAYNER
10,Eric Zarobila
13,Jared VanLandingham
17,Adam Davenport
26,Zach Johnston
27,Brandon Thomas
34,Daniel Lynch
50,Jon DeAmicis
82,Dutch Kirkman
87,Weston Miller
b,r,e,a,k
CaSTLe,6
0,Stephen Hawkins
1,Robert (Bobby) Castille
2,Evan Karson
3,Thomas  Kulczak
5,Zachary Gase
7,Rett Hooper
8,Chaz DeBord
06,DANIEL ELFANBAUM
10,Michael Mills
11,E.C. Gibbs
16,Ben Gibson
18,Cody Curran
19,John (Christian) Lukas
21,Nathaniel Mahieu
22,ZACHARY LOU
24,Aaron Bryant
25,Sean Campbell
31,Parker Quinn
36,Kelly Caldwell
47,Devin Belvin
77,BRENDAN KELLY
98,Matthew Beers
99,Kyle Hill
b,r,e,a,k
Cerberus,15
0,Sam Batson
0,Michael Belongia
0,Victor Pria
0,REUBEN RIVAS
0,Thomas Watts
0,CHRIS ROGERS
0,Mike McGinnis
0,Neal Raines
0,Wright (William) Dickerson
0,John Langstaff
10,Rommel Rana
10,Adam Burgess
11,Nate Washington
15,Jay Norton
16,Sean Diller
19,RYAN PAPPAFOTIS
22,AUSTIN DECUIR
23,BEN WEINTRAUT
24,Jonathan  Pabon
60,David William Petmecky
81,Jim Heneghan
