USA Ultimate D-I College Championships,College - Men ,22,5,2015
Milwaukee,WI,2015-05-22,2015-05-25
https://play.usaultimate.org/events/USA-Ultimate-D-I-College-Championships-2015/schedule/Men/CollegeMen/
Texas,13
teamInfo,TUFF,"Austin, Texas",http://texasultimate.wix.com/texasultimate,https://www.facebook.com/TexasUltimate,@texasultimate
01,SIDNEY WATTS
02,GAVIN MURPHY
04,MITCHELL SMARDA
06,Garrett Idler
07,Jordan Taylor
08,Hagen Fritz
10,Connor Breen
11,Dillon Larberg
12,SHAWN STONE
13,Nash Mock
14,DENNIS MERWORTH
15,Joey Hemann
16,Michael Hays
18,David Miller
19,Jonathan Clutton
20,Chase Cunningham
23,Joel Clutton
23,Matt Mihovil
27,DEREK TINKER
29,Logan Kinney
31,Luke Simerly
32,JOSH BRUNELLI
34,Carlos Vargas
93,Christopher Schultz-Davis
96,Keivaun Waugh
b,r,e,a,k
Pittsburgh,1
teamInfo,En Sabah Nur,"Pittsburgh, Pennsylvania",http://pittultimate.org,https://www.facebook.com/PittUltimate,https://twitter.com/Pittultimate
coaches,Nick Kaczmarek,Ryan Del Casino
00,PETER MCCLOSKEY
02,Joseph Bender
03,Patrick Earles
05,Saul Graves
07,Richard Boyle
08,Tyler Kunsa
09,Carl Morgenstern
10,Max Thorne
11,Kyle Hartley
12,KEVIN TANG
13,Andrew Lehmberg
15,Dylan Best
16,Trent Dillon
17,Matthew Hanna
18,Stephen Shaw
22,CHRISTIAN PITTS
24,Sam VanDusen
26,Robert Lincoln
36,Daniel Wickens
38,Jonah Wisch
42,Marcus Ranii-Dropcho
43,Daniel O'Connor
48,Jimmy Towle
77,Dillon Tranquillo
81,Vince Tranquillo
b,r,e,a,k
Georgia,8
teamInfo,Jojah,"Athens, Georgia",www.jojahultimate.com,https://www.facebook.com/JojahUltimate,https://twitter.com/JojahUltimate
03,CHRIS ROGERS
04,Aidan Rogers
05,Elliott Erickson
06,RILEY  ERICKSON
07,Parker Bray
08,Sebastian Di Francesco
09,Samuel Little
10,Adam Burgess
13,MICHAEL PETERS
14,John Langstaff
15,Neal Raines
19,RYAN PAPPAFOTIS
20,Derek Cooper
21,Sheryar Ali
23,MATTHEW ROBINSON
28,Tyler Haskell
34,George Summers
38,SOHAUM PAUL
77,Wright (William) Dickerson
82,Sam Batson
87,Gino Mattace
88,NATHAN HASKELL
b,r,e,a,k
Wisconsin,12
teamInfo,Hodags,"Madison, Wisconsin",www.hodags.org,https://www.facebook.com/pages/Wisconsin-Hodags/118125241585256,https://twitter.com/hodaglove
00,BRIAN NOVOTNY
02,Branavan Yogarajah
03,Nicholas Vogt
06,Gordon Peterson
07,Avery Johnson
09,Erik Jorgensen
11,Sterling Knoche
12,Chris Wilen
13,David Yu
14,WILLIAM KLUENDER
16,DANIEL  STULIGROSS
17,Thomas Gallagher
20,NICK ZEMAN
22,Aaron Speiss
23,Graeme Kernick
24,Walter Cai
25,Ross Barker
26,Eric von Kampen
33,SHANE SADDISON-BRADFORD
37,Jan Szmanda
41,Colin Sunde
44,Nicholas Ladas
57,Austin Reif
84,CRAIG COX
99,Brandon Taitt
b,r,e,a,k
Auburn,17
teamInfo,Auburn,"Auburn, Alabama",https://auburnultimate.wordpress.com/,https://www.facebook.com/auburnultimate,https://twitter.com/AuburnUltimate
coaches,Stephen Brandon
01,Samuel Murphree
02,Keith Mize
03,Blake Galloway
05,Eric Sjostrom
06,Garris Bugg
07,ZAC CAIN
08,Jacob Helf
09,Dustin Register
10,PHILLIP LANGLAND
12,Ryan Landry
15,Chandler Foster
16,Evan Caldwell
19,Robert Alongi
23,Martin Newman
25,Reid Williams
27,Michael Volz
28,Reid Thackerson
33,James Hershey
35,Clark Missildine
44,Hank Womble
85,Evan Boecking
89,ANDREW MONTGOMERY
b,r,e,a,k
Central Florida,7
teamInfo,Dogs of War,"Orlando, Florida",http://centralfloridaultimate.com/,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
coaches,Andrew Roca,Daniel Jakob
01,Brawley Adams
02,Kameron Knight
03,Terence Murphy
04,Kyle Reedy
05,Michael Fairley
06,Kyle Lockwood
08,Alex Bullock
09,JACOB RADFORD
10,Chad Russom
11,Adam Lapikas
12,Matt Helms
13,Zachary Marks
15,James Dangler
25,Jeremy Langdon
26,Thomas Schulte
27,Austin Mercadante
30,Andrew McKelvey
32,Austin Malone
44,DAVID HANKIN
45,Jeffrey Shapiro
51,Michael Taylor
74,Stuart Little
b,r,e,a,k
Minnesota,11
teamInfo,Grey Duck,"Minneapolis, Minnesota",http://mngreyduck.weebly.com/,https://www.facebook.com/MNGreyDuck,https://twitter.com/MNgreyduck
coaches,Tallis Boyd,David Eddy
00,Josh Kautz
01,Ryan Osgar
02,Josh Klane
03,Connor Anderson
04,Benjamin Jagt
05,CARSON MILLER
08,James Nguyen
12,Cloid Green
14,Alexander Platt-Koch
17,Anthony Poletto
18,Brandon Haus
19,PATRICK HYLAND
20,Blake Trantina
23,Saurav Dubey
24,ISAAC RUFF
