TCT Pro-Elite Challenge 2015 (Colorado Cup),Club - Mixed ,1,8,2015
Aurora,CO,2015-08-01,2015-08-02
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge/schedule/Mixed/Club-Mixed
Cahoots,13
0,Eric Woolridge
1,Jason Rector
2,Timothy John Murray
4,JULIETTE MCNAMARA
5,Christopher Cosgrove
6,Peter Wentz
6,Ryan Stokes
7,CLAIRE PAULEY
10,Ann Araps
11,Melissa Adelstein
15,Sarah Jobsis
16,Ryan Bell
17,ABIGAIL MARKLEW
22,Harris Woody
23,Amy Allen
25,Kyle Silva
25,Evelina Pierce
27,Linden Blaisus
28,THOMAS KELLY
44,Ruth Hudson
44,Ruth Stokes
59,Ethan Burns
64,Jacob Warshauer
82,Matthew Martin
88,Samuel Fontaine
96,Joshua Washburn
b,r,e,a,k
Mischief,1
00,Matt West
01,Seam Ham
02,Adam Brown
05,Matthew Crawford
06,Lori Eich
07,Youngsoo (Ellen) Rim
08,Jessica Madding
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,Charles Cao
15,Annee Rempel
18,Caitlin Rugg
20,Jenny Wang
36,Matthew Heffernan
38,Katrina Velayo
42,Matt Jaffe
80,Kevin Smith
99,LUCAS DILLOW
b,r,e,a,k
Bird,12
00,PATRICK KEYS
00,ALEX KUNZER
01,TY THORSEN
02,Adam Trautman
03,Bryan Vohnoutka
04,Emma Peaslee
08,Clayton Thomas
10,Beret Amundson
12,Michael Ruble
13,GORDON STECKLEIN
14,Katherine Zimmermann
16,Rebecca Morales
17,Ryan Oto
18,Katherine Claiborne
20,JILLIAN MERKLE
21,PATRICK KUNKEL
22,EMILY PETERSEN
23,David Stemper
24,ANDREW KELLEY
28,Joseph Nelson
30,THOMAS GRUND
33,Nihal Bhakta
42,Kayla Blanek
44,ASHLEY WEST
93,Justin Hill
96,Brian Edgerton
97,Andrea Uhl
b,r,e,a,k
NOISE,8
0,Brittany Hoegh
0,Josh Davidson
0,Emily Dayton
0,Kelly Donovan
0,Claire Kelley
0,Katherine Ebensperger
0,Keith Garner
0,Katherine Goode
0,Martin Granick
0,Francis Kelley
0,Josh Levin
0,Sam Loveland
0,RACHEL OKERSTROM
0,Christopher Reichel
0,Kevin Herrera
0,Vanessa Cannaday
0,Michelle VanSchyndel
0,Eric Alexander
0,Elizabeth Arakaki
2,Ben Finkelstein
3,Daniel Rowan
8,Maria Signore Becker
16,Frank Qin
19,Anneke Vermaak
22,Stephen Haynes
27,Michael Swain
34,Matthew Becker
b,r,e,a,k
AMP,7
0,Melissa Devlin
01,Robert Roos
02,Matt Zumbrum
03,Nicholas Purifico
04,Raha Mozaffari
06,Kelsey Devlin
07,Ben Parrell
08,Charles Weinberg
09,Andrea Desabato
10,Calvin Trisolini
12,Fern Beetle Moorcroft
13,Nico Lake
14,Stuart Hean
15,Max Charles
17,Stephen Ng
18,Emily Shields
20,Ben Pelleg
21,Kevin McCormick
22,Allysha Dixon
26,KATIE ERIKSON
33,Katy Stanton
36,Carolyn Normile
40,Jessica Glazer
44,Owen Murphy
46,Austin Bonelli
b,r,e,a,k
Blackbird,2
2,CHRIS HART
4,Deanna Bjorkquist
5,Thomas Hendrickson
9,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Lauren Casey
12,Casey Ikeda
14,Mia Hagen
21,ADAM SCOW
22,NICHOLAS SLOVAN
23,Remy Schor
24,Daniel Daniel Gillick
26,KAREN KO
28,Sheeva Slovan
29,VY Chow
33,Cody Rebholz
40,Mac Taylor
42,AARON CAULFIELD
51,Ryan Scribner
82,TRACY WOO
b,r,e,a,k
Thoroughbred,14
0,Danielle Blatt
02,Bryan Esmond
04,Hannah Volpert-Esmond
06,Kathleen Horton
07,Michael Faaborg
08,David Valentine-Elam
11,Elizabeth Wisdom
13,Megan Epperson
16,Max Morgan
17,CEAD NARDIE-WARNER
18,Aaron Swaney
19,Cameron Sisler
22,Ryan Meinkoth
23,Laura Halfmann-Morris
24,Chung Lee
25,Katherine (Katie) Stanley
26,Grant Eschmann
28,Chase Johnson
29,Zack Thompson
33,Elizabeth Honigfort
42,Matt Francis
45,Eliza Hutchings
81,Patrick Austermann
99,Spencer Hollenbach
b,r,e,a,k
Groove,11
2,Jason Edelman
4,Michael Dirda
5,Alison Griffith
6,Pin-Wen Wang
8,Adam Koren
9,Corinne Hanson
10,Kyle Ord
11,Beth Quisenberry
12,Elizabeth Dressler
13,HEATHER ARMSTRONG
15,Jeffrey Voss
22,Eric Rivera
24,Andrew Riggs
25,Samantha Applegate
28,KYLE SALASKO
29,Eric Shaw
42,Scott Miller
44,Gianna Tesler
49,KAREN BROHARD
73,Mara Saltzman
77,Alec Surmani
86,Jannon Frank
88,Bill Liu
b,r,e,a,k
Polar Bears,6
01,SCOTT ROEDER
02,Alexandra Hasan
06,JENNIFER HSUEH
07,Megan Pera
09,Gregory Marliave
11,CLAY MILLER
12,Ziyue Chen
