Midwest Throwdown 2015,College - Women ,7,3,2015
https://play.usaultimate.org/events/Midwest-Throwdown-2015/schedule/Women/CollegeWomen/
Notre Dame,4
04,Alexandria Vawter Istok
05,Kelsey Fink
07,Amity Wipson
08,Julia Butterfield
10,Courtney Shreve
15,MK Andersen
19,NICOLE VUJOSEVICH
21,BRIANNA BOCKER
22,ELAINE ROSE
24,Heather Fredrickson
28,DINA VU
29,Elizabeth Cichon
33,Rachel Francis
37,Mary Hermann
42,Marissa Ray
46,AMALIA CARMONA
84,Sarah Lipscomb
92,KRISTEN COLLINS
b,r,e,a,k
Minnesota,8
02,Stephanie Wood
03,Makella Daley
04,ANNA KYTONEN-COFFMAN
05,Kalli Poletto
06,AMANDA AHO
07,SAMMY HOEN
08,Greta Regan
09,Sara  Helm
11,Alyson Gagner
12,Heather Taylor
16,ALYSON PROM
18,Anna Miller
19,Alyssa Belsito
20,Kajsa Beatty
21,EMILY Jones
22,MADELINE HUDEK
24,Lindy Sowmick
26,EMILY DEERING
35,Sarah Anciaux
36,Ratih Sutrisno
47,Laura Gustafson
71,Bridget Bakko
82,MELISA RODRIGUEZ
b,r,e,a,k
Iowa,5
0,Lowri Roberts
1,BETH BRICHETTO
2,Rachel Bradley
4,SONJA HUTCHENS
8,Grace Baron
9,Jessica  Peterson
14,Lindsey Bliss
16,Samantha Bartlett
18,EMILY FUJII
22,Nicole Johnson
23,Clarisse Chia
27,JULIE MALLER
31,Emily Novick
33,Anna Pritchard
34,EDRIENNE FAE YAP
36,Caitlin Sernett
42,Raleke Hughes
55,Elizabeth Gronert
84,Nicole Havel
97,BRIGITTE WALDIER
b,r,e,a,k
Kansas,1
0,Annie Wangles
0,Mackenzie Burns
2,Kate Eshelman
4,McKenzie Ensminger
5,Katrina Kaus
7,Malaina Piyassaphan
8,Lilly Bakker
9,Brandi Schneider
11,Jordan Alonzo
12,Clare Frantz
13,Camille Curley
14,Kelsey Akin
16,Allison Showalter
17,Caitlin Fitzgerald
17,Sydney Nelson
19,Molly Welsh
20,Nadine Rowen
21,JORDAN KACZOR
22,Kailee Karr
23,Alexa Kaczor
24,Grace Roth
25,Miriam Delrahim
27,Megan Burns
29,Samantha Agranoff
31,Jennifer Corcoran
32,Titi Galeazzi
37,Stasha Beermann
42,Haley Williams
44,Claire Shanovich
45,Janie Reiter
b,r,e,a,k
Texas,2
0,Marissa Land
3,Domenica Sutherland
6,Rachel Arthur
05,Andrea Esparza
07,KELLY LAVINE
10,Gaby Cuina
12,Rachel Wong
14,Kimberly Sun
15,Sydney Overman
17,Kathryn Herbers
18,LAUREN MCKENNA
20,Susan Gilbert
23,Laura  Gerencser
26,LAURA VARGAS
29,Meghan Rutledge
89,Shiru Liu
b,r,e,a,k
Iowa State,6
0,Rachel Bates
0,Abigail Poplawski
02,Jean Colangelo
03,Kelly Hewitt
04,Brittnee Grimshaw
05,Liz Narmour
06,Hailey Kromminga
07,Jessica Mazzio
08,Emily Fung
11,Emma Lorenz
12,Linda Morton
13,Clare Maksimovich
15,Elizabeth Meiman
16,CAMILLE NELSON
17,Janani Ragothaman
18,Sarah Leichty
20,Caitlin Durston
22,Kate Hunter
23,Blair Holck
24,Megan Jameson
27,SAMANTHA SAUERBREI
30,Shannon Allen
33,KAYLA STAFFORD
34,MIAH BLOMQUIST
41,Natalie Bidner
56,Sarah Schneider
71,CLAIRE Gunderson
84,Sara Stuedemann
b,r,e,a,k
Illinois,3
01,Allison Fish
02,Candace Brahm
03,Thyra Sandstrom
04,Joline Chang
10,Ariel Choi
12,Amy Copper
13,Kaytee Meagher
14,Mikayla Yoder
16,Allison Chmaj
17,Anusha Nagabandi
20,Alex Ballinger
21,Kelsey Thompson
22,Jamie Petroelje
24,Loren Goodrich
25,Kayla Wills
26,MELISSA KRAMER
27,Michelle Cabahug
30,Jean Huang
32,Vivian Chu
36,Bianca Delgado
38,Cora Wessman
b,r,e,a,k
Washington University,7
0,Naomi Goldstein
0,EMILY KENT
0,Jennifer Smith
0,SOPHIA BROWN
0,Rachel Stockdale
0,Lauren Reidy
0,BREANNA SWENSON
0,Eileen Duffner
0,KATIE HEBELER
0,Sarah Jane Yockers
1,Anat Gross
9,Stephenie Wang
10,NATALIE SPITZER
12,NICOLE BILTZ
16,Natalie Gould
25,ALLISON BUKYS
28,Caroline Buhse
