Santa Barbara Invite 2015 sponsored by Savage,College - Men ,24,1,2015
https://play.usaultimate.org/events/Santa-Barbara-Invite-2015-sponsored-by-Savage/schedule/Men/CollegeMen/
California-San Diego,1
0,Bahari Hasjim
0,Isaac Rehg
0,Joshua Hicken
0,Roy Xue
0,Ryan Amely-Shannon
0,Zac Goldberg
0,Migal Manickaraj
4,Scott Radlauer
02,Nikhar ABBAS
05,Christopher Liu
14,Brendan Winnacott
22,Cody Kirkland
26,Jacob Gutkowski
33,Steven Chung
35,KEVIN AMARBAYAR
40,JAMES LINSCHEID
41,Ben Kumler
47,MARK BUNNELL
50,Will Sun
54,Glenn Allen
55,Trevor Purdy
70,Sequoya Daniels
77,Gavriel Gelbart
88,Eric Zhao
94,Zachary Spidell
97,Zachary Murez
b,r,e,a,k
Victoria,17
01,Max Regitnig
03,David  Whitney-Brown
06,Nick Wright
07,Chunda Fan
08,Changwei  Lu
09,SAM MERRITT
11,Colin Crawford
16,Trevor Knechtel
21,Alexei Goudine
22,Oliver Telfer
24,Peter Galbraith
31,Patrick Salembier
33,Pascal Begin-Nose
41,Thomas Rowe
42,Josef Svorkdal
43,Liam Coughlan
44,Patrick Church
45,Malcolm Bryson
68,David Neilson
73,Ben Burelle
76,Alexander Neiman
77,Lukas Gehring
88,Jordan Quitzau
93,CLEMENT YIP
96,Colin Scarffe
b,r,e,a,k
San Diego State,16
0,Josiah Reeve
0,IAN GARDNER
0,ZEKE IVERS
0,STEVEN GREENE
0,Kyle Ruiz
0,Daniel Dutra
0,Branden Elam
0,Eric Goulet
0,Jeffrey Billauer
0,Hayden Shenefield
0,Bradley Poiriez
3,Michael Tran
14,Erik McCoy
16,Joseph Huppert
21,NICHOLAS CROOKSTON
27,Austin Clark
33,Dillan Van Ness
38,ALAN GUARDADO
42,MARK SLADER
45,Douglas Brantley
99,Maxwell Hume
b,r,e,a,k
Arizona,9
0,Laurence (Billy) McCormick
0,Kevin Dwork
0,Garrick Bruening
0,Trevor Smith
0,Timothy Wood
0,Tyler Crockett
0,Spencer Anderson
2,Zack Erlick
9,AJ GARNELLO
11,Mark Fleckenstein
12,Casey Tompa
13,Evan Baker
14,John Patinella
18,Trey Leonard
23,Alexander Prescott
24,Benjamin Lacy
31,Kyle Taylor
33,REILLY CLEAL
54,Jule Streety
56,Christopher Metz
81,Kyle Hansen
87,JAMES SCHOONMAKER
92,Sam Locke
b,r,e,a,k
Northeastern,8
0,CHRISTOPHER MCKENNA
0,JUSTIN WONG
0,Sumner Cushman
0,Justin Tran
0,Alexander Soltoff
3,Brian Wyer
6,Jonathan Aldieri
7,SAMUEL THERRIEN
8,ALEX CHAO
9,JESSE HARRIS
11,Samuel Letcher
12,YEEHIN LI
13,SEAN FARRELL
17,Ben Goossen
20,Jonah Kurman-Faber
21,MATTHEW GROTE
23,Walker Mayerchak
24,John Capreol
25,Ilya Yudkovich
31,MATTHEW DOWGIALLO
32,Matthew Schwartz
39,Benjamin Meltzer
40,Liam Henry
b,r,e,a,k
Washington,10
3,Khalif El-Salaam
5,KYLE STEEN
02,Tian Chuan Yen
04,ROBIN BREEN
06,CURTIS RUSCH
09,ALEX DIETZ
10,Dongyang Chen
11,Daniel Takashima
12,Tomas Delgado
13,Adam Fischette
14,Steven Benaloh
15,JAMES GENDREAU
23,Ethon Tonnamaker
26,ERIC HUYNH
32,Homer Aalfs
36,Jason Peacher-Ton
44,Christopher Lu
45,Conor Horkan
50,Samuel Scherer
55,Jonathan Shuster
84,Jonathan Stacey
87,Joseph Kornowske
b,r,e,a,k
UCLA,18
0,RAEKWON DALLETT
0,Timothy Stickles
02,NATHAN BURROUGHS
03,Matthew Yee
04,Geoffrey Iyer
07,JOHN O'LEARY
08,Jarett King
09,Nils Clauson
10,Suraj Patel
11,henson kwok
12,Nicholas Alexander
13,Alexander Julian
16,Thomas Murray
18,BEN KRAHENBUHL
