South Central Mixed Regionals,Club - Mixed ,12,9,2015
https://play.usaultimate.org/events/South-Central-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
Love Tractor,1
0,Stephanie Redfern
0,Christine Kamin
0,Joe Iannacone
0,Jack (John) McShane
0,Amelia Zutz
0,STEPHANIE FROST
0,CHLOE RIES
0,Brian Carroll
0,Brady Cowiestoll
0,Lauren Baecher
1,Spencer Norman
2,KIM HUTTON
5,David Protter
6,John (Clay) Heinzel-Nelson
7,Peter Cowiestoll Wilson
11,Liza Boyle
12,JACLYN PHIPPS
15,Lauren Rindels
19,BRIAN KIERNAN
23,Camden Kittredge
25,Vincent Powell
33,David Kamin
38,ERIN NEIL
44,Jacob Zax
51,Scott Forrester
69,Robert Justice
74,Stanley Strunk
b,r,e,a,k
Spikes Peak,8
00,Carl Chan
00,JESSICA BADGELEY
00,Chloe Rowse
00,Maggie Bailey
00,Ty Krajec
00,Rebecca Simeone
00,CHELSEA ALLEN
00,Ethan Taylor-Pierce
00,Justin Miller
00,Amanda 'Leia' Walker
00,Kevin Scott
00,Patty Weicht
00,Hector Madrigal
00,Bryan Downey
00,Soren  Turner
00,Genevieve (Evie) Godec
00,John Laskodi
00,Kyle Popelka
05,Stephen Lin
12,Megan Downey
13,Drew Wotton
19,Garrett Moulder
19,Wesley Sparkes
31,Zachary Trendelman
b,r,e,a,k
Beta Iota Delta,12
0,Eric (Egon) Hersh
0,Erin Phillips
0,Elizabeth Cravens
0,LAURA VARGAS
0,Maggie Douglass
0,Jonathan Gardner
0,LUKE TAPSAK
0,Christine Lynch
0,Robin Hartman
0,Tom Atchity
0,MATTHEW PRZEKOTA
0,WALTER LENOIR
0,Casey LeMay
0,Tom Ferguson
0,Zach Kuzmic
0,Meghan Rutledge
1,Tori Manlove
6,Nathan Baker
6,Christopher Schultz-Davis
8,Mikayla Slimmer
9,Marshall Payne
12,Rachel Wong
73,Christopher Reilly
99,John Higgs
b,r,e,a,k
theRUB,13
0,ALLEGRA HANSON
01,Elise Franke
03,Curtis Asher
05,Courtney Walbe
06,William Sharp
07,Courtney McClain
08,Austin Culp
11,Drew Hutchison
12,APRIL JOHNSON
14,Marine Pennequin
17,Cameron Umbarger
18,Patrick Randall
21,Mary Gentry
22,Barry Hart
22,Corey  Duncan
23,Matthew Gentry
32,Neil Royston
33,MADDY BROWN
41,CHRIS ROBERTSON
77,Jacob Klusmeier
82,Carrie Healy
b,r,e,a,k
Cosa Nostra,2
0,Robert McDonald
0,Steven Kurtz
2,RYAN PIERSALL
4,Ivy Byun
5,Patrick (Ted) Barnett
6,William Owens
7,Victoria Salimov
8,Austin Walker
9,Rebecca Smith
11,Shiru Liu
12,Charlie Stavlo
13,Barbara Smith
14,Alexandra Cunningham
15,Emily Scholten
17,Kathryn Herbers
18,John Dunlop
20,KIMBERLY HYDE
21,JULIE MORRIS
23,Ryan Pickens
25,David Street
27,Aaron Saylor
30,Emiko FitzGerald
32,Paul Starkel
44,Jordan Denecour
55,Wendy Hogg
60,Ereckson Hillis
64,BENJAMIN GARRETT
b,r,e,a,k
Sweet Action,7
0,BENJAMIN FRANK
0,ANDREW GARRETT
0,Eryn Carman
0,Alicia Stillwell
0,Leeanne Nowicki
0,Matt Slowinski
0,Leigh Lathinghouse
0,Michael Stowe
0,Bradley Cochi
0,Christopher Lathrop
0,Ryan Ellis
0,TYLER FRANKLIN
0,Kristen Dietrick
0,COREY JOHNSON
0,LEVI FULLER
0,NATASHA  LINK
0,Courtney Lake
6,Laura Doepker
03,CHRISTIAN MALESKY
04,Sara Major
10,Chad Underwood
20,Christopher Lathinghouse
22,Iris Ng
27,Alex Vorce
30,Austin Power
33,Lauren Picard
45,Nikki Roth
b,r,e,a,k
Tlacuaches,14
0,Fred Benitez
0,Max Abrahamson
0,JUSTIN HAYES
4,Israel DeLaCruz
4,PRIYA VARGHESE
8,Brian Cook
01,Stacey Nava
03,TARA KENNY
06,Elliot Lustig
07,SCOTT Kenny
07,Rene Ballesteros
08,Carl Hultgren
10,Daniel Tyx
11,Catheline Froehlich
12,ADAM VAN DIJK
12,Katharine Jones
13,Maria Cooksey
13,IVAN  COLMENERO
19,Camas Key
20,LAURA NIKSTAD
43,Jeffrey Bearden
44,Rochelle Van Dijk
45,Carlos Morales
63,Luis Benitez
80,Joey Key
87,Katie Abrahamson 
89,Michael Bollinger
b,r,e,a,k
BLOB,11
0,Spiro Nakos
00,SEAN BROOKS
03,Rae Van Sandt
04,Zoey Clark
05,Corey Green
08,Spencer Herber
09,Taylor Brown
10,Courtney Nakos
11,REBECCA CLARKE
12,Mike Welch
14,JERRY BENAVIDEZ
17,Todd Schrader
18,Chelsea Graham
21,Austin Wehrheim
23,Connor Dolan
24,Mathias Weeks
37,Justin Allison
42,Rohit Chintala
44,Jordan Harn
47,Aakar Mehra
51,Shai Herman
52,Mike Youngs
56,Emily Miller
65,Samuel Bondurant
b,r,e,a,k
RUA,3
0,AMANDA PAINTER
0,Casey Hogg
1,Heather Ayers
2,Emily Hanson
3,Karl Doege
4,Alyssa Shanahan
5,Eric Kearney
6,JACOB PERRY
7,Andrewa Ritchie
9,Victoria Lyda
