Southeast Mixed Regionals,Club - Mixed ,12,9,2015
Advance,NC,2015-09-12,2015-09-13
https://play.usaultimate.org/events/Southeast-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
Bucket,1
teamInfo,,"Atlanta, Georgia",,,https://www.twitter.com/ATLBucket
0,Sean Sears
0,Caroline Taylor
0,Maureen McCamley
0,Michelle Yang
0,Steven Rouisse
0,COLIN BELLAIR
0,Christina McDowell
0,TAYLOR NILAN
0,Bridget Daniels
0,MIRANDA WILSON
0,Asa Wilson
4,RYAN ARCHIBALD
7,Jack Barrow
8,Timothy Brady
9,ANA LEON
11,Katie Gainer
11,MATTHEW BERGIN
21,Michael Arenson
22,MATT KRESS
44,Samantha Hill
54,NATALIE ESPINO
62,Steven Hicks
64,Jason Simpson
65,Aileen Thomas
78,Dylan Tunnell
92,Sam Gainer
95,Will Blythe
b,r,e,a,k
Carolina Reign,8
teamInfo,,"Winston-Salem, North Carolina",,,https://twitter.com/TriadReign
0,Walker Shields
0,Trevor Nuckols
0,Jimmy Holtzman
0,Michael Hua
0,ALEX BROWN
0,Eric Martin
0,Melissa Reynolds
0,Mariamme Burgess
9,Lauren Tompson
11,Jordan Davis
12,Alexa Barwick
17,BRETT JORDAN
18,Shana Harris
19,James Mangum
21,Tamberline Moose
21,Kelly Sullivan
29,Haley Sanner
32,Emily Bratton
34,ADAM WHITE
40,Eric Snavely
41,Chris Schulze
83,Laura Carr
99,Jake Wise
b,r,e,a,k
Boxcar,12
teamInfo,,"Durham, North Carolina",,,https://twitter.com/boxcarultimate
0,Jennifer Greenholt
0,Laura Fradin
0,Amber Sniff
0,Kimberly Soltmann
0,Ivy Johnson
0,Erica Brenner
01,Donte Jackson
03,Rimas Vilgalys
05,Adrien Wilkie
06,Michael Whitton
07,Janelle Bosse
10,Jared Knight
11,Daniel Marlow
13,Kaitlyn Bayley
14,Brendan Smith
15,CHANI HODONSKY
16,Brayton Maxson
16,Jim Heffernan
22,Rachel Attix
24,Meghan Miller
27,Zan Derby-Wright
32,Marshall McClure
40,Jason Parker
42,Aaron Stern
77,Graeme O'Connell
87,Jonathan McLeod
92,Daniel Mott
97,David Goldsmith
b,r,e,a,k
LoveShack,13
teamInfo,,"Atlanta, Georgia",,,
0,John Booth
0,PARAG GAJARAWALA
0,Mary Beale
0,Cole Flournoy
0,JACOB NOLAN
0,RHODA GAO
0,Rhagan Williams
0,Alex Waxman
0,Christopher Broecker
0,Jessica Wackerman
0,Justin Royston
0,Julia  Eck
0,Kathryn Watson
0,TYLER PLUNKETT
0,Margaret (Maggie) Lovatt
0,MOLLY SNIPES
0,Heather Kelley
6,Aubrey Roberts
7,Jarrod Sinnock
8,BRETT NELSON
9,Tyson Puckett
10,Patrick Wortman
20,SEAN WHEALTON
23,Victor Pulizzi
23,Paige Payne
35,LAWRENCE LAUER
44,Christopher Purvis
b,r,e,a,k
Raleighwood,7
teamInfo,,"Raleigh, North Carolina",,,
0,KATY CAGLE
0,Gregory Mole
0,Bryan Conklin
0,Kurt Chapman
0,Joseph Connelly
0,Frances (Frannie) Goodrich
0,Alan Hoyle
0,Kathryn Morrison
0,Bryan Brickhouse
0,Mitch Talley
0,Lauren Marcey
0,LARRY DURGIN
0,Daniel Snoke
0,Lauren Gardner
0,Sion Stone
0,EVAN BOWLES
0,Beth Stagner
0,Derrick Marcey
0,Kyle Foreman
0,David Snoke
6,Sara Dieter
7,Beth Gifford
55,Ryan Smith
76,Alison Bender
90,CAMERON BEVINGTON
b,r,e,a,k
9Hammer,14
teamInfo,,"Atlanta, Georgia",,www.facebook.com/9HammerUltimate,www.twitter.com/9HammerUltimate
01,Cat Prueitt
02,Lauren Lee
03,Dana Bidot
04,ROBERT STEVENS
05,Emily Karoblis
06,Jarrett Workman
07,Lindsay Turner
08,Daniel Wang
09,Barbie Wright
10,Ishaan Dave
11,Charles Loudermilk
12,Andrew Chung
14,Jacob Zirbel
15,David Koch
17,CHRISTINA KELLEY
18,Chad Borer
19,Sean Finlay
23,Caroline Kay
24,Justin Mattingly
28,Kallie Monroe
33,Kailee Craig
42,Tara Mostowy
47,John (Jack) Curran
83,Cardinal Clarke
91,Alex Hodgson
99,Nathan Piechal
b,r,e,a,k
KOD,11
teamInfo,,"Miami, Florida",,,
0,Michael Holstein
1,Stacy Werse
2,Steven Kobrin
2,Catherine Linton
3,Johnathan Hunter
6,Frank Grande
7,Casey Burrows
8,Kevin Ruda
12,Larissa Ferreira
15,DAWSON KLEIST
19,Giulian Jauregui
22,Daniel Prada
25,Brandon Garcia
26,Samantha Young
27,Rebecca Poznansky
33,Edwin Sanchez
34,Christopher Cawley
35,Elijah Grady
81,JONATHON LANCASTER
88,ERICA YEAGER-LOMBARD
95,Jordan Taheri
b,r,e,a,k
Charlotte Storm,2
teamInfo,,"Charlotte, North Carolina",,,@cltxult
0,Chris Johnson
0,Ryan Nagel
0,Eric Olson
0,Andrew West
0,ALEX VICKROY
0,Rachael Freedman
0,DAVID STILES
0,June Lohner
0,STEPHANIE WITHEY
0,Marja Grillo
0,Andrew Au
0,Sharon Crawford
0,Kathryn West
4,MELISSA GANNON
5,Stephen Battise
6,Dylan Welchman
9,Miller Yoho
12,Christine Miller
14,Nick Crawford
15,Robbie Craven
21,Erik Messina
30,Savannah Hadwiger
57,Matthew Dix
70,George (Mick) Stukes
73,Adam Bostian
85,Rebecca Stukes
b,r,e,a,k
Cahoots,3
teamInfo,,"Asheville, North Carolina",,https://www.facebook.com/CahootsUltimate,
00,Linden Blaisus
00,Eric Woolridge
00,Virginia Conover
01,Jason Rector
02,Timothy John Murray
05,Christopher Cosgrove
06,Ryan Stokes
06,Peter Wentz
07,CLAIRE PAULEY
10,Ann Araps
11,Melissa Adelstein
15,Sarah Jobsis
16,Ryan Bell
17,ABIGAIL MARKLEW
22,Harris Woody
23,Amy Allen
25,Kyle Silva
25,Evelina Pierce
28,THOMAS KELLY
44,Ruth Stokes
44,Ruth Hudson
59,Ethan Burns
64,Jacob Warshauer
82,Matthew Martin
88,Samuel Fontaine
96,Joshua Washburn
b,r,e,a,k
Swing State,6
teamInfo,,"Orlando, Florida",,https://www.facebook.com/swingstateultimate,@ultiswingstate
0,Ginger Price
0,Nick Hunter
0,MORGAN POPPE
0,BRITTANY FAHY
0,Gentry Maddox
0,Amy Walker
0,Quentin Voorhees
0,MICHAEL BUTLER
0,Jaime Benites
1,Shawna Zielstorff
2,Laura Payne
3,Terence Murphy
4,Timothy Miller
4,Patrick Lothrop
6,ALEX HESLEP
9,Daniel Love
11,Kyle Krumwiede
21,Eric Lee
21,Jeffrey Walker
23,Shannon Mosley
25,Zach Floyd
35,Michael Coyle
36,RACHEL ACUNA
50,Sonjia Mosley
55,PAUL MCMICHAEL
83,Matthew Wilensky
86,Mark Mendelevitz
b,r,e,a,k
The Hucking Dead,10
teamInfo,,"Jacksonville, Florida",www.jaxul.com,https://www.facebook.com/JaxUltimate,
0,JEREMY KIM
00,Kerianne Durkin
00,HELEN  PEPLOWSKI
00,ANGELA SHEPARD
00,MARGARET SIMMONS
00,Alicia Bender
00,Eric Anderson
00,Justin Dean
00,Erich Hess
00,RICHARD  KELLY
00,Lindsey Brenner
00,JOE SCOTT
00,Tina Bobango
00,Drew Ladage
00,Anthony Vogt
00,Jeremy Brenner
00,Miriah Stieglitz
00,Sagar Shahani
00,Alicia Vogt
00,Corey McCall
00,Josh Shepard
00,Nulhae Sin
00,Mandy Weinstein
00,Jen Buyske
00,Brad Clarkson
00,SAMANTHA Chang
13,Daniel West
b,r,e,a,k
BAREFOOT,15
teamInfo,,"Tupelo, Mississippi",,,
0,Whitney Elliott
0,Chanler  samples
0,Stephen Rhea
0,Katy Fuqua
0,Dana Bramlitt
0,ANDY JONES
0,William Mansell
0,Jeffery Mansell
0,Rebecca Rhea
0,Mary Evelyn Webb
0,Emily Howe
0,Brad Brashier
0,DOUG BELL
0,Benjamin Davis
0,Chad Jolly
0,Lee Kleyla
2,Connor Norris
3,Keri Camp
31,Chelsea Sudduth
36,DANIEL RHEA
60,Gregory Howe
b,r,e,a,k
Pluff Mud Panic,4
teamInfo,,"Charleston, South Carolina",,https://www.facebook.com/PluffMudPanic,https://twitter.com/pluffmudpanic
01,Robert OBrien
02,HAYDEN SEWELL
04,Tim Monahan
05,Kelsey Fink
08,ELAINE ALFORD
09,Emma Johnson
11,William Swan
13,Stephen (Bud) Yackey
17,Catherine Yackey
19,Michaela Dube
20,Adam Bailey
21,SHANI BROWDY
22,Hannah Anderson
23,Caitlin Sudman
24,Terran Tout
26,Stacey Bailey
27,KEVIN BYRLEY
28,Matthew Olivetti
29,Thomas Rivas
36,John Sullivan
37,MEGAN ALDER
40,Will Bradshaw
44,Eric Olivier
51,Justin Gaeta
80,SAMUEL COOPER
88,Michael Cox
99,Mathew Skinner
b,r,e,a,k
Jolly Roger,9
teamInfo,,"Tampa Bay, FL, Florida",,,
0,Natalie Hanson
0,Austin Schoeck
0,BRIAN HUBBARD
0,Tessa Walter
0,JACLYN LOPEZ
0,JOSH FREED
0,ERIC LEWIS
0,JACOB SAGER
0,Eric Socrates
0,Ivan Fountain
0,SUMMER STRICKLER
0,Claire Selius
0,JESSE VELASQUEZ
0,TIM BLUM
0,Jenni Schmidt
0,PHIL ANDERSON
0,LINDA DING
0,Yu-wen Chen
5,Ian Eisnaugle
10,Therese Doebler
14,Alexander Guedouar
14,Tim Scheu
15,Dwayne Young
18,Franchesca Cassanese
19,ADAM LESSEY
20,Tom Chrzanowski
30,Domenick Fareri
b,r,e,a,k
Nooga by Nature,5
teamInfo,,"Chattanooga, Tennessee",http://www.noogabynature.com/,https://www.facebook.com/noogabynature/,https://www.twitter.com/noogaxnature/
01,Josiah Gamble
02,Jared Trevor
03,Kelsey Cline
05,James Gaynor
06,DANIEL EHRIG
07,Jennifer Abbott
08,Roger King
09,Javier Ortiz
