TCT Pro-Elite Challenge 2015 (Colorado Cup),Club - Men ,1,8,2015
Aurora,CO,2015-08-01,2015-08-02
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge/schedule/Men/Club-Men/
Revolver,1
teamInfo,,"San Francisco, California",http://www.revolverultimate.com/,https://www.facebook.com/RevolverUltimate,https://twitter.com/revolverult
01,Simon Higgins
02,TAYLOR LAHEY
03,Kevin Cocks
04,Joel Schlachet
05,Devon Anderson
07,Russell Wynne
08,Patrick Baylis
09,Cassidy Rasmussen
10,Robbie Cahill
11,Zachary Travis
12,Sam Kanner
13,Alex Evangelides
16,Jamie Quella
18,Gregory Cohen
19,Ryo Kawaoka
20,Nick Schlag
21,Andrew Hagen
22,Marcelo Sanchez-Heredia
23,Jordan Jeffery
24,Elijah Kerns
27,Ashlin Joye
28,Nathan White
29,Christian Johnson
32,Jordan Marcy
35,Lucas Dallmann
50,Beau Kittredge
87,Chris Kosednar
b,r,e,a,k
Chicago Machine,8
teamInfo,,"Chicago, Illinois",http://www.chicago-machine.com,https://www.facebook.com/machineultimate,https://twitter.com/MachineUltimate
coaches,Andrew Neilsen
0,Jonathan Helton
01,Craig Poeppelman
02,NICK ZEMAN
04,Benjamin Spielman
05,Noah Backer
08,Stephan Mance
09,Brett Kolinek
10,Von Alanguilan
14,Bob Liu
15,Andrew Sheehan
18,Cullen Geppert
19,Jack Shey
20,Gregory Slover
25,Ron Kubalanza
26,Kevin Kelly
27,Travis Carpenter
29,Michael Schwenk
31,Walden Nelson
36,Timothy Fergus
37,Daniel Williams
45,Brett Matzuka
51,Andrew (AJ) Nelson
64,Neal Phelps
73,Adrian King
99,George Hughes
b,r,e,a,k
Temper,12
teamInfo,,"Pittsburgh, Pennsylvania",,,@pghtemper
coaches,STUART KELLNER,Ben Banyas
0,Michael Pannone
0,Jack Slevin
0,Scott Trimble
0,Tad Wissel
0,Alex Thorne
0,CHRISTIAN PITTS
0,Ethan Beardsley
1,Max Sheppard
2,Joseph Bender
2,Jonathan Mast
3,Joseph Marmerstein
3,Patrick Earles
4,David Vatz
7,Mark Fedorenko
7,James Greeno
8,Nicholas Audette
10,Max Thorne
11,Nick Kaczmarek
16,Trent Dillon
18,Jed Farber
18,Michael Reeves
21,Robert Dulabon
41,PATRICK HAMMONDS
42,Marcus Ranii-Dropcho
59,AARON WATSON
81,Tyler DeGirolamo
b,r,e,a,k
Furious George,13
teamInfo,,"Vancouver, British Columbia CA",furiousultimate.com,https://www.facebook.com/FuriousGeorgeUltimate?fref=ts,https://twitter.com/FuriousUltimate
0,Edward Guo
0,Elliot Trotter
0,Taylor Nadon
0,Brian Baker
0,Aaron Loach
0,Mathew Goodkey
05,John Norris
06,Andre Gailits
07,Charles Eyrich
08,Morgan Hibbert
10,Gagan Chatha
17,Erik Hunter
22,Oliver Telfer
22,Matthew Berezan
27,Alexander Davis
33,Nick Wright
35,Pierre-Yves Lavertu
37,Myles Sinclair
45,Malcolm Bryson
74,Samuel Creed
75,Joel Bellavance
81,Rumi Tejpar
89,Kevin Underhill
b,r,e,a,k
Johnny Bravo,2
teamInfo,,"Denver, Colorado",http://bravoultimate.org/,https://www.facebook.com/pages/Johnny-Bravo-Ultimate/111884215492137?fref=nf,https://twitter.com/BravoUltimate
coaches,Bob Krier
0,Calvin Delamere
0,Ben Lohre
0,Ben Snell
0,Peter Gleason
0,Joseph Anderson
7,David Wheeler
02,Sean Keegan
03,Jesse Roehm
09,WILL LOKKE
10,C Ryan Morgan
11,Nicholas Lance
14,CRAIG FORSHEE
15,Dennison Bechis
16,RYAN FARRELL
19,Ian Toner
20,Joshua Ackley
21,Evan Padget
22,Stanley Peterson
23,Jimmy Mickle
24,Jackson Kloor
26,Owen Westbrook
34,Henry Konker
35,Todd Wolma
