Queen City Tune Up 2015 (Women's),College - Women ,7,2,2015
Charlotte,NC,2015-02-07,2015-02-08
https://play.usaultimate.org/events/Queen-City-Tune-Up-2015-Womens/schedule/Women/CollegeWomen/
Florida State,12
teamInfo,Seminole Ladies,"Tallahassee, Florida",,https://www.facebook.com/SeminoleLadies,https://twitter.com/seminoleladies
0,Lisa Fitton
3,Dana Bidot
4,ZOE STAPLETON
5,Katie Dooley
9,Julia Gregory
11,Danielle Cram
12,Larissa Ferreira
17,Carolina Gonzalez-Llanos
32,Connie Barroso
33,KRISTIN LLOYD
38,Rebecca Holcombe
42,Alleigh Grover
44,Gabby Sehres
46,Sarah Kibler
50,Gentry Maddox
52,SKYLAR SWORDS
66,Hayley Cotton
76,LAUREN BRUNNER
81,KARI TOMARELLI
85,Rachael Thompson
b,r,e,a,k
Virginia,1
teamInfo,Hydra,"Charlottesville, Virginia",,,
coaches,David Allison
0,Rukmini Basu
0,Allison Hahn
0,Jianna Torre
0,RALEIGH HEAP
0,Samantha Newman
1,Emma Price
7,Janie Mockrish
9,Laura Landis
10,Nada Tramonte
11,Kathryn Hannum
12,Emily Leivy
13,Alika Johnston
14,Amy Wedmore
23,Michele Derieux
24,Kelly Ross
27,Rebecca Meeker
30,Brogan Jones
31,Sarah Hansen
32,Rebecca Driver
34,IBBY HAN
44,Keila Strick
52,Tess Warner
54,Sarai Arbus
b,r,e,a,k
Northeastern,8
teamInfo,Valkyries A,"Boston, Massachusetts",http://www.ultimate.neu.edu/men/newsite/blogs/index.php?blog=4,https://www.facebook.com/pages/Northeastern-Valkyries-Womens-Club-Ultimate-Frisbee/261962653833898?fref=ts,https://twitter.com/ValksUltimate
coaches,Jason Adams,Chelsey Burrows
0,Hilda Doan
05,Eleanor Patten
06,Lauren Bertino
09,Harriet Booth
10,Shawn Zubin
11,ALEXANDRA ROSIN
12,Nicole Canning
13,Shelby Parton
14,Mei Bruist
15,Julianne Kloza
21,Jacqueline Firsty
22,Melissa Ellis
26,Ariel Bloch
28,SAMANTHA RATE
33,Samantha Gray
36,Elizabeth Way
37,Hannah Walter
38,Maggie Soto
43,TINA VIVIO
49,Heather Fielding Gebhardt
53,Katerina Stephan
64,Tracey Lum
b,r,e,a,k
Iowa State,13
teamInfo,Woman Scorned,"Ames, Iowa",http://iswomanscorned.blogspot.com/,https://www.facebook.com/pages/Woman-Scorned-Ultimate/245315626189,https://twitter.com/ISUWomanScorned
0,Clare Maksimovich
0,Abigail Poplawski
0,Blair Holck
0,Rachel Bates
2,Jean Colangelo
3,Kelly Hewitt
4,Brittnee Grimshaw
5,Liz Narmour
6,Hailey Kromminga
7,Jessica Mazzio
8,Emily Fung
12,Linda Morton
15,Elizabeth Meiman
16,CAMILLE NELSON
17,Janani Ragothaman
17,Shannon Allen
18,Sarah Leichty
20,Caitlin Durston
22,Kate Hunter
24,Megan Jameson
27,SAMANTHA SAUERBREI
33,KAYLA STAFFORD
41,Natalie Bidner
71,CLAIRE Gunderson
84,Sara Stuedemann
b,r,e,a,k
North Carolina-Wilmington,20
teamInfo,Seaweed,"Wilmington, North Carolina",,,https://twitter.com/SeaweedUltimate
0,Michaela Polom
0,Cacey-Jane Bunch
0,Theresa Teggi
0,KARLA BERRIOS
0,Rebecca Schellenberg
0,Zoe Dorian
0,Brook Shoemaker
0,Annalise Hiskey
0,Jenny Anguisaca
0,Allison Hill
4,Lyla Stanland
10,Jessica Graham
17,Madison Page
20,Emily Judd
55,Klara Calderon-Guthe
b,r,e,a,k
Georgia,11
teamInfo,Dawgma,"Athens, Georgia",http://ugadawgma.weebly.com/,,https://twitter.com/UGADawgma
coaches,Katherine Wooten
0,Cieara West
0,Lilian Zhu
0,Shannon Parsons
0,Heather Kelley
3,OLIVIA KING
4,Elaine Duong
5,Gracie White
6,Jennifer Farrell
7,Lane Siedor
8,Hannah Leathers
9,MADISON WOCHELE
10,Demi Chandler
12,Erin Chun
16,Molly Fisher
17,Katherine Jennings
19,ALYSSA SANDERS
21,MELISSA MERRILL
22,Suzannah Hope Blackshear
25,Katherine Hines
28,Erin Danzig
29,ALLY PIXLER
b,r,e,a,k
Tufts,2
teamInfo,Elephant Women,"Medford, Massachusetts",http://sites.tufts.edu/tuftsewo/,,
coaches,Meriden Estes
0,HANNAH DORFMAN
0,Valerie Willocq
0,Kei Thurber
0,WINNIE ZHANG
0,Emily Eibl
0,JILLIAN GERKE
0,Rebekah Waller
0,Jojo Emerson
0,Rachel Kramer
0,Anneke Johnson
0,Elizabeth Ahrens
0,Laura Fradin
0,Hadley Gibson
0,Maeve O'Sullivan
4,Hannah Crowley
10,Qxhna Titcomb
14,Brianna Dayer
b,r,e,a,k
Michigan,14
teamInfo,Flywheel,"Ann Arbor, Michigan",modules/common/www.flywheelultimate.com,,@UmichFlywheel
coaches,Benjamin Murphy
01,Kari Paine
02,Ali Jensen
03,Kati Turner
07,Elizabeth Benedetto
09,Nina Janjic
11,Tracey Lo
13,AMANDA INGLESH
14,Meghan Campano
16,Danielle DeJournett
17,Maya Grumeretz
20,Emma Boyd
22,Meghan Drews
23,Elizabeth Vana
24,Charlotte Wilson
34,Carolyn Vlach
37,Hannah Henkin
44,Grace Denney
48,Hannah Gannon
81,Breanna Berka
b,r,e,a,k
Maryland,7
teamInfo,Helpful Corn,"College Park, Maryland",https://sites.google.com/site/umdwomensultimate/,https://www.facebook.com/UMDhelpfulcorn,https://twitter.com/UMD_HelpfulCorn
coaches,Kate Chang,Michael Lopresti
0,Margaret Tatum
0,Kristen Mesmer
0,Amanda Wang
0,Katrina Gramzinski
0,Cheryl Wang
1,Paige Nelson
4,Anna Lieberman
6,Maria Pascale
8,Hanna Finigan
12,Allyson McCarthy
15,Paige Cassell
17,Juliet Bishop
18,Galen Reifsnider
22,SHANNON COOPER
23,Sarah Lord
25,KATHERINE (KATY) WELLINGTON
31,Amritha Mallikarjun
33,Jackie Weiss
b,r,e,a,k
Delaware,19
teamInfo,Sideshow Ultimate,"Newark, Delaware",,,
0,Natalie Bova
0,Rachel Egan
0,Zoe Niman
0,Rachel Bova
0,Kaylee Viets
2,Emily Cummins
4,Kelsey Devlin
8,Kelly Wallace
11,CASSIE FLICK
16,Kathryn Ritzmann
18,Lauren Lynch
19,Lauren Layre
23,Kelsey Wentling
37,KASSANDRA NEUMANN
41,EMILY CACCIAGUIDA
71,Mackenzie Perkett
85,CARRIE DAVIDSON
96,KRISTEN RAUCH
98,MEGHAN SOBBOTT
b,r,e,a,k
Dartmouth,10
teamInfo,Princess Layout,"Hanover, New Hampshire",modules/common/dartmouth.edu/~playout,https://www.facebook.com/pages/Dartmouth-Ultimate-Princess-Layout/101082166625239,https://twitter.com/PrincessLayout
01,Sophia Siu
03,Carolyn Susman
04,Madeline Parish
05,Qingyun Lu
06,Piper Curtis
07,Lillian Huang
08,Angela Zhu
09,Kathryn Peake
11,Patricia Neckowicz
14,Lily Eisner
16,Gaby Javitt
21,Eva Petzinger
42,Jaquille Jones
52,ELLEN PLANE
55,Julianna Werffeli
81,Mae Hardebeck
88,Rebecca Leong
b,r,e,a,k
Central Florida,6
teamInfo,Central Florida,"Orlando, Florida",,,
0,TIA PERSAUD
0,Alexa Wood
0,FELICIA PEREZ
0,Nicole Wellman
0,Alyssa Alejandro
0,Brooke Bayer
0,Nicole Feldman
1,Liliana Sanchez
3,jamie collins
4,Jesse Baldwin
6,Stephanie Williams
7,Ashley Gilbert
8,Shayna Brock
10,Mia Griner
11,Janina Freystaetter
18,KATHERINE DAVIDSEN
20,LARISSA CURRAN
21,Seairra Wisniewski
23,Gabriela Tamayo
24,Mary Wheeler
26,SHELBY SPENCE
28,Alexus Davenport
31,Alexis Kerwood
36,Chloe Baldino
72,Kathryn Dougherty
88,Emily Hayes
99,ZOE ROHR
b,r,e,a,k
Pittsburgh,18
teamInfo,Danger,"Pittsburgh, Pennsylvania",https://sites.google.com/site/dangerultimate2/,https://www.facebook.com/groups/35601418785/,https://twitter.com/dangerultimate
coaches,KELSEY DELAVE
0,Vaughan Skinker
0,Alyssa Campisi
0,Gabrielle Doran
2,Megan MacGillivray
7,JESSICA  SHEEHAN
8,Linda Morse
9,Katelyn Stavinga
11,Spike Pike
12,Sarah Russek
14,Haley Grajewski
22,Caterina Pagano
23,Katie Cleveland
24,Julia Strother
27,Goda Tarcijonas
32,DORA DANKO
36,Carolyn Normile
56,Lauren Feder
b,r,e,a,k
Carleton College,3
teamInfo,Syzygy,"Northfield, Minnesota",http://carletonsyzygy.weebly.com,,
0,Laura Soter
0,Naomi Price-Lazarus
0,Megan Chavez
0,Madeleine Preiss
0,Ellen Jacobus
0,Camila Flowerman
3,LEAH CROMER
8,Caroline Sheffield
05,EMILY BUCKNER
10,LUCIA CHILDS-WALKER
12,ELIZABETH BORDEN
14,Claire Rostov
15,Nami Sumida
21,Ahna Weeks
23,Emily Kampa
25,Elaine Sundberg
26,Clara Hazlett-Norman
35,Claire Thallon
45,Katie Ciaglo
63,Jamie Johnson
b,r,e,a,k
James Madison,15
teamInfo,Bitchmonkeys,"Harrisonburg, Virginia",http://jmuwomensultimate.wordpress.com/,,https://twitter.com/Bitchmonkeys
0,Savanna Herr
0,Sara Lassiter
0,Joellen Ceide
0,Allison Wallace
0,Jessica Crowley
0,Leah Hunsinger
0,KATIE MACCALL
0,Madelyn King
0,ABBY FRAM
0,Julia Petro
0,JENNA BEHRINGER
0,Olivia Kirk
0,KELSEA MCKINLEY
0,EMILY TWIGG
0,CLAUDIA DIMICK
0,Monica Klock
0,Emily Wingate
0,Jordan Wilkins
0,Olivia Szendey
0,Mary Molly Rowland
6,Sara Denney
b,r,e,a,k
Ohio State,4
teamInfo,Fever,"Columbus, Ohio",http://feverultimate.org.ohio-state.edu/,modules/common/www.facebook.com/OSUFever,https://twitter.com/FeverUltimate
coaches,DeAnna Ball,Nick Hamilton
01,Jackie Matonis
02,CATELEN RAMSEY
03,Alaine Wetli
05,Stephanie (Stevie) Miller
10,Kelly Ross
11,Sadie Jezierski
12,Katie Backus
14,Emily Steedman
16,Corinn Pruitt
19,Jenna Galletta
20,Erika Murray
22,Mary Turner
25,Alora Reiff
37,Sarah Bushman
42,Rachael Beeman
44,Malika Smoot
47,Amy Zwarycz
57,Kelly Rusin
71,Caitlin Duffner
88,MICKELLEA TENNIS
95,Kristen Behrens
b,r,e,a,k
Harvard,9
teamInfo,Quasar,"Cambridge, Massachusetts",http://www.hcs.harvard.edu/~ultimate/index.php,https://www.facebook.com/quasarultimate,https://twitter.com/QuasarUltimate
0,Karine Hsu
0,Alicia Monfre
0,Isabel Alexander
0,Monica Hersher
0,Cindy Okamoto
0,Kelly McGee
0,Hannah Sears
0,Grace Lin
0,LEORE LAVIN
0,Calais Galbraith
0,REBECCA RAMOS
0,Emily Houlihan
0,Jacqueline Martinez
0,Jayne Pilachowski
3,Eliza Chang
8,India Stubbs
12,Annie Yang
15,Ella Park-Chan
17,Elizabeth Pugh
b,r,e,a,k
Wisconsin,5
teamInfo,Bella Donna,"Madison, Wisconsin",http://www.belladonnauw.wordpress.com,,https://www.twitter.com/bdultimate
02,Rachael Romaniak
03,MARGARET KENNEDY
04,Lorraine Guerin
05,Lauren Allin
06,Jenna Mennen
08,Shanda Roeming
10,Jill Gorges
11,Anna Paulson
12,Jessica Liu
14,Anna Hrovat-Staedter
15,SARAH YEAZEL
16,Molly Berkholtz
20,Jenna Thorp
21,Anneke Vermaak
22,Alina Dain
23,Caroline Mueller
24,Lauren Roach
27,Leslie Boey
28,Madison Letcher
34,MARISSA PAULSON
44,Hannah Frank
60,Claire Cech
87,RACHEL OKERSTROM
b,r,e,a,k
Northwestern,17
teamInfo,GungHo,"Evanston, Illinois",http://groups.northwestern.edu/gungho/,https://www.facebook.com/NUgungho,GungHoUltimate
coaches,Carol Li
02,Alexandra Hu
04,Allegra Wilson
06,HOPE HELLMANN
10,TAMMY WONG
13,Phoebe Evans
15,Bridget Miles
16,Christina Sur
18,Jessica Hoffman
19,JEN WHITE
21,Jennifer Evans
22,Katherine George
23,STEPHANIE WANG
26,Jenny Li
33,Kelsey Dennis
35,Jenny  Loeff
47,Anri Brod
94,SARAH MORTENSEN
b,r,e,a,k
North Carolina,16
teamInfo,Pleiades,"Chapel Hill, North Carolina",,https://www.facebook.com/unc.pleiades,
0,Vany Nguyen
0,Megan Goldsby
0,Julia Gallini
0,TAYLOR FISHER
0,Lydia  Youngblood
0,Julie Becker
0,RACHEL SIMPSON
0,EMMA BOYD
0,AMELIA SCHIRMER
0,CLAIRE PAULEY
0,Robin Lowe-Skillern
0,Amanda Lohmann
0,ABIGAIL MARKLEW
0,Elizabeth Fussell
0,MARGARET HOPKINS
0,Christina Jackson
0,Natalie Schuster
0,Devon Allen
7,Bridget Johnson
10,Qing (Jenny) Wei
12,Joy Chen
13,Jocelyn Keung
21,Elisabeth Parker
55,Adrien Wilkie
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Virginia,North Carolina-Wilmington,13,4,"02/07/2015, 09:00",Pool A,Final
Florida State,Iowa State,12,5,"02/07/2015, 09:00",Pool A,Final
Virginia,Florida State,6,9,"02/07/2015, 10:30",Pool A,Final
Northeastern,Iowa State,10,5,"02/07/2015, 10:30",Pool A,Final
Iowa State,North Carolina-Wilmington,7,6,"02/07/2015, 12:00",Pool A,Final
Northeastern,Florida State,9,10,"02/07/2015, 12:00",Pool A,Final
Virginia,Iowa State,12,3,"02/07/2015, 13:30",Pool A,Final
Northeastern,North Carolina-Wilmington,9,7,"02/07/2015, 13:30",Pool A,Final
Virginia,Northeastern,13,4,"02/07/2015, 15:00",Pool A,Final
Florida State,North Carolina-Wilmington,12,5,"02/07/2015, 15:00",Pool A,Final
pool,Pool B
Tufts,Delaware,11,6,"02/07/2015, 09:00",Pool B,Final
Georgia,Michigan,13,7,"02/07/2015, 09:00",Pool B,Final
Tufts,Georgia,8,10,"02/07/2015, 10:30",Pool B,Final
Maryland,Michigan,6,7,"02/07/2015, 10:30",Pool B,Final
Michigan,Delaware,8,7,"02/07/2015, 12:00",Pool B,Final
Maryland,Georgia,5,8,"02/07/2015, 12:00",Pool B,Final
Tufts,Michigan,9,6,"02/07/2015, 13:30",Pool B,Final
Maryland,Delaware,9,7,"02/07/2015, 13:30",Pool B,Final
Tufts,Maryland,10,7,"02/07/2015, 15:00",Pool B,Final
Georgia,Delaware,9,5,"02/07/2015, 15:00",Pool B,Final
pool,Pool C
Carleton College,Pittsburgh,9,11,"02/07/2015, 09:00",Pool C,Final
Dartmouth,James Madison,13,9,"02/07/2015, 09:00",Pool C,Final
Carleton College,Dartmouth,9,8,"02/07/2015, 10:30",Pool C,Final
James Madison,Pittsburgh,6,13,"02/07/2015, 12:00",Pool C,Final
Carleton College,James Madison,13,6,"02/07/2015, 13:30",Pool C,Final
Dartmouth,Pittsburgh,11,7,"02/07/2015, 15:00",Pool C,Final
Central Florida,James Madison,12,6,"02/07/2015, 17:30",Pool C,Final
Central Florida,Dartmouth,8,11,"02/07/2015, 19:00",Pool C,Final
Central Florida,Pittsburgh,10,7,"02/07/2015, 20:30",Pool C,Final
Carleton College,Central Florida,6,10,"02/07/2015, 22:00",Pool C,Final
pool,Pool D
Ohio State,Northwestern,12,5,"02/07/2015, 09:00",Pool D,Final
Harvard,North Carolina,11,9,"02/07/2015, 09:00",Pool D,Final
Ohio State,Harvard,13,5,"02/07/2015, 10:30",Pool D,Final
Wisconsin,North Carolina,9,5,"02/07/2015, 10:30",Pool D,Final
North Carolina,Northwestern,7,8,"02/07/2015, 12:00",Pool D,Final
Wisconsin,Harvard,8,11,"02/07/2015, 12:00",Pool D,Final
Ohio State,North Carolina,10,4,"02/07/2015, 13:30",Pool D,Final
Wisconsin,Northwestern,11,2,"02/07/2015, 13:30",Pool D,Final
Ohio State,Wisconsin,11,6,"02/07/2015, 15:00",Pool D,Final
Harvard,Northwestern,13,5,"02/07/2015, 15:00",Pool D,Final
b,r,e,a,k
brackets,Bracket Play
bracket,Championships
Ohio State,Virginia,5,15,"02/08/2015, 15:00",Finals,Final
Tufts,Ohio State,10,12,"02/08/2015, 13:00",Semis,Final
Michigan,Virginia,8,15,"02/08/2015, 13:00",Semis,Final
Florida State,Tufts,6,8,"02/08/2015, 11:00",Quarters,Final
Ohio State,Central Florida,8,3,"02/08/2015, 18:00",Quarters,Final
Dartmouth,Michigan,0,1,"02/08/2015, 11:00",Quarters,Final
Georgia,Virginia,5,10,"02/08/2015, 11:00",Quarters,Final
Tufts,Wisconsin,12,7,"02/08/2015, 09:00",Pre-Quarters,Final
Central Florida,Northeastern,9,8,"02/08/2015, 16:00",Pre-Quarters,Final
Harvard,Michigan,8,9,"02/08/2015, 09:00",Pre-Quarters,Final
Virginia,Pittsburgh,15,4,"02/08/2015, 09:00",Pre-Quarters,Final
bracket,13th Place
Iowa State,Carleton College,3,13,"02/08/2015, 13:00",Finals,Final
James Madison,Iowa State,8,14,"02/08/2015, 11:00",Semis,Final
Carleton College,North Carolina-Wilmington,12,3,"02/08/2015, 11:00",Semis,Final
Northwestern,James Madison,7,10,"02/08/2015, 09:00",Quarters,Final
Iowa State,Delaware,11,6,"02/08/2015, 09:00",Quarters,Final
Carleton College,North Carolina,11,7,"02/08/2015, 09:00",Quarters,Final
Maryland,North Carolina-Wilmington,7,8,"02/08/2015, 09:00",Quarters,Final
bracket,5th Place
Georgia,Central Florida,8,4,"02/08/2015, 22:00",5th,Final
Georgia,Dartmouth,1,0,"02/08/2015, 13:00",Semis,Final
Central Florida,Florida State,10,9,"02/08/2015, 20:00",Semis,Final
bracket,3rd Place
bracket,7th Place
bracket,9th Place
Northeastern,Pittsburgh,10,11,"02/08/2015, 15:00",9th,Final
Wisconsin,Northeastern,5,10,"02/08/2015, 11:00",Semis,Final
Harvard,Pittsburgh,5,12,"02/08/2015, 11:00",Semis,Final
bracket,11th Place
bracket,15th Place
James Madison,North Carolina-Wilmington,6,12,"02/08/2015, 13:00",15th,Final
bracket,17th Place
Northwestern,Maryland,6,11,"02/08/2015, 15:00",17th,Final
Northwestern,Delaware,13,5,"02/08/2015, 13:00",Semis,Final
North Carolina,Maryland,8,10,"02/08/2015, 13:00",Semis,Final
bracket,19th
Delaware,North Carolina,5,11,"02/08/2015, 15:00",19th,Final
b,r,e,a,k
