Chesapeake Open 2015,Club - Men ,1,8,2015
Poolesville,MD,2015-08-01,2015-08-02
https://play.usaultimate.org/events/Chesapeake-Open-2015/schedule/Men/Club-Men/
Patrol,1
teamInfo,,"Philadelphia, Pennsylvania",,,
1,Colin McIntyre
3,Gabriel Colton
3,Charles McCutcheon
4,Dustin Damiano
7,Nick Hirannet
8,Nick Patel
11,Himalaya Mehta
13,David Brandolph
14,Matthew Glazer
16,Richard Robinson
18,William Sickles
20,David Baer
21,Michael Panna
22,Matt Paparone
23,James Zuraw
24,Ethan Peck
25,Trey (George) Katzenbach
36,David Shields
41,Nicholas Mathison
46,Benjamin Scharadin
49,Jordan Winey
71,Ian McClellan
76,MARSHALL WARD
91,Vincent Reydams
b,r,e,a,k
Youngbloods,8
teamInfo,,"New York, New York",,,
coaches,Brandon Contarsy
0,Dean Acheson
0,Matthew Thomas
0,Calvin Vannoy
0,Matthew Mclaughlin
0,Evan Carter
0,Max Cohen
0,IVAN ROBINSON
0,Daniel Eppstein
0,Benjamin Attal
0,Samuel Pollack
0,Evan Ma
0,Jonathan Kwan
0,Chris Nelson
0,Rohith Rao
0,Bennett Taren
0,Taylor Rasco
4,Jaime Perez
6,James Thurm
6,Miles Eckardt
7,Alexander Roche
11,Stefan Dicker
13,Jay Sehgal
16,Yuval Pearl
16,Brett Kaiser
16,Patrick So
23,Charlie Holtz
94,James  O'Connell
b,r,e,a,k
Genny Tall Boys,9
teamInfo,,"Rochester, New York",,,
00,Connor Fortin
00,Tim Kominos
00,Jason Demaso
00,Nate August
00,Ian Dipace
00,Emmett Wilson
00,JUSTIN ILOWITE
00,Matthew Rybak
00,Jonathan Bain
00,JONAH BOUCHER
00,Samuel Carletta
00,Patrick Stegemoeller
00,CHRISTOPHER LIESS
00,David Berg
00,Christopher Enderby
02,Douglas Urbino
05,Ken (KJ) Dziak
08,Dan  McCune
18,Matthew Cameron
20,Joseph Becker
81,Kevin Quinlan
b,r,e,a,k
Beltway Bullets,16
teamInfo,,"Washington, District of Columbia",,,https://www.twitter.com/beltwaybullets
0,Anthony Bernard-Sasges
0,Alexander Davis
0,Marc Gottschalk
0,Andrew Bent
0,Ben Frattini
0,Kyle Johnson
0,MICHAEL MCGRATH
0,Jeremy Neff
0,MATTHEW FRIED
0,Matthew Kostman
0,LUKE CARTER
0,Gabriel Fernandez
0,EVAN ROMANKO
0,Taylor Culman
9,Fred Wolf
12,Andrew Ziegler
36,Jeremy Stevens
69,Chris Hancock
77,Christopher Scoular
b,r,e,a,k
Town Hall Stars,7
teamInfo,,"College Park , Maryland",,,https://www.twitter.com/townhallstars
0,Tom Noll
0,Tim Kreutzfeldt
0,Kevin Ludwig
0,Robert Krasnansky
0,DANIEL MONGEON
0,Taylor Knapp
0,Eliot Fenton
0,Nate Pascale
0,Matthew Dahlhausen
0,Ryan Swift
0,Peter Mancini
1,Ben Slade
3,Eric Biggs
7,MARSHALL SCHROEDER
8,Sean Reischel
8,Walker Hatchett
10,DAVIDSON GIRARD
12,DOUGLAS LAVIN
12,Christopher Bernard
14,Mac Keller
20,Isaac Kinton
21,Max Cassell
43,Nathan Prior
74,Andrew Creighton
87,MARK MIFSUD
b,r,e,a,k
CityWide Special,10
teamInfo,,"Philadelphia, Pennsylvania",,,
0,Daniel Wickens
0,Jared Seyler
0,Mark Philipson
0,IAN HALL
0,Kyle Hartley
0,Ethan Fortin
0,Owen Thomas
0,Zack Eskin
0,David Bloodgood
5,Emilie Mohler
6,Doug Roman
9,Charles Harrity
10,Chris Dixon
16,Matthew Michelson
18,Connor Boyle
20,Owen Mayer
26,SEAMUS BELISLE
29,Chris Vanni
30,Brian McAloon
42,Daniel Slesinski
50,Greg Mohler
55,Mathieu Savarit-Cosenza
69,Peter Burt
71,Daniel Hartsoe
76,Brendan Quann
88,ALEXANDER HAYNES
91,Kenneth Wells
b,r,e,a,k
Big Wrench,2
teamInfo,,"Somerville, Massachusetts",http://bigwrenchultimate.weebly.com/,https://www.facebook.com/BigWrenchUltimate,https://twitter.com/BigWrenchUlt
4,Jacob Saunders
5,Hansen Yang
8,Michael Voelpel
9,Noah Newberger
01,ELIAS KAHAN
02,LOCK WHITNEY
03,Robby Perkins-High
10,NICHOLAS SILBART
12,TREVOR SANDERS
13,JOSH ADLER
14,Patrick Kelsey
17,Samuel Zuckernik
19,Jason Shnipes
23,KEVIN SPARACINO
24,Jesse Wolf
27,Jordan Kaufman
27,Matthew Rogers
32,David Lyle
34,Benjamin Gagne-Maynard
42,Benjamin Wittenberg
63,Victor Zhivich
b,r,e,a,k
Watchdogs,15
teamInfo,,"Bethesda, Maryland",,https://www.facebook.com/pages/Watch-Dogs-Ultimate/250140035159441?fref=nf,
04,Will Yetvin
05,Timothy Pugarelli
07,Andrew Nguyen
08,Ben Weinstein
10,Dietrich Epp Schmidt
11,Toshihiko Oka
15,Garrett Johnston
17,Theodore Lannert
18,Luc Bouchard
19,NOAH TONDARI
21,Joseph Miller
25,ADAM ALTAMIRANO
28,Justin Fitzgerald
32,Andrew Roy
51,Kevin Versteeg
81,Sean Phippen
88,ERIK TWETEN
99,ADAM BERNSTEIN
99,Austin Duke
99,ANDREW JANSEN
99,BRENDAN RICHARD
b,r,e,a,k
John Doe,11
teamInfo,,"Washington, District of Columbia",,,
0,Ross Kinsman
1,Alex Smith
2,Adam Stafa
3,Miguel Mejia
4,COREY CASARELLA
5,Trevor Griesman
10,Greg Esser
12,Daniel Sablosky
13,Drew Lockhart
14,Gabriel Webster
15,Glenn Poole
16,BURKE NASH
17,Michael Moses
18,Scott Long
19,Scott Hampton
26,Brendan Smullen
27,Collier Cobb
42,Caleb Ward
43,Tim Spiridonov
44,Gunnar Olgren
47,Graham Katz
68,Scotty Crabtree
88,Kevin Healey
b,r,e,a,k
Medicine Men,3
teamInfo,,"Baltimore, Maryland",,,
0,Ryan Vance
0,EVAN GROOPMAN
0,Joseph DiPaula
0,Cortland Broyles
0,Aidan McLeod
0,Alex Jacoski
0,Joseph Patterson
0,MICHAEL CIPRIANO
0,Akram Abudheer
0,Raymond Mendoza
0,Daniel Selwyn
0,BRETT BOYLE
0,PERRY GORGEN
0,Houston Parks
0,JOHN WALSH
0,Aaron Langley
6,Frederick Perlman
7,Bryant Dean
8,Troy Holland
9,Alexander Lichtenstein
15,Michael Malloy
27,ANDREW FICKLEY
55,KIERAN BLAKEMORE
87,Matt Kerrigan
b,r,e,a,k
Takers,14
teamInfo,,"Trenton, New Jersey",,,
0,Eric Gallagher
2,Zachary Sands
3,Ryan Moyer
5,Kevin Venose
6,Brice Dunn
7,SAM PEEZICK
9,Cole Drummond
11,Sam Morgan
15,Sean Maxcy
18,Jake Doyle
19,Isaac Saul
20,Jesse Gormley
25,PAVEL KARAVAYEV
26,Christian Duess
31,Paul Klimkowski
32,Robert Walker
33,CONNOR DOYLE
34,Nicholas Judson
37,Ryan Coughlan
51,Greg Owens
55,Frank Harris
69,Matt Tacheron
76,Brian Williams
79,David Hampson
88,Nikki Philip
b,r,e,a,k
Bruises,6
teamInfo,,"Boston, Massachusetts",,https://www.facebook.com/bruisesultimate,https://twitter.com/bruisesultimate
0,Andy Fleming
01,Patrick Jerome
02,Ryan Cardinal
03,Paul LeMay
04,Ryan Woodhouse
05,ERIC STEINBROOK
07,Dennis Maclaine
08,BRIAN BEAULIEU
09,John Sullivan
11,Patrick Collins
12,BRENDAN NICHOLS
13,CHARLES MCBRIDE
14,Anthony Bevilacqua
15,Craig Bunce
17,DEREK STEVENS
21,Brian Munroe
22,Bryan Finney
24,Travis Ellyson
33,Micah Botkin-Levy
35,Russell Katz
46,AJ Hutchins
55,Benyamin Meschede-Krasa
