Presidents' Day Invitational 2015,College - Women ,14,2,2015
https://play.usaultimate.org/events/Presidents-Day-Invitational-2015/schedule/Women/CollegeWomen/
Oregon,1
0,Madison Lostra
2,Jesse Shofner
3,LAETITIA GUILLET
4,Emily Loo
5,Gabrielle Aufderheide
6,Angela Tocchi
7,Alex Ode
8,Ashley Young
8,Jaydra Rotolante
9,OLIVIA BARTRUFF
11,Bethany Kaylor
13,Amelia (Molly) Lanning
14,Sarafina Angstadt-Leto
19,Lillian Weaver
20,Hope Zima
22,Rachel Hershey
25,Foley Galvin
27,Hayley Wahlroos
43,Ella Hansen
44,KAITLIN BRUNIK
b,r,e,a,k
California-San Diego,5
0,Elizabeth Cowan
4,Shelby Triplitt
01,Kylie Shen
02,RACHEL KATE HOMER
03,BRIDGET ZEIGER
05,Rachel Ling
10,Maria Zavala
11,Julia Salvacion
16,Jorie Moore
19,Juliana Jordan
22,Sheliemae Lai
23,Cynthia Yee
24,Tabetha Ridgway
30,Irene Tran
33,Eimear Keyes
43,Stacy Tran
45,Maryjo Sampang
47,Dena Elimelech
54,Alyssa Lopez
73,Maria Peterson
78,Rebecca Jones
88,Christina Huynh
b,r,e,a,k
Cal Poly-SLO,8
0,Julianna Arvin
0,Tara Fussell
0,Elizabeth Murphy
0,Patty Eagan
0,Holly Harrison
0,Jacquelin Severson
0,Rebecca Gregg
0,Carolyn McBirney
0,Emily Mather
0,Danielle Purdy
2,BRIANA PERRY
3,Mara McKown
4,Rachel Eierman
9,Analise Huysentruyt
10,Danielle Tran
11,ARISTAYA BARR
12,Josie Ma
14,Danielle Love
21,Nicole Love
22,Elena Good
23,Lauren Byrne
24,SAMANTHA LUI
b,r,e,a,k
Colorado College,4
0,Rachael Maxwell
0,Baheya Malaty
1,VIRGINIA  HILL
3,NINA LUNDSTROM
4,MADISON ANDRES
5,Robin Fassett-Carman
6,Chloe Rowse
8,RACHEL KATZOFF
12,Anna Doctor
14,Jennifer Grossman
15,Emily Komie
16,Abigail Lew
17,Patty Weicht
22,JESSICA BADGELEY
27,Maggie Bailey
28,Monica Weindling
32,ALEXIE MILLIKIN
37,Rosa Baum
71,Erika Hiromitsu
b,r,e,a,k
Sonoma State,9
0,EMILY SANCHEZ
02,LISSA BAYSINGER
06,Camila Vasquez
07,Alicia Collins
08,Ella Corbett
09,Elizabeth Grewal 
10,KENDALL ALMGREN
11,GINA DAMILANO
13,Madelyn Wright
14,Michelle Doyle
15,MICHELLE BERNIER
16,Melanie Lourme
17,Tyana Ruiz
18,Kaitlin Kendrick
19,Heidi Schindler
21,Adriana Sadra
22,Megan Gaitan
23,Laurel Duncan
24,Gabby Villagomez
26,Haley Durham
27,Erika Ann Escobar
28,LEAH HEADD
31,Isabel Kornmann
33,Danielle Kleidon
44,Jacqueline Bonner
50,Kaitlyn Stansberry
52,Megan  Stock
b,r,e,a,k
Washington,2
0,Bailey Bonaci
0,Eugenia Prezhdo
3,Samantha Hing
9,EDRIENNE  CHAN
11,Nora Landri
13,Kit Carle
13,Andrea Willson
14,Nicole Cramer
16,Kate Wilburn
17,VICKIE SU
18,Allison Tjader
20,Grace Noah
21,Camille Canter
23,Lauren Sadler
25,Emma Kahle
37,BAILEY KILMER
49,Liz Conway
61,Kristin Poinar
91,Tessora Young
99,Noelle Takahashi
b,r,e,a,k
Colorado,3
03,Amy Elizabeth Leder
04,Nhi Nguyen
05,Leilani Nelson
08,Jean Russell
09,Kirstin Johnson
11,Megan Henderson
13,Jessica Chesnut
15,Dorothe Franklin
16,Megan Cousins
17,Melinda Alvey
19,EMMA CARR
20,Kenzie Weed
24,Hilary Egan
29,Lisa Doan
32,Alana Chen
42,KATHARINE HEIL
65,Megan Ives
69,Sarah Ferraro
90,SONIA SZETON
97,Celeste Havener
99,Kelsey Bennett
b,r,e,a,k
San Diego State,7
0,KATELYN WARREN
0,Ericka Borges
0,Allyson Fisher
0,Katie Buote
0,Meghan Hardiman
0,Whitney Stephens
0,Megan Blair
0,Samantha  Zapanta
0,Camille Chamberlen
0,ALIXANDRA MACERO
1,CLARICE FRACZEK
2,EMILY FRACZEK
3,HALLIE TAYLOR
4,EMILY LANE
5,DIANNA ROCHA
7,Megan Romero
9,Gabriela Staehle
11,LINDSEY SCHAEFER
12,LAUREN KIRLIN
19,VICTORIA HUNTER
21,STACI HOWARD
22,LEILANI JONES
23,KENDRA VEJMELKA
26,Katherine Hsu
32,CICINE TANG
37,Hannah Price
42,ANGELEA ENNAMORATO
b,r,e,a,k
California,6
0,Thi Hoai Thanh Nguyen
0,Danielle Gendron
0,Danielle Murray
0,KATHERINE MEYER
0,LINNEA DELUCCHI
0,Mathilda Farrell
0,Krystal Ching
0,Allegra Mayer
0,Jackelyne Nguyen
0,Kira Lou
0,Elizabeth Runte
0,Marisa Rafter
0,Allyson Lutz
0,Mackenzie Bailey
0,Ziyue Chen
1,Sharon Lin
10,Christy Jarman
14,Anjile An
14,Molly Barlow
15,Alison Griffith
18,Hannah Ellis
21,Alexandra Hasan
25,GRACE FLINTERMANN
89,Kimberly Long
b,r,e,a,k
California-Santa Cruz,10
0,Rebecca Jacobson
0,BRITTANY ALIADO
0,Alexandra Stambaugh
0,Patricia Garcia
0,Lisa Hyndman
0,Auralee Walmer
0,tania vega
0,Jiselle Torres
0,Jiyeon Choi
0,MOLLY NAGLE
0,Esperanza Ramos
0,Nikki Stokman
0,Casidee McDonough
0,Sophie Blake
0,DAPHNE GORMAN
0,Madison Jeong
2,Manzanita Griffin
3,Brieana Polk-Perez
25,Justine Rouleau
29,BAILEY RAMOS
37,Frances Hamkins-Indik
b,r,e,a,k
Stanford,11
0,Annee Rempel
0,Deanna Abrams
0,Michela Meister
0,Shayla Harris
2,Veronica Cruz
7,Natasha Field-marsham
8,Francesca Olguin
9,Amanda Somvilay
10,Halsey Hoster
11,Rosemarie Sandino
11,Freya Chay
13,Stephanie Lim
14,Monisha White
16,CHRISTINA LI
17,Jennifer Schultz
18,Michelle McGhee
22,Rachel Gianforte
23,Courtney Gegg
24,Pooja Desai
60,Caitlin Go
b,r,e,a,k
UCLA,14
02,MEGAN BECK
03,Jamie Lam
04,Kristen Pojunis
05,Lauren Kean
07,KELLYANNE TANG
08,Tiana Rangchi
10,Melissa Kan
11,Sylvia Liang
13,Alexis Whitaker
14,Julia Tang
15,Claire Simpson
16,Alyssa Worsham
17,Margot Stert
18,Camille Wilson
19,Rachel Wilson
20,Vivian Griffey
21,Kerrie Tonking
22,Caroline McKee
23,BREANNA DIRKSE
25,Han Chen
31,Kathleen Lo
41,Ann Lee
99,Maria Kazantsev
b,r,e,a,k
Southern California,15
0,Alana Archer
0,Belinda Pak
0,Karlee  Hormell
0,Allegra Reister
0,Connie Chan
0,DANIELLE LEE
0,Jean Frazier
0,Cady Gooding
4,Amy Lee
5,KATHRYN FOWLER
8,Becklin Davis
10,Julia Johnson
11,Rona Sheen
11,Christie Yeh
12,Linda Hamon
15,Rachel Chang
17,Joyce Wen
18,ALAINA GEORGE
20,Zoe Serbin
22,Alyssa Perez
24,Avalon Igawa
b,r,e,a,k
Chicago,18
0,Ruby An
0,Gabby Skifstad
0,Amanda Dobbyn
0,Rachel Hildebrand
0,Hallie Parten
0,Alicia Zhao
0,MARANNA YODER
0,LEAH KESSLER
0,CHARIS CROFTON
0,YEVANIT RESCHECHTKO
0,Jenny Wang
9,CAROLINE OWENS
16,Jesse Handler
18,Cecile Murray
21,Megan Lau
26,Emily Wolfson
61,Hani Pajela
b,r,e,a,k
Texas,12
0,Marissa Land
3,Domenica Sutherland
6,Rachel Arthur
05,Andrea Esparza
07,KELLY LAVINE
10,Gaby Cuina
12,Rachel Wong
14,Kimberly Sun
15,Sydney Overman
17,Kathryn Herbers
18,LAUREN MCKENNA
20,Susan Gilbert
23,Laura  Gerencser
26,LAURA VARGAS
29,Meghan Rutledge
89,Shiru Liu
b,r,e,a,k
California-Santa Barbara,13
0,Madeleine Shade
0,Audrey Horn
0,Leilani Borrego
0,Stefani Henderson
0,Jessica Pham
0,Julia Kwasnick
0,LYLY TRAN
0,Wendy Alvarran
0,Amanda Murillo
0,Cynthia Jiang
1,Ria Sager
9,Talia Barth
11,WINNIE LAM
12,Angela Dong
16,Joy Kang
16,Dana Patterson
17,KRISTIN ARAKAWA
18,SHELBI THOMPSON
26,Lisa Pitcaithley
27,Kelsey McClung
34,Kristen Snyder
36,Rachel Johnston
45,Kieran Hughes
89,Samantha Kretchmar
b,r,e,a,k
California-Davis,16
0,JEANETTE TRUNK
0,EMILY WILSON
0,Zhimin Xie
0,Moeko Hirata
0,Veronica Chan
0,Cheryl Hsu
0,Hannah Cheng
0,Olivia Hart
0,Lindsay Hedgecock
0,JAZMIN JORDAN
0,LAUREN YAMAMOTO
0,Kimberly Nguyen
0,Christina Debowski 
0,Kelsey Clausen
0,Maureen Murphy
0,Cariann Perumal
0,ELISE ZARRI
0,Amanda Meroux
21,Christine Truong
b,r,e,a,k
Brown,17
03,Zoe Wohlgenant
05,Sophia Kerman
07,Lane Kantor
08,Emma Herold
09,Ellen Goldberg
10,Amelia Grant-Alfieri
11,Elizabeth Cory
13,Ashley Whaley
14,Emily Jensen
16,Rebecca Forman
19,HANNAH KERMAN
21,ABBY LINN
22,LIZA GIBBS
24,Sara Nordstrom
27,Caitlin Richard
28,Amelia Khoo
29,SARAH CLINCKEMAILLIE
46,Theresa Cloutier
64,Julia Leung
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Cal Poly-SLO,Sonoma State,13,8,"02/14/2015, 09:00",Pool A
Oregon,Sonoma State,13,4,"02/14/2015, 10:30",Pool A
Colorado College,Cal Poly-SLO,8,11,"02/14/2015, 10:30",Pool A
Colorado College,Sonoma State,10,4,"02/14/2015, 12:00",Pool A
Oregon,Cal Poly-SLO,13,1,"02/14/2015, 13:30",Pool A
Oregon,Colorado College,12,7,"02/14/2015, 15:00",Pool A
Oregon,California-San Diego,13,6,"02/14/2015, 16:00",Pool A
California-San Diego,Cal Poly-SLO,8,4,"02/14/2015, 19:00",Pool A
Colorado College,California-San Diego,6,11,"02/14/2015, 20:30",Pool A
California-San Diego,Sonoma State,11,6,"02/14/2015, 22:00",Pool A
pool,Pool B
Washington,California,13,9,"02/14/2015, 09:00",Pool B
San Diego State,California-Santa Cruz,13,4,"02/14/2015, 09:00",Pool B
