Bring The Huckus VI,College - Men ,28,2,2015
Princeton,NJ,2015-02-28,2015-03-01
https://play.usaultimate.org/events/Bring-The-Huckus-VI/schedule/Men/CollegeMen/
Penn State (B),21
0,TYLER  RINGEISEN
0,Luke Synnestvedt
0,MARK MCTIERNAN
0,Lukas Hoffman
1,Steven Parker
7,Vance McNees
8,BRANDON DREESE
9,Andrew Rechenberg
01,Nathan Finlay
06,Matthew Peletier
07,Tyler Williams
08,Benjamin Chronister
14,Samuel Kirshner
17,Terrence Kong
19,Dakota Griffith
22,Zach Perri
23,MAXWELL WNOROWSKI
31,Michael Gaspari
33,BOBBY GOBAO
37,Rees McDevitt
42,Robert Jenkins
45,Cody Demichele
47,Akshat Rajan
66,Daniel Piorkowski
b,r,e,a,k
Northeastern (B),28
0,Joshua  Bricknell
05,Dylan Loughran
16,Brendon Wong
18,Matthew Horowitz
22,Jesse Morrow
23,Haiyuan Sun
27,Dan Hennagin
28,JASON HERSHMAN
29,Daniel Doherty
30,Patrick Gannon
35,Warren Cutler
36,Alexandre Jolly
36,Alexander Hatter
37,Andrew Pitman
41,Frederick Sheehan
45,Cameron Levenstein
46,Alexander Hughes
49,David Frymoyer
50,Chase Gray
54,James Beck
81,Chris MacDonald
96,EDWARD SCARSELLA
b,r,e,a,k
Princeton (B),29
08,Tony Jin
13,James Almeida
14,Blake Lawson
20,Louis Tambellini
24,Mark Tengi
25,Robert DeLuca
26,Simon Gee
31,Joseph Yates
32,Danny Kim
33,Jeremy Zullow
34,Hunter Rex
35,Ted Callon
36,Heesu Hwang
39,Tyler Nellesen
43,Daniel Ma
46,Eric Blum
55,Aded Yako
71,THOMAS HARTKE
72,ZACH HALEM
77,Joe Lee
80,James Poindexter
87,Jake Luttinger
96,Victor Zhou
99,Jackey Liu
b,r,e,a,k
Muhlenberg,22
0,Eric Jovinelly
0,Patrick Moore
0,Alex Solomon
0,Michael  Seifert
0,Daniel McGrady
0,Golan Gil-More
06,Jeremy Fus
34,Aaron Schwartz
37,Aaron Blumberg
84,Matt Lubitz
b,r,e,a,k
Gannon,27
09,Nicholas Fuga
13,Jake Bonk
15,Ryan Crotty
24,Hagai Budilovsky
24,Benjamin Kies
28,Stephen Karpinsky
34,Bryan Campbell
48,Alexander Williams
85,Aaron Grzegorzewski
b,r,e,a,k
MIT (B),30
0,SAMMY LUO
0,KEVIN DORST
0,Kevin Li
0,Steven Hao
0,Vahid Fazel-Rezai
0,Jonathan Uesato
24,Paolo Gentili
29,Steven Homberg
b,r,e,a,k
Clarion,23
00,Camron Kirkland
00,Nathan Disantis
01,Ryan  Spangenberg
02,Brandon Confer
15,Zachary Hopkins
19,ERIC HESDON
20,MICHAEL DORRENBACHER
27,Ryan  Maitland
34,Shelby McGary
37,JACOB BARTLETT
44,RYAN FRANKHOUSER
56,SHAWN MCADOO
66,kyler maddigan
69,Taylor Port
75,Braden Skidmore
b,r,e,a,k
Connecticut (B),26
0,Christopher Haack
0,Aaron Ryley
0,Matthew Brown
0,Jonathan  Novitski
0,Meyer Gilden
0,Lee Martel
0,Miraj Keshwaka
0,Kevin McMullen
0,Daniel Connolly
0,Kyle Flannery
4,DANIEL  COLE
4,Ryan Paes
13,David Beaulieu
18,Jordan Layne
48,Colin Ng
51,Vincent Buffa
69,Jonathan White
94,JOSEPH CARBONE
b,r,e,a,k
Boston University (B),31
00,Marc Buchmayer
00,Brian Horan
00,SAMUEL LEE
00,Brian McGrath
00,Daniel Kronenfeld
00,NICK CAPRIOLA
00,Chandler Hennig
00,Tyler Adams
00,James Cho
00,Eric Heinrichs
00,Noah Bernays
b,r,e,a,k
Catholic,25
0,Kevin Motylinski
0,RYAN VAN FLEET
0,matt brady
4,Luke Alcaraz
5,Nick Scali
7,DAVID ANTOL
8,Peter Warwick
17,ROBERT RUGINIS
22,DANIEL RUCK
33,James McLeod
35,James Walsh
45,Christopher Caruso Jr
51,Michael Gross
55,JOSEPH MIRABILE
72,CHRISTOPHER BRECKEN
93,Finbar Kantor
b,r,e,a,k
SUNY-Buffalo (B),32
00,Gary Li
00,Lee Baker
00,Nathan McCabe
00,Edward Selig
00,Darwin Chen
00,Andrew Sheehan
00,JUSTIN BARLEBEN
00,Brendan Warner
00,MATTHEW STOLLERMAN
00,Matthew Benjamin
00,WILLIAM EMMERT
00,JOHN ONCHER
03,Joseph Morrello
99,DAN GARDNER
b,r,e,a,k
Swarthmore,24
0,Owen Weitzman
0,Dylan Jeffers
0,Asher Wolf
0,Miguel Gutierrez Ruiz
0,Evan Rosenberg
0,Bronimir Adler-Ivanbrook
0,Harry Huchra
0,David Holmgren
0,Gene Price
0,Evan Diamond
0,Adrian Wan
0,Shantanu Jain
0,Andrew Gilchrist-Scott
0,Thomas Poley
0,Lee Tarlin
0,Tahmid Rahman
0,TEO GELLES
4,Joseph Corcoran
7,Muhaiminul Haque
17,Kevin Lai
42,JOSHUA MUNDINGER
63,Benjamin Goodman
b,r,e,a,k
SUNY-Buffalo,9
0,Zachary Flint
0,Paul DeGennaro
0,David  McLaud
0,Scott Scheers
0,Max Hattem
0,Connor Bracy
0,Yu Hsuan (Chris) Lee
0,Sian Ho Ng
0,Paul Sperr
0,Seth Wittlinger
0,Sean Bowers
2,Jeffrey Harvey
10,Sean Amundsen
31,Aidan Collins
41,STEVEN KAHN
43,HARBIR SINGH
92,Ian Dipace
95,Benson Chen
99,Jackson Donnelly
b,r,e,a,k
Pittsburgh (B),20
1,Adrian Santana
3,LESTER  JOHNSON
4,Patrick Asinger
5,Michael Driskell
7,Nick Bozich
8,BLAINE MCCLAY
9,DAVID CROMER
10,Alexander Reisser
14,Kenneth McQuail
17,Matthew Ball
18,Jack Brehony
22,Matthew Pawlush
24,Ben Morgenstern
25,Christopher DiPasquale
28,SAM JENNINGS
29,Hafeez Shams
42,ADRIAN DICKER
44,Matt Walheim
45,David Menard
47,Michael Kujawa
66,KEVIN GLORIUS-PATRICK
70,XAVIER TORGERSON
77,QUENTIN TORGERSON
b,r,e,a,k
College of New Jersey,18
0,Brian Litt
0,Michael Jozwiak
04,Colin Kochenash
09,Kevin Lakritz
10,Ryan Borchers
12,Zach Kaplan
13,Nicholas Landolfi
17,Dmitry Suvorov
19,William Jones
21,Max Gruttadauria
23,Otto Gomez
24,David Hubert
26,Philip Treu
29,Steven Powers
42,Timothy Osborn
48,JOSEPH SCHWINDT
55,Jordan Disick
80,John Irvine
91,JOSHUA KESTENBAUM
92,JAMES ETHERIDGE
b,r,e,a,k
SUNY-Fredonia,7
0,Justin Jemiolo
0,Gabriel Puccio
0,Dylan Hoerner
0,Adam Torrens
0,Brendan Law
2,Adam Bubb
3,Dylan Leitner
3,Harry Jones
4,Matthew Lancaster
7,CHRIS  JONES
8,Shane Watts
9,Jonathan Gill
10,Steven Hamlin
12,Zachary Pinti
15,Craig McGowan
17,Christian Salvati
19,Mark Hughes
29,Austin Darling
41,Tyler Davis
44,Jacob Shirk
69,Kolton Stow
83,Kevin Quinlan
b,r,e,a,k
Stockton,13
04,Joe Doyle
10,Bryan Hummel
19,Gabe (Gabriel) Whitehead
24,John Fenlon
50,CARL MCKAIG
62,Scott Ribinsky
79,Vaughn DePalma-Farr
88,Tom Leung
b,r,e,a,k
MIT,15
01,ALEXANDER  JACKSON
03,BRANDON TRAN
04,JOEL BROOKS
06,Michael Wu
07,Jerome File
08,ANTHONY BROLL
11,Gil Goldshlager
14,Richard Yip
16,Harrison Okun
17,HAO LI
20,Brandon Nadres
21,Solan Israel-Megerssa
22,Jonathan Lambert
42,Hao Shen
55,THOMAS AVILA
b,r,e,a,k
George Mason,4
01,Joel Johnson
03,Stephen Paquette
04,Ian Garner
07,BRENDAN GIBSON
08,Brian Palomo
10,JORDAN BAZAK
11,Ryan Thornton
12,CHANG LEE
13,CONNOR KNIGHT
14,Daniel Blair
15,Anthony McLean
16,TIMOTHY MCNEIL
17,COLIN BUCKLEY
18,Richard Mayo
20,Sean Degrace
22,Nick Schall
24,Tyler Byrum
25,Neil Mendonca
27,Matt Kalna
41,NATHAN SLADE
42,Sam Gabrielson
44,Matt Carter
47,Andrew Boykin
50,MARK SIFORD
83,JONATHAN CSAPLAR
b,r,e,a,k
Rensselaer Polytech,17
02,Garrett Clay
04,JONATHAN SOUCY
06,CARL SPRINGLI
08,Benjamin West
11,Emet Schwartz
16,Alexander Smith
17,Charles Mehrotra
21,GARY SHEA
23,RYAN MORIARTY
24,Jonathan Malmut
25,Trent Canter
26,Will King
27,PHILIP WATTERS
34,Zach Biletch
53,Huntington Gazecki
79,Peter Ko
96,Dane Bush
b,r,e,a,k
Brown,1
03,Vincent Lau
05,SAMUEL MASSION
06,Benjamin Bauer
07,Ryan Brown
08,Nathaniel Dick
09,Aron Lesser
10,Samuel Lehman
11,Gabriel Lesser
12,Camen Piho
17,Eli Motycka
18,Sawyer Thompson
19,Ian Pearsall
21,Eric Tierney
22,Isaac MacDonald
23,Charlie Holtz
24,Gilad Seckler
26,Quinn Slotnick
27,Ezra Lichtman
28,Brendan Wallace
29,Benjamin Attal
30,Nick Goelz
32,Max Fuller
77,Matthew Wong
85,Jacob Coonin
b,r,e,a,k
Worcester Polytech,10
0,Peter DeBrine
0,SEAN GILLIS
0,Nicholas Hernandez
0,Brad Leach
0,Timothy Whitworth
0,Taylor Stephen
7,ANTHONY ROMEO
10,Ryan Turner
11,Joe Sabatino
17,Brian Hecker
26,Jackson Gillenwaters
36,Ryan Thornhill
37,Daniel Murray
73,Timothy Defreitas
84,Michael Enko
b,r,e,a,k
Boston University,14
00,Jonah Rosner
00,David Huang
00,Michael Woo
00,Arthur Small
00,MALIK ODEH
00,Benjamin Gagne-Maynard
03,AARON PLOSKER
36,JOEY DRAPER
98,DYLAN MAWBY
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool C
Northeastern (B),Princeton (B),13,2,"02/28/2015, 10:20",Pool C,Final
