Warm Up: A Florida Affair 2015,College - Men ,13,2,2015
,FL,2015-02-13,2015-02-15
https://play.usaultimate.org/events/Warm-Up-A-Florida-Affair-2015/schedule/Men/CollegeMen/
Arizona State,1
teamInfo,Prime,"Tempel, Arizona",http://www.arizonastateultimate.com/,https://www.facebook.com/ASUPRIME,https://twitter.com/ASU_Ultimate
00,Brent Poynter
01,Nathan Bridges
02,Andrew Kohl
03,Jonathan Bridges
04,Cody Vander Weyst
06,Shawn Courson
07,Josh Walker
08,NATHAN ROBLES
09,Dylan George-Sills
10,Aaron Flegenheimer
13,JACOB KUNA
14,MICHAEL GRAZZINI
17,Michael King
18,Daniel Howe
20,Alexander Tomlinson
21,Nicholas Brown
22,Dean  Spitzer
24,Samuel Sutton
28,Brett Vannier
30,CONNOR ROTH
58,Daniel Bellissimo
69,Andrew Trichak
88,Andrew North
99,JARED AHERN
b,r,e,a,k
Wisconsin-Milwaukee,27
teamInfo,Black Cat,"Milwaukee, Wisconsin",,https://www.facebook.com/BlackCatUltimate?ref=br_tf,@BlaCkatUltimate
00,Andrew Goff
00,Nathaniel Wurzer
00,Peter Kuenzle
00,Adam Grujic
00,KIE DRISCOLL
02,Logan Pruess
03,Jacob Hoffman
06,Ryan Sutter
07,MIKE KAMMER
11,Kevin Brown
12,Jay Kinzel
13,MATTHEW BENDER
16,Troy Roberts
17,Drew Chapman
22,Alec Lenczner 
32,Chase Leonardi
42,EVAN GILLEN
44,TYLER STREICH
81,Joseph Pederson
84,JACK SUSSMAN
b,r,e,a,k
Georgia Tech,14
teamInfo,Tribe,"Atlanta, Georgia",https://gttribe.wordpress.com/,,https://twitter.com/gttribe
00,ALEX DAGG
00,Andrew Bassett
00,Nicholas Button
00,David Egbert
00,Ian Agnew
02,Ashwin Anantharaman
04,Nick Ryan
05,Richard Bragg
06,Wesley Howell
06,Nathan White
10,Luke Willis
12,Edward Foyle
12,Connor Creech
16,John Dugan
17,Patrick Panuski
18,William Steindorf
24,Stephen Burkot
25,ANDREAS GABRIELSEN
26,Colin Tardrew
27,Evan Davies
33,Devon Rogers
64,Kenneth Lawler
98,Michael Tillotson
b,r,e,a,k
Carleton College,3
teamInfo,CUT),"Northfield, Minnesota",http://orgs.carleton.edu/cut/,https://www.facebook.com/CUTrules,https://twitter.com/cutrules
00,Robert Olney
00,ANGUS LAMONT
00,Devin Oliver
00,James Freed
00,Alex Olson
00,Solomon Yanuck
00,Eric Taylor
03,Eli Miller
05,LOUIS COHEN
07,Jesse Bolton
10,John Raynolds
11,DUNCAN SALLSTROM
14,Kenneth Lim
17,Alexander Trautman
23,Sef van Kan
27,Elliot Mawby
33,Conor Eckert
50,Nick Petru
91,Russell Hanson
95,Natan Lee-Engel
b,r,e,a,k
Georgetown,13
teamInfo,Catholic Justice,"Washington, District of Columbia",https://hoyalink.georgetown.edu/organization/mensultimate,https://www.facebook.com/CatholicJustice,https://twitter.com/GeorgetownUlti
00,Christian Boxley
00,Logan Willits
00,Houston Parks
01,Matthew Javitt
02,Jacob Marsh
04,Taylor Culman
05,IVAN ROBINSON
07,Matthew Cullom
08,Perry Cao
09,MICHAEL WEIL
11,Ismael Elhelbawey
13,Nico Lake
14,Jordan Mallen
17,Cooper Joy
18,Jack Orzechowski 
19,Anthony Bernard-Sasges
23,ADAM DORKO
24,ALEX LAWRENCE
25,Danie Fain
26,CHARLES PETITPAS
27,Steven Wartinbee
55,Joshua Tsung
78,HOLDEN CHOI
80,Troy Holland
88,CHARLES ZHOU
b,r,e,a,k
Central Florida,4
teamInfo,Dogs of War,"Orlando, Florida",http://centralfloridaultimate.com/,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
00,Adam Lapikas
00,Thomas Schulte
00,Kameron Knight
01,Brawley Adams
