Heavyweights 2015,Club - Mixed ,8,8,2015
Loves Park,IL,2015-08-08,2015-08-09
https://play.usaultimate.org/events/Heavyweights-2015/schedule/Mixed/Club-Mixed
Lions,8
2,Chelsea Mower
00,Samantha Gray
00,Jacob Arwe
00,Kayla Huddell
00,Ginie Kwan
00,Skyler Tom
00,ERIC DIXON
00,Dang Khoa DuBay-Dang
00,Vivian Zhang
00,Ryan Kelley
00,Meredith Duffy
00,Dillon Roberts
00,AMANDA ECKHOFF
00,EMILY PEARSON
00,Michael Lipsitz
00,Kevin Chen
00,Dan Huddell
00,Jen Beatty
00,ADAM JOHNSTON
00,Dylan Gully
00,Anneke Johnson
00,Tamar Austin
00,Ben Goossen
00,SEAN FARRELL
00,HERSCHEL MUKHERJEE
00,Samuel Letcher
b,r,e,a,k
Liquid Hustle,1
3,Lizzie Stierwalt
4,Bradley Hills
9,Nathan Partenheimer
12,Colin Ringwood
13,Joshua Kemmerling
16,HILTON HEINEKE
17,Kristin Dudley
20,Chris Hensel
21,Josh Fortney
23,Julie Raduenz
24,Colton Steiner
26,Kennedy Clark
31,Andrew Miller
33,Delaney Johnson
34,Ben Lauer
35,Paul Avilez
41,Joseph Cari
42,Kelly Kerker
44,Anastasia Foster
51,Benjamin Hannan
55,Jason Cheek
66,Collin Koury
69,Brittney Ballard
77,Rachel Clark
86,Dusty (Dustin) Hughes
88,Cameron Brock
b,r,e,a,k
Tequila Mockingbird,4
01,Haley Bartolomei
02,BRENDAN CORBOY
03,Ryan Kurka
04,Aaron Del Real
05,Aaron Schwartz
06,Michael Baysinger
09,Jenna Peterson
10,Sajed Dosenbach
11,Darien Rodriguez
13,ALLEN PENG
14,J.J. Yarbrough
17,Mike Dehnbostel
18,Tyler Claypool
19,CAROLYN BLOOD
21,BRIDGET  WELLMAN
22,Julianne Schmitt
23,MONICA LASLEY
24,Eric Hallow
25,JENNIFER Heimberg
27,KEVIN SELM
29,John Sellers
33,RYAN PEKARNA
45,Kristen Kaweck
59,Todd Miller
66,William Schmitt
89,Andriana Tompary
92,MONICA BOMBEN
b,r,e,a,k
panIC,5
00,Laura Immonen
00,Troy Stapleton
00,WILLIAM HEAN
00,Kat Songer
00,COLLEEN MOSER
00,Colin Berry
00,Samantha Bartlett
00,Amanda Stapleton
02,Rob Hirsch
05,Jimmy Wiesbrock
06,Audrey Sanchez
07,Ryan Spaulding
14,WILLIAM FLANARY
19,Nicole Johnson
21,James Hean
22,Nick Sanchez
23,Patrick Lansdon
28,Cole Stiegler
33,James (Drew) Walters
37,Thomas Kindred
66,Tyler Stutzman
84,Nicole Havel
93,Lisa Lansdon
99,Dana Demmert
b,r,e,a,k
Omertà,3
00,THOMAS MILLER
00,Ariel Choi
00,Lauren Guzman
00,Samantha Sadlier
00,CASSANDRA WHITFORD
00,MIKE HINZE
00,Jordan Lange
00,Will Hsieh
00,Eric Leppink
00,MAGGIE  KENNY
01,CASSANDRA SAKAI
13,Jimmy Robin
15,JOSEPH DECHERY
16,BRANDON TARBET
21,Brendan Kremer
24,James Sykora
25,Bradley Johnson
26,Patrick Kaufmann
27,Sarah Schram
29,James Kurley
31,VALERIE IEHL
36,Emily Fridberg
39,Phoebe Evans
49,BRIAN HERRMANN
91,Maggie Paoli
b,r,e,a,k
The UPA,2
1,Tim Halt
2,Michael Shiel
3,Michael Egan
4,Alex Drlica-Wagner
5,Lizzy Shiel
6,William Finn
7,Raju Prasad
8,Christine Huffer
10,Jessica Schulz
12,Andrew Delorenzo
13,DANE OLSEN
14,Akira Yamaguchi
16,Jaclyn Herr
17,NATALIE WU
18,Richard Berger
20,Katherine Olsen
21,John Kolb
23,Lindsey Hack
28,Hensley Sejour
29,Brian Schulz
43,Kelly Bolt
45,Gary LeDonne
88,Valentina Shiel (Ngai)
b,r,e,a,k
Prion,7
0,Brandon Carrel
0,Maria Janina Sarol
0,Elliot Putman
0,Gloria Lee
0,Sarah San Pedro
2,Jeremy Goodsitt
3,Daniel McDonald
4,Candace Brahm
5,Angelo Ramos
6,Allycia Gariepy
9,Betsy Basch
15,Daniel Rolando
18,Alexis Dettmer
19,Michael Mitchaner
23,Alex Castillo
24,Loren Goodrich
25,Timothy San Pedro
26,Erik Huemiller
27,CHRISTOPHER HIDAKA
29,Jake Corley
31,Christopher Drew
51,Adrienne Ohler
77,Jason O'Neill
b,r,e,a,k
Rubix,6
04,JEREMY EMERY
05,Dakota Lippincott
08,Aaron Harczynski
09,Brett Carr
10,Alex Wendt
11,Emily Francia
12,NICOLE BILTZ
12,Cole Cairl
13,Adam Carberry
14,ARIK SPAGAT
17,Kaetlynn Daoust
17,Erin Donahue
18,Eric Bay
19,Clairissa Papa
20,HUNTER YOUNG
22,Lindsey Doyle
23,Magen Rogers
24,Dan Brauch
25,Kate Cairl
30,Anthony Acer
37,Sarah Hoffmann
51,Dustin Doyle
62,Dillon Burke
78,Ryan Bleam
80,Jonathan Dietrich
b,r,e,a,k
Dream Killas,9
01,Kari Paine
02,Benjamin Murphy
03,SARAH CLEMENS
03,Bryan Bush
04,Samm Ryan
05,GARY GRANT
06,Daniel Boynton
06,Aaron Ziegler
07,AUSTIN LEWIS
08,Jenna Ray
09,Elizabeth Benedetto
11,LOGAN BRAUN
13,SUSANNA LAGORY
15,DEREK BEZEAU
16,Joshua Osinski
17,Connor Lukas
18,Gina Sancricca
20,RYAN MARIOUW
21,Andrew Tang
22,Meghan Drews
23,Kathryn Kembitzky
24,Kotomi Obayashi
29,Ashton Hoffman
34,CHRIS CONLAN
35,Joseph Besser
88,Trey Taliaferro
b,r,e,a,k
Spirit Fowl,16
0,Clare Riley
0,MATT ARCHBOLD
0,Andrew Johnson
7,Erin Woitte
8,Greta Regan
9,Sara  Helm
11,Justin Wollin
13,Sam Eherenman
15,MAXFIELD ROTERT
19,Alyssa Belsito
25,MATTHEW BERTHIAUME
33,Makella Daley
36,Ratih Sutrisno
41,CRISANTO DUBUC
47,Dan Wylie
52,Nathaniel Koch
73,Charlie Enders
84,Edward Mallak
b,r,e,a,k
Los  Heros,17
0,Sarah Pinon
0,ALEX STRAUSS
0,CHRISTOPHER HILL
0,James Quill
0,LANDON YODER
0,RACHEL BRECK
0,Christopher Roberts
0,David Dixon
0,Jonas Ehudin
0,Melissa Taylor
0,John Isbell
3,Jonathan Warner
9,Marta Shocket
12,Jason Bertocci
13,Julia Johnson
19,Sam Tobin-Hochstadt
22,Mary Uthuppuru
30,SEAN KRIESBERG
37,Jacob Schumacher
b,r,e,a,k
Jabba the Huck,24
00,Jennifer Vallier
00,Kayle Devaughan
00,Charlie Field
02,Amy Copper
03,ANGELO SORCE
05,Stephen Gard
10,Cody Haas
11,Zachary Ciaglia
13,Rene Quintana
22,Andrew Almeter
27,Eddie Dudek
30,Jessica Johnson
37,Steve Janda
42,Sam Gerber
58,Sze Jin Ooi
69,Casimir Ksiazek III
77,Lisa Paluszkiewicz
97,Steven Anderson
b,r,e,a,k
Pileup,10
0,David Gagnon
0,KATHRYN DE LA ROSA
0,Brian Syverud
0,ALEXANDRA ALEJOS
0,Helen Huang
0,Noah Fisher
0,FELICIA GRAY
0,Ariane Donnelly
0,Maggie Price
0,Anna Kilbourn
0,Dan Putman
0,Serina Mazzoni-Putman
0,LUCAS PRICE
0,Victor Arena
0,ADAM TAYLOR
0,Ki Sing Lee
0,Jason Mirjah
0,Craig Biwer
0,AMY CHIANG
0,Maya Grumeretz
13,Ryan Donnelly
16,Kelli Smith-Biwer
24,Charlotte Wilson
30,Patrick Reed
31,Scott Hetu
49,ERIC WITHAM
b,r,e,a,k
Mojo Jojo,15
2,Lauren Ostrem
00,Jake Kretschmer
00,Ben Valley
00,Michael Seffren
00,Brendan Gessner
00,Lindsey Pieper
00,Madeline Crockett
00,Amanda Huber
00,Ryley Tennyson
00,Michael Merwin
00,Jesse Wolfe
00,Lexie Kretschmer
00,Benjamin Nelson
00,Kelsey Weister
00,Meredith  Johnson
00,Sherri Goings
00,JACOB BRANDYS
00,Erin Mirocha
00,Tyler Brickle
00,Anna Ruehlow
00,Andrew Dornbush
00,Brian Wilson
00,Patrick Cashman
00,Daniel Schultz
00,Bethany Anderson 
00,Patrick Jones
b,r,e,a,k
Stack Cats,18
0,Rachel Hunt
0,Anthony Oplawski
0,Mark Valzonis
0,Jackson Todd
0,Monica Oplawski
0,ANDREW MALONE
0,Christopher Thomas
0,Emily Molloy
0,BETSY MERBITZ
0,Krystle Ocampo
0,Bethany Blackwood
0,LAUREN MESTITZ
0,Halley McLean
0,Matt Tansley
3,David Lindsey
6,Vincent Curkov
7,Heather Kita
7,Michael Hyland
9,BOB WEDSTER
12,Matthew Bonges
17,Julian Huvaere
20,Matt Afryl
24,Kyle Brooks
35,Nick Compton
42,Benton Fletcher
71,CATIE NEWHOUSE
b,r,e,a,k
tHUMP,11
00,Nick Thomas
01,Jonathan Moore
02,Jason Jensen
03,Samantha Gomez
04,Bernard Barcio
05,Nathan Scott
06,Jess Phillips
07,Mary Murray
08,Thomas Murray
09,Josh McGee
10,Rachel Clarkson
11,Ryan Levins
12,Kenneth Montgomery
13,Kimberly Levins
14,Ryan Rundle
15,Philip Nelson
16,Peter Volkmar
18,Anna Ruth Halberstadt
19,Erica Hall
20,ARON PHILLIPS
21,Marika Faytell Grimm
27,Sean Murphy
30,Linda Quon
31,Alex Bui
64,Evan Sattem
88,Derek Grimm
b,r,e,a,k
ELevate,19
0,ZIV DREYFUSS
0,KELLY LYDON
0,Hallie Parten
2,Kevin Schwartzenberg
3,Christopher Leeson
4,Matthew Nickels
8,Hannah Nickels
10,George Tobin
11,Jennifer Song
12,Pedrom Rejai
14,Matt Finley
16,Jesse Handler
17,MICHAEL NAGEL
21,Benjamin Macalalad
25,Sean Mills
26,Scott Anding
27,REGINA MUHR
30,Marley Marano
31,Alexandra Ulp
32,Sandra Helquist
33,Alyssa Graham
36,Talia Fishman-Strait
42,Ryan Albright
44,Meredith Sommars
47,Jeff Sommars
66,Taylor Dall
71,Matt Gubernick
b,r,e,a,k
No Touching,14
0,April Strzelczyk Haverstock
0,Joe Andrighetti
0,Graham Brayshaw
0,Aaron Hushagen
0,Tony Michaelson
0,Andy Exley
0,Michael Tschida
0,Jolien Munsterhuis
0,Kelsey Mueller
0,Michelle Waters
0,Vu Nguyen
0,Dan VanBergen
0,Sam Pepe
0,Paul Norgaard
0,Madeleine Filloux
0,Natalie Kallhoff
0,Andrew Barten
7,Jeremiah Gagner
9,Tyler McKean
9,Lauren Keiser
25,Steven Ogdahl
42,Meghin Davis
64,Erik Nerison
78,Jeremy Keiser
b,r,e,a,k
Liquid Hustle B,22
0,Amanda Postolowski
0,David Eddy
0,WILLIAM HOGGATT
0,LISA BEACH
0,JEAN ESTHER ZIPAGAN
0,Amanda Davila
0,Lauren Parker
0,Andrew Harrington
0,Andrew Fuller
0,Theodore Miller
0,WES WINHAM
0,MONICA MAZDA
0,Raquel Castillo Orozco
0,Jacqueline Humphress
0,Freddie Dixson
0,Jeffrey Meek
2,Zakk Mabrey
2,Robert Slemenda
11,Emma Sirkin
24,Darrell Cheu
37,Courteney Fentz
45,Adam Wagner
50,Kent Hiquet
72,Zaray Buenrostro
77,Jon Clark
77,Colin Ulin
89,David Stierwalt
b,r,e,a,k
Mad Udderburn,13
0,Kasey Kenealy
0,David Kurian
0,RICHARD PHANNENSTILL
0,Ben Stanger
0,Rebecca Roden
0,Emily Orner
0,Bo Strauss
0,Emily Healy
0,Thom Kenealy
1,Grace Compton
2,Kevin Pochatila
4,Joey Knutson
11,BRIAN NELB
11,Eugene Chong
14,Daniel Fritz
14,TAYLOR  KOEHLING
17,Chris Schroeder
19,ANNA LEE BARBER
22,Kelly O'Connor
23,Lizabeth Held
26,Molly Berkholtz
27,Clay Schelitzche
29,Sarah Doege
33,Aidan Boyle
41,Molly Schelitzche
69,Isaiah Lyons-Galante
86,Christopher Chang
b,r,e,a,k
Cream City Crooks,12
02,Oliver Rytman
03,Frank Ontaneda
04,Lauren Williams
05,Jonathan Fong
06,MAEVE DWYER
08,MARYKAY DREISILKER
10,DEVON ARMSTRONG
10,Laura Nelson
11,Devin Simonelli
12,AMANDA LORENTZEN
13,MATTHEW BENDER
17,Dan Laurila
18,Grant Wagner
19,Michael Morrison
24,Justin Simanson
28,AUSTIN LANDGRAF
29,Mike Armstrong
42,Austin Hinz
46,Maelyn Geisthardt
53,Abigail Lindsay
77,Madeline Rittgers
81,Joseph Pederson
82,Andrew Czekalski
87,Austin Prucha
88,Heather Vilbrandt
99,Kelsey Morrison
b,r,e,a,k
Goose Lee,20
2,Alex Frasz
3,Connor Shirley
4,KASEY GUST
4,Rachel Gast
8,Sarah Kleymeyer
10,COURTNEY PHELPS
11,Michael Lopez
12,Megan Timmerman
13,John Cassidy
15,Zachary Radcliff
17,Conner Haenszel
17,Warren Jeff Ullery
22,Liz Anderson
23,Patrick Cannell
23,ANNIE MATTHEWS
28,Sylvia Ulmer
29,JAMIE DELL
30,Matt Hudson
47,Zach Kaylor
54,BEN JANSEN
74,Collin McCartney
b,r,e,a,k
Mishigami,21
0,Brendan Schwalm
0,WILLIAM VOSS
0,TESSA MOORE
0,Sona Dagley
0,Mathew Peltier
0,CHRISTINE MCTAVISH
0,PERSEFONI LAUHON
0,Trevor Marshall
0,NICHOLAS MUNYAN
0,JOHN JAKIMIAK
0,Matthew Western
4,David Rhodes
6,Courtney Guthrie
7,Lindsey Kappen
7,Brandi Skanes
7,Sara Nitz
11,Andrea Gutierrez
15,IAN CLARK
17,THEO CAMBERT
22,Joe Deppe
23,Jason Howard
24,Patrick Abeli
25,Justin Browne
44,Kyle Griffin
48,Kaye Eshelman
b,r,e,a,k
Brew City Bandits,23
01,Shane Mueller
02,CAROLINE MILLER
03,RYAN MCHUGH
05,MONIKA ORAWIEC
10,ERIC MAUS
11,Heather Posl
12,Kyle Matthews
17,Dylan Baier
18,Helen Koth
19,Joe Bluma
20,Justine Espisito
21,JESSICA BAHLING
22,Amy Donahue
23,Katelyn Phillips
25,Benjamin Olson
27,MICHAEL LIANG
30,Tyler Ignatowski
47,KENNETH BONTEMPO
b,r,e,a,k
s,t,a,g,e,s
pools,MIXED TIER 1 POOL PLAY
pool,Pool A
Liquid Hustle,panIC,14,13,"08/08/2015, 09:00",Pool A,Final
Tequila Mockingbird,Lions,9,13,"08/08/2015, 09:00",Pool A,Final
Liquid Hustle,Lions,10,12,"08/08/2015, 12:30",Pool A,Final
Tequila Mockingbird,panIC,13,12,"08/08/2015, 12:30",Pool A,Final
Liquid Hustle,Tequila Mockingbird,13,5,"08/08/2015, 14:15",Pool A,Final
panIC,Lions,13,7,"08/08/2015, 14:15",Pool A,Final
pool,Pool B
The UPA,Rubix,11,13,"08/08/2015, 09:00",Pool B,Final
Omertà,Prion,13,9,"08/08/2015, 09:00",Pool B,Final
The UPA,Prion,13,10,"08/08/2015, 10:45",Pool B,Final
Omertà,Rubix,10,8,"08/08/2015, 10:45",Pool B,Final
The UPA,Omertà,9,13,"08/08/2015, 14:15",Pool B,Final
Rubix,Prion,9,13,"08/08/2015, 14:15",Pool B,Final
b,r,e,a,k
pools,MIXED TIER 2 POOL PLAY
pool,Pool C
Dream Killas,Los  Heros,13,4,"08/08/2015, 09:00",Pool C,Final
Spirit Fowl,Jabba the Huck,13,5,"08/08/2015, 09:00",Pool C,Final
Dream Killas,Jabba the Huck,13,5,"08/08/2015, 10:45",Pool C,Final
