Southwest D-I College Men's Regionals,College - Men ,2,5,2015
https://play.usaultimate.org/events/Southwest-D-I-College-Mens-Regionals-2015/schedule/Men/CollegeMen/
Arizona State,1
1,Nathan Bridges
2,Andrew Kohl
3,Jonathan Bridges
4,Cody Vander Weyst
6,Shawn Courson
7,Josh Walker
8,NATHAN ROBLES
9,Dylan George-Sills
10,Aaron Flegenheimer
13,JACOB KUNA
14,MICHAEL GRAZZINI
17,Michael King
18,Daniel Howe
20,Alexander Tomlinson
21,Nicholas Brown
22,Dean  Spitzer
24,Samuel Sutton
28,Brett Vannier
30,CONNOR ROTH
58,Daniel Bellissimo
59,Brent Poynter
88,Andrew North
99,JARED AHERN
b,r,e,a,k
Cal Poly-SLO,8
4,Daniel Hoffman
02,Brennan Bryant
03,Simon Krauter
05,Aaron Shi
08,Benjamin Kato
13,Dillon Whited
14,Christopher Cogswell
16,Thomas Konogeris
17,Joshua (Slater) Levey
19,Nathan Pettyjohn
20,Sean Liston
21,Caleb Merriam
23,DAVID HIRSCHEY
24,Cameron Wariner
25,Camden Reynolds
28,Joseph Gagliano
33,Ian Sweeney
44,Tim Okita
52,Kamron Daftari
53,Matthew Ferrari
82,Joel Anton
b,r,e,a,k
Southern California,13
0,KELVIN KUO
2,Charles Hankins
5,Reece Matsumoto
6,DARREN CHIU
9,Ghenki Okumoto
10,CHARLES MAI
11,Chris Holmes
13,Matt Burke
14,JACK KOPPA
15,Branden Currey
17,Alex Koh
19,Douglas Jones
21,James Toh
24,Toby Sherriff
25,LUCAS SWIECICHOWSKI
28,Tyler Pullen
34,Spencer Lee
45,Michael Sylvester
60,VINCENT HUANG
85,David Bell
88,Gideon Elson
94,Jacob Kulakofsky
b,r,e,a,k
Arizona,12
0,Kevin Dwork
0,Tyler Crockett
0,Laurence (Billy) McCormick
0,Timothy Wood
0,Trevor Smith
0,Garrick Bruening
0,Spencer Anderson
2,Zack Erlick
9,AJ GARNELLO
11,Mark Fleckenstein
12,Casey Tompa
13,Evan Baker
14,John Patinella
18,Trey Leonard
23,Alexander Prescott
24,Benjamin Lacy
31,Kyle Taylor
33,REILLY CLEAL
54,Jule Streety
56,Christopher Metz
81,Kyle Hansen
87,JAMES SCHOONMAKER
92,Sam Locke
b,r,e,a,k
California-Santa Barbara,2
0,Mitchell Solkov
1,Jeffrey Frye
2,Jack Hamner
3,MIKE SALE
4,Matt Daly
5,Ian Ladner
7,PETER DENNIS
8,Bailey Wu
10,Sean Smith
11,Adonay Bahta
12,Brendan Champlin
13,Grant Novins
14,William Turner
15,Alex Heinzen
16,Nathan Ransom
17,Hunter Corbett
19,Evan Bosinger
20,HAAKON ELLINGBOE
21,Aidan Hall
22,Adam Fischer
25,Brett Ploussard
28,Kyle Rubin
32,Kieran Bates
34,Arthur Pan
39,Jordan Lund
87,TAYLOR ROBERTS
b,r,e,a,k
California-Davis,7
0,Kramer Straube
0,Kevin Klein
0,Nicholas Helms
0,Evan  Martin
0,Callum Watts
0,Bryan LoCoco
0,Trent Viau
0,Sam Asin
0,Casey Shugarman
0,Daniel Ellison
0,Ryan Shephard
0,Douglas Fox
0,Nathan Hatch
0,Jeremy Weidner
0,KEEAN JOYE
1,John Nguyen
07,Benjamin Souvey
14,Fredric Murolo
15,Nick Tolfa
16,Bradley Santi
23,Steve Purugganan
25,Nathan Maddox
55,Joshua Cohen
b,r,e,a,k
California-Santa Cruz,11
0,Zachary Shamroukh
0,Mason Mulholland
0,Garrett Trang
0,William Mariano
0,ARI GOLDSTEIN
0,Nolan McMurray
1,Maxwell Friedmann
2,Aaron Hom
3,Milo Simpson
4,BOGART LEVESQUE
5,DANIEL KIPNES
6,Loukas Stelyn
8,AARON KIM
10,Lior Givol
11,Royce Friedmann
15,Elijah Newbrun-Mintz
17,Robert Gallagher
22,Louis Samuel
24,JUSTIN BOALS
30,NICK FOX
32,Isaac Kreger
37,SAMMY ASTRACHAN
42,Patrick Denney
48,Philip Kaganovsky
51,Joseph Tillson
81,Evan Cusack
94,Ryan Glenn
b,r,e,a,k
Northern Arizona,14
0,SEAN ENKING
0,Brad Wylam
0,Reid Kemp
0,Andrew Locke
0,Nick Salessi
4,STEPHEN KULURIS
9,Brent Acomb
12,Michael Gehrke
17,Jeff Morrison
25,Garrett Wright
32,Bradley Cislo
33,Tate Larrick
33,Harry Bell
36,Kevin Farrell
49,Tyler Liddie
78,Rick John
91,Daniel Prejs
b,r,e,a,k
San Diego State,10
0,Branden Elam
0,Eric Goulet
0,Jeffrey Billauer
0,Josiah Reeve
0,IAN GARDNER
0,ZEKE IVERS
0,STEVEN GREENE
0,Kyle Ruiz
0,Daniel Dutra
0,Erik McCoy
0,Hayden Shenefield
0,Bradley Poiriez
0,ERIC BOEHME
0,Daniel Koble
3,Michael Tran
16,Joseph Huppert
21,NICHOLAS CROOKSTON
27,Austin Clark
33,Dillan Van Ness
38,ALAN GUARDADO
42,MARK SLADER
45,Douglas Brantley
99,Maxwell Hume
b,r,e,a,k
California-San Diego,3
0,Ben Kumler
0,Jacob Gutkowski
0,Zac Goldberg
0,Isaac Rehg
0,Glenn Allen
0,Eric Zhao
0,Roy Xue
0,Migal Manickaraj
0,Joshua Hicken
0,Brendan Winnacott
0,Steven Chung
0,Ryan Amely-Shannon
0,Bahari Hasjim
2,Nikhar ABBAS
4,Scott Radlauer
5,Christopher Liu
22,Cody Kirkland
35,KEVIN AMARBAYAR
40,JAMES LINSCHEID
47,MARK BUNNELL
50,Will Sun
55,Trevor Purdy
70,Sequoya Daniels
94,Zachary Spidell
97,Zachary Murez
99,Gavriel Gelbart
b,r,e,a,k
UCLA,6
0,BEN KRAHENBUHL
0,Joshua Fankhauser
0,Michael Bergman
0,Alexander Julian
0,Matthew Yee
0,Thomas Murray
0,NATHAN BURROUGHS
0,Kevin Zhang
0,Jabril Muhammad
0,Konrad Niemiec
0,Jarett King
0,henson kwok
0,Paul Young
0,RAEKWON DALLETT
0,Timothy Stickles
0,Daniel Patel
7,JOHN O'LEARY
10,Suraj Patel
12,Nicholas Alexander
18,Geoffrey Iyer
19,Joseph Schatzlein
20,Ryan Flamberg
23,Nils Clauson
26,Joshua Adler
34,Jacob Bartholomew
38,Conor McNamara
b,r,e,a,k
Santa Clara,15
0,Stan Whitcomb
0,KEEGAN CAMPBELL
0,CONNOR RILEY
0,Taylor Darby
0,Sean Leeper
0,Daniel Mayer
0,Stephen Aubuchon
0,KEVIN WACHS
0,Thomas George
0,MAX WESTERMAN
0,Daniel Tiano
0,TYLER ELIEL
0,Sam Hough
0,Eric Lauterbach
0,Connor Holttum
12,Wiharjobudi Sosrodjojo
40,Anthony Davis
41,MICHAEL GEORGE
52,MARK COOPER
58,Peter Roguski
70,SEAN DONOVAN
79,KYLE SHANAFELT
b,r,e,a,k
Stanford,5
1,Allan Ndovu
3,Sam Kunz
4,John Kremer
5,Gabriel Hernandez
6,BRENDAN FREUND
7,DAVID NEWCOMB
8,Grant Lin
10,Elliott Chartock
11,Surya Murty
13,JOHN KADAVY
14,Samuel Mignot
16,TREVOR HOWARTH
17,NOLAN WALSH
19,GREG HEON
21,Joshuah Kapilivsky
22,ANDREW BLEICH
23,Xavier Jacque Mignot
26,Henry Patterson
28,Nathaniel Gruver
42,KEVIN SAHLIN
46,Cyrus Ready-Campbell
74,Alvin Kim
75,PETER MARACCINI
b,r,e,a,k
Chico State,4
0,John Olivas
0,Eduardo Ruiz
0,Zachary Giovannini
0,Stefan Kirk
0,Michael  Pope
0,Giacomo Lane 
0,CARSON CLARK
0,Tyler Grenier
0,Steven Wyman
0,Daniel Farmer
0,Spencer McWilliams
0,Thomas Allen
0,Nicholas Jensen
0,Elliot Lopez
0,SAMUEL BRANSKY
0,Grant Barr
6,Jacob Macfarlane
11,Austin Barden
12,Payton Laurie
15,Jessep Macfarlane
18,GRANT MANLEY
42,BRANDON EIGES
b,r,e,a,k
California,9
1,Handson Wu
2,JOHN HO
4,Andrew Lin
6,Vincent Kwan
7,JAMES FENG
8,Zun Zhang
9,Marc Horneck
