Southwest Mixed Regionals,Club - Mixed ,12,9,2015
https://play.usaultimate.org/events/Southwest-Mixed-Regionals-2015/schedule/Mixed/Club-Mixed
Mischief,1
0,Matt West
01,Seam Ham
02,Adam Brown
03,Preeti Nalavade
04,DREW KIM
05,Matthew Crawford
06,Lori Eich
07,Youngsoo (Ellen) Rim
08,Jessica Madding
09,Andrew Berry
10,Brett Petersen
11,Jonathan Greenberg
12,Candice Tse
13,Tyler Grant
14,Charles Cao
15,Annee Rempel
16,Sharon Lin
18,Caitlin Rugg
20,Jenny Wang
22,Seth Reinhardt
36,Matthew Heffernan
38,Katrina Velayo
42,Matt Jaffe
77,Elizabeth Grant
80,Kevin Smith
99,LUCAS DILLOW
b,r,e,a,k
Classy,10
0,Yvonne Cheng
0,Joseph Bryan
0,Matthew Rubashkin
0,Ian Cutler
0,Angela Xiong
0,Michael Denevan
0,Andrew Koerner
0,Dhwani Shah
0,LINDSEY STRATTON
0,Wil Turner
0,Tara Hobbs
0,Melissa Skevington
0,Nicolas Sayavedra
0,KYLE NICHOLS-SCHMOLZE
0,Josh Mitts
0,Peter Bonanno
0,Zhimin Xie
0,SAMUEL HAYNOR
0,Tien-Tien Chan
0,CARSON THOMAS
0,Melissa Hassler
0,Nicholas Davis
0,Sam Poppe
9,"Dana ""Zuul"" Nelson"
10,Jee Witt
37,Frances Hamkins-Indik
55,Tyler Condit
b,r,e,a,k
Platypi,8
0,Derek Miller
0,Stephen Nacis
0,Alyssa Rodriguez
0,Ryan Watson
0,Mary Colleen Hannon
0,Austin Barden
0,Ellen Sampson
0,Beeman Rabut
0,Steven Aguilar
0,Russell Helms
0,Samantha Miller
0,Caitlin Winterbottom
0,Lindsay Hedgecock
0,Kelsey Clausen
0,Vincent Montgomery
0,Kyle Harper
0,Kendra  Higgins
0,ELISABETH KORB
0,Peter Van Pelt
0,LAUREN  FLINN
2,BRIAN BEEMAN
7,Marié Weverka
8,Kathleen Johnston
15,Jessep Macfarlane
19,Georgina Tetlow
24,Nicholas Jackson
b,r,e,a,k
Naughty Love,15
0,NICOLE  KELDER
0,RACHEL SMITH
0,ANDREW BOYLE
0,Mike Schlesinger
0,KEN BOGLE
0,Yola Lin
0,Chris Van Thiel
0,Douglas Wolf
0,Kelsey Wittig
0,AIMEE BUTTERFIELD
0,Dan Desmond
0,Andrew Brown
0,RACHEL BROWN
8,Steven Lowe
9,PAUL STROIK
10,Ethan Scherch
17,Sheila Robles
17,Emily Harrington
23,Enrique Carranza
32,Dennis Clement
38,PHILIP HANSEN
b,r,e,a,k
Polar Bears,2
00,PATRICK LAHEY
01,SCOTT ROEDER
02,Alexandra Hasan
03,Eric Shaw
05,"ROBERT GORMLEY, JR."
06,JENNIFER HSUEH
07,Megan Pera
09,Gregory Marliave
11,CLAY MILLER
12,Ziyue Chen
14,Kate Schlag
17,Sawyer Thompson
18,Eric Greenwood
18,Marisa Mead
20,Samuel Adamson
21,Dulcy Docken
24,Alexander Max
25,Daniel Naruo
27,Morgan Greenwood
29,Logan Greenwood
30,An-Chi Tsou
31,Ethan Falat
36,Sara Nolan
40,Linh Hoang
41,Lauchlan Robertson
b,r,e,a,k
American Barbecue,7
0,Mike Weil
0,Kaitlin Swinnerton
0,Weiyang Sun
0,James Sheridan
0,Dan Parker
0,JACK MOXON
0,ROBERT MERK
0,MEGAN MCCLAIN
0,Kyle McBard
0,Kevin Manss
0,Molica Anderson
0,Noel Arsenault
0,YVETTE FISHER
0,Alex Grande
0,LYUDA GRIGORIEVA
0,Marlena Hartman-Filson
0,DORIS LIN
0,Caroline Loh
0,Steven Chang
2,Damian Park
3,Annie Lee
8,Adrienne Baker
16,Jason Seidler
17,Margot Stert
25,ALLISON FINK
64,Michael McGuirk
99,Tim Gilligan
b,r,e,a,k
Alchemy,9
0,Tyler Adams
03,Jeffro Valeros
04,Elizabeth Leon
07,Emily Paris
08,Catherine Raney
09,Jennifer Pashley
11,Ginger Wong
13,Brett Naul
14,MADELEINE SHEEHAN
17,TIFFANY FIELDS
20,Eric Hartge
21,Jesse White
22,EDWARD PARSONS
23,Sylvia Liang
26,Daniel Keller
27,CHASE BOWMAN
33,Cathleen Hartge
40,Michelle Levinson
47,MICHAEL LOPEZ
51,Brandon Tomlin
54,Nick Riker
66,Satish Raj
69,Reena Badyal
81,J Tyler Walker
89,Geng (Ted) Li
99,Amanda Karakoudas
b,r,e,a,k
Capitol Punishment,16
0,Robert Mertz
0,Veronica Chan
0,ABIGAIL BATES
0,Joshua Bates
0,ZACHARY DILLOW
0,BRANDON PURDY
0,R. Miguel Gonzales
0,Neil Pallaver
0,Connor Levesque
0,ROXANNE BANKER
0,DAVID SCHUSTER
0,LUCILLE CAMPBELL
0,Jaycie Speck
0,Cody Bates
8,JANELLE RILEY
9,Nina Vollmer
12,Trung Pham
23,Kristina Geddert
29,Chad Encinas
45,Michael Colton
49,Rylan Mattesich
b,r,e,a,k
Blackbird,3
02,CHRIS HART
04,Deanna Bjorkquist
05,Thomas Hendrickson
08,Amanda Dauphinee
09,Adam Farren
10,Krisztina Finn
11,Barrs Lang
12,Lauren Casey
14,Mia Hagen
16,John Sandahl
18,Casey Ikeda
21,ADAM SCOW
22,NICHOLAS SLOVAN
23,Remy Schor
24,Daniel Daniel Gillick
26,KAREN KO
28,Sheeva Slovan
29,VY Chow
33,Cody Rebholz
40,Mac Taylor
42,AARON CAULFIELD
51,Ryan Scribner
64,Justin Norden
82,TRACY WOO
b,r,e,a,k
Dauntless,13
01,CALEB FERGUSON
02,Brennan Bryant
04,Chelsea Cotton
05,Jordan Hewitt
06,Reba Dufour
07,Monique Ferguson
08,Peter Raines
10,Thomas Konogeris
11,ISAAC MORT
12,KEVIN SPERLING
13,KRISTIE BOWEN
14,Danielle Love
16,Joy Kang
17,Joshua (Slater) Levey
18,Joshua Ferguson
21,Elena Good
22,Madison Womack
23,LEAH FARRIS
24,Cameron Wariner
27,HANNAH HARRISON
28,Joseph Gagliano
37,Benjamin Kato
40,Brendan Marshall
44,Tim Okita
59,Christopher Cogswell
82,Joel Anton
91,DAVID HIRSCHEY
b,r,e,a,k
BW Ultimate,6
0,Melissa Slaughter
1,Matthew Natali
2,Amy Chang
4,Aubrey Davis
5,Radhika Bhargav
7,Anna Liu
7,Shane Earley
7,Justin Hinman
7,Michelle Slaughter
10,Halsey Hoster
10,Michael Girard
11,Thomas Pineda
11,Steven Guagliardo
12,KAREN NG
13,Chris Farina
13,Veronica Cruz
15,Michael Lipman
17,Nicholas Raisch
18,Sayako Uchida
25,Julia Tang
27,Sunny Saini
30,Jeremy Kharrazi
34,Christine Gould
43,Bettina Chen
49,Robert Srinivasiah
60,Xia Liu
99,Kyle Terriere
b,r,e,a,k
Rubix,12
04,JEREMY EMERY
05,Dakota Lippincott
08,Aaron Harczynski
09,Brett Carr
10,Alex Wendt
11,Emily Francia
12,Cole Cairl
13,Adam Carberry
14,ARIK SPAGAT
15,NICOLE BILTZ
17,Erin Donahue
17,Kaetlynn Daoust
18,Eric Bay
19,Clairissa Papa
20,HUNTER YOUNG
22,Lindsey Doyle
23,Magen Rogers
24,Dan Brauch
25,Kate Cairl
30,Anthony Acer
37,Sarah Hoffmann
51,Dustin Doyle
62,Dillon Burke
78,Ryan Bleam
80,Jonathan Dietrich
b,r,e,a,k
Dorado,5
0,Jade Matrone
0,Alisha Stoun
0,AMELIA WONG
0,IAN HOLLYER
0,Thomas Li
0,Gina Schumacher
00,Cory Fauver
00,Jillian Du
00,Kylie Shen
00,Alistair McIntyre
00,PAUL MORIMOTO
00,CORINNA  RUF
00,Christopher Liu
00,JAMES LAI
00,Julia Salvacion
00,Nicholas Woo-Hoogenstyn
00,Misha (Michael) Horowitz
00,Garrett Yung
00,Peter Osseward
00,Carlo Mosca
00,Micah Blazar
19,Kyle Brown
20,Alexa Kirkland
22,Cody Kirkland
22,Sheliemae Lai
27,NICK MINYEN
47,Penelope Wu
b,r,e,a,k
7 Figures,4
0,Orin Moore
0,Emma Frankel
0,Sophie Hines
0,Connie Wang
0,Christopher Feeney
0,Stephanie Pritchard
0,KATHRYN FOWLER
0,Chip Chang
0,Alexa Cohen
0,Mia Greenwald
0,Nathan Warden
0,Matt Hennessy
0,Peter Zhou
2,Daniel Oettinger
4,Kristen Pojunis
5,Joseph Forbes
6,Shereen Rabie
8,Gary Molano
11,Aaron Jacobs
12,Daniel Smeltzer
18,Nicholas Alexander
19,Ann Lee
25,Han Chen
30,Russell Gaskamp
45,Michael Sylvester
67,alexander carey
80,Brandon Severson
b,r,e,a,k
Groove,11
2,Jason Edelman
3,Joe Thompson
4,Michael Dirda
5,Alison Griffith
6,Pin-Wen Wang
7,Alyssa Olson
8,Adam Koren
9,Corinne Hanson
10,Kyle Ord
11,Beth Quisenberry
12,Elizabeth Dressler
13,HEATHER ARMSTRONG
15,Jeffrey Voss
22,Eric Rivera
24,Andrew Riggs
25,Samantha Applegate
27,Nicholas Thompson
28,KYLE SALASKO
29,Eric Shaw
42,Scott Miller
44,Gianna Tesler
49,KAREN BROHARD
73,Mara Saltzman
77,Alec Surmani
86,Jannon Frank
88,Bill Liu
99,HOLLY SCHWARZ
b,r,e,a,k
Instant Karma,14
0,Brandon Alessini
0,Courtney Collingwood
0,Devon Chapman
0,JAMIE ROWAN
0,Elizabeth Hannah
0,Russell Knox
0,John Patinella
0,Zack Erlick
0,Shane Abeshaus
0,Laurence (Billy) McCormick
0,Claire Levenberg
0,RYAN MURPHY
0,JACK MCLAIN
0,Chris Knight
0,Bryce Gruneich
0,Madeline Maller
2,Colleen Nakanishi
3,James Weinstein
8,Nancy Freitas
8,Jonathan Brand
9,Annie Wilson
11,Scott Olmstead
13,Mandy Proctor
17,Eric Eia
21,Brendon Hudnell
22,Lauren Meadows
77,Ali Bramson
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Mischief,Classy,14,11,"09/12/2015, 08:30",Pool A
Platypi,Naughty Love,15,6,"09/12/2015, 08:30",Pool A
Mischief,Naughty Love,15,10,"09/12/2015, 10:30",Pool A
Platypi,Classy,12,14,"09/12/2015, 10:30",Pool A
Mischief,Platypi,15,12,"09/12/2015, 14:30",Pool A
Classy,Naughty Love,15,9,"09/12/2015, 14:30",Pool A
pool,Pool B
Polar Bears,Alchemy,15,7,"09/12/2015, 08:30",Pool B
American Barbecue,Capitol Punishment,15,4,"09/12/2015, 08:30",Pool B
Polar Bears,Capitol Punishment,15,4,"09/12/2015, 12:30",Pool B
American Barbecue,Alchemy,15,10,"09/12/2015, 12:30",Pool B
Polar Bears,American Barbecue,15,7,"09/12/2015, 14:30",Pool B
Alchemy,Capitol Punishment,13,8,"09/12/2015, 14:30",Pool B
pool,Pool C
Blackbird,Rubix,15,7,"09/12/2015, 10:30",Pool C
BW Ultimate,Dauntless,8,15,"09/12/2015, 10:30",Pool C
Blackbird,Dauntless,15,11,"09/12/2015, 12:30",Pool C
BW Ultimate,Rubix,15,8,"09/12/2015, 12:30",Pool C
Blackbird,BW Ultimate,15,8,"09/12/2015, 14:30",Pool C
Rubix,Dauntless,11,15,"09/12/2015, 14:30",Pool C
pool,Pool D
7 Figures,Groove,15,12,"09/12/2015, 10:30",Pool D
Dorado,Instant Karma,15,8,"09/12/2015, 10:30",Pool D
7 Figures,Instant Karma,13,8,"09/12/2015, 12:30",Pool D
Dorado,Groove,13,8,"09/12/2015, 12:30",Pool D
7 Figures,Dorado,12,13,"09/12/2015, 14:30",Pool D
Groove,Instant Karma,14,11,"09/12/2015, 14:30",Pool D
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
Dorado,Blackbird,6,15,"09/13/2015, 13:00",1st Place Finals
Mischief,Dorado,12,13,"09/12/2015, 16:30",1st Place Semis
Blackbird,Polar Bears,15,11,"09/12/2015, 16:30",1st Place Semis
bracket,2nd Place Bracket
Dorado,Polar Bears,6,15,"09/13/2015, 15:00",2nd Place Finals
Mischief,Polar Bears,15,16,"09/13/2015, 13:00",2nd Place Semis
Mischief,Platypi,15,4,"09/13/2015, 11:00",2nd Place Quarters
7 Figures,Polar Bears,11,13,"09/13/2015, 11:00",2nd Place Quarters
Groove,Platypi,12,13,"09/13/2015, 09:00",2nd Place Prequarters
Classy,7 Figures,9,14,"09/13/2015, 09:00",2nd Place Prequarters
Dauntless,Groove,4,15,"09/12/2015, 16:30",2nd Place Play In
Platypi,American Barbecue,15,13,"09/12/2015, 16:30",2nd Place Play In
Classy,Alchemy,12,11,"09/12/2015, 16:30",2nd Place Play In
BW Ultimate,7 Figures,10,12,"09/12/2015, 16:30",2nd Place Play In
bracket,7th Place
Groove,Classy,9,14,"09/13/2015, 11:00",7th Place
bracket,9th Place Bracket
Dauntless,BW Ultimate,15,13,"09/13/2015, 11:00",9th Place Finals
Dauntless,American Barbecue,15,14,"09/13/2015, 09:00",9th Place Semis
Alchemy,BW Ultimate,12,13,"09/13/2015, 09:00",9th Place Semis
bracket,11th Place
American Barbecue,Alchemy,15,4,"09/13/2015, 11:00",11th Place
bracket,13th Place Bracket
Naughty Love,Rubix,10,13,"09/13/2015, 11:00",13th Place Finals
Naughty Love,Instant Karma,15,12,"09/13/2015, 09:00",13th Place Semis
Rubix,Capitol Punishment,15,8,"09/13/2015, 09:00",13th Place Semis
bracket,15th Place 
Instant Karma,Capitol Punishment,9,15,"09/13/2015, 11:00",15th Place
b,r,e,a,k
