2023 U.S. Open Club Championships - YCC,Youth Club U-20 - Boys ,5,8,2023
Aurora,CO,2023-08-05,2023-08-07
https://play.usaultimate.org/events/2023-US-Open-Club-Championships/schedule/Boys/youth-club-u-20-boys/
Utah Swarm U20 Boys,1
43,Vance Mader
44,Santiago De La Garza
64,Luke Jackson
88,Nico Martinez
b,r,e,a,k
ATLiens,5
teamInfo,,"Atlanta, Georgia",,,@ATLiensYCC
coaches,Joseph Shea,Michael Fairley
0,Javaree Garrett
04,Grant Michael Cashin
06,Caleb McKenna
07,Theo Stein
08,John Baggenstoss
09,Camilo Castrillon
10,Lennox Whitaker
11,Ernesto Clarke
12,Jon'Tell Masbad
13,Benjamin Forton
14,Sam Kilgore
19,Jonathan Bell
20,Bryce Jackson
21,Christian Lee
22,Elijah Hoshide
24,Frederick Kane
25,Peter Ngo
29,Kai Diez
33,Elijah Downs
44,James Russell
63,Ethan Rehg
73,Gabe Borda
82,Javier McGinnis
b,r,e,a,k
Impulse,24
teamInfo,,"Pittsburgh, Pennsylvania",http://pittsburgh-ultimate.org/youth-club-teams,,https://twitter.com/impulseultimate
coaches,Ben Morgenstern,Ayuna Uemura,Dan Nichols
01,Alex  Lemoncelli
02,Matthew Lu
03,Benjamin Evashavik
04,Joshua Morton
06,Marco Butera
07,Jay Fu
11,William Chou
16,Jin Zhang
17,Peter Ricci
18,Grant Waltrip
26,Hayden  Daley
28,Quincy Leczo
30,Jimmy Yin
31,Matthew Chou
81,Will Girard
84,Thomas Selwood
b,r,e,a,k
Kentucky Khaos,23
teamInfo,,"Lexington, Kentucky",,,
coaches,Eric Garwood,Michael Harr,Colin Winter,Mason Montgomery
02,David Diddle
03,Parker Knudson
07,Isaiah  Klepfer 
10,Ryan Dusaire
11,Andrew Blair
13,Jimmy Renaud
14,Timothy Plamondon
18,Thomas Shope
20,Noam Halpern
21,David Durrance
22,Jeffrey Durrance
23,Elliot Hawkins
27,Luke Deibel
43,A. J. Witheril
44,Levi Branan
45,Nate Knowles
47,Nicholas Riffell
53,Jacob Gowan
55,Zach Hamilton
61,Chris Bauer
63,Ezekiel Miller
69,Jack Mintz
88,Micah Davis
b,r,e,a,k
Oregon Trainwreck,6
teamInfo,,"Independence, Oregon",,,
coaches,Jonathan Lee,Michael Moren
02,Andrew Thoennes
03,Samson Aziz
07,Akira Koenigsberg
08,Sam Anderson
09,Collin Kaperick
11,Jonah Goldberg
12,Owen Poissant
13,Owen Jones
14,Logan Closson
17,Gavin Gee
18,Matthew Gilligan
21,Angus Grant
22,Emmett Andrews
24,Dylan Schroeder
25,Vaughn Dillender-Kinast
30,Oliver Faase
33,Bram Allahdadi
39,Julian Kägi
74,Zach McKee
75,Eliot Rivera
b,r,e,a,k
Charlotte Flight,11
teamInfo,,"Charlotte, North Carolina",,,@cltycc
coaches,Kurt Kuelz,Wesley Dudas
00,Spencer Brotherton
01,George Elledge
05,Marcos Collazo
06,Utkarsh Varma
08,Ryan Manuel
09,Daniel Rabinovich
10,Richard Shan
11,Atharv Patil
12,Roman Chmura
13,Thomas Wray
14,Piyush Komali
19,Quinn Scott
21,Connor OReilly
22,Ben Armstrong
26,Nandu Avulapati
41,JJ Boltz
47,Ethan Rhodes
77,Nathaniel Humphrey
85,Dillon Uszacki
99,Jonas Hefner
b,r,e,a,k
Seven Hills U20 Open,7
teamInfo,,"Seattle, Washington",,,
coaches,Sadie Jezierski,Samir Nguyen,Jordan Smith
0,Benjamin Lewis
02,Arya Dhuvoor
03,Juerel Pascua
05,Kenji Lorenz
06,Nolan Muongchan
07,jacob mulugeta
09,Dominic Chiodi
09,Rami Rifaat
10,Alan Huang
13,Camilo Tamayo-Rousseau
14,Jared Tellez
15,Graham Peck
16,James Dailey
17,Syon Rao
19,Antonio Franada
20,Filip Icev
21,Mason Stone
25,Jaron Casio
27,Nathan Siegel
30,Isamu Masayoshi Sims
33,Jordan  Lazer
34,Max Lee
39,Eli D'Amico
42,Phoenix  Laliberte
77,Brock Colaner
b,r,e,a,k
Villains,10
teamInfo,,"Nashville, Tennessee",http://nashvilleultimate.com/ycc,,
coaches,Garrett Wilson
00,Benjamin Price
00,Carter Kim
00,Dane Gore
00,Daniel Gerregano
00,Fisher Allison
00,Gavin Higgins
00,Gavriel Wiggins
00,Giri Peters
00,Jack Wellons
00,JohnThomas Atema
00,Knox Plewniak
00,Luke Allison
00,Nathan Rainey
00,Nolen Teeter
00,Tobin Beichler
00,Travis Siebe
00,Tyler Kirkland
00,Will McGilvra
00,Will McAfee
00,William Stickles
06,Andrew Coward
b,r,e,a,k
Madison MUFAbots U20B,22
teamInfo,,"Madison, Wisconsin",,,
coaches,Samuel Erickson,Annie Shriver,Saul Diaz,Joe Leibforth,Peter Walker
00,Hayden West
01,Yabo Zhou
02,Aidan Obregon
03,Arthur Carne
04,Ian Westerberg
07,Evan Natzke
08,Aaron Dunk
10,Jaden White
11,Dimitri Nevers
13,Miles King
14,Caleb Sanders
15,Kai Blanco
16,Jamison Williams
17,Levi Hasse
19,Gavin Schulz
21,Ryan Wenger
22,Lewis Garthwaite
26,Cooper Kleibor
34,Jacob Reiter
45,Michael Hannon
51,Seamus  Sidney 
57,Avery Wells
72,Karma Wangdue
73,Henry Henkelmann
b,r,e,a,k
COSmic U-20 Boys,9
teamInfo,,"Colorado Springs, Colorado",https://springsultimate.org/cosmic,,
coaches,Peter Kiefer,Raymond Palazzo,Nicholas Battaglino
00,Timothy Elliott
01,Miguel Sotomayor
01,Miguel Sotomayor
01,Miguel Sotomayor
01,Miguel Sotomayor
02,Aidan Mullet
04,Gabe Fletcher
07,Nolan Thackwell
08,Theo Kim
09,Noah Romero
10,Eliah Mullet
11,Aidan Gray
12,Justin Elliott
13,Benen Shea
15,Fisher Tenpas
21,Micah Joiner
24,Carlo Pace
32,Blaise Horsfall
44,Jeremiah Smith
65,Isaac Kim
69,Seth Staton
88,Justin Quinn
b,r,e,a,k
Foggy Bottom Boys,8
teamInfo,,"Washington, District of Columbia",,,
coaches,Mina Kim,Zachary Norrbom,Andrew Roy
00,Ari Pincus
01,Connor Matheson
02,Benjamin Portner
03,Taye Bradford
05,Abe Palmer
09,Luke Kenney
11,Jonah Moran
12,Niko Epstein
13,Jener Balk
17,Micah Wagner
18,Adam Manzo
19,Joshua Lightner
21,Gabriel Dowd
24,Mitchell Blaha
26,Elias Baldwin
27,Henry Viechnicki
32,Marcus Lee
34,Guy Cardwell
40,Benjamin Tnaib
44,Teo Huson
71,Travis Tiller
76,Matthew Burris
b,r,e,a,k
Moon Pigs,21
teamInfo,,"St. Louis, Missouri",,,
coaches,Blake Larson,Ian McNamara,Patrick Stephens
0,Cameron Schleeper
0,Charlie Dorsch
0,Christopher Roberts
0,Dillon McGinnis
0,Drew Lanio
0,Elijah Hawk
0,Evan Henderson
0,Hector Chaidez
0,Jesse Zawitkowski
0,John Noel
0,Jonathan Zawitkowski
0,Josh Lowe
0,Kaden Schleeper
0,Nathan Thompson
0,Nicholas Rottman
0,Ricardo  Rodriguez 
0,Robby Thompson
0,Andrew Block
0,Timmy Fry
0,Victor Chaidez
0,Wade Butler
4,Rowan Long
10,Caleb Dorsch
11,Theo Agniel
88,Linden Long
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Red Dawn,Connecticut Harpoon,13,7,"08/05/2023, 08:30",Pool A,Final
Utah Swarm U20 Boys,Connecticut Harpoon,15,8,"08/05/2023, 10:45",Pool A,Final
Utah Swarm U20 Boys,Red Dawn,15,9,"08/05/2023, 13:00",Pool A,Final
pool,Pool B
Rising Tide U20B,Flying Pig,9,12,"08/05/2023, 08:30",Pool B,Final
SmOAK (U20),Flying Pig,15,6,"08/05/2023, 10:45",Pool B,Final
SmOAK (U20),Rising Tide U20B,15,9,"08/05/2023, 13:00",Pool B,Final
pool,Pool C
Philadelphia SEPDA (Boys),Colorado Cutthroat: Youth Club U-20 Boys,15,8,"08/05/2023, 08:30",Pool C,Final
BUDA U20B,Colorado Cutthroat: Youth Club U-20 Boys,13,15,"08/05/2023, 10:45",Pool C,Final
BUDA U20B,Philadelphia SEPDA (Boys),11,10,"08/05/2023, 13:00",Pool C,Final
pool,Pool D
DEVYL U-20 Boys,Red Hots - u20,12,7,"08/05/2023, 08:30",Pool D,Final
Triforce,Red Hots - u20,15,5,"08/05/2023, 10:45",Pool D,Final
Triforce,DEVYL U-20 Boys,14,11,"08/05/2023, 13:00",Pool D,Final
pool,Pool E
Texas United,Impulse,13,6,"08/05/2023, 10:45",Pool E,Final
ATLiens,Impulse,9,8,"08/05/2023, 13:00",Pool E,Scheduled
ATLiens,Texas United,8,13,"08/05/2023, 15:15",Pool E,Final
pool,Pool F
Charlotte Flight,Kentucky Khaos,7,15,"08/05/2023, 10:45",Pool F,Final
Oregon Trainwreck,Kentucky Khaos,9,13,"08/05/2023, 13:00",Pool F,Final
Oregon Trainwreck,Charlotte Flight,15,8,"08/05/2023, 15:15",Pool F,Final
pool,Pool G
Villains,Madison MUFAbots U20B,15,4,"08/05/2023, 10:45",Pool G,Final
Seven Hills U20 Open,Madison MUFAbots U20B,15,3,"08/05/2023, 13:00",Pool G,Final
Seven Hills U20 Open,Villains,15,10,"08/05/2023, 15:15",Pool G,Final
pool,Pool H
COSmic U-20 Boys,Moon Pigs,15,8,"08/05/2023, 10:45",Pool H,Final
Foggy Bottom Boys,Moon Pigs,15,3,"08/05/2023, 13:00",Pool H,Final
Foggy Bottom Boys,COSmic U-20 Boys,8,15,"08/05/2023, 15:15",Pool H,Final
b,r,e,a,k
clusters,Crossover
cluster,Crossover
Red Dawn,Red Hots - u20,13,12,"08/06/2023, 08:30",,Final
Flying Pig,Colorado Cutthroat: Youth Club U-20 Boys,11,14,"08/06/2023, 08:30",,Final
BUDA U20B,Rising Tide U20B,15,9,"08/06/2023, 08:30",,Final
DEVYL U-20 Boys,Connecticut Harpoon,15,6,"08/06/2023, 08:30",,Final
ATLiens,Moon Pigs,15,5,"08/06/2023, 08:30",,Final
Oregon Trainwreck,Madison MUFAbots U20B,15,1,"08/06/2023, 08:30",,Final
Villains,Charlotte Flight,9,13,"08/06/2023, 08:30",,Final
Foggy Bottom Boys,Impulse,14,7,"08/06/2023, 08:30",,Final
b,r,e,a,k
brackets,Championship
bracket,1st Place
Utah Swarm U20 Boys,COSmic U-20 Boys,12,10,"08/06/2023, 15:45",Quarterfinals,Scheduled
Oregon Trainwreck,Triforce,10,14,"08/06/2023, 15:45",Quarterfinals,Scheduled
Philadelphia SEPDA (Boys),Kentucky Khaos,11,8,"08/06/2023, 15:45",Quarterfinals,Scheduled
Foggy Bottom Boys,SmOAK (U20),10,12,"08/06/2023, 15:45",Quarterfinals,Scheduled
Utah Swarm U20 Boys,Colorado Cutthroat: Youth Club U-20 Boys,15,11,"08/06/2023, 10:45",Pre-Quarters,Final
Charlotte Flight,COSmic U-20 Boys,4,15,"08/06/2023, 10:45",Pre-Quarters,Final
Texas United,Oregon Trainwreck,7,14,"08/06/2023, 10:45",Pre-Quarters,Final
BUDA U20B,Triforce,10,14,"08/06/2023, 10:45",Pre-Quarters,Final
Philadelphia SEPDA (Boys),DEVYL U-20 Boys,15,11,"08/06/2023, 10:45",Pre-Quarters,Final
ATLiens,Kentucky Khaos,10,13,"08/06/2023, 10:45",Pre-Quarters,Final
Seven Hills U20 Open,Foggy Bottom Boys,13,14,"08/06/2023, 10:45",Pre-Quarters,Final
Red Dawn,SmOAK (U20),5,15,"08/06/2023, 10:45",Pre-Quarters,Final
b,r,e,a,k
brackets,3rd Place
bracket,3rd Place
b,r,e,a,k
brackets,5th Place
bracket,5th Place
b,r,e,a,k
brackets,7th Place
bracket,7th Place
b,r,e,a,k
brackets,9th Place
bracket,9th Place
Colorado Cutthroat: Youth Club U-20 Boys,BUDA U20B,0,0,"08/07/2023, 08:30",9th Place Semifinals,Scheduled
DEVYL U-20 Boys,Seven Hills U20 Open,0,0,"08/07/2023, 08:30",9th Place Semifinals,Scheduled
Colorado Cutthroat: Youth Club U-20 Boys,Charlotte Flight,13,10,"08/06/2023, 13:30",9th Place Quarterfinals,Final
Texas United,BUDA U20B,6,15,"08/06/2023, 13:30",9th Place Quarterfinals,Final
DEVYL U-20 Boys,ATLiens,14,8,"08/06/2023, 13:30",9th Place Quarterfinals,Scheduled
Seven Hills U20 Open,Red Dawn,15,12,"08/06/2023, 13:30",9th Place Quarterfinals,Final
b,r,e,a,k
brackets,11th Place
bracket,11th Place
b,r,e,a,k
brackets,13th Place
bracket,13th Place
Charlotte Flight,Texas United,0,0,"08/07/2023, 08:30",13th Place Semifinals,Scheduled
ATLiens,Red Dawn,0,0,"08/07/2023, 08:30",13th Place Semifinals,Scheduled
b,r,e,a,k
brackets,15th Place
bracket,15th Place
b,r,e,a,k
brackets,17th Place
bracket,17th Place
Red Hots - u20,Moon Pigs,0,0,"08/07/2023, 08:30",17th Place Semifinals,Scheduled
Rising Tide U20B,Villains,0,0,"08/07/2023, 08:30",17th Place Semifinals,Scheduled
Red Hots - u20,Impulse,13,9,"08/06/2023, 13:30",17th Place Quarterfinals,Final
Moon Pigs,Connecticut Harpoon,10,9,"08/06/2023, 13:30",17th Place Quarterfinals,Final
Rising Tide U20B,Madison MUFAbots U20B,15,8,"08/06/2023, 13:30",17th Place Quarterfinals,Final
Villains,Flying Pig,14,13,"08/06/2023, 13:30",17th Place Quarterfinals,Final
b,r,e,a,k
brackets,19th Place
bracket,19th Place
b,r,e,a,k
brackets,21st Place
bracket,21st Place
Impulse,Connecticut Harpoon,0,0,"08/07/2023, 08:30",21st Place Semifinals,Scheduled
Madison MUFAbots U20B,Flying Pig,0,0,"08/07/2023, 08:30",21st Place Semifinals,Scheduled
b,r,e,a,k
brackets,23rd Place
bracket,23rd Place
b,r,e,a,k
