2023 North Central Mixed Regional Championship,Club - Mixed ,30,9,2023
Des Moines,IA,2023-09-30,2023-10-02
https://play.usaultimate.org/events/2023-North-Central-Mixed-Regional-Championship/schedule/Mixed/Club-Mixed
Drag'n Thrust,1
teamInfo,,"Minneapolis, Minnesota",http://www.dragnthrust.com,https://www.facebook.com/dragnthrust,https://twitter.com/dragNthrust
coaches,Carlos Lopez,John Groess,Maggie Peck
0,Bret Bergmeier
02,Emma Peaslee
03,Bryan Vohnoutka
04,Erica Baken
05,Chelsea Semper
07,Danielle Byers
10,Jane Koch
11,Rachel Johnson
12,Marty Adams
13,Nariah-Belle Woodruff-Sims
14,Tanner Barcus
15,Jessica Jones
16,Jessica Hendrickson
18,Sam Berglund
20,Neal Hanke
21,Sarah Mondschein
23,Ian Mccosky
25,Gerene Taylor
29,Josh Klane
33,Kayla Blanek
49,Caleb Denecour
53,Emma Piorier
54,Dylan DeClerck
55,Charlie Schuweiler
61,Brandon Matis
66,Jason Tschida
b,r,e,a,k
Arms Race,16
teamInfo,,"Iowa City, Iowa",,,
0,Ronak Bhagat
1,Eric  Clifton
8,Jacob Knobloch
06,Greg Zarse
07,James Hean
10,Hailey Olsen
11,Kyle Lavrisa
12,David Lopez
13,Lila Eggerling-Boeck
15,Wyatt  Sailer
16,Thomas Helm
20,Zach Frevert
21,Nick Schoon
22,Nicole Johnson
23,Anne Boxeth
32,Liam Edberg
34,Miah Boyle
37,Megan Davis
48,Skylar Hoffman
55,Kaleb Owens
83,Ashley Knobloch
b,r,e,a,k
Bird,8
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
0,John Mai
02,Makayla Jones-Klausing
03,Greta Friedrichs
04,Katherine Wilmes
05,Andrew Johnson
06,Olivia Peer
08,Simon Koeper
09,Eva Clements
11,Nora Mitchell
12,Aidan Clements
14,Tyler Latham
15,Wyatt Crow
17,Katie Fan
18,Ryan Harvey
19,Eva Fischer
20,Eleanor Heberlein
22,Natalie Cooper
23,David Stemper
24,Nathan Phillips
27,Leslie Boey
28,Caleb Griffiths
29,Lauren Roach
38,Noah Johnson
42,Anna Ruehlow
91,Oscar Leinbach
92,Jack Mallmann
b,r,e,a,k
Minnesota Star Power,9
teamInfo,,"Minneapolis/ St. Paul, Minnesota",http://minnesotastarpower.weebly.com/,http://www.facebook.com/MinnesotaStarPower/,https://twitter.com/mnstarpower
0,Danny Hobday
0,Erin McFadden
0,Eugenia Garza
0,Joey Tillman
0,Julia Hill
0,Kajsa Beatty
0,Kelsey Peterson
0,Kevin Ruda
0,Liliana Hobday
0,Bradley Malmsten
0,Cameron Lacy
0,Claire Cech
0,Ming Cheng Chew
0,Nick Heid
0,Peter Rogers
0,Rachel Thompson
0,Rebecca Kline
0,Steven Anderson
0,Marin Ryan
0,Tom Hobday
1,Cole Jensen
2,Michelle Christy
10,Tristan Grovender
16,Lisa Barnes
17,Taylor Van Oosbree
44,Tracie Anderson
b,r,e,a,k
The Chad Larson Experience,5
teamInfo,,"Ames, Iowa",https://clx-ultimate.com,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
coaches,Rebecca Crown
0,Ethan Levine
6,Scott Hearne
02,Logan Grothus
03,Lisa Hansen
04,Cassidy Krawczak-Kummrow
07,Grant Maynard
08,Joseph Kosterman
09,Cole Davis
10,David Dalton
11,Jacob Badger
13,Danica Porter
17,Emily Wilson
19,Ben Joerger
20,Rebecca Crown
21,Marissa McFadden
22,Nick Culver
23,Sydney Mier
28,Joseph Blecha
29,Adam Levine
30,Isaiah  Moore
33,Kelli Bormann
35,Caleb Lundeen
40,Taylor Hanson
44,Anna Lane
77,Kayla Anderson
99,Ellie Stone
b,r,e,a,k
Mad Udderburn,12
teamInfo,,"Madison, Wisconsin",https://www.Instagram.com/madudderburn,https://www.facebook.com/MadUdderburn,https://twitter.com/mad_udderburn
0,Paige Steinbauer
01,Grace Compton
02,Hannah Nygard
04,Joey Knutson
09,Joshua Wilson
11,Brittany Hoegh
12,Lauren Bradshaw
13,Tino Magazzolo
15,Finwe Wiedenhoeft
18,Julia Sauerhaft
19,Peter Reinhart
21,Taylor Grace Zietz
24,Bo Strauss
25,Abby Davison
26,Thomas Guerin
27,Clay Schelitzche
28,Grace Allas
29,Peter Scott
