Kleinman Eruption-2023,Club - Mixed ,12,8,2023
Portland,OR,2023-08-12,2023-08-13
https://play.usaultimate.org/events/Kleinman-Eruption-2023/schedule/Mixed/Club-Mixed
Grit City,1
teamInfo,,"Tacoma, Washington",www.gritcityultimate.com,https://www.facebook.com/profile.php?id=100090202771262,https://twitter.com/GritCityUlti?s=20
0,Kenneth O'Kelley
1,Nicholas Mahan
02,Hunter Hill
04,Melissa Ostendorf
05,Lydia Carle
07,Zachery Laycock
08,Sarah Ciambrone
09,Zac Nix
10,CB Wolf
11,Nicholas Poolman
12,Veronica Tse
13,Jessica Haga
15,Molly Russell
16,Christina Chelf
22,Maryjo Sampang
23,Ophir Klein
30,Brandon Ishise
31,Traci Leaumont
39,Michael Leaumont
42,Riley Meinershagen
44,Eugenia Prezhdo
45,Alexander Lichtenstein
57,Matthew Ostendorf
b,r,e,a,k
Choco Ghost House,9
teamInfo,,"Portland, Oregon",,,
0,Alvina So
0,Amelia Rossa
0,Emily Cebron
0,Erik Sandersen
0,Hayley Shanks
0,Benjamin Travers
0,Kiarra Ko-Madden
0,Maren Saly
0,Michael Frank
0,Scott Nellis
0,Veronica Vest
3,Andrew Cornejo
8,Aryeh Kempler-DeLugach
10,Ian Fouts
12,Julie Felberg
14,Keith Lundquist
14,James Cebron
15,Christopher Bell
19,Jesse Prichard
19,Van Duong
20,Reilly Aldrich
22,Aaron Hursey
28,Jamie Hoover
30,Josh Spieth
42,Steve Mahoney
69,Helen Mead
b,r,e,a,k
Nebula,8
teamInfo,,"Portland, Oregon",,,
0,Sierra Gray
0,Stephen Parrish
2,Riley Tauer
3,Natalie Georgitsa
4,Michael Hayes
6,Kevin Mahr
8,Natalie Powell
9,Elizabeth Ohmer
10,Simon Bilsky-Rollins
11,Becca Reighard
12,Ashley Brown
12,Emmilea Short
13,Holly Gibson
14,ANNIE PADEN
15,Morgan Wilbur
17,Carl Justin Hermosura
18,Jessica Whelan
19,Kelly Cogburn
21,Raju Roleru
22,Caitlin Hegg
69,Leah Kenney
78,Ewan Lang
83,Emmett Williamson
88,Robin Hopkins
90,Samuel Perreth
b,r,e,a,k
Drip,17
teamInfo,,"Corvallis, Oregon",,,
0,Anna Odewald
0,Colleen Barr
0,Finn Lawless
0,Gerald Aggrey
0,Hank Pratte
0,Jack Weinberg
0,Jacob Pfeiffer
0,Joshua Wright
0,Rebecca Rosemond
0,Sam Jordan
0,Wyatt Schrumpf
5,Charlotte Robison
5,Nicholas Borninski
6,Katherine Quillin
6,Katie Horsley
10,Braque Pike
18,Joshua Munger
22,Peter Wilkinson
24,Daphne Guo
b,r,e,a,k
Surge,13
teamInfo,,"Spokane, Washington",,https://www.facebook.com/surgeultimatefrisbee,https://twitter.com/SurgeUlti
0,Eddie Morey
0,Josiah Howard
0,Kevin Baar
0,Kira Belnap
0,Fiona McKibben
0,Jason Quey
5,Josh Zylstra
7,Brian Healy
8,Elizabeth Cassel
11,Patrick Paulus
12,Logan Thompson
15,Alishia Orloff
16,Sean Parker
18,Sarah Leichty
20,Trevor Kilgannon
22,Maggie Downing
27,Erol Cromwell
b,r,e,a,k
Spoke,2
teamInfo,,"Seattle, Washington",,,
0,Alexander Trautman
0,Kate Crawford
0,Ky Lewis IV
0,Lane Conner
0,Maddy Grassy
0,Molly Wieringa
0,Oliver Hirn
0,Tarik Akyuz
10,Melanie Lindsey
17,Jacob Lambert
21,Kelsey Foster
24,Andrew Lynch
24,Stephen Burkot
27,Tom Crawford
29,Max Sevier
44,Grace Young
b,r,e,a,k
Garbage,14
teamInfo,,"Seattle, Washington",,,
0,Ellen Mesnik
0,Gabrielle Davis
0,Hannah Scott
0,Isaac Davis
0,Jason Hoffman
0,Carson Mailler
0,Christopher Tonry
0,Lauren Louderback
0,Maria Sumner
0,Sam Schumer
0,Samuel Hart
0,Steven Kwan
0,Taylor Kanemori
7,Benjamin Canade
18,Olivia Jacobson
19,Jay Taves
24,Elizabeth Gates
52,Solomon Golden
96,Julien Butwin
b,r,e,a,k
Seattle Soft Serve,7
teamInfo,,"Central District, Washington",,,https://twitter.com/SeattleSofties
0,Emma Pua’a
0,Garrett Yung
0,Laura Manson
0,Leah Gooden
0,Luke Jesperson
0,Madeline Spolin
0,Serene Hastings
2,Genavie Boots
2,Kevin Black
20,Will Herold
21,Alex Fussell
68,Joseph Gooden
99,Wade Hankin
b,r,e,a,k
Garage Sale,10
teamInfo,,"Eugene, Oregon",,,
0,Bao Pham
0,Brielle Ramsdal
0,Caitlin Winterbottom
0,Eric Rosenfeld
0,Isabelle  Bartter
0,Katherine Wilson
0,Kimber Muth
0,Myisha Tarvin
0,Noah Martin
0,Ollie Fox
0,Phoenix Adams
0,Takisha Tarvin
0,Zach Starr
1,Ravi Cullop
1,Paul Kempler
6,Justin Carter
10,Eli Donohue
13,Yazelis Benitez-Villegas
14,William Carter
18,Jackson Riley
18,Jackson Riley
26,Arianna Munro
b,r,e,a,k
SkyLab,18
teamInfo,,"Portland, Oregon",,,
0,Bryce Manley
02,Sarah Scholz
06,Diane Walters
09,Richard Willms
11,Lydia Manning
12,Sheng Lundquist
13,Erik Anderson
14,Mira Larrance
15,Jonah Lin
16,Aaron Margolis
18,Samuel horsnell
23,Jesse Wang
24,Jonah Cabral
25,Diana Loveall
28,Danielle Anderson
32,Catherine Van Fleet
33,Taylor Balkom
44,Calvin Lee
52,Serena Badgley
54,Tara Takano
88,bo liu
89,Anthony Shu
99,Phoenix Bruner
b,r,e,a,k
American Barbecue,3
teamInfo,,"San Francisco, California",www.abbq.org,www.facebook.com/ABBQfamily/,@ABBQfamily
0,Amelia Farinas
0,Caela Brazelton
0,CAITLIN  RUPPEL
0,Connor Stuart-Paul
0,Karen Reyes
0,Leila Troxell
0,Leo Jacoby
0,Liam Kreiss
0,Molica Anderson
0,Myron Liu
0,Noel Arsenault
0,Samuel Du
0,Sophie Mullaney
0,Toby Graf
5,Christian Cortes
8,Chenxi Sun
16,Jason Seidler
26,Liam Kilbridge
68,Isabella Harker
b,r,e,a,k
Igneous Ultimate,6
teamInfo,,"Bend, Oregon",https://sites.google.com/view/bendultimate/club-teams/igneous-ultimate,,
0,Caleb Campbell
0,Chloe Quinn
0,Clarissa Orton
0,Elizabeth Madura
0,Emily Lasselle
0,Gemma Munck
0,James Palmiter
0,Josephine Bourne
0,Keith Bucher
0,Leo Wolf
0,Lucas Henry
0,Nathan Motl
0,Quinn Hanson
0,Holland Bills
0,Troy Abbott
0,Zach Heiden
4,Sidra Pierson
11,Jack McGinnis
18,Zac Scheuerman
24,Douglas Taylor
30,Ethan Oglesby
40,Geoffrey Zath
84,Anna Tinker
b,r,e,a,k
Stump,11
teamInfo,,"Portland, Oregon",,,
0,Brennan Johnson
0,Carey Jacquinot
0,Cheri Young
0,Joseph Leo Pepper
0,Kayla Nowlin
0,Lucas Spiegel
0,Rigel Berg
0,Valerie Peacock
2,Alexander Vencill
3,Kendall Jorgensen
5,Spencer Magnusson
9,John Staskal
11,Christine Beaulieu
20,Reza  Refaei
23,Rheggie  enrique carranza
24,Nam Vo
28,Brandy Turcotte
29,Chad Encinas
b,r,e,a,k
Night Cap,15
teamInfo,,"Portland, Oregon",https://www.instagram.com/nightcapultimate/,,
69,Alex Pincus
69,Andrew Rinehart
69,Casey Clapp
69,Claudia Buchholz
69,Elizabeth Marks
69,Hana  Elawady 
69,Jake Procino
69,John Allan
69,Julia Scott
69,Little Dipper
69,Margarita (Magy) Llamas
69,Melissa Collin
69,Nicholas Domenichini
69,Nick Marcus
69,Rachel Abrahams
69,Samantha Cristal
69,Samuel Harrington
69,Soren Burwell
b,r,e,a,k
Bullet Train,4
teamInfo,,"Seattle, Washington",http://bullettrainultimate.com,,https://twitter.com/BulletTrainUlti
coaches,Benjamin LaRoque
0,Abbey Estrada
0,Devon Chapman
0,Hannah DeVault
0,Madeline Goss
0,Manish Tulzapur
0,Megan Baunsgard
0,Melinda Ding
0,Ryan Shin
0,Sarah Teichman
0,Vincent Chase
0,Xin Shu
0,Yonatan Tadesse
0,Janelle Heinig
4,Brian Wandrei
7,Allen Rishel
10,Jack Baba
16,Anna Fisher Lopez
18,Chris Roach
20,Caitlin Durston
21,Jake Dunoyer
30,Daniel Boynton
42,Chauncey Holland
63,Louie Bertoncin
66,Ziqi Zhao
b,r,e,a,k
Hive,5
teamInfo,,"Portland, Oregon",,https://www.facebook.com/HiveUltimate,https://twitter.com/Hive_Ultimate
0,Agnes Lee
0,Azen Jaffe
0,Cameron Lamont
0,Crystal Still
0,Dahlia  Quinn
0,Jacob Artz
0,Jeremy Randolph-Flagg
0,Kim Dorr
0,Lauren Lynch
0,Leo Finley
0,SJ Kim
0,Tadao Kumasaka
4,Abby VanLeuven
7,Devon Graham
8,Kenzie Wingard
9,Andrew Akins
10,Christopher Olson
11,Sebastian  Williamson
14,Haley Bartolomei
18,Ellen Kalenscher
19,Owen Heh
25,Ally Willard
29,Dean Romine
32,Hal Robinson
80,Nathan Braun
98,Martis Artis
b,r,e,a,k
Squid Inc.,12
teamInfo,,"Bellingham, Washington",,,
0,Brianne Pacey
0,Colin Bogar
0,Emma  Mickelson
0,Mary Nozykowski
0,Nathan Brown
0,Nicole Neumiller
0,Patrick Taylor
0,Scott Maxa
1,Derrick Hirsch
6,Neal Schobbe
9,Darren Duquette
17,Christopher Penuelas
17,Brian Roach
33,Margo Heffron
73,Ruby Volker
77,Emma Lindsay
89,James Kozanitis
93,Abigail Tankersley
b,r,e,a,k
Breakers Mark,16
teamInfo,,"Portland, Oregon",,,
0,Carmen Ellis
0,Dale (Duke) Stebbins
0,Dayna Stierley
0,Fiona Kelley
0,GABRIEL Sanders-Guard
0,Heather Wiedenhoft
0,Jared Moody
0,Jesse King
0,Laura Bartroff
0,Laura Parisi
0,Leighann Chapman
0,Matthew Ryneal
0,Melissa Presto
0,Mishelle Radtke
0,Nigel Peltier
0,Paul Telford
0,Seth Merritt
13,Kellen Russell
22,Schuyler Ellis
81,Martin Peters
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Surge,Drip,8,10,"08/12/2023, 09:00",Pool A,Final
Nebula,Choco Ghost House,7,8,"08/12/2023, 09:00",Pool A,Final
Grit City,Choco Ghost House,9,7,"08/12/2023, 10:30",Pool A,Final
Nebula,Surge,7,8,"08/12/2023, 10:30",Pool A,Final
Grit City,Drip,11,4,"08/12/2023, 12:00",Pool A,Final
Choco Ghost House,Surge,8,3,"08/12/2023, 12:00",Pool A,Final
Grit City,Surge,11,3,"08/12/2023, 13:30",Pool A,Final
Nebula,Drip,11,8,"08/12/2023, 13:30",Pool A,Final
Grit City,Nebula,10,4,"08/12/2023, 15:00",Pool A,Final
Choco Ghost House,Drip,8,4,"08/12/2023, 15:00",Pool A,Final
pool,Pool B
Garbage,SkyLab,11,3,"08/12/2023, 09:00",Pool B,Final
Seattle Soft Serve,Garage Sale,11,5,"08/12/2023, 09:00",Pool B,Final
Spoke,Garage Sale,11,4,"08/12/2023, 10:30",Pool B,Final
Seattle Soft Serve,Garbage,6,9,"08/12/2023, 10:30",Pool B,Final
Spoke,SkyLab,11,3,"08/12/2023, 12:00",Pool B,Final
Garage Sale,Garbage,5,11,"08/12/2023, 12:00",Pool B,Final
Spoke,Garbage,11,7,"08/12/2023, 13:30",Pool B,Final
Seattle Soft Serve,SkyLab,11,0,"08/12/2023, 13:30",Pool B,Final
Spoke,Seattle Soft Serve,10,4,"08/12/2023, 15:00",Pool B,Final
Garage Sale,SkyLab,11,3,"08/12/2023, 15:00",Pool B,Final
pool,Pool C
American Barbecue,Stump,12,11,"08/12/2023, 09:00",Pool C,Final
Igneous Ultimate,Night Cap,13,10,"08/12/2023, 09:00",Pool C,Final
American Barbecue,Night Cap,10,4,"08/12/2023, 10:45",Pool C,Final
Igneous Ultimate,Stump,12,11,"08/12/2023, 10:45",Pool C,Final
