Cooler Classic 34,Club - Mixed ,19,8,2023
Hartland,WI,2023-08-19,2023-08-20
https://play.usaultimate.org/events/Cooler-Classic-34/schedule/Mixed/Club-Mixed
Chicago Parlay,1
51,Chris Ginet
56,Cullen Booth
57,Pete Stremming
71,Gabriel Wray
85,John Jones
96,Shannon Jones
b,r,e,a,k
No Touching!,2
teamInfo,,"Twin Cities, Minnesota",,,https://twitter.com/notouchingult
0,Alex Kensgaard
0,Alyson Gagner
0,Arthur Harris
0,Brenna Sund
0,Brent Novey
0,Kathryn Cleveland
0,Katie Godfrey
0,Paul Norgaard
0,Rachel Elbing
0,Sam Pepe
0,Sam Valesano
0,Sierra Barthen
0,Patrick Cashman
1,Jeffrey Trosvig
4,Andrew Lawrence
4,Tony Michaelson
7,Jeremiah Gagner
8,Alison Ling
9,Tyler McKean
16,Lindsay Trosvig
17,Kristina Golling
41,Jenni Konigsburg
78,Jeremy Keiser
88,Patrick Jensen
96,Brian Edgerton
97,Megan Asturias
b,r,e,a,k
Risky Business,7
teamInfo,,"Dallas, Texas",http://www.riskybusinessulti.com/,https://www.facebook.com/RiskyBusinessUltimate,https://twitter.com/RiskyBizUlti
01,Kendric Harris
04,Patrick Boyker
05,Hien Le
06,Meredith Wooley
08,Blake Duncan
09,Dalio Losch
11,Donovan Gleeson
12,Lisa Wang
12,Alex Wang
15,Cole Matthews
17,Jasa Fuller
18,Christina Jones
19,Eric LaPietra
20,Cristina Carreon
21,Blake Abbott
22,Luke Norby
24,Hailey Daniels
25,Christine Sullivan
27,Danielle Trompeter
33,Preston Howell
39,Mattina Maloney
64,Danielle Edwards
65,Samuel Bondurant
69,Slayter Marwitz
80,Abby Evans
88,Zoey Clark
b,r,e,a,k
Bird,3
teamInfo,,"Minneapolis, Minnesota",http://www.birdultimate.com/,https://www.facebook.com/BirdUltimate,https://twitter.com/MNBirdUltimate
coaches,Brian Paulus,Caleb Szydlo
0,John Mai
0,Leona DeRango
02,Makayla Jones-Klausing
03,Greta Friedrichs
04,Katherine Wilmes
05,Andrew Johnson
06,Olivia Peer
08,Simon Koeper
09,Eva Clements
11,Nora Mitchell
12,Aidan Clements
15,Wyatt Crow
17,Katie Fan
18,Ryan Harvey
19,Eva Fischer
20,Eleanor Heberlein
23,David Stemper
24,Nathan Phillips
27,Leslie Boey
28,Caleb Griffiths
29,Lauren Roach
38,Noah Johnson
42,Anna Ruehlow
51,Cesario Velasco
91,Oscar Leinbach
92,Jack Mallmann
b,r,e,a,k
Melt,6
teamInfo,,"Saint Paul, Minnesota",,https://www.facebook.com/MeltUltimateMN/,https://twitter.com/MeltUltimateMN
0,Alex Kaplan
0,Alexis Trousil
0,Alyssa Kleppe
0,Caitlin Martin
0,Chase Lemley
0,Everett Ries
0,Frieda Manthei
0,Hailey Shoemaker
0,Hannah Higar
0,Harper McIntyre
0,John Simpson
0,Julia Solberg
0,Kellen OConnor
0,Lauren Thon
0,Madison  Deile
0,Michael Hall
0,Riley Higar
0,Sam Eherenman
0,Vincent Vik
9,Patrick Wozniak
14,Maggie  Grunow 
16,Sarah Christie
b,r,e,a,k
Pandamonium,9
teamInfo,,"Saint Paul, Minnesota",,,https://twitter.com/pandamentals
0,Alison Kidd
0,Brigitte Forster
0,Dan Distad
0,Eric Vandermolen
0,Kevin Pochatila
0,Jessie Lambert
0,Katherine Johnson
0,Mito Imagawa
0,Presten Berg
0,Stephanie O'Connor
0,Whitney Leming-Salisbury
2,Ben Finkelstein
4,Chuck  Dudek
9,Brian Thompson
12,Nahlah Mkaouri
15,Linette Maeder
15,Eric Andersen
22,Mikhail Golben
23,William Stafford
42,Meghin Davis
47,Ian Andre-Knudsen
53,Katherine Frantz
89,Micah Peterson-Brandt
b,r,e,a,k
Madison United Mixed Ultimate,16
teamInfo,,"Madison, Wisconsin",,,
0,Cadence  Schaal 
0,Carrina DaBroi
0,Ellie Cahill
0,Keith McCarthy
0,KYLIE MOYNIHAN
0,Vikas Biliyar
1,Kara Vogel
