2023 Great Lakes Men's Regional Championship,Club - Men ,23,9,2023
Westfield,IN,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-Great-Lakes-Mens-Regional-Championship/schedule/Men/Club-Men/
Chicago Machine,1
teamInfo,,"Dayton, Ohio",,https://www.facebook.com/pages/Enigma/112703698822469?ref=hl,
0,Avery Moeller
0,Carl Ahlborg
0,Forrest Reed
0,Isaac Hubble
0,Matthew Mason
0,Nathan Ploeger
0,Tobiah Weyer
4,Riley Collins
8,Nate Olander
9,Jake Blue
10,Riley Ulmer
11,Lloyd Goldstein
11,David Collins
16,Taylor Chatfield
17,Daniel Mac Manus
21,Ben Knoth
23,Derek Fitch
24,Andrew Greenfield
31,Chetan Gomatam
33,Andrew Fassler
42,Brandon Henry
42,Zach Thompson
46,Ian Ehlers 
47,Peter Duttweiler
98,Jarod Garel
b,r,e,a,k
Trident II,12
teamInfo,,"Chicago, Illinois",,,https://twitter.com/Trident2Ulti
coaches,Robert Gross
0,Benjamin Michalak
0,Cade Heikes
0,Ellery Sabado
0,Erikas Paulauskas
0,Joseph Thachet
0,Josh Van Cleave
0,Joshua Vierke
0,Michael Wormley
0,Owen Jewell
0,Sean Hickey
0,Shivam Boghra
0,Turner Pahl
1,Alex Straczek
2,Tyler Smiles
2,Joe Sidrys
2,Dexter Straczek
8,Teddy Kamin
16,Tyler Boyer
17,Daniel Grosch
19,Dylan Magahis
22,Justin Arney
22,Lucas Gough
24,Dylan Mcgarr
42,Tanner Holtz
53,Joe Berry
76,Steven Wagner
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
Chicago Machine,Haymaker,13,7,"09/23/2023, 09:00",Pool A,Final
Black Lung,Chicago Dark Frogs,13,5,"09/23/2023, 09:00",Pool A,Final
Chicago Machine,Chicago Dark Frogs,13,3,"09/23/2023, 11:00",Pool A,Final
Black Lung,Haymaker,7,13,"09/23/2023, 11:00",Pool A,Final
Chicago Machine,Black Lung,13,4,"09/23/2023, 13:00",Pool A,Final
Haymaker,Chicago Dark Frogs,13,6,"09/23/2023, 13:00",Pool A,Final
pool,Pool B
Omen,Beacon,9,13,"09/23/2023, 09:00",Pool B,Final
Blink-122 Weekends,Mischief,13,6,"09/23/2023, 09:00",Pool B,Final
Omen,Mischief,13,1,"09/23/2023, 11:00",Pool B,Final
Blink-122 Weekends,Beacon,7,13,"09/23/2023, 11:00",Pool B,Final
Omen,Blink-122 Weekends,13,7,"09/23/2023, 13:00",Pool B,Final
Beacon,Mischief,13,2,"09/23/2023, 13:00",Pool B,Final
pool,Pool C
Trident I,Diesel,12,2,"09/23/2023, 09:00",Pool C,Final
Flying Dutchmen,Chimney,13,8,"09/23/2023, 09:00",Pool C,Final
Trident I,Chimney,13,5,"09/23/2023, 11:00",Pool C,Final
Flying Dutchmen,Diesel,13,9,"09/23/2023, 11:00",Pool C,Final
Trident I,Flying Dutchmen,9,6,"09/23/2023, 13:00",Pool C,In Progress
Diesel,Chimney,6,9,"09/23/2023, 13:00",Pool C,In Progress
pool,Pool D
I-69,Trident II,13,8,"09/23/2023, 09:00",Pool D,Final
Colonels,Enigma,13,6,"09/23/2023, 09:00",Pool D,Final
I-69,Enigma,13,2,"09/23/2023, 11:00",Pool D,Final
Colonels,Trident II,13,5,"09/23/2023, 11:00",Pool D,Final
I-69,Colonels,8,13,"09/23/2023, 13:00",Pool D,Final
Trident II,Enigma,10,13,"09/23/2023, 13:00",Pool D,Final
b,r,e,a,k
clusters,1st Place Bracket Crossover  Play-in
cluster,1st Place Bracket Play-in
Haymaker,Enigma,0,0,"09/23/2023, 15:00",,Scheduled
I-69,Black Lung,0,0,"09/23/2023, 15:00",,Scheduled
b,r,e,a,k
brackets,Bracket Play
bracket,1st Place Bracket
bracket,3rd Place
bracket,5th Place
bracket,7th Place (Consolation)
bracket,9th Place (Consolation)
bracket,11th Place (Consolation)
bracket,13th Place (Consolation)
bracket,15th Place (Consolation)
b,r,e,a,k
