Mardi Gras XXXV,College - Men ,25,2,2023
Baton Rouge,LA,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Mardi-Gras-XXXV/schedule/Men/CollegeMen/
Indiana,1
0,Jonas Griesbeck
0,Ryan Dees
2,Michael Faress
4,Eric Sinkler
8,Victor Ochoa-Lorenzo
10,Evan Marshall
27,Mason Myler
b,r,e,a,k
Texas State,6
teamInfo,Texas State Buckets,"San Marcos, Texas",,,
0,Connor  McLean
0,Gerrick Bowman
0,Jacob Butler
0,Ronald Malina
0,Wyatt Christilles
01,Blake Bailey
02,Erik Atwell
03,Jonathan Zygarlenski
05,Logan Carroll
06,Grant Chang
07,Aaron Ogdee
08,Alejandro  Valdez
09,Jackson Potts
10,Harris Ewald
11,Parker Kaifesh
12,Aidan Wilson
13,Landen Muennink
15,Jake Strickling
21,Hayden Campbell
23,Matthew Coffelt
24,Jacob Greendyk
26,Ellery Hale
27,Garin Davis
33,Rion Saldana
33,Cody Cherrington
34,Caleb Tiemann
41,Ashten Barker 
43,Dylan Kaifesh
54,Jack Courts
88,Reid Pannell
99,Francis  Lasta
b,r,e,a,k
Miami,15
teamInfo,UMiami Vice,"Coral Gables, Florida",https://miami.campuslabs.com/engage/organization/ultimate-frisbee-club,,
0,Brandon Wittrock
02,Andrew Dietel
03,Trey Riera-Gomez
05,Jesse Ramos
07,Timothy Hunsdorfer
08,Seán Sheehy
10,Matthew Duval
11,Connor Lavigne
17,Calvin Leung
19,Pierce Kinney
24,Nicholas Montes
27,Brandon Scheinbach
28,Elliot Danto
36,Noah Teer
43,Jackson Baer
56,Owen Fleming
69,Lux Sovann
b,r,e,a,k
Mississippi State (B),19
teamInfo,Pony Express,"Strakville, Mississippi",,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/HailStateUlt
03,Hayden Butts
08,Tayshaun Smith
09,Cooper Daras
20,Joshua Mitchell
21,Gideon Miller
24,Zachary Crane
26,Nathan Reynolds
28,Skylar Bates
47,Dawson Johns
50,Ka'Von Spivey
56,Ethan Kilpatrick
77,Jackson Thomas
99,Sean Glasgow
b,r,e,a,k
Central Florida,4
teamInfo,Dogs of War,"Orlando, Florida",http://centralfloridaultimate.com/,https://www.facebook.com/CentralFloridaUltimate,https://twitter.com/PupsofConflict
coaches,Michael Taylor
2,Alexander Mooney
3,Alex Nelson
4,Christopher Patrick
5,Wazan Hoshino
6,Quest Brashear
7,Daniel Duffy
7,Sean Chaney
8,Justin Nazario
9,Cameron Genest
10,Adrian Arreaza
15,Nolan McGinley
16,Justin King
17,Udaykiran Gudipudi
18,Taurean Perkins
21,Ethan Phillips
22,Antwan Lederl
23,Aidan Earnest
24,Trevyr Massey
25,Reese Holiday
28,Ryan Rodriguez
31,Michael Kemp
32,John Henderson III
43,Jake Repperger
55,Bradley  Paul
b,r,e,a,k
Texas A&M,5
teamInfo,Dozen,"COLLEGE STATION, Texas",modules/common/dozenultimate.com,https://www.facebook.com/tamuultimate/,https://twitter.com/DozenUltimate/
0,Kyle Moran
4,Decker Padgett
5,Trace Cabaniss
6,Aidan Lesseraux
7,Michael Abide
7,Vinay Patel
8,Ben Stone
10,Maren Monsivais
11,nicholas taylor
12,Kyle Sculley
13,Tyler Reinhardt
15,Josiah Padgett
16,Timothy Mosher
17,Benjamin Riggs
18,Ethan Niedzwiedz
20,Evan Menefee
22,Tony Cao
23,Garrison Abide
24,Riley Falls
31,Nicholas Viggato
37,Michael  Stamps
47,Akshaj Kumar
54,Colby Millenbruch
55,Aaron Su
66,Ethan Reid
69,Justin Davis
99,Spencer Solberg
b,r,e,a,k
Mississippi State,9
teamInfo,Dark Horse,"Starkville, Mississippi",,https://www.facebook.com/pages/MSU-Mens-Ultimate-Club/109943542442587?ref=hl,https://twitter.com/HailStateUlt
0,Andrew Ohrberg
01,Vivesh Patel
02,Drake Robertson
04,Will Kalahar
05,Daniel Grisham
10,Dawson Archer
12,Aaliyan Mohammed 
14,James Tindell
15,William Clark
22,Caleb Byers
25,Nathaniel Haley
29,Noah Carpenter
31,Grant Houston
33,Drew Laird
55,Frank Mcgee
74,Owen McCoy
78,Barnes Lowry
b,r,e,a,k
Tulane (B),16
teamInfo,Tulane B,"New Orleans, Louisiana",,,
0,Advaith Subramanian
0,Axel Nielsen
0,Benjamin Knepper
0,Daniel Flink
0,Gabe Ellias
0,Grayson Broderick
0,Jacob Greenhill
0,James Morgan
0,Casper Graham
0,Jesse Katz
0,Levi Smetana
0,Matt Frey
0,Max Greenberg
0,Miles Mukamal
0,Miles Wachsteter
0,Perry Mains
0,Taylor Friedman
5,Joseph Wagner
12,Benjamin Nevis
28,Corey Hart
29,Jeffrey Greenblatt
31,Jonathan Israel
77,Jonah Yurman
b,r,e,a,k
University of Mississippi,20
teamInfo,Ole Miss Rebels,"University/Oxford, Mississippi",,,
0,Brandon School
01,William Pentecost
04,John Harvey
08,Harry Howell
09,Bennett Loper
12,Nathan Bernard 
14,Andrew Horne
18,Zachary Taneri
19,Jackson Baird
22,Evan Bean
29,John Duncan
42,Jeffrey Jordan
82,Wyatt Holly
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pool Play
pool,Pool A
Indiana,Houston,13,3,"02/25/2023, 08:30",Pool A,Final
Sam Houston State,Spring Hill College,13,4,"02/25/2023, 08:30",Pool A,Final
Indiana,Sam Houston State,13,9,"02/25/2023, 12:00",Pool A,Final
LSU,Spring Hill College,13,8,"02/25/2023, 12:00",Pool A,Final
Spring Hill College,Houston,10,7,"02/25/2023, 13:45",Pool A,Final
LSU,Sam Houston State,11,7,"02/25/2023, 13:45",Pool A,Final
Indiana,Spring Hill College,13,4,"02/25/2023, 15:30",Pool A,Final
LSU,Houston,13,4,"02/25/2023, 15:30",Pool A,Final
Indiana,LSU,13,9,"02/25/2023, 17:15",Pool A,Final
Sam Houston State,Houston,13,5,"02/25/2023, 17:15",Pool A,Final
pool,Pool B
Florida,Trinity University,13,5,"02/25/2023, 08:30",Pool B,Final
Jacksonville State,Texas Tech,13,8,"02/25/2023, 08:30",Pool B,Final
Florida,Jacksonville State,13,4,"02/25/2023, 10:15",Pool B,Final
Tennessee-Chattanooga,Texas Tech,13,0,"02/25/2023, 10:15",Pool B,Final
Texas Tech,Trinity University,8,10,"02/25/2023, 13:45",Pool B,Final
Tennessee-Chattanooga,Jacksonville State,13,4,"02/25/2023, 13:45",Pool B,Final
Florida,Texas Tech,13,1,"02/25/2023, 15:30",Pool B,Final
Tennessee-Chattanooga,Trinity University,13,4,"02/25/2023, 15:30",Pool B,Final
Florida,Tennessee-Chattanooga,13,7,"02/25/2023, 17:15",Pool B,Final
Jacksonville State,Trinity University,13,5,"02/25/2023, 17:15",Pool B,Final
pool,Pool C
Alabama-Huntsville,Mississippi State (B),13,4,"02/25/2023, 08:30",Pool C,Final
Kennesaw State,Miami,13,4,"02/25/2023, 08:30",Pool C,Final
Alabama-Huntsville,Kennesaw State,11,8,"02/25/2023, 10:15",Pool C,Final
Texas State,Miami,13,10,"02/25/2023, 10:15",Pool C,Final
Miami,Mississippi State (B),7,4,"02/25/2023, 12:00",Pool C,Final
Texas State,Kennesaw State,9,10,"02/25/2023, 12:00",Pool C,Final
Alabama-Huntsville,Miami,13,3,"02/25/2023, 15:30",Pool C,Final
Texas State,Mississippi State (B),11,9,"02/25/2023, 15:30",Pool C,Final
Alabama-Huntsville,Texas State,13,8,"02/25/2023, 17:15",Pool C,Final
Kennesaw State,Mississippi State (B),13,8,"02/25/2023, 17:15",Pool C,Final
pool,Pool D
Central Florida,University of Mississippi,13,3,"02/25/2023, 08:30",Pool D,Final
Mississippi State,Tulane (B),13,6,"02/25/2023, 08:30",Pool D,Final
Central Florida,Mississippi State,10,9,"02/25/2023, 10:15",Pool D,Final
Texas A&M,Tulane (B),11,6,"02/25/2023, 10:15",Pool D,Final
Tulane (B),University of Mississippi,11,8,"02/25/2023, 12:00",Pool D,Final
Texas A&M,Mississippi State,11,6,"02/25/2023, 12:00",Pool D,Final
Central Florida,Tulane (B),13,4,"02/25/2023, 13:45",Pool D,Final
Texas A&M,University of Mississippi,13,1,"02/25/2023, 13:45",Pool D,Final
Central Florida,Texas A&M,12,7,"02/25/2023, 15:30",Pool D,Final
Mississippi State,University of Mississippi,13,2,"02/25/2023, 15:30",Pool D,Final
b,r,e,a,k
brackets,Sunday Bracket Play
bracket,1st Place Bracket
Indiana,Alabama-Huntsville,10,13,"02/26/2023, 13:45",1st Place Finals,Final
Indiana,Central Florida,13,7,"02/26/2023, 12:00",1st Place Semis,Final
Alabama-Huntsville,Florida,13,8,"02/26/2023, 12:00",1st Place Semis,Final
Indiana,Tennessee-Chattanooga,13,8,"02/26/2023, 10:15",1st Place Quarters,Final
Central Florida,Kennesaw State,13,10,"02/26/2023, 10:15",1st Place Quarters,Final
Alabama-Huntsville,Texas A&M,8,6,"02/26/2023, 10:15",1st Place Quarters,Final
Florida,Mississippi State,11,5,"02/26/2023, 10:15",1st Place Quarters,Final
Tennessee-Chattanooga,Texas State,12,6,"02/26/2023, 08:30",1st Place Pre-Quarters,Final
Kennesaw State,Jacksonville State,10,2,"02/26/2023, 08:30",1st Place Pre-Quarters,Final
Texas A&M,Sam Houston State,13,3,"02/26/2023, 08:30",1st Place Pre-Quarters,Final
LSU,Mississippi State,7,8,"02/26/2023, 08:30",1st Place Pre-Quarters,Final
bracket,3rd Place Bracket
Central Florida,Florida,3,7,"02/26/2023, 13:45",3rd Place Finals,Final
bracket,5th Place Bracket
Kennesaw State,Texas A&M,0,1,"02/26/2023, 13:45",5th Place Finals,Final
Tennessee-Chattanooga,Kennesaw State,9,10,"02/26/2023, 12:00",5th Place Semis,Final
Texas A&M,Mississippi State,8,7,"02/26/2023, 12:00",5th Place Semis,Final
bracket,7th Place Bracket
Tennessee-Chattanooga,Mississippi State,6,9,"02/26/2023, 13:45",7th Place Finals,Final
bracket,9th Place Bracket
Sam Houston State,LSU,6,12,"02/26/2023, 12:00",9th Place Finals,Final
Texas State,Sam Houston State,6,13,"02/26/2023, 10:15",9th Place Semis,Final
Jacksonville State,LSU,4,12,"02/26/2023, 10:15",9th Place Semis,Final
bracket,11th Place Bracket
Texas State,Jacksonville State,9,10,"02/26/2023, 12:00",11th Place Finals,Final
bracket,13th Place Bracket
Tulane (B),Houston,12,6,"02/26/2023, 12:00",13th Place Finals,Final
Spring Hill College,Tulane (B),8,11,"02/26/2023, 10:15",13th Place Semis,Final
Houston,Trinity University,10,8,"02/26/2023, 10:15",13th Place Semis,Final
Spring Hill College,Texas Tech,13,11,"02/26/2023, 08:30",13th Place Quarters,Final
Tulane (B),Mississippi State (B),9,6,"02/26/2023, 08:30",13th Place Quarters,Final
Miami,Houston,9,10,"02/26/2023, 08:30",13th Place Quarters,Final
Trinity University,University of Mississippi,9,8,"02/26/2023, 08:30",13th Place Quarters,Final
bracket,15th Place Bracket
Spring Hill College,Trinity University,7,3,"02/26/2023, 12:00",15th Place Finals,Final
bracket,17th Place Bracket
Mississippi State (B),Miami,9,8,"02/26/2023, 12:00",17th Place Finals,Final
Texas Tech,Mississippi State (B),7,13,"02/26/2023, 10:15",17th Place Semis,Final
Miami,University of Mississippi,13,9,"02/26/2023, 10:15",17th Place Semis,Final
bracket,19th Place Bracket
Texas Tech,University of Mississippi,13,8,"02/26/2023, 12:00",19th Place Finals,Final
b,r,e,a,k
