HoDown Showdown 2023,Club - Mixed ,12,8,2023
Asheville,NC,2023-08-12,2023-08-13
https://play.usaultimate.org/events/HoDown-Showdown-2023/schedule/Mixed/Club-Mixed
Dirty Bird,1
0,Dillon Joens
0,Evan Page
0,Jacob Wickey
0,John Laubscher
0,Joseph Branson
0,Kristin Weyenberg
0,Kyle  Walker
0,Madelyn Lukens
0,Mary Cowart
0,Maryjean Hunter
0,Aeryn Longuevan
0,Amy Cook
0,Anukriti Tayal
0,Beatrice  Lacy
0,Chris Walls
0,Christopher Clowers
0,Rachel Shaw
0,Vanessa Fan
7,Mason Keeling
69,Connor Scanlon
92,Matthew Cook
b,r,e,a,k
Pickles,18
teamInfo,,"Asheville, North Carolina",https://www.picklesultimate.com/,,
0,Allison  Parker
0,Brianna Gorham
0,Charles Page
0,Emily Runion
0,Grace Snell
0,Jacob Skinsacos
0,Justin Hall
0,Lauren Delmastro
0,Mark Bennink
0,Matt Hanson
0,Jon Reed
0,Patrick Annesty
0,Stephanie Furnish
0,Sydnee Hanson
5,Rocky Morris
5,Ely Levine
8,Alexander Schwartz
10,Noah Shearer
13,Jeff Nowiski
25,Julian Cacua
b,r,e,a,k
Roma Ultima,3
teamInfo,,"ATL, Georgia",,,
0,Ivan Khoo
0,Karsen Brantley
0,Kevin Tran
0,Malia Ellard
0,Marshall Cornell
0,Megan Jarriel
0,Anna Graham
0,Chris Gmeiner
0,Morgan Dale
0,Rhoxie Booth
0,Rosemari Hill
1,Stephanie Peters
2,Cori Bradham
5,Weaver Ellard
7,Hannah Tritschler
10,Mia Griner
11,Walter Ellard
12,Aidan Meek
13,Nicholas Smith
17,Nicholas Huffman
18,Daniela Ortiz Rodriguez
25,Robert Bradham
50,Miles Lally
66,Ian VanOrder
b,r,e,a,k
Too Much Fun,11
teamInfo,,"Asheville, North Carolina",,,
0,Daniel Gray
2,Ruth Hudson
3,Matt Gordon
4,Dean Merritt
7,Garrett Baringer
8,Claire Meyer
10,Hannah Moore
13,Isabela Galeano
14,Emma Appleby
18,Franchesca Cassanese
19,Lilli Popovich
22,Paul Ikenberry
26,Andrew Mouw
28,Hailey Wunder
29,Mark Stumpf
30,Aidan Todd
33,Austin McGrayne
44,Henry Hill
45,Stephanie Kriston
51,Chad Gerber
81,Allison Bashford
87,Michael White
99,Taylor Dale
b,r,e,a,k
Brunch Club,14
teamInfo,,"Durham, North Carolina",,,
0,Cole Robinette
0,Dean Culver
0,Derrick Marcey
0,George Guthrie
0,Ivy Johnson
0,Joseph Connelly
0,Josh Day
0,Alex Bienkowski
0,Alyssa Irons
0,Brenna Murray
0,Kerry Green
0,Lauren Marcey
0,Melissa Forde
0,Michael Pannone
0,Patrick Ledlee
0,Stephen Bender
0,Tim Monahan
0,TJ McCourt
0,Toni Gomes
6,Kalene Morozumi
10,Qing (Jenny) Wei
24,Christian Forde
76,Alison Bender
b,r,e,a,k
Moontower,6
teamInfo,,"Austin, Texas",https://www.instagram.com/moontowerultimate/,https://www.facebook.com/moontowerultimate/,https://twitter.com/moontowerulti
0,Andrew Feller
0,Catherine Romanova
0,Christine Wilson
0,Jake Lasley
0,Jason Peacher-Ton
0,Daniel Murray
0,Elise Brod
0,Kate Weidmann
0,Laura Brannan
0,Lia Wickham
0,Mike French
0,Oliver Feder
0,Patrick  Beckett 
0,Sarah Piersall
1,Michael Ovassapian
1,Levi Thompson
3,Jacob Pfeifer
3,Jenna Paterson
7,Cindy Yuan
7,Joey Wickham
9,Marshall Payne
16,Jenni McCarty
18,Tanner Moore
28,Andrew Gruninger
81,Mackenzie Bailey
b,r,e,a,k
Rampage,19
teamInfo,,"Raleigh, North Carolina",,https://www.facebook.com/rampageultinc/,https://twitter.com/rampageultinc
0,Anna Kasher
0,Anthony Spizzirri
0,Chris Seip
0,David Fengshi
0,Emily Whaley
0,Erin Love
0,Joshua McLeod
0,Justin Melkun
0,Laura Mindlin
0,Allyson Fion
0,Neal Raval
0,Peter Leonard
0,Zoe Wohlgenant
6,Daniel Caruso
13,Pearl Sullivan
14,Jonah Kadens
19,Nadine Guthrie
28,Amanda English
30,Harris Yudin
64,Max Randall
b,r,e,a,k
Malice in Wonderland,4
teamInfo,,"Raleigh, North Carolina",https://ultiworld.com/tag/raleigh-malice-in-wonderland/,https://www.facebook.com/MaliceUltimate/,https://twitter.com/maliceulti
0,Kyle Cornell
01,Nate Griffith
02,Bobby Patterson
03,ryan schanz
04,Sophia Thayer
05,Patrick Limer
08,Alice Widman
12,Molly Arwood
13,Alexander Walker
14,Danielle Swales
17,Sam Widmayer
18,Kelly Merhar
19,Ellen Yu
22,Maya Sugg
24,Jericho Barbour
25,Avery Acierno
