Boston Invite 2023,Club - Men ,15,7,2023
Devens,MA,2023-07-15,2023-07-16
https://play.usaultimate.org/events/Boston-Invite-2023/schedule/Men/Club-Men/
General Strike,1
1,Ryan Prescott
4,Michael Walker
8,Nathan Wetzelberg
8,Nicholas Kochersperger
10,Elliot Mintz
11,Jack Hogan
12,Trevor Schonewald
13,Stephen Welsh
15,Matt Ristaino
17,Zebadiah Staples
20,Adrian Baker
23,Tyler Seegars
26,Jack McShane
38,Nicholas  Dell'Amore
52,Gabriel Rhodes
58,James Wickham
64,Jonathan Ramos
82,Trey Wiley
b,r,e,a,k
Shade,12
teamInfo,,"New York, New York",,https://www.facebook.com/shadeulti/,https://www.twitter.com/shadeulti
0,Chris Nelson
0,Elias Griffin
0,Eric Tagliaferre
0,Kaizen Conroy
0,Kevin Yuan
0,Nick Maida
0,Jacob Coonin
0,James Pardo
3,Brandon Shaw
9,Harper Stanfield
00,Jack Rogot
00,Jacob Price
00,Otto Gomez
00,Brian Moore
00,Eric Moore
00,Alon Brown
00,Azeez Adeyemi
00,Benjamin Toruño
00,John Nguyen
00,Ryan Brown
21,Paul Anouna
22,Alan Henzy
23,Charlie Holtz
44,Andrew Rodman
b,r,e,a,k
Colt,13
teamInfo,,"Hartford, Connecticut",,,https://twitter.com/coltimate
00,Chris Enderby
00,Jeremy Bernier
00,Remy Gaulin
01,James Tibolla
03,Daniel Manger
04,David Sands
05,Joseph Dwork
07,Clayton Duffy
09,James Beckman
11,Eamon Conneely
12,Alexander Manos
13,Ian Kreciglowa
18,Eviatar Ashkenazi
20,Andong Li
22,Nathan Getz
23,Daniel Conner
24,Nitesh Desai
26,Zac Sequeira
36,Noah Schulman
44,Dong Lam
45,Philip Murray
47,Jason Ellis
54,Logan Edwards
56,Brent Anderson
58,Holland Florian
77,Jacob Latronica
b,r,e,a,k
Expendables,20
teamInfo,,"Framingham, Massachusetts",,,
0,Blake Read
0,Christopher Wilson
0,David Leder
0,Adam Offit
0,Jayden Amirault
0,Michael Vanderloo
0,Nelson de Witt
0,Nicholas Komarovsky
0,Nolan Prince
0,Thomas Dyett
0,Umar Katumba
1,Jamil Kisubi
10,Jeffrey Kiel
13,Andrew MacIsaac
b,r,e,a,k
Alibi,17
teamInfo,,"Albany, New York",,,
0,Alec Myers
0,Ben Kleinman
0,Benjamin Tandlmayer
0,Charles Labarge
0,Ethan Jaynes
0,John Angerame
0,Joshua Glick
0,Kevin Roux
0,Matt Smith
0,Matthew Lustbader
0,Nate Belluche
0,Thomas Danz
0,Thomas Horvath
0,Tyler Sprague
1,Jared Gregorek
9,Devin Hendricks
18,Caleb Bashant
21,William Vasoll Jr.
25,Griffin Malcolm
28,Mitchell McDonald
30,Xavier Ortiz-Reyes
41,Jacob Grabois
55,Logan Stone
99,Matthew Stuts
b,r,e,a,k
Crossfire,16
teamInfo,,"Boston , Massachusetts",,,
0,Arron Danehy
0,Christopher Fan
0,Daniil Koval
0,Alec Jacobson
0,Henry Berger
0,Jonathan McGurrin
0,Josh Gauyo
0,Patrick Leach
0,Sudarshan Sekar
0,Suhaas Katikaneni
0,Sumedh Anantha Krishna 
0,Thomas Nielsen
0,Timothy Lambert
2,Ryan McManus
2,Aidan McGovern
8,Michael Vitiello
20,Jacob Arehart
24,Anthony Scibelli
30,Walter Stuart
88,Franklin Mejia
b,r,e,a,k
s,t,a,g,e,s
pools,Elite Pool Play
pool,Pool A
General Strike,Regiment,13,7,"07/15/2023, 09:00",Pool A,Final
Big Wrench,Switchback,11,8,"07/15/2023, 09:00",Pool A,Final
General Strike,Big Wrench,12,7,"07/15/2023, 10:30",Pool A,Final
Scoop,Switchback,13,11,"07/15/2023, 10:30",Pool A,Final
Switchback,Regiment,11,10,"07/15/2023, 12:00",Pool A,Final
Scoop,Big Wrench,9,8,"07/15/2023, 12:00",Pool A,Final
General Strike,Scoop,12,10,"07/15/2023, 13:30",Pool A,Final
Big Wrench,Regiment,13,7,"07/15/2023, 13:30",Pool A,Final
General Strike,Switchback,11,8,"07/15/2023, 15:00",Pool A,Final
Scoop,Regiment,13,2,"07/15/2023, 15:00",Pool A,Final
pool,Pool B
Blueprint,Red Tide,9,12,"07/15/2023, 09:00",Pool B,Final
Lantern,Club M - Manic,10,11,"07/15/2023, 09:00",Pool B,Final
Blueprint,Lantern,10,4,"07/15/2023, 10:30",Pool B,Final
Sprout,Club M - Manic,13,6,"07/15/2023, 10:30",Pool B,Final
Club M - Manic,Red Tide,10,9,"07/15/2023, 12:00",Pool B,Final
Sprout,Lantern,13,4,"07/15/2023, 12:00",Pool B,Final
Blueprint,Club M - Manic,11,6,"07/15/2023, 13:30",Pool B,Final
Sprout,Red Tide,12,9,"07/15/2023, 13:30",Pool B,Final
Blueprint,Sprout,10,12,"07/15/2023, 15:00",Pool B,Final
Lantern,Red Tide,10,9,"07/15/2023, 15:00",Pool B,Final
b,r,e,a,k
pools,classic pool play
pool,Pool C
Ascension,Odyssey,11,7,"07/15/2023, 09:00",Pool C,Final
BAG,MBTA,8,10,"07/15/2023, 09:00",Pool C,Final
Ascension,BAG,10,9,"07/15/2023, 10:30",Pool C,Final
Magma Bears,MBTA,13,6,"07/15/2023, 10:30",Pool C,Final
MBTA,Odyssey,9,7,"07/15/2023, 12:00",Pool C,Final
Magma Bears,BAG,13,6,"07/15/2023, 12:00",Pool C,Final
Ascension,MBTA,13,6,"07/15/2023, 13:30",Pool C,Final
Magma Bears,Odyssey,12,4,"07/15/2023, 13:30",Pool C,Final
Ascension,Magma Bears,9,12,"07/15/2023, 15:00",Pool C,Final
BAG,Odyssey,13,2,"07/15/2023, 15:00",Pool C,Final
pool,Pool D
Shade,Expendables,13,7,"07/15/2023, 09:00",Pool D,Final
Crossfire,Alibi,9,10,"07/15/2023, 09:00",Pool D,Final
Shade,Crossfire,13,4,"07/15/2023, 10:30",Pool D,Final
Colt,Alibi,12,2,"07/15/2023, 10:30",Pool D,Final
Alibi,Expendables,4,13,"07/15/2023, 12:00",Pool D,Final
Colt,Crossfire,13,6,"07/15/2023, 12:00",Pool D,Final
Shade,Alibi,13,2,"07/15/2023, 13:30",Pool D,Final
Colt,Expendables,13,7,"07/15/2023, 13:30",Pool D,Final
Shade,Colt,12,8,"07/15/2023, 15:00",Pool D,Final
Crossfire,Expendables,8,11,"07/15/2023, 15:00",Pool D,Final
b,r,e,a,k
brackets,Elite 1st place bracket
bracket,1st place
General Strike,Blueprint,6,3,"07/16/2023, 09:00",Semis,Final
Scoop,Sprout,4,3,"07/16/2023, 09:00",Semis,In Progress
bracket,3rd place
b,r,e,a,k
brackets,Classic 1st Place
bracket,1st Place
Regiment,Colt,2,4,"07/16/2023, 09:00",semis,In Progress
Red Tide,Ascension,0,0,"07/16/2023, 09:00",semis,In Progress
bracket,3rd place
b,r,e,a,k
brackets,Elite 5th place
bracket,5th place
Shade,Switchback,4,4,"07/16/2023, 09:00",5th quarters,In Progress
Lantern,Magma Bears,0,0,"07/16/2023, 09:00",5th quarters,Cancelled
bracket,7th place
bracket,9th Place
b,r,e,a,k
brackets,classic 5th
bracket,5th place
Odyssey,Alibi,0,0,"07/16/2023, 09:00",quarters,In Progress
BAG,Crossfire,0,0,"07/16/2023, 09:00",quarters,In Progress
bracket,7th place
bracket,9th Place
b,r,e,a,k
