Summer Glazed Daze 2023,Club - Mixed ,8,7,2023
Winston-Salem,NC,2023-07-08,2023-07-09
https://play.usaultimate.org/events/Summer-Glazed-Daze-2023/schedule/Mixed/Club-Mixed
Too Much Fun,1
teamInfo,,"Asheville, North Carolina",,,
0,Daniel Gray
2,Ruth Hudson
5,Benjamin Gladstone
7,Garrett Baringer
03,Matt Gordon
10,Hannah Moore
11,TAYLOR FITZPATRICK
13,Isabela Galeano
14,Emma Appleby
17,Jackson Tambor
18,Franchesca Cassanese
19,Lilli Popovich
22,Paul Ikenberry
26,Andrew Mouw
28,Hailey Wunder
29,Mark Stumpf
30,Aidan Todd
33,Austin McGrayne
44,Henry Hill
45,Stephanie Kriston
51,Chad Gerber
81,Allison Bashford
87,Michael White
88,Hunter Gibbs
99,Taylor Dale
b,r,e,a,k
Bear Jordan,8
teamInfo,,"Chapel Hill, North Carolina",,,
0,Christine Bookhout
00,Josiah Gamble
01,Mason Gardner
03,Kyle Newman
04,Andriana Tompary
07,Brian Dahlben
09,Matt Chun
10,Evan Holliday
11,Daniel Schopler
12,Joy Chen
15,Ingrid Humphrey
17,Hannah Regen
17,Dylan Shields
20,Emily Harris
22,Macy Hudson
23,Jonathan Burrell
24,Anna Butler
25,Mary-Catherine Adams
27,Mia  Foglesong
34,Kaleb Howarth
67,Nora Abbott
71,Elizabeth (Beth) Sherling
84,Paul Fang
88,Nathan Silverman
91,Donte Jackson
b,r,e,a,k
904 Shipwreck,9
teamInfo,,"Jacksonville, Florida",shipwreckultimate.com,https://m.facebook.com/people/904-Shipwreck-Ultimate/100076134320476/?fref=mentions,https://www.instagram.com/904shipwreck/
0,Aubrey Gresham
0,Bryce Carleton
0,Cassandra Patterson
0,Dalton Edwards
0,Jonah Hagstad
0,Karen Erke
0,Matt Matheny
0,Nick Hunter
0,Robert Lewis
0,Tessa Ricker
0,Timothy Moore
3,Chris Seibler
7,Dayton Newman
9,Jessica Trapp
01,Matthew Seibler
06,Dustin Rooffener
13,Gabriela Mishoe-Rivers
16,Mathew Johnson
22,Abby Casey
23,Emily Geisel
25,Andrew Geisel
25,Matthew Pawlush
26,Kasi Bardouche
36,Julie Bowers
45,Foster Foy
58,Rowan Jaynes
b,r,e,a,k
Spice,16
teamInfo,,"Charlottesville, Virginia",,,https://twitter.com/SpiceUltimateVA
0,Keisha Enriquez
0,Kevin Chung
0,Lynn Mandeltort
0,Malia Gardner
0,Micah Hunter-Chang
0,Na’jir Dipasalegne
0,Nicolas West
0,Nolan Klein
0,Olivia Bearman
0,Anna Caughron
0,Dan Anthony
0,Eli Beech-Brown
0,Ryann Boudreau
0,Sabrina Combs
0,Tracy Kuper
0,Yannick Albert
0,Josh Epstein
5,Joseph Terrana
11,Paulina Pelaez
13,Dick (Richard Sr) Leary
25,Katelyn Birchfield
34,Phillip Martin
35,Alexander Brewster
47,Rhiannon Begley
b,r,e,a,k
Verdant,17
teamInfo,,"Greenville, South Carolina",,,
0,Makenzye Whitman
01,Caroline Helms
02,Cassidy Stiglbauer
03,Madison Martin
06,Jordan Monroe
07,Emily Rouse
08,Matthew Abraham
09,Jessica Vance
10,Mary Hamvas
12,Asia Johnson
13,Hannah Abraham
14,Cameron Maund
15,Hunter Hamvas
17,Angela Tran
20,Christopher Billman
21,Andrew Brownlow
22,William Swan
24,Bryan Anders
25,Brandon Kwietniewski
28,JD Quinn
29,Melissa Seward
31,Kathryn Olds
37,Logan Shore
69,Spencer Simon
81,Matthew Ellison
99,Khris Kirk
b,r,e,a,k
Magnanimouse,7
teamInfo,,"Durham, North Carolina",,,https://twitter.com/MagnanimouseNC
0,Blaire Garrett
0,Eamon Horrigan
0,Matt Stevenson
0,Peter Xu
0,Wade Buchheit
1,Nathan Vogt
5,Brandon Bass
7,James Chilton
8,Audrey Tannous-Taylor
15,Alex Whang
19,Renee Tamming
20,Kyle Gouchoe-Hanas
21,Stratton Elkin
22,Brianna Kuo
25,Noah Cole
26,Georgia Paulig
27,Jennifer Wang
32,Annie Bocko
37,Vincent Zhang
38,Jessica Wu
48,Suzanne Tyler
85,Ted Randby
99,Kyle McConaughey
b,r,e,a,k
Brunch Club,2
teamInfo,,"Durham, North Carolina",,,
