Cavalier Cup 2023,College - Men ,21,10,2023
Charlottesville,VA,2023-10-21,2023-10-22
https://play.usaultimate.org/events/Cavalier-Cup-2023/schedule/Men/CollegeMen/
Charlottesville Clownies,1
teamInfo,,"Charlottesville, Virginia",,,
0,Devin Holland
0,Jace Dean
0,Jonah Lee
0,Kai Rasmussen
0,Lincoln Eberly
0,Marcelo Ruggiero
0,Matt Thomas
0,Akram Abudheer
0,Alex Turney
0,Christopher King
0,Cody Shoelson
0,Mike Vignali
0,Owen Hall
0,Thomas Callen
0,Trevor Parker
0,Vincent Chen
11,Adam Bronstein
21,Stephen Case
28,Matthew Thornton
30,Cullan Quitmeyer
33,Tanner Dellett-Wion
99,Vikram Deepak
b,r,e,a,k
Liberty,8
teamInfo,Flames,"Lynchburg, Virginia",,,https://twitter.com/LUmensUltimate
coaches,Kevin Habermas
0,Andrew Peters
0,brody johnson
0,Caleb Shirk
0,Harrison  Ohmsieder
0,Jake Kalman
0,Jeremiah Lauderdale
0,Jonathan Caruvana
0,Jordan Gregory
0,Josiah Dunlop
0,Liam Spillane
0,Luke Carlsen
0,Paul Fasciano
0,Samuel Stow
0,Stephen Sharp
0,Sterling Payne
0,William Trantham
1,Rupert Armentrout
3,Joshua Duke
8,Shawn Messick
14,Micah Maxwell
58,Ian Rankin
b,r,e,a,k
Christopher Newport,13
teamInfo,Skymaul,"Newport News, Virginia",,,https://twitter.com/CNUultimate
0,Charles McCoy
0,Eli Lehrer
0,Esteban Olivares
0,Evan Hermosilla
0,Franklin Jackson
0,Garrett Brundick
0,Ben Slade
0,Charles Baird
0,Jackson DeHoust
0,Luke Elliott
0,Luke Cotnoir
0,Lynh Vo
0,Nathan Emmatty
0,Ryan McDonnell
0,Thomas Funka
0,Wesley Beck
0,Zachary Fox
14,Grant Anderson
17,Nalin Theodore
19,Stephen Harding
22,Joseph Parks
29,Jackson Reed
31,Lucas Aberg
34,Hans Wirkkala Burkholder
35,Jackson Daughters
39,Joseph Baldi
44,Charles Gartner
49,Quinn Foley
69,Liam Owens
b,r,e,a,k
Pittsburgh (B),12
teamInfo,University of Pittsburgh- B,"Pittsburgh, Pennsylvania",,,https://twitter.com/pittultimateM_B
0,Avneet Singh
0,Brendan  Slack
0,Cain Pfoutz
0,Christian Harper
0,Clarke Piatt
0,Gnanesh Gutta
0,Henry Zou
0,Jared Kartschoke
0,Jasir Chavis
0,Jason Meyers
0,Jimmy Konstanty
0,Karl Rennick-Zuefle
0,Matthew Yager
0,Michael Lowry
0,Quinn Siegel
0,Seth Williams
0,Toby Mast
0,Tyler Weinberger
0,William Goodwin
0,William Dougherty
0,Yehuda Skromne
2,Joseph Rowley
11,Liam Ullman
16,Kyle Halstater
20,Jackson Morrow
25,Graham Barton
30,Eric Hu
51,Andrew Yurchak
87,Will Beach
b,r,e,a,k
Foggy Bottom Boys,7
teamInfo,,"Washington, District of Columbia",,,
coaches,Mina Kim
0,Marcus Lee
0,Matthew Burris
0,Mitchell Blaha
0,Morrison Sachs
0,Niko Epstein
0,Peter Strauss
0,Travis Tiller
0,Zach Bensky
0,Adam Manzo
