Boston Invite 2023,Club - Mixed ,15,7,2023
Devens,MA,2023-07-15,2023-07-16
https://play.usaultimate.org/events/Boston-Invite-2023/schedule/Mixed/Club-Mixed
XIST,1
teamInfo,,"Ithaca, New York",https://sites.google.com/view/townies,https://www.facebook.com/towniesultimate,https://twitter.com/towniesultimate
0,Aaron Krupp
0,David Menard
0,Elisabeth Strayer
0,Emily Kulp
0,Kameron Chambliss
0,Madelyn Hill
0,Meredith Silberstein
0,Nicholas Dzialo
0,Raymond Yee
0,Sophia Hulbert
0,Wren Kingsley
2,Eli Robinson
5,Garret Quist
9,Katie Mihalenko
11,James Mullmann
15,Dylan Kenniff
23,Luke Smith
24,Emily Zitek
31,Davith  Chan
36,Alison Davis
91,Daniel Vandam
92,Sam Garncarz
b,r,e,a,k
Obscure,15
teamInfo,,"Boston, Massachusetts",,,
0,Adrian Banerji
0,Alex Grintsvayg
0,Anna Shanedling
0,Ariella Korn
0,Benjamin Duffy
0,Brandon Henshaw
0,Diana Cornell
0,Jacqueline Willwerth
0,Kim DiMascio
0,Kimberly Levins
0,Luke Ding
0,Luke Diorio
0,Luke Arnone
0,Sarah Cook
0,Shellie Cohen
0,Shi-Min Chin
0,Zach DiNardo
4,Nick DiOrio
7,Tom Bassett
11,Ryan Levins
14,Eli Inkelas
16,Frank Qin
30,Lucas Johnson
33,Samantha Gray
68,Benjamin Nelson
82,Alyson Steinfeld
b,r,e,a,k
Starfire,19
teamInfo,,"Stony Brook, New York",,,
0,Allison Dowling
0,Analise Polinsky
0,Britney Echeverria
0,Gavin Zhao
0,Geoffrey Zheng
0,Kim Duong
0,Kristin Velazquez
0,Lynx Yuan
0,Joe Moyles
0,Melanie Galeano
0,Nicole Coveny
0,Sean O'Sullivan
0,Syed  Gillani
0,Victor  Jiang
2,Belinda Lam
4,Johnny Jiang
7,Seewing Zheng
9,Yuya Baba
12,Jack Hilton
12,April Zhang
13,Henry Lin
31,Matthew Chin
42,Maggie Mai
44,Rushda Chowdhury
69,Wes Collins
87,Brandon Chan
b,r,e,a,k
Lampshade,14
teamInfo,,"Cambridge, Massachusetts",,,
coaches,Abijith Krishnan
0,Adam Alper
0,Ben Fasciano
0,Bobby Lovitch
0,Bryan Xian
0,Claire Blazewicz
0,Henry Caron
0,Karina Cruz
0,Liz Anusauskas
0,Molly Rockwood
0,Rachel Levitt
0,Robert Shapiro
0,Rose Gordon
0,Rye Buckley
0,Sofia Leav
0,Sofia Grose
0,Varun Shah
1,Liam Day
13,Clara Walsh
20,Kevin Murphy
22,Gina Pryciak
24,Sajani Clerk
24,Claire Slattery
51,Jared Kannel
53,David O'Dea
74,Eva McDermott
88,Dalton Lovins
b,r,e,a,k
Lobrid,18
teamInfo,,"Cambridge, Massachusetts",,,
0,Axis Sivitz
0,Caitlin Lian
0,Candace Adelberg
0,Emily Seto
0,Gabriella Fernando-McKinley
0,Lucy Jin
0,Nancy  Jin 
0,Nelvia Clark
0,Nisha Nayak
0,Noah Anderson
0,Sara Bauman
0,Sarah Antilla
0,Umar Katumba
0,Webster Kehoe
0,Hao Shen
0,Ian Cutler
0,Irene Ren
0,Jessica Chirichetti
3,Jasmine Der
4,Acer Xu
7,Emily Hall
7,Joshua Murray
8,Haley Olson
28,Andrew Churchill
81,Alexander Velberg
b,r,e,a,k
Deadweight,13
teamInfo,,"Hartford, Connecticut",,,
0,Barb Banz
0,Ben Chaimberg
0,Bobby Elston
0,Bryan Bausinger
0,Abigail Baer
0,Carl Lasker
0,Christopher Cox
0,Colin Dunn
0,Ellie Mamantov
0,Ellie Jose
0,Jonathan Figueroa
0,Nadya Ponthempilly
0,Paul Ready
0,Kayla Olson
0,Savannah Kandigian
7,Ricky Lewandowski
15,Caroline Eldridge
18,Caitlyn Hauswirth
28,Katherine Overstrum
32,Zach Grappone
52,Ryan Strobel
69,Alouette Batteau
69,Kenny Harvey
b,r,e,a,k
Harfang ultimate,12
teamInfo,,"Saint-Jean-sur-Richelieu, Quebec CA",,https://www.facebook.com/search/top?q=harfang%20ultimate,
03,Delphine Potvin-Cormier
04,Mollie Fillion
11,Alexandre Dubois
17,Samuel  Nadeau
18,Estofano Carries-Candelier
19,Marianne Sullivan
20,Louis-Philippe Crepeau
21,Sébastien Lavigne
27,Maxime Roy
31,Alexandre Marion
34,Daphné  Lacroix
44,Julien Poitras Plante
55,Jeremy Tremblay Remillard
75,Philip Corriveau-Pelletier
85,Maxence Duchesne
88,Sammy Grenier
94,Alexandra Couturier
96,Mathilde Campbell
b,r,e,a,k
Moontower,17
teamInfo,,"Austin, Texas",https://www.instagram.com/moontowerultimate/,https://www.facebook.com/moontowerultimate/,https://twitter.com/moontowerulti
0,Catherine Romanova
0,Christine Wilson
0,Cici Zhang
0,Daniel Murray
0,Jake Lasley
0,Jason Peacher-Ton
0,Kate Weidmann
0,Laura Brannan
0,Lia Wickham
0,Mike French
0,Oliver Feder
0,Patrick  Beckett 
0,Peter Lin
0,Sarah Piersall
1,Michael Ovassapian
3,Jenna Paterson
3,Jacob Pfeifer
7,Joey Wickham
9,Marshall Payne
28,Andrew Gruninger
42,Amber Laurel
81,Mackenzie Bailey
b,r,e,a,k
Replay,20
teamInfo,,"Boston, Massachusetts",,,
0,Deanna DeLuca
0,Dustin Thai
0,Erik March
0,Ethan Chen
0,Andrew Ho
0,Angelina Heyler
0,Julian  Boscoo
0,Kayl Murdough
0,Lizzie Kistler
0,Michael Richards
0,Rose Dennis
0,Sean Degrace
0,Sofia Ricciardi
2,Alexander Garrity
3,Victoria Zhang
4,Ethan Beattie
5,Julieta Martinez
5,Micah Rothkopf
12,Henry Loftus
15,Samuel Nitkin
18,Yi Yang
33,Rossi Wang
73,Sarah Lamoureux
77,Shayna Wagner
79,Brooke Medley
b,r,e,a,k
Eat Lightning,16
teamInfo,,"Brooklyn, New York",,https://www.facebook.com/EatLightningNYC,https://twitter.com/LightningEat
0,Amy Shmoys
0,Ashley Wong
0,Ben Pakter
0,Benjamin Tannenwald
0,Cara Brown
0,Celeste Royo
0,Christina Chin
0,Eliana Simon
0,Han Zhang
0,Howard Yuan
0,Jack Wilson
0,Jeffrey Wang
0,Jessica Hanlon
0,Katrina Krasnansky
0,Masayuki Nagase
0,Rachel Goldstein
0,Samuel Carlson
0,Stephen Schaffenberger
0,Joshua Arocho
1,Heather Song
7,Katherine England
7,Zach Bark
11,Emma March
17,Alizah Barker
22,Jordan Chow
69,Eli Presberg
b,r,e,a,k
s,t,a,g,e,s
pools,Elite Pool Play
pool,Pool A
XIST,Funk,13,4,"07/15/2023, 09:00",Pool A,Final
Darkwing,Grand Army,10,9,"07/15/2023, 09:00",Pool A,Final
XIST,Darkwing,10,8,"07/15/2023, 10:30",Pool A,Final
Pittsburgh Port Authority,Grand Army,11,10,"07/15/2023, 10:30",Pool A,Final
Grand Army,Funk,0,0,"07/15/2023, 12:00",Pool A,Scheduled
Pittsburgh Port Authority,Darkwing,13,12,"07/15/2023, 12:00",Pool A,Final
XIST,Grand Army,13,1,"07/15/2023, 13:30",Pool A,Final
Pittsburgh Port Authority,Funk,0,0,"07/15/2023, 13:30",Pool A,Scheduled
XIST,Pittsburgh Port Authority,0,0,"07/15/2023, 15:00",Pool A,Scheduled
Darkwing,Funk,0,0,"07/15/2023, 15:00",Pool A,Scheduled
pool,Pool B
Slow,Heat Wave,13,3,"07/15/2023, 09:00",Pool B,Final
League of Shadows,Wild Card,7,10,"07/15/2023, 09:00",Pool B,Final
Slow,League of Shadows,13,5,"07/15/2023, 10:30",Pool B,Final
Greater Baltimore Anthem,Wild Card,9,11,"07/15/2023, 10:30",Pool B,Final
Wild Card,Heat Wave,9,8,"07/15/2023, 12:00",Pool B,Final
Greater Baltimore Anthem,League of Shadows,10,5,"07/15/2023, 12:00",Pool B,Final
Slow,Wild Card,13,4,"07/15/2023, 13:30",Pool B,Final
Greater Baltimore Anthem,Heat Wave,10,9,"07/15/2023, 13:30",Pool B,Final
Slow,Greater Baltimore Anthem,0,0,"07/15/2023, 15:00",Pool B,Scheduled
League of Shadows,Heat Wave,0,0,"07/15/2023, 15:00",Pool B,Scheduled
b,r,e,a,k
pools,classic pool play
pool,Pool C
Lampshade,Obscure,12,13,"07/15/2023, 09:00",Pool C,Final
Townies,Lobrid,13,7,"07/15/2023, 09:00",Pool C,Final
Townies,Obscure,13,8,"07/15/2023, 10:30",Pool C,Final
Lobrid,Starfire,9,11,"07/15/2023, 10:30",Pool C,Final
Townies,Lampshade,11,8,"07/15/2023, 12:00",Pool C,Final
Obscure,Starfire,13,5,"07/15/2023, 12:00",Pool C,Final
Obscure,Lobrid,15,5,"07/15/2023, 13:30",Pool C,Final
Lampshade,Starfire,12,7,"07/15/2023, 13:30",Pool C,Scheduled
Townies,Starfire,0,0,"07/15/2023, 15:00",Pool C,Scheduled
Lampshade,Lobrid,11,9,"07/15/2023, 15:00",Pool C,Scheduled
pool,Pool D
Deadweight,Eat Lightning,13,1,"07/15/2023, 09:00",Pool D,Final
Harfang ultimate,Moontower,13,11,"07/15/2023, 09:00",Pool D,Scheduled
Harfang ultimate,Eat Lightning,13,5,"07/15/2023, 10:30",Pool D,Final
Moontower,Replay,11,2,"07/15/2023, 10:30",Pool D,Scheduled
Harfang ultimate,Deadweight,5,13,"07/15/2023, 12:00",Pool D,Final
Eat Lightning,Replay,8,7,"07/15/2023, 12:00",Pool D,Scheduled
Eat Lightning,Moontower,6,11,"07/15/2023, 13:30",Pool D,Scheduled
Deadweight,Replay,0,0,"07/15/2023, 13:30",Pool D,Scheduled
Harfang ultimate,Replay,0,0,"07/15/2023, 15:00",Pool D,Scheduled
Deadweight,Moontower,11,7,"07/15/2023, 15:00",Pool D,Scheduled
b,r,e,a,k
brackets,Elite 1st place bracket
bracket,1st place
bracket,3rd place
b,r,e,a,k
brackets,Classic 1st Place
bracket,1st place
bracket,3rd place
b,r,e,a,k
brackets,classic 5th
bracket,5th place
bracket,7th place
bracket,9th Place
b,r,e,a,k
brackets,elite 5th
bracket,5th place
bracket,7th place
bracket,9th Place
b,r,e,a,k
