Midwest Throwdown 2023,College - Men ,4,3,2023
Columbia,MO,2023-03-04,2023-03-05
https://play.usaultimate.org/events/Midwest-Throwdown-2023/schedule/Men/CollegeMen/
Missouri,4
0,Alex Leary
0,Alexander Bernier
0,Alon Barzilay
0,Brian Jorgensen
0,Christian Marble
0,Christopher Ave
0,Cooper George-Lander
0,Eric Holtmeyer
0,Evan Dobson
0,Jamison Martin
0,John Marsh
0,Lukas Reinbold
0,Matt Guzman
0,Matthew Kaminsky
0,Michael Rashford
0,Quentin  Corpuel
0,Sam Mallet
0,Thomas Jamison
3,Drew Clutes
5,Landon Evans
6,Zachary Sweeney
11,Ashton Kautzner
12,Spencer Keith
27,Evan Schreiner
37,Nathan Sneller
69,Mario Tran
85,Hunter Latson
88,Christian Holzl
98,Richard Adams 
b,r,e,a,k
Truman State,20
0,Blake Anderson
0,Clayton Komar
0,Diego Butron
0,Evan Caito
0,Jehoshua Casey
0,Liam Bogue
0,Michael Lakey
0,Noah Faulkner
0,Seth Jarvis
0,Tegan Haer
0,Yutaro Hara
1,Levon Muradyan
2,Stuart Whitmer
14,Riley Scott
18,Jeffrey Laubscher
19,Benjamin Willoughby
20,Samuel Willoughby
22,Hunter Madison
50,John Dames
70,Ryan Freese
b,r,e,a,k
Luther,21
0,Benjamin Hughes
0,Carter Thompson
0,Darren Kremer
0,Evan Poeschel
0,Jacob Vandermoss
0,Jacob Wenger
0,Joshua Hartl
0,Lars Marquardt 
0,Liam Edberg
0,Malachi Mcelroy
0,Mark McCollor
0,peter McBride
0,Sam Liska
0,Simon McDonald
0,Solomon Thompson
7,Griffin Glassel
13,Benjamin Tuckman
16,Blair Koontz
17,Claire Larson
24,Samuel Nelson
27,Isaac Habben
55,Christian Johnson
76,Jackson Meehan
b,r,e,a,k
Grinnell (B),32
0,Krishna Nayar
0,Sam Emison
04,Tristan Davis
14,Nick Wilkerson
16,Carter Ottele
18,Ryan Lewis
21,Jeronimo Camargo Ochoa
23,Takeru Katayama
25,David Rhoades
37,Conrad Dahm
55,Benjamin Albrecht
75,Shuta Shibue
85,Colby Jaros
97,Jacob Heinrich
b,r,e,a,k
Indiana,5
0,Achyuta Murli
0,Aidan Ball
0,Chris Azar
0,Collin Rassel
0,Conner Blalack
0,Dylan Herman
0,Ethan Meyers
0,Jack Galle
0,Jacob Moore
0,JaJuan Sanders
0,John Tyndall
0,Jonathan Gerth
0,Nathaniel Wells
0,Rafael Gomez
0,Robert Erickson
0,Rowland Sorrick
0,Will Quigley
4,Dylan Herthoge
4,Cameron Thatcher
6,Andrew Vetne
11,David Woods
12,Jonathon Mangan
13,Gage Koon
14,Stephen Conner Henderson
18,AJ  Humbert
21,Jeremy Keusch 
25,George Peterson
69,Liam Mulligan
b,r,e,a,k
DePaul,19
6,Lachlan Bond
02,Carter Altruda
03,Peter Stergios
03,Tate Newby
04,Peter Thompson
05,Elias Smith
07,Daniel Finney
09,Carlos Avila
10,Ian MacKimm
11,Quinn Williams
12,Galen Sienicki
15,Jaden Simpson
16,Turner Pahl
17,Alexander  Espinosa 
22,Chuck Rogers
25,Benjamin Davis
32,Junior Zambrano
35,Nate Burleyson
37,Tim Tran
