2023 North Central Men's Regional Championship,Club - Men ,30,9,2023
Des Moines,IA,2023-09-30,2023-10-01
https://play.usaultimate.org/events/2023-North-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
STL Lounar,1
teamInfo,,"St. Louis, Missouri",,https://www.facebook.com/STL-Lounar-109283871717037,
coaches,Joseph Barzilai
00,Ben Clark
00,Benjamin Reimler
00,Cameron Freeman
00,Drew Law
00,Landon Evans
00,Ryan Hays
02,Ray Mauntel
08,Joel Brown
09,Nicholas Jeschke
10,Matthew Niemer
13,Ian McNamara
18,Cody Curran
19,Joshua Gabella
20,John Marsh
21,Jaime Befeler
22,Alex McClure
24,William (Will) Imming
24,Seth Fisher-Olvera
25,Unmil Patel
28,Elie Weitzman
29,Mason Zetsch
33,Wesley Groth
44,Bryan Dunbar
77,Lincoln Grench
88,Evan Dobson
98,Drake Hill
b,r,e,a,k
STL Moonar,13
teamInfo,,"St. Louis, Missouri",,,
00,Benjamin Lamport
00,Brandon Skoba
00,Evan Schreiner
00,Geoffrey Cheng
00,Jacob Geisen
00,John Markiewicz
00,JP Torack
00,Adam Sherberg
00,Kyle Johnson
00,Michael Lahmeyer
00,Payton Jaggie
00,Sam Papin
00,Sena Murray
00,Steven James Richardson
00,Tom Dupor
00,Wesley Fransen
01,Nathan Kamp
02,Kelly Mauntel
22,Aidan Byrne
81,Zachary Szatkowski
b,r,e,a,k
Knights of Ni,8
teamInfo,,"Golden Valley, Minnesota",,,https://twitter.com/ulti_ni
0,Alex Kraft
0,Alex Kozitza
0,Ashton Robinson
0,Brian LaFrance
0,Cade Ashland
0,Erik Quam
0,Griffin Geving
0,Holden Fahnhorst
0,Jack Dupee
0,Lucas Kempf
0,Matthew Racky
0,Max Wolpert
0,Michael Ruble
0,Patrick La Course
6,Grayson Pangburn
7,Danny Gollin
9,Joe Simonelli
11,Justin Wollin
24,Brendan Gessner
25,Mitchell Allen
26,Sam Resnick
28,Greg Cepuran
41,Samuel Bumsted
44,Ethan Ode
52,Max Lang
74,Jakob Yedo
b,r,e,a,k
Nomads,12
teamInfo,,"Sioux Falls, South Dakota",,,
0,Blake Hagberg
0,Brayden Johnson
0,Cameron Carney
0,CODY PEARSON
0,Connor Hodkinson
0,Cullen Belisle
0,Anthony Lesnar
0,Ethan Mikkelson
0,Ira (Field) Mitchell VI
0,Jacob Whempner
0,Kyle Murphy
0,Michael Schwaderer
0,Nolan Lee
0,Owen Schweitzer
0,Reese Johnson
0,Samuel Whempner
0,Seth Harris
0,Tye Klinnert
6,Daniel Cabrera
11,Austin Bright
13,Daniel Stork
20,Carter Whalen
24,Gavan Flammang
25,Kyle Orians
84,Aaron Bauer
99,Grant Dunbar
b,r,e,a,k
Kansas City Smokestack,7
teamInfo,,"Kansas City, Missouri",http://smokestackultimate.weebly.com/,https://www.facebook.com/smokestackultimate,https://www.twitter.com/kc_smokestack
0,Everett Arruda
01,Cory Green
03,Andrew Pottinger
06,John Aucar
07,Zachery Mahler
08,Andre Coates
11,Tim Robbins
12,Luca Van der Meer
13,Colin Iglehart
15,Mark Stedem
19,Branden Schneider
20,Jared McKay
22,Cameron Hunter
23,Brock Hicks
26,Luke Grieger
