2023 South Central Men's Regional Championship,Club - Men ,23,9,2023
Round Rock,TX,2023-09-23,2023-09-24
https://play.usaultimate.org/events/2023-South-Central-Mens-Regional-Championship/schedule/Men/Club-Men/
Johnny Bravo,1
teamInfo,,"Colorado, Colorado",http://bravoultimate.org/,https://www.facebook.com/Johnny-Bravo-Ultimate-111884215492137/,https://twitter.com/BravoUltimate
coaches,Joseph Durst,Michael Lun,Tim Kefalas
0,Alex Atkins
01,Zeke Thoreson
02,Jay Froude
03,Jackson Cochran
04,Felix Pronove
06,Erik Hotaling
07,Jonathan Nethercutt
09,Atkin Arnstein
10,Calvin Stoughton
11,Seth Faris
12,Justin Abel
13,Saeed Semrin
15,Dennison Bechis
20,Dexter Luecke
23,Connor Olson
24,Mathieu Agee
25,Conor Tabor
31,Kai Marshall
34,Cody Spicer
35,Todd Wolma
47,Seth Wells
59,Noah Coolman
75,Matt Jackson
81,Nathan Buchholz
88,Quinn Finer
b,r,e,a,k
H.I.P,5
teamInfo,,"Texas City, Texas",,,https://twitter.com/hip_flatball/
0,Brendan Adams
0,Cameron Albin
0,Carlos Vargas
0,Casey LeMay
0,Cody Holloway
0,Daniel Winter
0,Hayden Stone
0,Jake Floyd
0,Kolby Janzen
0,Matthew Bierschenk
0,John (Jack) Dowling
0,Patrick Marco
1,Jason Holleran
2,Matthew Bennett
7,Jordan Taylor
9,Peter Clarke
12,Connor Ughetta
16,Chris Brooks
18,Kevin Land
21,Mitchell Bennett
25,Carson Wilder
27,Jake Reinhardt
27,Brandon Dial
30,Mick Walter
44,Greg Muth
69,Evan Parizot
b,r,e,a,k
Brawl,6
teamInfo,,"Dallas, Texas",,,@dallasbrawl
00,Eian Brent
01,Eric VerPloeg
04,Oakley Armstrong
05,Nand Patel
07,Samuel Garza
08,Mason Kelley
10,Willy Goal
11,Matthew Sutton
12,Andrew Dorf
16,Aaron Smith
19,Marshall Mao
22,Scott Zachary
23,Kevin Bowman
25,Alvaro Guzman
27,Dylan Patton
28,Jeremy Wilson
31,Thomas Trompeter
32,Jordan Penn-White
35,Ryan Buckingham
42,Watson Anderson
48,Christian Parker
77,Benjamin Rogers
87,David Hammer
89,Jack Wooldridge
98,Tanner Roberts
99,Benjamin Price
b,r,e,a,k
Doublewide,2
teamInfo,,"Austin, Texas",https://wellnasty.com/,https://www.facebook.com/DoublewideTX/,https://twitter.com/doublewidetx
0,Saaketh Palchuru
01,Kolbe Bauer
02,Kaplan Maurer
04,Evan Swiatek
05,Emmanuel Bilolo
08,Robert Coffin
09,Jason Hustad
10,Alec Wilson Holliday
11,Reese Bowman
12,Noah Chambers
14,Mark Evans
18,Elliott Moore
19,Kevin Richardson
20,Chase Cunningham
21,Xavier Fuzat
27,Jacob Sames
28,Jackson Potts
33,Jacob Radack
34,Zachary Slayton
41,Oliver Fay
43,Joseph Wylie
50,Matthew Armour
69,Christopher Cassella
73,Gavin Babbitt
88,Duncan Fitzgerald
99,Sam Murphy
b,r,e,a,k
BARNSTORM,8
teamInfo,,"Oklahoma City, Oklahoma",,,
0,alex santai
0,Caleb Lance
0,Chris Dellenbaugh
0,Eric Eitrheim
0,Garrett Taylor
0,Geoffrey Henry
0,Jake Nielesen
0,Jimmy Ewald
0,John Liaz
0,Craig Batchelder
0,Daniel Griffin
0,Joshua Gill
0,Logan Hammersmith
0,Matthew Smith
0,milton adina
0,Nathan Hunt
0,Ryan  Loui-Ying
0,Samuel Roberts
0,Zachary Johnson
2,JT Stancil
13,Joseph Fortunato
17,logan krehbiel
21,Andrew Davis
23,Clark Reimer
60,Emmanuel Kameri
99,Christopher Bluth
b,r,e,a,k
ISO Atmo,4
teamInfo,,"Boulder, Colorado",,,
0,Cameron Beaton
0,Christopher Ward
0,Jacob Marsh
0,Ryan Allenson
0,Shane Eckert
0,Theodore Carr
0,Tommy Harris
0,Zacary Parkhill
1,Sam Sincere
5,Addison Hanson
7,Anthony Rice
9,Preston Goulson
11,Jordan  Huntoon 
11,Caleb Bevers
13,Brett Prill
13,Noah Pollack
14,Kyle Rogers
21,Christopher Baines
21,Sarang Mittal
25,Chris Fox
25,Ryan Courtney
42,Tyler Carr
53,Jerry Swider
64,Eric Gillwald
69,Samuel Williams
99,Samuel Freedman
b,r,e,a,k
Fungi,3
teamInfo,,"Denver, Colorado",,https://www.facebook.com/fungiUltimate,
coaches,Daniel Wickens
0,christian saralegui
0,Fabian Galván
0,Flynn Nyman
0,Greg Olson
0,James Miller
0,Joseph Patterson
0,Joshua Morris
0,Max Van Sickle
0,Morgan Scott
0,Oliver Cunningham
0,Omar  Semrin
0,Patrick Ellsworth
0,Rory Lenny
0,Sam Ruiz Harding
0,Shaan Narayan
0,Spencer Hawkins
0,Stiveen Gualdron
0,Jonathon Morris
2,Rodrigo  Gould Rodriguez
3,John Miller
11,Colton Steiner
13,Theodore Watkins
15,Abe Gambert
33,Adam Federbusch
36,Bryan Downey
85,Jorge Delgado
b,r,e,a,k
Alamode,7
teamInfo,,"San Antonio, Texas",,,
0,Enrique Trejo
0,Connor Ross
1,Skye Knight
2,Justin Shelby
7,Gavin Hart
9,Kevin McGloin
10,Chase Stegall
13,George Tharakan
14,Brody Johnson
16,Jake Johnson
21,Stuart Hanson
23,Jordan Salazar
27,Keith Register
27,Tat Whitley
28,Axel Anderson
32,Zain Asher
33,Corey Mika
34,Blake Marlowe
