Bring The Huckus,College - Men ,25,2,2023
Vineland,NJ,2023-02-25,2023-02-26
https://play.usaultimate.org/events/Bring-The-Huckus1/schedule/Men/CollegeMen/
Rochester,2
teamInfo,Piggies,"Rochester, New York",,https://www.facebook.com/RochesterUltimate,https://twitter.com/piggiesultimate
0,Benjamin Goldstein
0,Benjamin Perry
0,Benjamin Kelley
0,Caiden Larsen
0,Cameron Lowe
0,Christopher Piatek
0,Daniel Kesler
0,Adam Cummings
0,Alex Lammers
0,Allen Wu
0,Dylan McKellips
0,Ezra Tock
0,Garrett Maslyar
0,Avi Skolnick
0,Ben Kamenetsky
0,Jack Rollman
0,Leo Sciortino
0,Luciano Rienecker
0,Miles Frank
0,Mitch Whisner
0,Ness Patti
0,Steven Wang
0,Sumedh Anantha Krishna 
0,Teddy Schwartz
0,Theodore Taylor
0,Ryan Hilton
0,Tyler Liao
6,Raffael Venterea
6,Anthony LaBarca
7,Ian Clingerman
9,Avery Girsky
11,Anthony Alvarez Silva
17,Sameer Jain
22,Joel Escobar
23,Ruben Mendoza
29,Jacob Trokel
32,Timothy Loftus
37,Ben Wyatt
42,Isaac Degenholtz
42,David Leder
43,Noah Bryan
50,Jack Ringel
55,Victor  Chang
b,r,e,a,k
Connecticut College,4
teamInfo,Dasein,"New London, Connecticut",https://www.instagram.com/conncollulti/,https://www.facebook.com/ConnCollUltimate/,https://twitter.com/DaseinUltimate
0,Bowen Supple
0,Calvin Perryman
0,Fabio Solorzano Quesada
0,Gabe Crane
0,Henry Westgard
0,Joe LaMalfa
0,Kazi Stanton-Thomas
0,Leo Claney
0,Liam Kohler
0,Matthew Fajfer
0,Milo Lynch
0,Nathan Vanech
0,Owen Kadrofske
0,Ry DeanSlobod
0,Si Ross
0,Tyler Giorgio
0,Declan Hunter
1,Zachary Wheat
2,Kevin Scannell
5,Clark Strauss
13,Will Ferguson
16,Kevin Rissmiller 
20,Prosser Friedman
25,Austin Cheng
25,Evan Strouse
69,Ben Gelfond
b,r,e,a,k
Ithaca,1
teamInfo,Nawshus Ultimate,"Ithaca, New York",,,
04,Thomas Cronin
06,Noah Sandler
07,Aidan Berk
08,Nathaniel White
09,Evan Mandell
10,Elliot Mintz
11,Jamie Falkovich 
13,Chip Murphy
14,Benji Turansky
15,Ben McKelvey
17,Zebadiah Staples
22,Jaden Fitch
25,Jalen Bolton-Steiner
27,Noah Kamens
32,Luke Pohlman
35,Tim McCall
77,Cyrus Edlund-Farsad
97,Vincent  Masotti
b,r,e,a,k
SUNY Cortland,5
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
0,Brian Wise
0,Cal Mailer
0,Connor Vicchiariello
0,Devon Blackwood
0,Ethan Laderman
0,Matthew Bean
0,Michael Moran
0,Ryan Joyce-Turner
0,zachary jackson
2,Luke Barrett
9,Christopher Caneiro
10,Leonardo  Rodriguez 
11,Jack-Henry Whalen
12,Zachary Wexler
13,Damon Carroll
20,Anthony Thompson
23,Mark Weidman
25,Aidan Russo
31,Anthony Graff
48,Jonathan Cangelosi
75,Dominick Pilo
77,Maxwell Tolan
97,James Marino
b,r,e,a,k
SUNY-Albany,3
teamInfo,SCAM,"Albany, New York",https://www.instagram.com/ualbanyultimate/,,
4,Daniel Bishop
03,Aidan Mclaren
05,Mason Hotaling
06,Matthew O'Brien
08,Jefferson Huang
11,Jacob Buono
14,Luke Lohrfink
18,Cory Chin
19,jeremy Doornick
20,Spencer Li
21,William Vasoll Jr.
23,Griffin Ghiraldini
27,Kyle  Behrenfeld
31,Eric Riemer
33,Jonathan Kelly
34,Harry Rothstein
35,Rafi Cohen
36,Nick Motto
57,Sean White
69,Kazuma Lomanto
77,Michael Shannon
77,Winter Exley
88,Evan Gorthy
99,Chris Cooney
b,r,e,a,k
Massachusetts (B),9
teamInfo,Umass Amherst Developmental,"Amherst, Massachusetts",,,https://twitter.com/ZoodiscD
0,Cedar Noonan
0,Chris Coughlin
0,Daniil Koval
0,Hayden Bouley
0,Jacob LaRue
0,Jayden Amirault
0,John Riley
0,Jonathan Coombs
0,Matthew Crowe
0,Matthew Ayers
0,Michael Forozis
0,Nathan LaPointe
0,Nathan Shenoy
0,Patrick Como
0,Aaron Fandel
0,Timothy Corkery
0,Xiao Yang
3,Samuel Losen
4,William  Ullmann
6,Benjamin Weber
7,Ian McKenna
8,Tomo Liou
13,Trevor Spadafora
19,Ryan Lynch
20,Cameron Salvatore
21,Maxwell Schneider
b,r,e,a,k
Vermont (B),8
teamInfo,Chill Dev,"Burlington, Vermont",,https://www.facebook.com/Team.Chill.33/,https://twitter.com/team_chill?ref_src=twsrc%5Egoogle%7Ctwcamp%5Eserp%7Ctwgr%5Eauthor
0,Adrian Staples
0,Aris Kurtz-Papadopoulos
0,Asher Levy
0,Charlie Bolduan
0,Charlie Clark
0,Collin Brown
0,Dylan Bassett
0,Erik Arnold
0,Ethan Hood
0,Ethan Wolf
0,Linus Mehring
0,Matthew Gaetano
0,Max Schibel
0,Nathaniel Whitten
0,Nick Wendell
0,Peter Carlson-Belanger
0,Samson Hurwitz
0,Sean O'Neil
0,Tate Mullin
0,Tucker Johnsen
0,Vegas Rockafeller
0,Jake Fattore
0,James Tinker
4,Owen Hartford
7,Lance Lawida
24,Hessain Tamang
59,Zachary Wellins
b,r,e,a,k
Army,7
teamInfo,Army- West Point,"West Point, New York",,,
0,Alexander Meredith
0,Bennett Schmid
0,Daniel Gologorsky
0,David Sweeten
0,Dylan Overbey
0,Evan Lee
0,Keno Deary
0,Koen Dolezar
0,Sean Lai
06,Zachary Hall
10,Jack Dellinger
10,David Sang
11,Justin Yeung
14,Charles Wheaton
b,r,e,a,k
Penn State (B),6
teamInfo,LoveTap,"University Park, Pennsylvania",,,https://twitter.com/LovetapDisc
07,Spencer Whitcomb
09,Luke Vernon
10,Ryan Dowd
11,Brian Medrow
14,Sam Wherley
15,Jeremy Mack
22,Joseph Hennessy
24,Norman Holloway
28,Dylan Connor
40,Kevin Feng
43,Steven Remish
47,Spencer Milanek
48,Ethan Dunmire
52,Harsh Zaver
53,Jake Niessen
64,Jacob Thompson
86,Benjamin Zock
95,Josh Rechenberg
99,Gabe Vanderbrink
b,r,e,a,k
Swarthmore,10
teamInfo,Earthworms,"Swarthmore, Pennsylvania",,,https://twitter.com/WormsUltimate?s=20
0,Aaron Thammavongxay
0,Abdul Aziz Jeter
0,Adin Aberbach
0,Alex Wuttig
0,Alvin  Lugo
0,Anand Bissinger
0,Atesh Camurdan
0,Brandon Daniel-Morales
0,Caleb Scott-Joseph
0,Chaitanya Motwane
0,Charlie Salinas
0,Elan Nadelman
0,Elliott Hendricks
0,Ethan Sheppard
0,Grady Savage
0,Isaac Levenstein
0,Ivan Fransazov
0,Jasper Ferncrombie
0,Joe Austrian
0,Jonathan Lehr
0,Jude Hemmins
0,Kai Williams
0,Mateo Casalino
0,Maximo  Ellis
0,Michael Lu
0,Miles Fleisher
0,Nikhil Tignor
0,Rory Schmidt
0,Ryan Jin
0,Xi Teng Tay
b,r,e,a,k
Dickinson,15
teamInfo,Junkyard Turkeys,"Carlisle, Pennsylvania",,,https://twitter.com/jfturks
0,Drew Arteaga
0,Graham Bucci
0,Jack Kimbrell
0,Liam Riener
0,Luke Sulyma
0,Nickolas Bradbury
0,Peter Gaston
0,Zachary Baskin
2,Michael Johnson
3,Josh Musica
4,Gannon Ritter
12,David Rocamora
12,Charles  Zehner 
16,Aiden Kempf
20,Alec Dempster
20,Elio Baez-Estersohn
21,James Duthie
24,Oliver Iyer
25,Ian Shull
28,Caleb Loring
33,Coulson Hamblett
50,Warner Brockman
b,r,e,a,k
Rutgers (B),14
teamInfo,Mystery Machine,"Piscataway, New Jersey",,,
0,Alexander  Laudadio
0,Andrew Hu
0,Andrew Somers
0,Christopher Kim
0,Connor Lennan
0,Evan Ragone
0,Jack Friar
0,Jayadityan Sethuraman
0,Josh Kaus
0,Karthik Kanithi
0,Michael Supple
0,Nithish Warren
0,Nolan Carr
0,Robert Witkowski
13,William Chu
53,Michael Marvosa
69,Nathan Chon
b,r,e,a,k
Edinboro,11
teamInfo,Haggis,"Edinboro, Pennsylvania",,https://www.facebook.com/HaggisUltimate/,https://twitter.com/haggisultimate
0,Michael Hilinski
2,Derek Johnson
4,Austin Leisher
6,Katherine Swiech
7,Jordan Napierkowski
11,Reagan Hutton
12,Richard Armagost
14,Brian Derby
16,Kellen Smith
17,Virginia Jeffrey
18,Alex Plante
20,Adam Rhine
22,jacob Humenik
24,Joseph  Carreras
27,Jasmyn Murdie
28,Dalton Thomas
57,Alex Covelens
73,Alex Fairbanks
b,r,e,a,k
Lehigh (B),19
teamInfo,Lehigh-B,"Bethlehem, Pennsylvania",,,https://twitter.com/BehighUnited
0,Ethan Lesser
03,Andrew Jacobsen
11,Thomas Gibbins
18,Keith Cheung
27,Robert DiMartino
34,Matthew Weber
35,Asher Hamrick
38,Matthias Culbertson
42,Charles Tobin
48,Matthew Bergin
55,Henry Winter
98,Luca Cevaer-Corey
99,Christopher Reyes-Ramirez
b,r,e,a,k
Pennsylvania (B),18
teamInfo,Null,"Philadelphia, Pennsylvania",http://voidultimate.com/,,https://twitter.com/NullUltimate
0,Alex Baxter
0,Andrew Brose
0,Andrew Bishay
0,David Arroyo
0,Fabián Sanabria Seda
0,Henghak Kun
0,Irwin Deng
0,Jan ter Weele
0,Justin Robertson
0,Lorenzo Castaneda
0,Matthew Eichen
0,Max Gombiner
0,Mendel Socolovsky
0,Tyler Turek
0,Venkatesh Shenoy
0,Zach Wang
b,r,e,a,k
Haverford,16
teamInfo,Big Donkey Ultimate,"Haverford, Pennsylvania",,,https://twitter.com/donkeyultimate
0,Alec Wallach
