TCT Pro-Elite Challenge East 2023,Club - Mixed ,15,7,2023
Fredericksburg,VA,2023-07-15,2023-07-16
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-East-2023/schedule/Mixed/Club-Mixed
Hybrid,1
teamInfo,,"Ann Arbor, Michigan",,https://www.facebook.com/HybridUltimate/,https://twitter.com/HybridUltimate
02,Maketa Mattimore
03,Sara Nitz
04,Theo Shapinsky
05,Hayley Banas
08,Dan Donovan
10,Brittany Wright
11,Annalise Meilink
15,Calliope Cutchins
16,Riely Kuznicki
19,Amy Turner
21,Tracey Lo
22,Michael Dagher-Margosian
24,Charlotte Wilson
25,Chris Doehring
26,David Zoldan
33,James Hill
42,Nathan Champoux
45,Aiden Rudy
73,Maya Grumeretz
76,Adam Stautberg
77,Katrina McGuire
84,Cian Johnson
88,Mark Whitton
92,Tobey Chang
99,Ryan Radawiec
b,r,e,a,k
'Shine,10
teamInfo,,"Elmington Park, Tennessee",,https://www.facebook.com/nashvilleshineultimate,@nashvilleshine
0,Grace Castro
0,Grace Robinson
0,Jack (John) Spiva
0,Jesse Shofner
0,Katharine Gilbert
0,Margaret Quinn
0,Doug Richardson
0,Elena Rubino
0,Rachel Kramer
0,Rebecca Henley
0,Tori Taylor
0,Victor Pria
3,Matt Ractliffe
4,Meaghan  Creamer
7,Christopher Calhoun
12,Phillip Dougherty
14,Noel Holmes
17,Eli Motycka
17,Rachel Barr
24,Mia Letterie
25,Trip Adams
33,Jordan Hill
37,David Evans
74,Avi Ghitterman
82,Collin Dabbieri
93,Adam Carr
b,r,e,a,k
The Chad Larson Experience,7
teamInfo,,"Ames, Iowa",https://clx-ultimate.com,https://www.facebook.com/profile.php?id=100086386637873,https://twitter.com/clxbttp
0,Ethan Levine
02,Logan Grothus
03,Lisa Hansen
04,Cassidy Krawczak-Kummrow
07,Grant Maynard
08,Joseph Kosterman
09,Charlie Hubbard
10,David Dalton
11,Jacob Badger
13,Danica Porter
14,Cole Davis
17,Emily Wilson
19,Ben Joerger
20,Rebecca Crown
21,Marissa McFadden
22,Nick Culver
23,Sydney Mier
29,Adam Levine
30,Isaiah  Moore
33,Kelli Bormann
35,Caleb Lundeen
40,Taylor Hanson
44,Anna Lane
77,Kayla Anderson
99,Ellie Stone
b,r,e,a,k
Revival,16
