2023 USA Ultimate Masters Championships,Great Grand Masters - Men ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Men/great-grand-masters-men/
Surly GGM,1
teamInfo,,"Minneapolis, Minnesota",https://www.surlyultimate.org/,,
0,Seth Grossinger
00,Trent Troyer
00,Britt Atack
00,Daniel Terlouw
00,David Remucal
00,David Boardman
00,Eric Enge
00,Nicholas Rahn
00,Pericles Nacionales
00,Richard (Ricky) Eikstadt
06,Andrew Rutledge
07,Paul Anderson
08,Joe Cesario
10,Don Tom
11,Mark Enright
13,Jeremy Alden
16,David Steglich
17,Tom Kremer
19,Sean McCall
34,John Hock
36,Russ Adams
76,Mike Helmecki
b,r,e,a,k
Burnside Five-0,10
teamInfo,,"Portland, Oregon",,,
00,Aaron Jiricek
00,Geoff Wittreich
00,Hayden Harker
00,Peter Armstrong
00,Randy Petroski
00,Sean Cushing
00,Steve Kelly
01,"Darrin ""Bly"" Byle"
07,Tom Handel
19,Christopher Kroenke
21,Tai Wu
24,Dan Anderson
27,Pepper Williams
28,Patrick Vennebush
32,Robert Ransdell
41,Kenneth Ludwa
42,Jeff Skoke
50,Andrew Buermeyer
88,Patrick Callahan
99,Joe (Jerome) Millon
b,r,e,a,k
Gritty,7
teamInfo,,"Philadelphia, Pennsylvania",,,
00,Edward Avery
00,Matt Weiss
00,Tom Wang
00,William Maroon
00,Woo Jin Ho
07,Andrew Packel
12,TOM BOHMAN
13,Matthew Kye
15,Adam Zagoria
17,Linwood Lewis
19,DAVID SKURNICK
22,Keith Hartington
26,Jeremy Singer
29,Brad Moser
34,DREW MANALO-LAMANNA
50,William Dristy
66,Kao Wang
b,r,e,a,k
AGE Against the Machine GGM,16
teamInfo,,"Cincinanti, Ohio",https://www.facebook.com/AgeAgainstTheMachineUltimate/,https://www.facebook.com/AgeAgainstTheMachineUltimate/,https://twitter.com/Age_Ultimate/
0,Christopher Grill
0,Dave Mancino
0,David Wu
0,Ken Hughes
0,Mike Dichiaro
0,George White
0,Ian Stevens
0,Robert (Bob) Scheadler
0,Shawn Newman
0,Tom Leone
0,Tom Dichiaro
7,William Cilley
14,Jon Allis
20,David Fry
43,Nick DiNardo
48,Patrick Barrow
52,David Arters
85,Curtis Weeks
86,William DaRosa
88,Tom Phillips
b,r,e,a,k
Immortals,2
teamInfo,,"Salt Lake City, Utah",,,
6,Kevin Monohan
00,Kib Dacklin
00,Louis Burruss
00,Mark McGhee
00,Mark Gross
00,MARK STONE
00,Matthew Krei
00,Michael Knapp
00,Michael Moren
00,Paul De Morgan
00,Paul Schiess
00,Scott Runkel
00,Sean Graff
00,Steve Thoennes
00,Tim Laverty
00,Aaron Coleman
00,Alexander (AC) Cross
00,Arnold Sanchez
00,Brian Linkfield
00,Casey Sullivan
00,Charles Greaves
00,Colby James Smith
00,Eric Bedard
00,ERIC ROGERS
00,Heath Mackay
00,Herb Kaup
00,Jim Nolte
b,r,e,a,k
Silverhorn,8
teamInfo,,"Boulder, Colorado",,,
03,Dave Rosenthal
05,Philip Polzer
07,John Hardt
08,Greg Berbaum
09,Chris Fontes
10,Jeremy Friedman
11,Justin Childs
15,Jayson Ayers
16,Eric Hutton
17,Mark Piper
19,Dean Marrone
20,John Spencer
21,David Gochis
22,Patrick Alexander
31,Drew O'Connor
37,Louis Bair
40,Michael Galloy
44,Aaron Ketchum
50,Joseph Feinstein
54,Andrew Jones
58,Kenneth Lambert
66,Jamal Yusof
69,Marc Anievas
71,Kevin Reardon
77,Travis Frazier
88,Ken Snyder
99,Jerald Keister
b,r,e,a,k
Shelf Life,15
teamInfo,,"King George, Virginia",,,
0,Brian Barney
0,Barney Krucoff
00,Brian Lee
00,Andreas Kahle
00,Andrew Brewer
00,Anthony Drake
00,Daniel Kahn
00,Derek Stordahl
00,H. Edward Midden
00,Henry Ferland
00,Jack Cooksey
00,Joe Kaperick
00,John O'Neill
00,John Lawther
00,Larry Hinkle
00,Mark Simons
00,Michael Sewell
00,Michael Glowczynski
00,Nickolas Hight
