Metro East D-III College Men's Regionals,College - Men ,29,4,2023
Saratoga Springs,NY,2023-04-29,2023-04-30
https://play.usaultimate.org/events/Metro-East-D-III-College-Mens-Regionals-2023/schedule/Men/CollegeMen/
Connecticut College,1
teamInfo,Dasein,"New London, Connecticut",https://www.instagram.com/conncollulti/,https://www.facebook.com/ConnCollUltimate/,https://twitter.com/DaseinUltimate
0,Bowen Supple
0,Cade Fogdall
0,Calvin Perryman
0,Declan Hunter
0,Fabio Solorzano Quesada
0,Gabe Crane
0,Henry Westgard
0,Joe LaMalfa
0,Kazi Stanton-Thomas
0,Leo Claney
0,Liam Kohler
0,Milo Lynch
0,Nathan Vanech
0,Owen Kadrofske
0,Ry DeanSlobod
0,Si Ross
0,Tyler Giorgio
1,Zachary Wheat
2,Kevin Scannell
5,Clark Strauss
13,Will Ferguson
16,Kevin Rissmiller 
20,Prosser Friedman
25,Evan Strouse
25,Austin Cheng
69,Ben Gelfond
b,r,e,a,k
Skidmore,8
teamInfo,Wombats,"Saratoga Springs, New York",,,
0,Ciaran Healey
0,Douglas Flam
0,Ezra Shamy
0,Jonah Levy
0,Jonah LeCompte
0,Nico Markham
0,Theo Taylor
3,Hunter Wasser
5,Rohan Vakil
18,Vilnis Puris
19,Liam Shemesh
22,Owen Kumasaka
31,Parker Stern
35,Billy Lee
47,Cam Angwin
b,r,e,a,k
Colgate,12
teamInfo,Jabberwock,"Hamilton, New York",,https://www.facebook.com/Jabbervibe,https://twitter.com/jabberwockult
1,Max Kiefer
2,Sam Kresch
3,Jack Forstadt
4,Eric Barber
5,John Maher
6,Danny Molyneux 
7,Jack McGrath
10,Henry Burdorf
11,Andrew Lass
17,Cameron Swaney
19,Sawyer Fisher
20,Ryan Ewanow
21,Nathan Kwon
22,Ian Wehrly
28,Sam Markowitz
29,Charlie Mehos
30,Sid Wadhera
36,Sam Rowland
39,Connor Deagle
43,Samuel Witonsky
69,Mason Woodman
82,Drew Hindall
87,Jackson Kustell
b,r,e,a,k
New York Tech,13
teamInfo,Tech Ultimate Frisbee,"Old Westbury, New York",,,
0,Addison Li
02,T'ron Strapp
03,Aiden Dauz
04,Benjamin Alexander
06,D'ron Strapp
07,Luis Carrasco
08,Andy Chen
09,Atreyi Bhatt
10,Andrew Lee
13,Katie Chen
14,Christina Gagliano
15,Abby Lee
17,Zainab Yusaf
22,Faris Ahmad
24,Yousha Raiyan
27,Antonio Ticas
28,John Anthony Ribando
41,Nicholas Andersen
69,Andrew Choi
b,r,e,a,k
College of New Jersey,2
teamInfo,Revolution,"Ewing, New Jersey",http://www.tcnj.edu/~frisbee/revolution/index.php,,https://twitter.com/TCNJ_Revolution
0,Casey Conti
0,Christian Alino
0,Christian Cota
0,Christopher Bonadio-Cappiello
0,Dominick Brown
0,Evan Sapirman 
0,Francis Aldridge
0,Jack Gonzalez 
0,Philip Aufiero
0,Raymond Wright
0,Shea Keenan
2,Tyler Hallowell
4,John Supple
8,James Fencik
10,Matt Demareski
13,Marco Guadagno
14,Joshua Simpson
19,Alex  Dreyer
22,Brian Nigro
27,Cormac Riley
31,Nathanael Moore
33,Elliott Nguyen
36,Macy Desmond
61,Ryan Boyle
88,Jake Garza
b,r,e,a,k
Ithaca,7
teamInfo,Nawshus Ultimate,"Ithaca, New York",,,
04,Thomas Cronin
06,Noah Sandler
07,Aidan Berk
08,Nathaniel White
09,Evan Mandell
10,Elliot Mintz
11,Jamie Falkovich 
13,Chip Murphy
14,Benji Turansky
15,Ben McKelvey
17,Zebadiah Staples
20,Jack Butler
22,Jaden Fitch
24,Joshua Krizar
25,Jalen Bolton-Steiner
27,Noah Kamens
32,Luke Pohlman
35,Tim McCall
55,Jonathan Vaile
77,Cyrus Edlund-Farsad
97,Vincent  Masotti
b,r,e,a,k
Rensselaer Polytech,11
teamInfo,Trudge,"Troy, New York",http://frisbee.union.rpi.edu/,https://www.facebook.com/pages/RPI-Trudge-Ultimate/150465975037160,https://twitter.com/rpitrudge
0,Andrew Walek
1,Matteo Rathgeber
2,Chang Liu
3,Bryce Markel
6,Somber Xie
8,James Leibring
12,William McPherson
13,Antoine Mathieu
14,Benjamin Driscoll
15,Evan Maseto
16,Aaron Hamilton
17,Aaron Gilbert
18,Daniel Krupp
22,William Curtiss
25,Celina Ohiwa
27,Reilly Prendergast
28,Jack Gest
32,CJ Tien
41,En Le Samborski
42,Cole Speare
43,Joseph Casente
47,Audrey Kling
88,Andrew Gervia
95,Charlie Heffernan
99,Orestis Narliotis
b,r,e,a,k
New Haven,14
teamInfo,Chargers,"West Haven, Connecticut",,,
coaches,Ian Soderlund
0,Alexandra  Padilla
0,Benjamin George
0,Courtney Kollar
0,James Scholly
0,Jared Gabriele
0,Joe Gonnelli
0,Kayla Schuler 
0,Krischan Johnson
0,LaMar Anderson
0,Luke Swenson
0,Matthew Bodkin
0,Matthew Swaggerty
0,Maverick Melchiore
0,Richard Bessel
0,Robert Zeller
0,Sarah Jackman
0,Tim Fraedrich
0,Troy Hoffmann
0,Tyler Fitzgerald
0,Zachary Shaner
24,Andrew Mahr
26,Joshua Kennedy
27,Brooke Pagano
b,r,e,a,k
Rochester,3
teamInfo,Piggies,"Rochester, New York",,https://www.facebook.com/RochesterUltimate,https://twitter.com/piggiesultimate
0,Benjamin Goldstein
0,Benjamin Perry
0,Benjamin Kelley
0,Caiden Larsen
0,Cameron Lowe
0,Christopher Piatek
0,Daniel Kesler
0,Adam Cummings
0,Alex Lammers
0,Allen Wu
0,Avi Skolnick
0,Ben Kamenetsky
0,Ezra Tock
0,Garrett Maslyar
0,Leo Sciortino
0,Luciano Rienecker
0,Miles Frank
0,Mitch Whisner
0,Ness Patti
0,Jack Rollman
0,Steven Wang
0,Sumedh Anantha Krishna 
0,Teddy Schwartz
0,Theodore Taylor
0,Ryan Hilton
0,Tyler Liao
2,Dylan McKellips
6,Anthony LaBarca
6,Raffael Venterea
7,Ian Clingerman
9,Avery Girsky
11,Anthony Alvarez Silva
17,Sameer Jain
22,Joel Escobar
23,Ruben Mendoza
29,Jacob Trokel
32,Timothy Loftus
37,Ben Wyatt
42,David Leder
42,Isaac Degenholtz
43,Noah Bryan
50,Jack Ringel
55,Victor  Chang
b,r,e,a,k
Stevens Tech,6
teamInfo,Stevens Tech,"Hoboken, New Jersey",,,
coaches,Kieran Baguiwet
0,Daniel Partika
0,Domenico Savatta
0,Alex D'Agostino
0,Kayhan Durmus
0,Luke Evanego
0,Olivia Parlow
0,Oscar Schlimer
0,Ryan Chin
0,William Hines
0,Zack Petrov
0,Nathanael Vachon
7,Charles  Canata
02,Matt Hullstrung
14,Cole Gardella
24,Dylan Regan
27,Aidan Ouckama
30,Johnny Wong
80,Nicholas Hennessy
b,r,e,a,k
SUNY-Geneseo,10
teamInfo,Snail,"Geneseo, New York",,,@geneseoultimate
0,Andrew Thompson
0,Brian Gonzalez
0,Christian Arriaga
0,Christopher Ventre
0,Christopher Pitre
0,Colby Drechsler
0,Daniel Sullivan
0,Declan Fahy
0,Derek Johnson
0,Dylan Dariano
0,Jack Bazarewski
0,Jack Kirby
0,Jake Park
0,Jonathan Kelsch
0,Joseph Vafis
0,Josh Edelbach
0,Justin Blakesslee
0,Luke Widor
0,Nicholas Smolinski
0,Noah Longshore
0,Sam Moritz
0,Spencer Wagner
0,Trevor Farrell
7,Quentin Wall
13,Noah Ofri-Akman
b,r,e,a,k
Wesleyan,4
teamInfo,Nietzsch Factor,"Middletown, Connecticut",,https://www.facebook.com/nietzschfactor/,https://twitter.com/nietzschfactor
coaches,Sam Harris
0,Denis Cha
0,William Leighton
01,Stephen Vaughn
02,Sy Schoen
03,Derek Chen
05,Oliver Wang
06,Alexander Rubenstein
07,Ethan Lubin
11,Theodore Businger
13,Jasper Fletcher
14,Charley Reade
15,Elliot Miller
16,Neil Bohan
17,Adam Sussbauer
18,Morgan Shaw
19,Daniel Becker
21,Thomas Kan
22,Dash Merrill
23,Jacob Lafferty
25,James Giokaris
27,Jonah  Yas
28,aaron finkelstein
29,Daniel Gessel
30,Daniel Glickman
32,Julian Fried
33,Christopher Noh
36,Ethan King
42,Chase Yahn-Krafft
47,Sam Harris
50,Judah Hoffenberg
59,Jack Noble
67,Ulysses Conrad
69,Anthony D'Amato
77,Dylan McCaleb
88,Will Clemans
99,Kevin He
b,r,e,a,k
SUNY-Cortland,5
teamInfo,Team Rocket,"Cortland, New York",,,https://twitter.com/cortlandulti?s=21
00,Anthony Thompson
00,Billy Poveda
00,Brian Wise
00,Cal Mailer
00,Christopher Lee
00,Adam Plana
00,Connor Vicchiariello
00,Dylan Foutch
00,Ethan Laderman
00,Jack-Henry Whalen
00,Danny Breen
00,Devon Blackwood
00,Matthew Bean
00,Maxwell Tolan
00,Michael DeVillers
00,Michael Moran
00,Ryan Tart
00,Ryan Joyce-Turner
00,Scott Ferguson
00,Kade Manchester
00,Zachary Wexler
00,zachary jackson
02,Luke Barrett
09,Christopher Caneiro
10,Leonardo  Rodriguez 
13,Damon Carroll
14,Justin Horton
23,Mark Weidman
25,Aidan Russo
31,Anthony Graff
34,Timothy Zorn
41,Jordan Lambert
48,Jonathan Cangelosi
75,Dominick Pilo
97,James Marino
b,r,e,a,k
Hamilton,9
teamInfo,Hot Saucers,"Clinton, New York",https://hotsaucersultimate.wordpress.com/,,https://twitter.com/HCSTATE
0,Adam Koplik
1,David Levine
8,Luke Hanson
05,Andreas Molnar
07,Andrew Brennan
10,John Carbone
11,Henry Pomerance
13,Nicholas Hollander
15,Peter Hinkle
16,Noah Bridgeman
17,Zander Harpel
18,Carter Lefkowitz
19,Jared Maidman
20,William Swartz
21,Austin Cipriano
22,Henry Mayer
23,Simon Le
26,Robert Aronson
27,Andrew Hohmann
28,Mason Schroeder
29,Cade Boiney
30,Nicholas Adair
31,Samuel Mintzer
33,Luke Struthers
42,Kian Hudiburg
44,Iain McGiffin
47,Brendan Stewart
61,David De Frutos Ostrander
75,John Ruppert 
80,Connor Whynott
87,Ethan Daves
88,Calvin Doherty
92,Nathaniel Koplik
99,Ryan Crist
b,r,e,a,k
s,t,a,g,e,s
pools,Saturday Pools
pool,Pool A
Connecticut College,New York Tech,15,0,"04/29/2023, 13:30",Pool A,Final
Skidmore,Colgate,8,7,"04/29/2023, 13:30",Pool A,Final
Connecticut College,Skidmore,0,0,"04/29/2023, 15:15",Pool A,Scheduled
Colgate,New York Tech,0,0,"04/29/2023, 15:15",Pool A,Scheduled
pool,Pool B
College of New Jersey,New Haven,15,5,"04/29/2023, 13:30",Pool B,Final
Ithaca,Rensselaer Polytech,14,7,"04/29/2023, 13:30",Pool B,Final
College of New Jersey,Ithaca,0,0,"04/29/2023, 15:15",Pool B,Scheduled
Rensselaer Polytech,New Haven,0,0,"04/29/2023, 15:15",Pool B,Scheduled
pool,Pool C
Rochester,SUNY-Geneseo,12,7,"04/29/2023, 11:45",Pool C,Final
Rochester,Stevens Tech,12,7,"04/29/2023, 13:30",Pool C,Final
Stevens Tech,SUNY-Geneseo,0,0,"04/29/2023, 15:15",Pool C,Scheduled
pool,Pool D
Wesleyan,Hamilton,15,8,"04/29/2023, 11:45",Pool D,Final
Wesleyan,SUNY-Cortland,11,13,"04/29/2023, 13:30",Pool D,Final
SUNY-Cortland,Hamilton,0,0,"04/29/2023, 15:15",Pool D,Scheduled
b,r,e,a,k
clusters,Saturday 2v3 Crossover
b,r,e,a,k
brackets,Sunday Brackets
bracket,Championship
bracket,3rd Place
bracket,5th Place
bracket,7th Place
bracket,9th Place
bracket,11th Place
bracket,13th Place
b,r,e,a,k
