2023 Mixed Capital Sectional Championship,Club - Mixed ,9,9,2023
Fredericksburg,VA,2023-09-09,2023-09-10
https://play.usaultimate.org/events/2023-Mixed-Capital-Sectional-Championship/schedule/Mixed/Club-Mixed
Rally,1
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/DCRallyUltimate,https://twitter.com/RallyUltimate
1,Zachary Norrbom
2,Katina Russell
3,Franklin Ahrens
4,Ellen Mueller
5,Graham Turner
6,Thomas Piper
8,Kristin Franke
10,Jonathan McRae
12,Eva Turner
15,Emma Colavincenzo
18,Margaret Pendleton
19,Noah Newberger
20,Stephanie Piperno
21,Jin-Mi Matsunaga
23,Sami Smalling
24,Anthony McLean
27,Rebecca Driver
28,Claire Lee
30,Jake Kovalic
33,Olivia Monroe
42,Ben Sadis
54,Genevieve Leo
55,Gabriel Webster
56,Jimmy Clarke
80,Xavier Maxstadt
99,Alan Kolick
b,r,e,a,k
Legion,7
teamInfo,,"Lynchburg, Virginia",,https://www.facebook.com/VALegionUltimate/,
0,Asha Gillette
0,Caleb Weldy
0,Katherine Clark
0,Krista Habermas
0,Matthew Glasgow
0,McKenzie Ross
0,Stacy Gardner
0,Walter Lewis
1,Rupert Armentrout
2,Kevin Habermas
3,Ashley Mast
8,Shawn Messick
12,Jonathan Mast
14,Andrew Lewis
24,Victoria Dissmore
25,Elizabeth Ware
32,Jenna Bibby
34,Benjamin Barnett
37,Brandon Lison
77,Matthew Sutherland
82,Hannah VerasAlba
87,Austin Heston
b,r,e,a,k
Heavy Flow,10
teamInfo,,"Columbia, Maryland",,https://www.facebook.com/heavyflowulti/,https://twitter.com/heavyflowulti
03,Kevin Reynolds
04,Paul Versluis
05,Stephen Nichols
07,Grant Bunyard
09,Cara Murray
10,Jonah Lee
11,Rachel White
12,Sai Priyatam Tayi
17,Heather Johnson
18,Sean McDermott
19,Samantha Sesum
20,Noah Wallack
21,Adolfo Rojas
22,Lemuel Sun
25,Natalie Drake
26,Julia Atkins
27,Winnie Yang
33,John Brun
44,Katie Claggett
52,Rachel Cawkwell
77,Grady Riley
78,Sam Shiao
81,Margaret Zuelsdorf
84,Meghan Gloyd
88,Justin Chu
89,Heather Jentilet
b,r,e,a,k
District Cocktails,12
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/CocktailsUltimate,https://twitter.com/DCCocktailsUlti
7,Noah Carter
01,Kane Gormley
03,Nicholas Mozer
04,Natalie Gilmor
05,Daley Burns
06,Megan Humes
08,Daniel Bowman
10,Erik Larmore
11,Joseph Miller
16,Collin Brooks
18,Galen Reifsnider
22,Camila Cabanne
24,Jackson Valler
25,Thomas Frazier
27,Jennifer Pridemore
28,Alec Marks
29,Emily Xu
33,Melissa Bierschenk
34,Austin Do
36,Molly Norrbom
42,Andrew O'Neill
64,Ian Edgell
72,Katherine Murray
86,Julianne Twomey
99,Rebecca Dorety
b,r,e,a,k
Pumphouse,16
teamInfo,,"Richmond, Virginia",,,
0,Grace Wright
0,Hassan Alodaini
0,Katherine O'Neill
0,Kiya Vanier
0,Madison McCarthy
0,Mal Webb
0,Melanie Hempel
0,Meredith DePuy
0,Ory Aguillard
0,Thomas Campbell
7,Cory Ross
10,Ian Fletcher
11,Kevin Dodd
19,David Hart
21,Delaney Ortiz
24,Kristiana Preus
26,Helen Burch
27,Lorelei Dean
43,Nolan Randolph
78,Rabah Sbitani
95,Megan Schlak
b,r,e,a,k
HVAC,3
teamInfo,,"Washington DC, District of Columbia",,https://www.facebook.com/hvacultimate,https://twitter.com/hvacultimate
0,Carolyn Fante
0,Carolyn Ng
0,Clara Honigberg
0,Emily Askew
0,Grace Laudeman
0,Harrison Wolfson
0,Izolina Travers
0,Josh Levin
0,Karen Shim
0,Kyle Williamson
0,Olivia Arellano
0,Patrick Kenney
0,Shannon Sullivan
0,Travis Lynch
5,Cody Smith
10,Lydia Schaar
13,Austin Pelli
17,Landrum Beard 
17,Stephen Ng
27,Tyler Coleman
33,Julianna Gohman
34,Austin Alvarado
51,Alexander Daley
57,Eleanor  Heil
81,Ben Frattini
95,Maggie Graves
b,r,e,a,k
Brackish,5
teamInfo,,"Hampton, Virginia",,https://www.facebook.com/BrackishUlti/,@BrackishUlti
0,Tim Slade
01,Ben Slade
02,Michael Wong
03,Shawna Zielstorff
05,Jared Schwallie
07,Taylor Brooks
08,James Godwin
11,Danny Wilson
12,Elizabeth Bradley
17,Krista Bueno
20,Torin Porter
21,Margaret (Peggy) Whitney
22,Matthew Taleghani
26,Paolo Yalung
32,Maggie Lincoln
36,Christophe Snead
42,Laura Beaudet
47,Rachel Lisner
48,Abby Herrod
49,Quinn Foley
52,Sabrina Kim
55,Katie Powell
66,Cara Wu
77,Jaime Benites
79,Mary Maurer
91,James Dangler
b,r,e,a,k
One More Year,9
teamInfo,,"Baltimore, Maryland",,,
0,Brett Youngerman
0,Carla Tilchin
0,Chris Neitzey
0,Jay Weir
0,Jesse Goldstein
0,Jose Maldonado
0,Kaitlyn Harper
0,Krista Woodward
0,Madeleine Franz
0,Matthew Radhe
0,Molly Booi
0,Molly (Meredith) Finch
0,Dylan McDonough
0,Emily Kreisel
0,Tanner Marshall
8,Bridget Gallagher
9,Casey Vaughn
13,Echo Presgraves
13,Christopher Schulze
20,Sean Mizoguchi
31,Christopher Cahoon
36,David Jones
61,Carlos Lalimarmo
88,Eric Mooney
b,r,e,a,k
Spice,14
teamInfo,,"Charlottesville, Virginia",,,https://twitter.com/SpiceUltimateVA
0,Anna Caughron
0,Dan Anthony
0,Eli Beech-Brown
0,Keisha Enriquez
0,Kevin Chung
0,Lynn Mandeltort
0,Malia Gardner
0,Micah Hunter-Chang
0,Na’jir Dipasalegne
0,Nicolas West
0,Olivia Bearman
0,Ryann Boudreau
0,Sabrina Combs
0,Tracy Kuper
0,Tyler Husband
0,Yannick Albert
0,Joseph Wells
5,Joseph Terrana
13,Dick (Richard Sr) Leary
21,Nathaniel Stevenson
25,Katelyn Birchfield
34,Phillip Martin
35,Alexander Brewster
47,Rhiannon Begley
b,r,e,a,k
Vanguard and Friends,18
teamInfo,,"Alexandria, Virginia",,,
0,Evan Moss
0,Ezra Carr
0,Guy Cardwell
0,Julien Sommers
0,Kayla Schifferle
0,Leo Dienstfrey
0,Lev Dienstfrey
0,Mateo Schneider
0,Norah Curry
0,Oscar Grajales
0,Sarah Schifferle
0,Walker Crochet
0,Alex Campbell
0,Andres Huenneke
0,Carter Anderson
0,Ellie Ngo
6,Cora McCabe
12,Brooke Turner
20,Elliott Haney
b,r,e,a,k
Revival,2
teamInfo,,"Richmond, Virginia",,https://www.facebook.com/RevivalFlatball,
0,Jameson Hinkle
1,Griffin Schutte
3,Kate Marston
4,Mimi Tran
6,Rebekah Forrer
7,Catherine Grossman
10,Matthew Reynolds
11,Skye Whitlow
12,Tyler Davis
13,Keys Pattie
16,Donald Clark
17,Cullen Monahan
18,Brittany Taylor
21,Akram Abudheer
22,Mary Molly Rowland
24,Tim Jackson
25,Crystal Lowery
29,Rachel Shannon
31,Hannah Elledge
33,Sam Bean
38,Ariel Vogel
48,Benjamin Broser
59,Laura  Cataño Silva
64,Victoria Davis
87,Griffin Lang
89,Nicholas Gigliotti
b,r,e,a,k
Fireball,8
