Old Capitol Open,College - Men ,25,3,2023
Cedar Rapids,IA,2023-03-25,2023-03-26
https://play.usaultimate.org/events/Old-Capitol-Open/schedule/Men/CollegeMen/
St. Olaf,1
0,Colin Glynn
0,Felix Huot-Link
0,Grady Breen
0,Max Meyer
0,Nico Demo
0,Noah Zent
0,Owen Peterson
0,Patrick  Kelley
0,Sam Kelly
0,Tristin Thillmany
0,Austin Laing
0,Carter Versaevel
99,Chenxu Yu
b,r,e,a,k
Loyola-Chicago,12
teamInfo,Darkwing,"Chicago, Illinois",http://loyolaultimate.wixsite.com/darkwing,,
0,Aidan Chapman
0,Anthoine  Godin 
0,Aran Baphna
0,Brennan Perkins
0,Elliott Laibson-Brown
0,George Gustafson
0,Jack Wolf
0,James Goodfriend
0,Luke Boehm
0,Jack Armanini
0,Matthew Kumar-Montei
0,Michael Quiroga
0,Riley Brown
0,Samuel Libis
0,Sebastian Kirkpatrick
2,Siddharth Mehrotra
7,Maxwell Mercer
12,Jack Scott
14,Matthew Flynn
15,Jack Johnson
16,Drew Byrne
17,Andrew Najjar
24,Anthony Scibelli
b,r,e,a,k
Wisconsin (B),13
teamInfo,Fauxdags,"Madison, Wisconsin",,,https://twitter.com/FauxdagLove
0,Cameron Stover
0,Derrick Houmey
0,Ethan Napierala
0,Evan Rees
0,Frans Larson
0,Haoyang Yan
0,Jacob Goldthorpe
0,Matthew Zabawski
0,Adam  Jasensky 
0,Alexander Yu
0,Benjamin Salomon
0,Samuel Fronek
0,Sarvesh Sakthivel
0,Teigue McCormack
0,Paul Scudder
0,Rahul Polavarapu
0,Thomas Leibert
6,Nicholas Tangwall
9,Aidan Euclide
49,Benjamin Petersen
53,Thomas Hotvedt
62,Max Drexler
79,Yiran Li
99,Ryan Mikol
b,r,e,a,k
Illinois State,20
teamInfo,Illinois State Gnomes B,"Normal, Illinois",,,
0,Alessandro Gibson
0,Andrew Roth
0,Axel Baumeister
0,Brandon Hill
0,Dillon Yocum
0,Elias  Ramirez 
0,Ethan  Moore 
0,Joseph Murphy
0,Juan Cirilo  Fulgencio 
0,Kacper Wujda
0,Logan Dudley
0,Raven Knapp
0,Reilly Nawrocki
24,Truman Arie
b,r,e,a,k
Nebraska,6
teamInfo,Cornfed Ultimate,"Lincoln, Nebraska",http://www.unl.edu/cornfed/,,https://twitter.com/cornfedultimate
00,Caleb Eiden
00,Christian Jaeger
00,Kobe  Bray
00,Luke Walsdorf
00,Noah Johnson
00,Peyton Thurman
00,Samuel Malick
00,Zane Mrozla-Mindrup
13,Josh Sherer
27,Alex Miller
28,Josh Kryzer
54,Eamon  Sughroue
62,Blake Krapfl
b,r,e,a,k
Macalester,11
teamInfo,Macalester Open Ultimate,"St Paul, Minnesota",,,
coaches,Sean Prichard
0,Ben Arnold
0,Caleb Bartlett
0,Ezra Korn-Meyer
0,Kyle Suelflow
0,Martin Bernsten
0,Owen Suelflow
0,Xander Hall
9,Benjamin Richardson
12,Charley Roe
13,Benjamin Westergren
14,Andrew Dong
22,Nicholas Miller
23,Noah Chen
24,Emilio Gray
26,Jack Sorlie
36,Gavin Davis
37,Seamus McMurrer
54,Sawyer Neske
69,Dylan Lian
72,Jack Keller
73,Ben Porter
82,Caedmon Kolllmer-Dorsey
99,William Chapman-Renaud
b,r,e,a,k
Wisconsin-Stevens Point,14
teamInfo,Homegrown,"stevens point, Wisconsin",,,
0,Andrew Hartmann
0,Jacob Ladik
0,Kylie Macdonald
0,Logan Gosse
0,Luke Rospert
0,Mike Brierton
0,Zackory Runke
4,Anthony Moore
4,Cole Wells
5,Serena Goelitz 
10,Pedro Ivo Saldanha
27,edwin Moore
42,Brendon Fogelberg
52,Hazel Radtke
80,Gabe Retzlaff
91,Riley Fahey
95,rebecca marsh
b,r,e,a,k
Iowa (B),19
teamInfo,HUCititis),"Iowa City, Iowa",https://sites.google.com/site/iowahawkeyeultimateclub/home?authuser=0,https://www.facebook.com/UofIowaUltimate/,https://twitter.com/hbvultimate
0,Nathan Kurtz
01,David Molfese
13,Mahijith Chava
18,Joel Kellar
19,Justin Wheeler
21,Max Baum
23,Shane Salvant
29,Eddie Hopson
32,Ben Garza
42,Charles Paxson
47,Simon Dungan-Seaver
48,Vincent Burke
b,r,e,a,k
Michigan Tech,7
teamInfo,DiscoTech,"Houghton, Michigan",,,https://twitter.com/DiscoTechUlti
0,Justin Marshall
01,Donn Bacon
03,Kelty Blastic
05,Aidan Sheppard
06,Hayden Huckins
08,Hunter Wilke
10,Liam Guenin
10,Colin Vander Beek
11,Ryan Schwartz
12,Isaac Couling
14,Hugh Hanlon
16,Joshua Duer
20,Ryan Cole
23,Colin Donajkowski
24,Jack O'Connor
44,Andrew Tellefson
45,Matthew Oujiri
48,Henry Ross
57,Nathan Miller
69,Chandler Carey
87,Clayton Donajkowski
88,Steven Etten
95,Zach Dix
99,Connor Jacobs
b,r,e,a,k
Ball State,10
teamInfo,Cardinals,"Muncie, Indiana",,,
0,Deeleiloh Allie
0,Joel Benkert
0,Luke Titus
0,Sam Marshall
0,Steven Hankins
0,Steven Harsh
0,Tyler Robertson
2,Jack Eads
03,Trey  Koch 
11,Kelsen Bartley
12,Jayson Thomas
12,Bradley Vaal
15,David Masengale
21,Nick Galbreath
22,Elliott Godfrey
43,Nathan Stippler
54,Jeremy Andras
69,Harper Dotas
72,Gavin Grossman
b,r,e,a,k
Wisconsin-La Crosse,15
teamInfo,BadLUC,"La Crosse, Wisconsin",https://uwlmyorgs.collegiatelink.net/organization/mensultimate,https://www.facebook.com/UWLaCrosseUltimateClub/?ref=aymt_homepage_panel,https://twitter.com/ultimateluc?lang=en
0,Andrew Burns
0,Andrew Pathos
0,Hayden Rice
0,Jack Johnson
0,Jake Johnston
0,Joey Kratzer
0,Lucas Granec
0,Mark Quintero Bungert
0,Samuel Ramos
0,Shee Yee Xiong
0,Zach  Sanders
2,Ashton Briquelet 
5,Ricky Buchanan
7,Nick Seitz
8,Nick Bell
10,Justin Mangan
11,Garrett Mihalski
18,Alex Fifield
20,Joseph Porebski
22,Keann Matias
23,Matt Sniff
25,Ryan Koelbl
42,Benjamin Thom
84,Tate Goretzki
b,r,e,a,k
Iowa State (B),18
teamInfo,BSUC,"Ames, Iowa",,,
0,Andrew Chizek
0,Bradley Nordwall
0,Brian Cacioppo
0,Ethan Symonik
0,Hunter Rose
0,Ishaan Patel
0,John Symeonidis 
0,Luka Elges
0,Mike Cawiezell
0,Nathaniel Ferguson
0,Nick Pehl
0,Noah Roy
0,Riley Wallace
0,Ritvik Ambekar
0,Wade Schaeffer
0,Alexander Kovar
3,Andrew Olson
4,Zachary Bye
95,Mitchell Wood
b,r,e,a,k
Carthage,8
teamInfo,Carthage Blitz,"Kenosha, Wisconsin",,https://www.facebook.com/groups/246330382070418/,https://twitter.com/CarthageBlitz
0,Robert Kloss
0,Tim Pecharich
6,Andrew Cline
01,Justin Rummelhart
02,Will Deitrich
03,Jacob Brodkorb
05,Miles Chubin
09,Jay Lewer
11,Taylor Zorn
17,Dan Stanley
18,Andrew Kirchhoff
20,Antonio Vincent
21,Andrew Quiroga
23,Daniel Plutchak
26,Jimmy Chaudoin
28,Lexi  Menendez 
29,Zachary Kozmer
34,Christian Cecala
36,Theodore Reimer
45,Erin Gasser
48,Matthew Agnew
57,Lucus Schneider
60,Rosie Ehle
81,Tony Lule
88,Jonah Koehlert
99,Ethan Weishuhn
b,r,e,a,k
Illinois State,9
teamInfo,Gnomes,"Normal, Illinois",,https://www.facebook.com/Illinois-State-Ultimate-223013237713080/timeline/,https://twitter.com/isugnomes?lang=en
0,Blake McKee
0,Carter Whitlow
0,Cody  Wyatt
0,Elliott Tubbs
0,James Henning
0,Joseph Baker
0,Max Marcionetti
0,Riley Hendron
0,Thomas  Diveley
0,Zach Ohlsson
1,Sean Dickerson
2,Riley Fortune
5,Luke Brigman
23,Joe Cercello
24,Anthony Serio
26,Nick Wollney
32,Jonathan Gancarczyk
b,r,e,a,k
Minnesota (C),16
teamInfo,Rubber Ducky,"Minneapolis, Minnesota",,,
coaches,Samuel Raths
0,Benjamin Dockerty
0,Benjy Haber-Fawcett
0,Caleb Fravel
0,Everett Ries
0,Frank Toft
0,Gabriel Ramirez
0,Aiden Gorman
0,Mason Overman 
0,Neil Roy
0,Nikolas Van Nelson
0,Venice Fan
1,Gavin Johnson
2,Andrew Allen
10,Parker Jelen
12,Vincent Trinh
17,Sam Revermann
25,Colin Hogendorn
26,Tony Tran
27,John Lei
32,Mason Hamar
99,Ian Brudnak Voss
b,r,e,a,k
Toledo,17
teamInfo,Savage,"Toledo, Ohio",,,
0,Austin Hancock
3,Thomas Piaskowski
4,Paul Meyers
8,Wyatt Early
02,Isaac Plamondon
06,Jakob Nutter
07,Gabriel Doringo
13,McKenna Mee
13,Erik Schaefer
22,Nick Beckham
92,Samuel DeVine
b,r,e,a,k
s,t,a,g,e,s
pools,Pool Play
pool,Pool A
St. Olaf,Minnesota (B),0,0,"03/25/2023, 10:00",Pool A,Scheduled
Iowa,Saint Louis,0,0,"03/25/2023, 10:00",Pool A,Scheduled
St. Olaf,Saint Louis,0,0,"03/25/2023, 11:30",Pool A,Scheduled
Iowa,Minnesota (B),0,0,"03/25/2023, 11:30",Pool A,Scheduled
St. Olaf,Iowa,0,0,"03/25/2023, 13:00",Pool A,Scheduled
Minnesota (B),Saint Louis,0,0,"03/25/2023, 13:00",Pool A,Scheduled
pool,Pool B
St John's (Minnesota),Wisconsin (B),0,0,"03/25/2023, 10:00",Pool B,Scheduled
Loyola-Chicago,Illinois State,0,0,"03/25/2023, 10:00",Pool B,Scheduled
St John's (Minnesota),Illinois State,0,0,"03/25/2023, 11:30",Pool B,Scheduled
Loyola-Chicago,Wisconsin (B),0,0,"03/25/2023, 11:30",Pool B,Scheduled
St John's (Minnesota),Loyola-Chicago,0,0,"03/25/2023, 13:00",Pool B,Scheduled
Wisconsin (B),Illinois State,0,0,"03/25/2023, 13:00",Pool B,Scheduled
pool,Pool C
Nebraska,Wisconsin-Stevens Point,0,0,"03/25/2023, 10:00",Pool C,Scheduled
Macalester,Iowa (B),0,0,"03/25/2023, 10:00",Pool C,Scheduled
Nebraska,Iowa (B),0,0,"03/25/2023, 11:30",Pool C,Scheduled
Macalester,Wisconsin-Stevens Point,0,0,"03/25/2023, 11:30",Pool C,Scheduled
Nebraska,Macalester,0,0,"03/25/2023, 13:00",Pool C,Scheduled
Wisconsin-Stevens Point,Iowa (B),0,0,"03/25/2023, 13:00",Pool C,Scheduled
pool,Pool D
Michigan Tech,Wisconsin-La Crosse,0,0,"03/25/2023, 10:00",Pool D,Scheduled
Ball State,Iowa State (B),0,0,"03/25/2023, 10:00",Pool D,Scheduled
Michigan Tech,Iowa State (B),0,0,"03/25/2023, 11:30",Pool D,Scheduled
Ball State,Wisconsin-La Crosse,0,0,"03/25/2023, 11:30",Pool D,Scheduled
Michigan Tech,Ball State,0,0,"03/25/2023, 13:00",Pool D,Scheduled
Wisconsin-La Crosse,Iowa State (B),0,0,"03/25/2023, 13:00",Pool D,Scheduled
pool,Pool E
Carthage,Minnesota (C),0,0,"03/25/2023, 10:00",Pool E,Scheduled
Illinois State,Toledo,0,0,"03/25/2023, 10:00",Pool E,Scheduled
Carthage,Toledo,0,0,"03/25/2023, 11:30",Pool E,Scheduled
Illinois State,Minnesota (C),0,0,"03/25/2023, 11:30",Pool E,Scheduled
Carthage,Illinois State,0,0,"03/25/2023, 13:00",Pool E,Scheduled
Minnesota (C),Toledo,0,0,"03/25/2023, 13:00",Pool E,Scheduled
b,r,e,a,k
brackets,Championship Bracket
bracket,Championship Bracket
bracket,3rd Place Bracket
bracket,5th Place Bracket
bracket,7th Place Bracket
b,r,e,a,k
brackets,9th Place Bracket
bracket,9th Place Bracket
bracket,11th Place Bracket
bracket,13th Place Bracket
bracket,15th Place Bracket
b,r,e,a,k
pools,Consolation Pool
pool,Consolation Pool
b,r,e,a,k
