2023 Mid-Atlantic Men's Regional Championship,Club - Men ,30,9,2023
Frederica,DE,2023-09-30,2023-10-01
https://play.usaultimate.org/events/2023-Mid-Atlantic-Mens-Regional-Championship/schedule/Men/Club-Men/
Truck Stop,1
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/TruckStopUltimate/,https://twitter.com/truckstopulti
0,Gus Norrbom
0,Isaac Lee
3,Alexandre Fall
4,Charles McCutcheon
5,David Cranston
8,Thomas Edmonds
9,Benjamin Oort
10,Tyler Monroe
11,Luke Rehfuss
12,Matthew Rowan McDonnell
13,Cole Jurek
14,Aaron Bartlett
16,AJ Merriman
17,Moussa Dia
24,Jacques Nissen
25,Marcus Thaw
30,David Bloodgood
31,Christian Boxley
32,Andrew Roy
33,Rhys Bergeron
45,Jeff Wodatch
53,Jonny Malks
57,Jasper Tom
73,Frederick Farah
78,Jeremy Knopf
91,Troy Holland
b,r,e,a,k
Helots,8
teamInfo,,"Sparta, New Jersey",https://www.instagram.com/sparta.helots/,https://www.facebook.com/SpartaClubUltimate/,https://twitter.com/spartaultimate
01,David Brewster
02,David Hwang
03,Tyler Mackey
06,Kye Haniph
08,Andrew Soto
09,Eric Cooney
10,Brian Nigro
13,Pete Isler
15,Sean Maxcy
17,Neal Vasireddi
21,Eric Harnisher
24,Kayhan Durmus
30,Matthew Timoney
32,Andres felipe sanchez
32,German Quiroga
36,Chris Kelly
38,TJ Stanton
41,Jan Iglesias
51,Patrick Callahan
52,Ryan Andersen
64,William Litchholt
70,Robert Patten
77,Sergio Zuluaga
80,Stephen Snelson
88,Andrzej Porter
98,Kyle Dew
b,r,e,a,k
Puzzles,10
teamInfo,,"DC, District of Columbia",,,
0,Adam Weiss
0,Alex Turney
0,Daniel Hartsoe
0,Grant Simons
0,John McGrath
0,Michael Newman
0,Robert (Robbie) Gillies
0,Sasha Frank-Stempel
1,Zachary Hall
1,John Kerr
2,Matt McGoogan
2,Bradley Tinney
3,Jeremiah Leblanc
18,Joe “Peanut”  Dweck
18,Brett Gramann
20,Mike Randow
23,Matthew Beaudet
36,David Shields
79,Daniel Dresser
90,Joshua Lightner
b,r,e,a,k
Vault,2
teamInfo,,"Fredericksburg, Virginia",,,https://twitter.com/vaultultimate
coaches,Joe “Peanut”  Dweck,Thomas Owen
0,David Slade
01,Max Cassell
02,Jarrod Banks
03,Brandon Lamberty
04,Michael Snead
05,John Walden
06,Dane Warner
07,Steven Wartinbee
08,Kristopher Harrison
09,Casey Mann
10,Garrett Braun
11,Peter Mancini
13,Kees Humes
14,Joshua Bransford
18,Kevin Healey
19,Colin McLaughlin
21,Jack Field
22,Rami Paust
27,Elliott Rosenberg
30,Cam Barnhardt
31,Kevin O'Malley
33,Matthew Neeley
37,Miles Grovic
40,Joseph Merrill
42,Adam Norrbom
48,Ryan Weaver
b,r,e,a,k
Pittsburgh Stealers,9
teamInfo,,"Pittsburgh, Pennsylvania",,,@stealerspitt
0,Adam Assaad
0,Alex Mullen
0,Clifford Ressel
0,Colin Daines
0,Joe Molder
0,Mahith Edula
0,Max Sprigg-Dudley
0,Thomas Hansen
0,Will Roper
0,Seth Williams
0,Spencer Matonis
4,Joshua Morton
8,Wyatt Krisky
15,Nick Amano
17,Hassan Saeed
20,Peter Zaccardi
23,Eliot Duncan
24,Wyatt Brooks
28,Brandon Rishi
29,JJ McMonigal
31,Max Barowski
