TCT Pro-Elite Challenge East 2023,Club - Women ,15,7,2023
Fredericksburg,VA,2023-07-15,2023-07-16
https://play.usaultimate.org/events/TCT-Pro-Elite-Challenge-East-2023/schedule/Women/Club-Women/
Phoenix,1
teamInfo,,"Raleigh, North Carolina",http://phoenixultimate.com,https://www.facebook.com/PhxUltimate,https://twitter.com/PhxUltimate
0,Alexandra Barnett
0,Alice Wang
0,Ellie Cubrilovic
0,Emily Przykucki
0,Karen Ehrhardt
0,Caroline Spencer
0,Claire Bidigare-Curtis
0,Nicole Patterson
0,Sarah Spall
0,Theresa Yu
0,Tyler Smith
1,Lindsay Soo
3,Grace Conerly
4,Ashley Powell
9,Audrey Lyman
9,Jinny Riedel
11,Dawn Culton
14,Lyla Stanland
18,Sarah McKee
20,Bridget Mizener
27,Mary Rippe
44,Sarah Meckstroth
45,Caitlin Gross
b,r,e,a,k
Nemesis,7
teamInfo,,"Chicago, Illinois",http://www.chicago-nemesis.com/,https://www.facebook.com/Nemesis-471825896168151/,https://twitter.com/ChicagoNemesis
0,Caitlin Duffner
0,Caitlyn Tien
0,Connie Chan
0,Dana Demmert
0,Eileen Duffner
0,Hannah Cheng
0,Lina  Montenegro 
0,Sabina Hartnett
0,Sammi Wong
2,Alexandra Hu
3,Sara Gnolek
8,Christina Sur
8,Stephanie Rupp
9,Cassandra Brown
14,Anna Stubbs
14,Sarah Helding
16,Sarah Kim
23,Anna Thorn
31,Abby Shure
72,Jacqueline Jarik
84,Sarah Lipscomb
88,Cassandra Skapek
b,r,e,a,k
Flight,10
teamInfo,,"Philadelphia, Pennsylvania",https://linktr.ee/The_flock,,https://twitter.com/phillyyflight
0,Charlotte Edelstein
0,Alyssa Colella
0,Jen Kim
0,Kelly Wallace
0,Kelsey Turner
0,Meghan Wadlinger
0,Nelly Fickett
0,Nikki Ross
0,Maia Nguyen
0,Zora Bergey
2,Zoe Lewis
5,Emily Phalon
7,Kai Inoki
8,Emma Soiles
12,Caroline Weinberg
17,Kristie Kelly
20,Casey Gorman
21,Allison Milligan
22,Jocelyn Corey
27,Tolu Olubajo
41,Kalea Dodge
88,Grace Hodges
99,Maria Kazantsev
b,r,e,a,k
KnoxFusion,16
teamInfo,,"Knoxville, Tennessee",,,
0,Jade Stella
0,Laura Pape
00,Lydia Roberts
00,Katrina Lee
00,Ezzie Seigel
01,Ellie Stanfield
03,Metta Devine-Qin
04,Ashley West
05,Amaya Yarid
07,Michelle Van Guilder
09,Sarah Hunter
13,Rachel Sproles
21,MaryKate Leatherwood
22,Cait Gagnon
23,Grace Fielder
24,Emily  Branson
26,Bethany Bailey
48,Nettie Kimery
b,r,e,a,k
Scandal,2
teamInfo,,"Washington, District of Columbia",,https://www.facebook.com/scandalultimate,https://twitter.com/ScandalUltimate
0,Kameryn Groom
01,Ashleigh Buch
02,Laurel Oldershaw
04,Allison Wallace
07,Allison Maddux
08,Kathryn Ritzmann
10,Jenny Fey
11,Nada Tramonte
16,Margaret Walker
17,Shirlee Wohl
18,Jamie Eriksson
21,Jessica  Oh
22,Theresa Hackett
23,Malisa Dang
25,Jessica Sourbeer
29,O'Linda (Blaise) Sevier
33,Amanda Murphy
36,Madeleine Boyle
37,Claire Trop
38,Sandra Jorgensen
42,Lisi Lohre
44,Keila Strick
50,Hannah Boone
64,Becca Arbacher
66,Jackie Wang
b,r,e,a,k
Pop,8
teamInfo,,"Minneapolis, Minnesota",http://popultimate.wordpress.com/,https://www.facebook.com/popultimate,https://twitter.com/PopUltimate
coaches,Donald Wood
0,Grace Milhaupt
0,Layla Lemley
0,Makella Daley
0,Rachel Gage
0,Rebecca Enders
0,Rhea Joshi
0,Allegra Johnson McKee
0,Anik Regan
0,Anna Mulhern
0,Biz Cook
0,Carly Eckstrom
0,Elise Gallup
0,Stephanie Wood
0,Sylvie Mercil
9,Sara  Helm
13,Elly Fireside-Ostergaard
17,Simone Pierotti
44,Cecilia Amnuel
b,r,e,a,k
Siege,9
