TCT Select Flight East 2023,Club - Mixed ,29,7,2023
Columbus,OH,2023-07-29,2023-07-30
https://play.usaultimate.org/events/TCT-Select-Flight-East-2023/schedule/Mixed/Club-Mixed
Red Flag,1
teamInfo,,"Vancouver, British Columbia CA",,https://www.instagram.com/redflagultimate/,https://twitter.com/redflagulti
00,Koji Suzuki
01,William Vu
03,Katie Wong
06,Brayden Gee
08,Justin Podnar
09,Julia Zhou
10,Gagan Chatha
12,Ryan Hoy
13,Kevin Tong
20,Collefas Mot
24,Peter Yu
25,Bryn McColl
35,Amelie Marshall
48,Zellema Mot
69,Karie Holst
70,Miu Shiraiwa
73,Jamie Jung
74,Sam Creed
86,Samson Hoy
93,Mika Kurahashi
98,Lauren Szeto-Fung
99,Abeer Lamba
b,r,e,a,k
Waterloo,7
teamInfo,,"Austin, Texas",waterloo_ultimateatx,Waterloo%20Ultimate,@ATXWaterlooUlt
coaches,Joe Iannacone
0,Carley Garrett
0,Jaime Estes
0,Joe Emery
0,Kerry Younts
0,Rafael Cruz-Garcia
0,Robert McDonald
0,Robert Hausmann
0,Sarah Levinn
0,Sydney Overman
2,Bennett Wachob
3,Alexander Janelle
4,"Darren ""Toast"" McAuliffe"
10,Gaby Cuina
11,Brian Street
13,Nash Mock
17,Kathryn Herbers
20,Susan Gilbert
23,James Zuraw
26,Amy Broome
34,Trevor Elam
45,San Montagno
69,Mahliyah Adkins-Threats
69,Nick Loughran
95,Megan Mendieta
b,r,e,a,k
Steamboat,10
teamInfo,,"Cincinnati, Ohio",http://www.steamboatultimate.com/,https://www.facebook.com/steamboatultimate,https://twitter.com/cincysfb
0,Landon Hunter
01,Scott Schriner
02,Sophie Walden
03,Lauren DeMarks
05,Ryan Gorman
06,Dan Cunningham
07,Michael Partusch
08,Tim Settles
09,Mary Cagle
13,Kristin Baxter
14,Sam Settlemyre
16,Elizabeth Burkhardt
19,Chelsea Partusch
20,Thomas Palermo
21,Julia Desrosiers
22,Brittany Winner
24,Michael Settles
25,Gabriella  Enders
28,Jeff Haney
29,Jocelyn Palyo
31,Emma Schroder
33,Austin Winner
42,Kelly Kerker
50,Ryan Walker
54,Jacob Fields
b,r,e,a,k
Northern Comfort,16
teamInfo,,"Milwaukee, Wisconsin",,https://www.facebook.com/northerncomfortultimate/,https://www.twitter.com/nocoultimate
0,Adam Klopfenstein
0,Claire Kelley
0,Elliott Blackburn
0,Erika Watson
0,Francis Kelley
0,Jake Leutenegger
0,Joseph Blankenheim
0,Kaleigh Wurster
0,Liam Scobey-Polacheck
0,Mackenzie Carpenter
0,Morgan Klug
0,Olivia Casper
5,Rachel Moore
8,Rozelynn Becker
9,Grace Zucchero
9,Greg Maddox
11,Jacob Scobey-Polacheck
19,Austin Johnson
20,Alex Ballinger
20,Alex Ballinger
22,Max Carpenter
24,Andrew Fischer
33,Joe M Rogers
42,Raleke Hughes
59,Todd Miller
99,Jane Zheng
b,r,e,a,k
MOONDOG,2
teamInfo,,"Montana, Montana",,,https://twitter.com/MoondogUltimate
0,Addie Thompson
