2023 USA Ultimate Masters Championships,Masters - Men ,21,7,2023
Aurora,CO,2023-07-21,2023-07-24
https://play.usaultimate.org/events/2023-USA-Ultimate-Masters-Championships/schedule/Men/Masters-Men/
Voltron2020,1
teamInfo,,"Seattle, Washington",,,https://twitter.com/voltron2020
01,Timothy Gehret
02,Jason (Jay) Clark
03,Mario O'Brien
06,Chris Rupp
07,Jacob Speidel
09,Tom Doi
10,Cody Bjorklund
11,Reid Koss
12,Patrick Baylis
13,Riley Meinershagen
14,Andrew Hagen
15,Nathan Castine
16,Mark Burton
17,Thomas Li
18,Michael Spear
19,Husayn Carnegie
20,Russell Wynne
23,Danny Karlinsky
24,Jason Yun
25,Will Chen
27,Jack Hatchett
51,Sam Harkness
52,Clay Dewey-Valentine
53,Eli Friedman
70,Julian Hausman
87,Chris Kosednar
99,Christian Foster
b,r,e,a,k
King Louie,10
teamInfo,,"Saint Louis, Missouri",,,
0,Blake Larson
0,Daniel Brennan
0,George Brell
0,Henry Samson
0,Howard Place
0,Jeffrey Rehm
0,John Weaver
0,Justin Van Sant
0,Kellen Key
0,Max Morgan
0,Patrick Porter
0,Patrick Austermann
0,Ryan Meinkoth
0,Ryan Jarvis
0,Thomas Hoyt
0,Timothy Halfmann-Morris
3,Alex McClure
5,Allen Jones
12,Shannon Granger
15,Ben Clark
26,Grant Eschmann
28,Chase Johnson
33,Spencer Hollenbach
42,David Valentine-Elam
45,Brenton Hard
52,Bryan Marciniak
73,Dustin Tierney
99,Michael Faaborg
b,r,e,a,k
Ex Machina,7
teamInfo,,"Chicago, Illinois",,,
00,Akira Yamaguchi
00,Alex Evangelides
00,Alexander Rummelhart
00,Andrew Sheehan
00,Andrew Novosad
00,Andrew Neilsen
00,Bradley Bolliger
00,Carl Deffenbaugh
00,Charles Furse
00,Daniel Williams
00,George Hughes
00,Jeffrey Spetter
00,Lucas Dallmann
00,Michael Egan
00,Michael Shiel
00,Michael Schwenk
00,Neal Phelps
00,Rob Greenberg
00,Sam Kanner
00,Stephan Mance
00,Vijay Menon
00,Von Alanguilan
b,r,e,a,k
DC UnCurrent,16
teamInfo,,"D.C., District of Columbia",,,
00,Aden Richards
00,Aman Chawla
00,Andrew Nguyen
00,Christian Lund
00,Christopher Grenier
00,Dietrich Epp Schmidt
00,Dusty Rhodes
