Midwest Throwdown 2023,College - Women ,4,3,2023
Columbia,MO,2023-03-04,2023-03-05
https://play.usaultimate.org/events/Midwest-Throwdown-2023/schedule/Women/CollegeWomen/
Colorado College,5
0,Anna  Matsui
0,Cassidy Recker
0,Elizabeth Blanning
0,Elizabeth Thompson
0,Evie Angevine
0,Fiona Rucker
0,Kate Seelert
0,Natalia Maahs
0,Peiper Thomas
0,Sarah Senese
0,Sophie Roback
0,Sophie  Addison
0,Zoe Williamson
5,Mary Andrews
9,Sophia Hennessy
23,Jennifer Clemente
26,Alva Hamreteg
28,Kelsey Viadro
31,Persis Baroody
37,Elsa Hoff
56,Grace Tumavicus
88,Galileo Fries
b,r,e,a,k
Wisconsin-Eau Claire,11
7,Reed Ziemer
8,Sarah Heuss
03,Faith Neuens
04,Carolyn Hanson
15,Anna Benishek
16,Ella Pratt
20,Alana Bauer
31,Rachel Foldy
32,Makenna Samuels
33,Maggie Guetschow
37,Sydney Schermerhorn
42,Elise Harper
44,Grace Liebl
57,Lucy Weld
99,Kayla Poncius
b,r,e,a,k
Winona State,15
00,Greta  Baumgartner
01,Victoria Jackson
03,Mckenna Miller
10,Molly Nelson
11,Zella Fruzyna
13,Kayleigh Boe
16,Caitlin Martin
28,Brittany Sletten
36,Sophia Theiss
42,Lily-Rose Ybarra
55,Abigail Gleason
84,ellie barker
b,r,e,a,k
Luther,26
0,Channing Cade
8,Sidney Miller
9,Addison Tollakson
10,Elizabeth  Korn 
12,Gabriella Bizal
20,Hannah Hoffmann
31,Vicky Harris
33,Naree King
33,Ella Sneltjes
78,Natalie Peterson
83,Anna Hunke
b,r,e,a,k
John Brown,28
03,Loraine Ferrin
10,Myah Ray
12,Katrina Reimer
14,Kassy Shelby
15,Marisa Jantz
16,caitlyn  blesi
20,Chloe Eisenmann
22,Acacia Hall
24,Ellie Chaves
27,Karis Hall
35,Kayleigh  Russell
44,Kacy Highfill
48,Sarah Grace Smith
74,Lindsay Scott
b,r,e,a,k
Arkansas,6
0,Amelie Wise
0,ANA LAURA ERRIGO
0,Izabela Pavel
1,Emily McDaniel
2,Isabel Kasman
4,Chloe Junkerman
8,Reina Watanabe
9,Bethany Davis
10,Sarah Bobek
12,mariel kasman
13,Lydia Samoff
14,Ava  Buchanan
25,Alexandra Anthony
56,Lauren Hart
