FCS D-III Tune Up 2023,College - Men ,4,3,2023
Advance,NC,2023-03-04,2023-03-05
https://play.usaultimate.org/events/FCS-D-III-Tune-Up-2023/schedule/Men/CollegeMen/
Richmond,13
0,Eli Beech-Brown
1,Maxwell Caputo
2,Michael Fallon
3,Jake Seares
4,Alexander Ertel
5,Jeffy Joshy
6,Miles Goldman
7,Tommy Bennett
9,Sam Hussey
10,Ethan Greeley
11,Gabriel Kadi
12,Luke Howey
13,Nicolas Moreira
14,Liam Gilpin
15,Thomas Campbell
16,Alan Lewis
17,Hunter Miller
18,Michael Stein
19,Cameron MacKinnon
20,Henry Groves
21,Eric Harnisher
23,Ryan Keep
24,Matt Fliegel
25,Sassan Fahim
26,Benton Gunter
27,Rowan Keller
30,Matthew Timoney
35,Clay Rosselot
36,Anthony Longo
40,Calvin Ciorba
42,Jeyaraj Keeley
44,Gabriel Graceffo
50,Ryan Casey
55,Nathan Winiarski
57,Samuel Gilmore
66,Justin Zhang
72,Brett Schoppert
73,Thomas Spiker
88,Aaron Freedland
99,Finn Garside
b,r,e,a,k
Elon,5
0,Cajetan Evans
0,Dominic Fillippa III
0,Jesse Ingerman
0,Major LeGoullon
0,Myles Sawin
0,Parks Roper
0,Scott Katz
0,Thomas Austin
1,Matthew Hutchinson
2,Jacob Wagner
3,Connors Sheehan
6,Ben Bronstein
15,Isaac Moles
21,Reed Burkert
28,John Ulrich
29,Vincent Chen
30,Cullan Quitmeyer
38,Wyatt Allen
45,Kalen Morrison
55,Oscar Kardon
69,Benjamin Farmer
88,Henry Goller
89,Nicholas Stewart
95,Tyler Myers
b,r,e,a,k
Navy,11
0,Brendan Cummins
0,Andrew Mazza
0,Ian Clark
03,Nathan McDougall
04,Ethan Goodson
05,Ethan Chandler
09,Ryan Hogg
11,Anders Wuolo-Journey
12,John Bassett
15,Silas Rhodes
16,Jack Stevenson
21,Sean Hogan
30,Charles Dunn
32,Michael Pyle
37,Joseph Veloz
41,Christopher Pappas
42,Dalton Jones
46,Ayush Padhi
69,Max Benedetti
88,Nathan Palmer
b,r,e,a,k
Kenyon,7
0,Diego Connolly
0,Max Fishman
0,Michael George
4,Griffin Meyer
7,Jackson Killilea
8,Teddy Kamin
10,Owen Hevly
11,Liam Savona
13,Henry Haley Goldman
14,Henry Markwardt
15,Tobias Hughes
16,Brendan Kolerich
18,Ryan Yarcusko
21,Lucien Kisch
23,Nicholas Forsyth
24,Elliot Moore
25,Ethan Wagner
28,Adam Blum
36,Isoo O’Brien
42,Ryan Madison
69,Kyle Boozer
99,Micah Arenstein
b,r,e,a,k
Middlebury,10
0,Nadav Melamede
02,Ethan Lavallee
07,Grady Welsh
08,Ethan DeMaio
13,Peter Mans
14,Jake Lyons
17,Aidan DeLorenzo
18,Max Zeltsar
21,John Savage
22,Max Rogers
23,William  Fenimore
24,Malachi Raymond
25,Louis Douville Beaudoin
30,Raffi Najarian
32,Matthew Koplowitz
34,Colman Bashore
39,Levi Hoffman
44,Kai Hoadley
53,Jorre Dahl
63,Charles Harder
69,Luke Stovak
77,Jack Waitz
81,Geir Hartl
83,Gavin Rice
96,Max Hanscom
b,r,e,a,k
Oberlin,12
0,Jake  Perdue
0,John Ryan
0,Jonah Feinstein
0,Luke Bennett
0,Max Rho
0,Noam Canter
0,Riah Burrows
0,Ryan Fontanez
0,Benjamin Eichner
0,Bix Weissberg
0,Griffin O'Neal-Freeman
0,Issandro Trenard
0,Simon Korotzer-Mariani
0,Soren Callahan
4,Ben Fuguet
9,Abraham Frolichstein-Appel
10,Braque Pike
13,Saxon Egge
14,Ryan Ward
14,Xander Cox
21,Thuy Son (Shawn) Ho
23,Zachary Marshall
24,Jack Povilaitis
35,Adam Wright
71,Sagana Ondande
b,r,e,a,k
Lewis & Clark,8
0,Anson Parker
0,Ben Eichel
0,Charlie Wagner
0,Jericho Stern
0,Leo Farley
0,Leo Finley
0,Levi Stahl
0,Max Zwerin
0,Nico Hackenjos
0,Orlando Impas
0,Owen Heh
0,Owen Trueblood
0,David Allen
0,Jack Venegas
0,Toby Rivera
0,William Ahlstrom
1,James Fishman-Morren
11,Sebastian  Williamson
13,Christopher Olson
20,Oliver Sumners
b,r,e,a,k
Franciscan,6
0,Luke Forrester
1,Justin Wallace
2,Timothy Flickinger
3,JP Duerr
5,Anthony Camastro
6,Anthony Humphrey
7,Gian Asci
8,Peter Sammons
9,Joe Salitsky
14,Joseph Duerr
15,Nick Canavan
17,Stephen Baker
21,James Euston
27,James  Ricketts 
31,Noah Spieldenner
36,Maximilian Schmiesing
51,Matthew Gregor
57,Wesley Steele
58,David Stamp
63,Jude Schmiesing
86,Matthew Evans
b,r,e,a,k
Whitman,14
0,Benjamin Canty
0,brodie monohan
0,Colin Pfister
0,Connor Scott
0,Daniel Sutton
0,Elan Siegler
0,Hans Frautschi
0,Jasper Brown
0,Kai Kirsch
0,Larson Selvig
0,Leo Dungan-Seaver
0,Luke Patrick
0,Nico Darringer
0,Teagan Freda-Cowie 
13,Soren Severens
25,Tyler Shanahan
34,Gus Marhoefer
35,Lyle Hahn
b,r,e,a,k
Berry,2
0,Elliot Green
02,Ivan Khoo
03,Caleb Grant
04,Andrew Purcell
05,Christopher Grant
06,Gavin Zielke
07,Manuel Estevez
10,Mikey Curtis
11,Blake Fredlund
12,Angelo Hernandez
13,Simon Dowdy
15,Matthew Peterson
18,Richard Johnson
19,Bryson Boast
22,Cole McDaniel
24,Silas Camp
25,Collin Hill
39,Case Lake
66,Ian VanOrder
68,Stephen Kise
69,Michael Dolan
81,Adriel Kershner
b,r,e,a,k
Butler,4
0,Nicholas Haran
3,Samuel Ingham
4,Trevor Fox
6,Sam Reichenbach
8,Gentry Horsley
12,Andrew Schmidt
14,Daniel Field
15,Jessica Hutzel
16,Calvin Prenkert
19,Aaron Conde
20,Tanner Kutoloski
26,Gavin Arkinstall
29,Nicholas Durst
31,Timmy Blader
34,Aidan Gehlert
37,Nathan Barry
50,Nicholas Brenner
53,Erik Stewart
65,Maxwell Higgins
70,David Tuohy
91,Jack Holmstrom
b,r,e,a,k
Messiah,9
0,Andrew Fretz
9,Samuel Cottrell
01,Nate Blaskewicz
03,Nick Hamann
05,Ian Shank
06,Aaron Smith
10,Justin Gagliardo
14,Josh Cook
16,Matthew Simmons
18,Joel Herman
21,Justin Sweat
22,Kaleb Egelkamp
23,Noah Narvaez
27,Jacob Cruzan
28,Andrew Clancy
30,Jordan Phillips
31,Griffin Means
35,Matthew Siegrist
39,Dylan Matthews
42,Samuel Goertzen
43,Robert Mitchell
86,Gabriel Henry
87,Sam Alderfer
88,Matthew Merlo
95,Colin Wages
96,Zachary McIntire
97,Isaiah Cottrell
b,r,e,a,k
Wooster,15
0,Caleb Greenwald
0,Greg Kania
0,Griffin Suppa
0,Isaac Schwartz
0,Kiran Ravichandran
3,Langston Bealum
8,Boden Retherford
13,Andrew Fischer
17,Kyle Roether
89,Alexander Drummond
b,r,e,a,k
Brandeis,3
0,Josiah Thompson
0,Max Woolf
0,Solomon Harris
05,Micah Rothkopf
06,Jesse Levisohn
07,Griffin Stotland
09,Joshua Wan
10,Samuel Richards
13,Matt Kolk
17,Josh Gladstone
18,Noam Gumerman
22,Adam Dickstein
26,Liam Kaufman
44,Matt Sehgal
49,Noah Baumann
49,Jihai Wang
67,Doron Polonetsky
70,Qiuyang Wang
77,Ben Helzner
84,Cameron Tracy
b,r,e,a,k
Air Force,1
0,Cole Callahan
0,Devin Wasilefsky
0,Garth Knutson
0,James Russ
0,Nathaniel Sabotchick
0,Riley Lubic
0,Robert Miller
0,Simon Bidne
0,Spencer Grubbs
1,Kristof Lotivio
2,Griffin Phillips
09,Ethan Nelson
11,Thomas Radujko
12,Mason Daily
19,Joseph Gourley
19,Cade Austin
20,Payton LaSota
22,Blayne Williams
28,Bryan Cao
31,Junhyung Park
33,Aiden Francomb
45,Xavier Gaefke
49,Joel Bryant
b,r,e,a,k
Xavier,16
0,Nick Walro
02,Trevor Russell
03,David Nolan
06,Cooper Varone
07,Roberto  Gonzalez Garcia
10,Reid Peterson
13,Richie Kaminski
17,Jack Fitzgerald
19,Benjamin Adair
22,Colin Bruggeman
24,Jacob Dougherty
25,Sorin Whalen
31,Seth Ellis
34,Maxwell Hanson
42,Connor Driscoll-Natale
44,Declan Le Warn
50,Jack Mills
54,Ryan Stark
90,Andrew Pericat
93,Christian Geary
99,Lance Van Ostran
b,r,e,a,k
s,t,a,g,e,s
pools,FCS Shootout Format
pool,Pool A
Wooster,Richmond,9,13,"03/04/2023, 09:00",Pool A,Final
Brandeis,Franciscan,10,11,"03/04/2023, 09:00",Pool A,Final
Xavier,Berry,6,13,"03/04/2023, 09:00",Pool A,Final
Lewis & Clark,Butler,13,9,"03/04/2023, 09:00",Pool A,Final
Air Force,Elon,11,12,"03/04/2023, 09:00",Pool A,Final
Navy,Oberlin,13,7,"03/04/2023, 09:00",Pool A,Final
Kenyon,Whitman,13,12,"03/04/2023, 09:00",Pool A,Final
Messiah,Middlebury,7,13,"03/04/2023, 09:00",Pool A,Final
Brandeis,Whitman,7,13,"03/04/2023, 10:45",Pool A,Final
Air Force,Wooster,6,13,"03/04/2023, 10:45",Pool A,Final
Berry,Navy,8,13,"03/04/2023, 10:45",Pool A,Final
Butler,Messiah,13,11,"03/04/2023, 10:45",Pool A,Final
Franciscan,Kenyon,10,13,"03/04/2023, 10:45",Pool A,Final
Oberlin,Lewis & Clark,13,9,"03/04/2023, 10:45",Pool A,Final
Middlebury,Richmond,9,11,"03/04/2023, 10:45",Pool A,Final
Elon,Xavier,13,8,"03/04/2023, 10:45",Pool A,Final
Elon,Oberlin,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Butler,Kenyon,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Wooster,Messiah,7,13,"03/04/2023, 12:30",Pool A,Final
Xavier,Franciscan,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Air Force,Middlebury,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Berry,Brandeis,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Navy,Whitman,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Lewis & Clark,Richmond,0,0,"03/04/2023, 12:30",Pool A,Scheduled
Lewis & Clark,Messiah,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Butler,Elon,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Navy,Kenyon,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Richmond,Brandeis,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Wooster,Xavier,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Oberlin,Berry,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Air Force,Franciscan,0,0,"03/04/2023, 14:15",Pool A,Scheduled
Whitman,Middlebury,0,0,"03/04/2023, 15:15",Pool A,Scheduled
Air Force,Oberlin,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Middlebury,Franciscan,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Kenyon,Elon,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Messiah,Brandeis,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Navy,Xavier,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Richmond,Whitman,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Lewis & Clark,Wooster,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Butler,Berry,0,0,"03/05/2023, 09:00",Pool A,Scheduled
Air Force,Xavier,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Whitman,Oberlin,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Brandeis,Lewis & Clark,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Wooster,Kenyon,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Berry,Elon,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Navy,Messiah,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Middlebury,Butler,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Franciscan,Richmond,0,0,"03/05/2023, 10:45",Pool A,Scheduled
Air Force,Navy,0,0,"03/05/2023, 12:30",Pool A,Scheduled
Wooster,Elon,0,0,"03/05/2023, 12:30",Pool A,Scheduled
Messiah,Kenyon,0,0,"03/05/2023, 12:30",Pool A,Scheduled
Oberlin,Butler,0,0,"03/05/2023, 12:30",Pool A,Scheduled
Lewis & Clark,Franciscan,0,0,"03/05/2023, 12:30",Pool A,Scheduled
Middlebury,Berry,0,0,"03/05/2023, 12:30",Pool A,Scheduled
Brandeis,Xavier,0,0,"03/05/2023, 12:30",Pool A,Scheduled
b,r,e,a,k
